院校代码,院校名称OCR,院校专业组代码OCR规范化,专业组号OCR,城市候选,公办民办机器线索,家庭底线属性动作,机器家庭匹配初判,调剂初判,偏好专业数,数字媒体技术专业数,计算机类相关专业数,师范类相关专业数,医学护理排除专业数,高收费或超预算专业数,特殊限制待核专业数,专业明细行数,机器筛选价值层级,是否进入机器初筛观察池,保真核验层级,历史线索分层,同代码命中年份最大值,历史最高等位分差,历史最低等位分差,来源页码,版面列,组内完整专业清单索引,机器核验下一步,人工核验下一步,不得进入原因,下一步,专业组出现ID,稳定基座专业组筛选ID
F013,北京物资学院,F01304,04,北京,非民办线索-教育部名单未备注民办,继续核公办普通学费-非民办线索,优先复核-有偏好专业且未触发自动阻断,可进入人工调剂接受度判断,1,0,1,0,0,0,0,1,V1-偏好专业优先线索,true,R1-P0整组先核,H5-历史最高线高于等位分30分以上,2,54,34,93,right,1.07 数据科学与大数据技术[M-3e34e2c2f9f29aa8],按P0优先核PDF原页结构、字段缺口和官网冲突。,整组所有专业都要核，不能只核拟填6个专业。,专业组筛选视图未完成完整组内专业、PDF原页、湖北官方计划、学校官网/章程、家庭接受度和调剂范围闭环。,按P0优先核PDF原页结构、字段缺口和官网冲突。,G-56ad8534bd076a94,STABLEGROUP-4afbd57ec2b546c5
F013,北京物资学院,F01305,05,北京,非民办线索-教育部名单未备注民办,继续核公办普通学费-非民办线索,优先复核-有偏好专业且未触发自动阻断,暂不判断-组内结构异常需先核页,1,0,1,0,0,0,0,2,V1-偏好专业优先线索,true,R1-P0整组先核,H5-历史最高线高于等位分30分以上,2,74,61,93,right,1.08 物联网工程[M-29e6bc3f2ca27d4d]；2.09 应用统计学[M-0a6d8f981b4be5d5],按P0优先核PDF原页结构、字段缺口和官网冲突。,整组所有专业都要核，不能只核拟填6个专业。,专业组筛选视图未完成完整组内专业、PDF原页、湖北官方计划、学校官网/章程、家庭接受度和调剂范围闭环。,按P0优先核PDF原页结构、字段缺口和官网冲突。,G-0f2403462bdc99f7,STABLEGROUP-fbc353cbc33a64a8
F020,北京联合大学,F02002,02,北京,非民办线索-教育部名单未备注民办,继续核公办普通学费-非民办线索,优先复核-有偏好专业且未触发自动阻断,暂不判断-组内结构异常需先核页,1,0,1,0,0,0,0,2,V1-偏好专业优先线索,true,R1-P0整组先核,H5-历史最高线高于等位分30分以上,2,88,81,94,left,1.02 通信工程（办学地点：北四环校区）[M-ece9d4a7c5eef2c9]；2.03 物联网工程（办学地点：北四环校区）F054 北京城市学院（民办）（北京）[M-6e1b069a6e23f585],按P0优先核PDF原页结构、字段缺口和官网冲突。,整组所有专业都要核，不能只核拟填6个专业。,专业组筛选视图未完成完整组内专业、PDF原页、湖北官方计划、学校官网/章程、家庭接受度和调剂范围闭环。,按P0优先核PDF原页结构、字段缺口和官网冲突。,G-932fc8bc1c4d59bc,STABLEGROUP-5d27ea7331a02e93
F093,天津理工大学,F09301,01,,非民办线索-教育部名单未备注民办,继续核公办普通学费-非民办线索,优先复核-有偏好专业且未触发自动阻断,可进入人工调剂接受度判断,1,0,1,0,0,0,0,2,V1-偏好专业优先线索,true,R2-P1页列集中核,H5-历史最高线高于等位分30分以上,3,84,62,95,left,1.01 大数据管理与应用[M-6bd44031c8dd1ebb]；2.02 英语[M-5e6a5bf5d2706a77],按页列集中核字段缺口，再接湖北官方计划和高校官网辅证。,同一页列若发现结构错误，整页列升级核验。,专业组筛选视图未完成完整组内专业、PDF原页、湖北官方计划、学校官网/章程、家庭接受度和调剂范围闭环。,按页列集中核字段缺口，再接湖北官方计划和高校官网辅证。,G-0433c21b5931b8b1,STABLEGROUP-e1ec2fff0a216203
F097,天津师范大学,F09702,02,,非民办线索-教育部名单未备注民办,继续核公办普通学费-非民办线索,优先复核-有偏好专业且未触发自动阻断,暂不判断-组内结构异常需先核页,1,0,0,1,0,0,0,5,V1-偏好专业优先线索,true,R1-P0整组先核,H5-历史最高线高于等位分30分以上,3,96,31,96,left,1.10 教育技术学（师范类）[M-5688f59cc42881ee]；2.11 数据管理与应用（不招收不能准确只别红、黄、绿、蓝、紫各种颜色中任何一种颜色的导线、按键、信号灯几何图形的考生）[M-ff2cf28076bd9bdf]；3.12 信息管理与信息系统（不招收不能準确识别红、黄、绿、蓝、紫各种颜色中任何一种颜色的导线、按键、信号灯、几何图形的考生）[M-fdd0d9b2cd2e44a5]；4.13 供应链管理[M-39002a76ac50f04f]；5.14 国际经济与贸易[M-d07188a6c2b903b6],按P0优先核PDF原页结构、字段缺口和官网冲突。,整组所有专业都要核，不能只核拟填6个专业。,专业组筛选视图未完成完整组内专业、PDF原页、湖北官方计划、学校官网/章程、家庭接受度和调剂范围闭环。,按P0优先核PDF原页结构、字段缺口和官网冲突。,G-6cb7a7bad1db40a0,STABLEGROUP-d73b10c7b82fc006
F099,天津外国语大学,F09906,06,,非民办线索-教育部名单未备注民办,继续核公办普通学费-非民办线索,暂缓进入主方案-组内存在特殊限制待核专业,暂不判断-特殊限制待核,1,0,1,0,0,0,4,4,V1-偏好专业优先线索,true,R2-P1页列集中核,H5-历史最高线高于等位分30分以上,2,74,53,96,left,1.16 商务英语（可参与跨境电商智能运营一带一路“倡议语种人创新班选拔；才培养计划：马场道校区；外语语种：英语）[M-016aefa727c726e5]；2.17 日语（可参与”日语+大数据管理与应用“或国别区域人才创新班选拔：马场道校区；外语语种：不限）[M-d63c0e01688f8e8e]；3.18 德语（马场道校区：外语语种：不限）[M-bbd482a116ae88c5]；4.19 阿拉伯语（“一带一路“倡议语种人才培养讦划；马场道校区；外语语种：不[M-400a6bcb1cd6265f],按页列集中核字段缺口，再接湖北官方计划和高校官网辅证。,同一页列若发现结构错误，整页列升级核验。,专业组筛选视图未完成完整组内专业、PDF原页、湖北官方计划、学校官网/章程、家庭接受度和调剂范围闭环。,按页列集中核字段缺口，再接湖北官方计划和高校官网辅证。,G-a1cd3f378e872cc7,STABLEGROUP-cc202dcdec9cf202
F099,天津外国语大学,F09908,08,,非民办线索-教育部名单未备注民办,继续核公办普通学费-非民办线索,优先复核-有偏好专业且未触发自动阻断,可进入人工调剂接受度判断,1,0,1,0,0,0,0,4,V1-偏好专业优先线索,true,R2-P1页列集中核,H5-历史最高线高于等位分30分以上,1,39,39,96,left,1.21 金融学（滨海校区）[M-798bd73e06c6f2ff]；2.22 数字经济（滨海校区）[M-b108d8e93fae8be5]；3.23 财务管理（滨海校区）[M-940186ec67d6019c]；4.24 大数据管理与应用（依托天津市大学软件学院实训实习基地，实行校内和校外“双导师“制：滨海校区）[M-bc883613fa465e6c],按页列集中核字段缺口，再接湖北官方计划和高校官网辅证。,同一页列若发现结构错误，整页列升级核验。,专业组筛选视图未完成完整组内专业、PDF原页、湖北官方计划、学校官网/章程、家庭接受度和调剂范围闭环。,按页列集中核字段缺口，再接湖北官方计划和高校官网辅证。,G-3176ac57fc59baf6,STABLEGROUP-93260c38fa234bbc
F099,天津外国语大学,F09909,09,,非民办线索-教育部名单未备注民办,继续核公办普通学费-非民办线索,优先复核-有偏好专业且未触发自动阻断,暂不判断-组内结构异常需先核页,1,0,0,1,0,0,0,3,V1-偏好专业优先线索,true,R1-P0整组先核,H5-历史最高线高于等位分30分以上,1,65,65,96,left,1.25 新闻传播学类（新闻学；广告学；传学：网络与新媒体：可参与中国文化个潘人才创新班选拔：新闻学、厂告学传播学、网络与新媒体；滨海校区[M-52a7d5ac7e15a7d3]；2.26 教育技术学（“教育技术学+英语“复合培养项目：滨海校区）[M-227ff35ab86c5aaf]；3.27 汉语国际教育（可参与国际中文教育人才创新班选拔：滨海校区）[M-9184bd1362dd289d],按P0优先核PDF原页结构、字段缺口和官网冲突。,整组所有专业都要核，不能只核拟填6个专业。,专业组筛选视图未完成完整组内专业、PDF原页、湖北官方计划、学校官网/章程、家庭接受度和调剂范围闭环。,按P0优先核PDF原页结构、字段缺口和官网冲突。,G-e7db39d308bad42c,STABLEGROUP-d4690c007c7581a6
F177,河北工程大学,F17703,03,,非民办线索-教育部名单未备注民办,继续核公办普通学费-非民办线索,暂缓进入主方案-组内存在特殊限制待核专业,暂不判断-特殊限制待核,1,0,1,0,0,0,4,4,V1-偏好专业优先线索,true,R1-P0整组先核,H5-历史最高线高于等位分30分以上,3,34,27,98,left,1.07 金融工程（不能准确识别红、黄、绿、蓝、紫客种颜色中在何一种颜色的号线、按键、信号灯、几何图形者不予录取）[M-872b7a3912610018]；2.08 工程管理（不能准确识别红、黄、绿、蓝、紫各种颜色中任何一种颜色的号按键、信号灯、几何图形者不予录取）[M-afbbf69d453f3427]；3.09 工商管理（不能准确识别红、黄、绿、蓝、紫各种颜色中任何一种颜色的导按键、信号灯、几何图形者不予录取）[M-01e4c635d372b065]；4.10 大数据管理与应用（不能准确识别红黄、绿蓝、票各种颜色中任何一种颜色的导线、按键、信号灯、几何图形者不予录取）[M-58d0f934888340d9],按P0优先核PDF原页结构、字段缺口和官网冲突。,整组所有专业都要核，不能只核拟填6个专业。,专业组筛选视图未完成完整组内专业、PDF原页、湖北官方计划、学校官网/章程、家庭接受度和调剂范围闭环。,按P0优先核PDF原页结构、字段缺口和官网冲突。,G-82ae9798abd18a87,STABLEGROUP-d71974cbe2d7e97a
F177,河北工程大学,F17705,05,,非民办线索-教育部名单未备注民办,继续核公办普通学费-非民办线索,暂缓进入主方案-组内存在特殊限制待核专业,暂不判断-特殊限制待核,1,0,1,0,0,0,4,33,V1-偏好专业优先线索,true,R1-P0整组先核,H5-历史最高线高于等位分30分以上,3,45,24,98,left,1.14 应用统计学[M-b24701ba48144992]；2.15 能源与动力工程[M-d47fb238e0a952dd]；3.16 电气工程及其自动化[M-d04bb7d4e87f88c1]；4.17 电子信息工程[M-ae4f84f9039318f4]；5.18 光电信息科学与工程[M-8acb70500e41cc2e]；6.19 自动化[M-62131fd78762f697]；7.20 数据科学与大数据技术[M-a67bbdeb17a886e9]；8.21 水利水电工程[M-3c65186c3d74fa5a]；9.22 水文与水资源工程[M-98c8361752d680e6]；10.23 测绘工程[M-a60c8ddb6d26a393]；11.24 遥感科学与技术[M-8806c4ff47d9f746]；12.25 化学工程与工艺（色弱、色盲、单色识别不全者不予录取）[M-8875c7b91f752355]；13.26 地质工程[M-f0c0cde07f1c865f]；14.27 勘查技术与工程[M-5086e6900c961f6b]；15.28 采矿工程（只招男生）[M-2362864b9416ff9e]；16.29 农业水利工程[M-93fb5f24d1506530]；17.30 环塊工程（色弱、色盲、单色识别不全者 予录取）[M-2fb7f0a14afcbda4]；18.31 食虽科学与工程（色弱、色盲、单色识别不全者不予录取）[M-f2e600dc699ad19e]；19.32 安全工程[M-f9f64dec417e2244]；20.33 测控技术与仪器[M-2e093ea88ba0aa7b]；21.34 治金工程（不招色盲且不招单色识别不全者）[M-1347e3927aa6e1cc]；22.35 给排水科学与工程資亮部亭院校专业组及专业代号[M-8f8aa54e6ce81c36]；23.36 建筑环境与能源应用工程[M-c60d570b4e58c0ca]；24.37 新能源科学与工程[M-41e7d355813c0f39]；25.38 土木工程[M-ae2636f3a17ebb4e]；26.39 交通工程[M-fa53dd5438c7bd22]；27.40 机器人工程[M-cd9b469fee9e082b]；28.41 机械设计制造及其自动化[M-9f896bda0a135554]；29.42 材料成型及控制工程[M-81bc9b3dc06d1c58]；30.43 金属材料工程[M-efac3717f3d94e17]；31.44 复合材料与工程[M-3740c112cac2655e]；32.45 智慧水利[M-de04dc7b808aa560]；33.46 智能建造与智慧交通[M-e061a0a0c38a9492],按P0优先核PDF原页结构、字段缺口和官网冲突。,整组所有专业都要核，不能只核拟填6个专业。,专业组筛选视图未完成完整组内专业、PDF原页、湖北官方计划、学校官网/章程、家庭接受度和调剂范围闭环。,按P0优先核PDF原页结构、字段缺口和官网冲突。,G-4484bb65a4efaa91,STABLEGROUP-5d730fbe208bab75
F178,河北地质大学,F17804,04,,非民办线索-教育部名单未备注民办,继续核公办普通学费-非民办线索,优先复核-有偏好专业且未触发自动阻断,可进入人工调剂接受度判断,1,0,1,0,0,0,0,4,V1-偏好专业优先线索,true,R2-P1页列集中核,H5-历史最高线高于等位分30分以上,1,32,32,98,right,1.10 工程管理卫生地资源管理[M-cb2f8a67283b5a98]；2.12 经济统计学[M-fbc9b852891f90d6]；3.13 物流管理[M-f98032ea0684e5eb]；4.14 大数据管理与应用[M-3a3f9b00e20f688d],按页列集中核字段缺口，再接湖北官方计划和高校官网辅证。,同一页列若发现结构错误，整页列升级核验。,专业组筛选视图未完成完整组内专业、PDF原页、湖北官方计划、学校官网/章程、家庭接受度和调剂范围闭环。,按页列集中核字段缺口，再接湖北官方计划和高校官网辅证。,G-643542c376840a70,STABLEGROUP-5d5e2393888517ad
F179,河北工业大学,F17904,04,,非民办线索-教育部名单未备注民办,继续核公办普通学费-非民办线索,优先复核-有偏好专业且未触发自动阻断,可进入人工调剂接受度判断,1,0,1,0,0,0,0,4,V1-偏好专业优先线索,true,R2-P1页列集中核,H5-历史最高线高于等位分30分以上,3,124,95,98,right,1.08 应用统计学[M-8a4de1e86921e57b]；2.09 金融学[M-980e377195f54b51]；3.10 大数据管理与应用[M-fbfff162b7acdca5]；4.11 数学与应用数学[M-1adeea385ec73fdb],按页列集中核字段缺口，再接湖北官方计划和高校官网辅证。,同一页列若发现结构错误，整页列升级核验。,专业组筛选视图未完成完整组内专业、PDF原页、湖北官方计划、学校官网/章程、家庭接受度和调剂范围闭环。,按页列集中核字段缺口，再接湖北官方计划和高校官网辅证。,G-0908bf20c794b75e,STABLEGROUP-2228f486368e82a4
F181,河北科技大学,F18101,01,,非民办线索-教育部名单未备注民办,继续核公办普通学费-非民办线索,暂缓进入主方案-组内存在特殊限制待核专业,暂不判断-特殊限制待核,1,0,1,0,0,0,1,1,V1-偏好专业优先线索,true,R1-P0整组先核,H5-历史最高线高于等位分30分以上,3,52,40,100,left,1.01 大数据管理与应用（单色识别不全考生不予录取）[M-51cc43822cbc6e00],按P0优先核PDF原页结构、字段缺口和官网冲突。,整组所有专业都要核，不能只核拟填6个专业。,专业组筛选视图未完成完整组内专业、PDF原页、湖北官方计划、学校官网/章程、家庭接受度和调剂范围闭环。,按P0优先核PDF原页结构、字段缺口和官网冲突。,G-da19bafc2326fc3f,STABLEGROUP-15bfcb59cfbc4e21
F181,河北科技大学,F18116,16,,非民办线索-教育部名单未备注民办,继续核公办普通学费-非民办线索,暂缓进入主方案-组内存在特殊限制待核专业,暂不判断-特殊限制待核,1,0,1,0,0,0,1,1,V1-偏好专业优先线索,true,R2-P1页列集中核,H5-历史最高线高于等位分30分以上,1,47,47,100,right,1.16 计算机科学与技术（单色识别不全考生不予录取）[M-c428a608e9ca05bb],按页列集中核字段缺口，再接湖北官方计划和高校官网辅证。,同一页列若发现结构错误，整页列升级核验。,专业组筛选视图未完成完整组内专业、PDF原页、湖北官方计划、学校官网/章程、家庭接受度和调剂范围闭环。,按页列集中核字段缺口，再接湖北官方计划和高校官网辅证。,G-6f5b060645b5246e,STABLEGROUP-e6de2ea238c92177
F188,河北师范大学,F18805,05,,非民办线索-教育部名单未备注民办,继续核公办普通学费-非民办线索,暂缓进入主方案-组内存在特殊限制待核专业,暂不判断-特殊限制待核,1,0,0,1,0,0,1,1,V1-偏好专业优先线索,true,R3-P2官网后人工确认,H5-历史最高线高于等位分30分以上,3,76,37,101,right,1.05 英语（师范类：外语语种：英语）[M-6fd0da08a0a7b2c2],先自动核高校官网/章程来源，再人工确认费用、校区、调剂范围。,官网只作辅证，不能替代湖北省招办计划。,专业组筛选视图未完成完整组内专业、PDF原页、湖北官方计划、学校官网/章程、家庭接受度和调剂范围闭环。,先自动核高校官网/章程来源，再人工确认费用、校区、调剂范围。,G-83da308f1064ff71,STABLEGROUP-146ada1f28ec394f
F198,石家庄铁道大学,F19808,08,,非民办线索-教育部名单未备注民办,继续核公办普通学费-非民办线索,暂缓进入主方案-组内存在特殊限制待核专业,暂不判断-特殊限制待核,1,0,1,0,0,0,5,5,V1-偏好专业优先线索,true,R2-P1页列集中核,H5-历史最高线高于等位分30分以上,1,52,52,103,left,1.46 交通运输（卓越计划班；色觉异常1度（俗称色盲）者不予录取；办学地点：龙山校区）[M-c8ed81f2d6a2c7c3]；2.47 交通运输（色觉异常I度（俗称色育）者不予录取；办学地点：龙山校区）[M-e3b96ddd507c51e5]；3.48 无机非金属材料工程（色觉异常1度（俗称色盲）者不予录取；办学地点：龙山校区）[M-0f69a8ebdc94f973]；4.49 应用物理学（色觉异常1度（俗称色盲）者不予录取：办学地点：龙山校区）[M-df3fe2aa6870e026]；5.50 计算机科学与技术（不能准确在显示路上迟别红、黄、绿、蓝、紫各颜色中任何一种颜色的数码、字母者不予录取：办学地点：龙山校区）[M-ac57377d360bdcc8],按页列集中核字段缺口，再接湖北官方计划和高校官网辅证。,同一页列若发现结构错误，整页列升级核验。,专业组筛选视图未完成完整组内专业、PDF原页、湖北官方计划、学校官网/章程、家庭接受度和调剂范围闭环。,按页列集中核字段缺口，再接湖北官方计划和高校官网辅证。,G-94d9dbe4cc75734c,STABLEGROUP-2af5b33c1a465972
F199,燕山大学,F19903,03,,非民办线索-教育部名单未备注民办,继续核公办普通学费-非民办线索,优先复核-有偏好专业且未触发自动阻断,可进入人工调剂接受度判断,1,0,1,0,0,0,0,5,V1-偏好专业优先线索,true,R2-P1页列集中核,H5-历史最高线高于等位分30分以上,3,76,59,103,left,1.07 经济与金融[M-dc910b8b59676577]；2.08 大数据管理与应用[M-83d7d0255c934aac]；3.09 工商管理炎（工商管理；会计学；旅游管理）[M-25c101983596bfd4]；4.10 公共管理类（公共事业管理；行政管[M-626e336c72f3ff66]；5.11 工业工程[M-a026e000f86fe9f1],按页列集中核字段缺口，再接湖北官方计划和高校官网辅证。,同一页列若发现结构错误，整页列升级核验。,专业组筛选视图未完成完整组内专业、PDF原页、湖北官方计划、学校官网/章程、家庭接受度和调剂范围闭环。,按页列集中核字段缺口，再接湖北官方计划和高校官网辅证。,G-0d1017a560d6967d,STABLEGROUP-754e2229ef698020
F292,山西大学,F29204,04,,非民办线索-教育部名单未备注民办,继续核公办普通学费-非民办线索,优先复核-有偏好专业且未触发自动阻断,暂不判断-组内存在学费字段待核,1,0,1,0,0,0,0,14,V1-偏好专业优先线索,true,R1-P0整组先核,H5-历史最高线高于等位分30分以上,2,107,55,105,right,1.21 数学与应用数学（办学地点：坞城校[M-2da52cc19c879896]；2.22 信息与计算科学（办学地点：坞城校[M-f115d1f2ccfe8f70]；3.23 统计学（办学地点：坞城校区）[M-fef52751d2777fb1]；4.24 计算机科学与技术（先进计算；办学地点：坞城校区）[M-52da90f0d6adbfbf]；5.25 物理学（办学地点：坞城校区）[M-95b6190f07685ab8]；6.26 化学类（化学、应用化学、材料化学；办学地点：东山校区）[M-34182f8ab563b8e7]；7.27 生物科学类（生物科学、生物工程：办学地点：东山校区）[M-8227634f10e3015b]；8.28 食品科学与工程（食品酿造；办学地点：东山校区）[M-a067e70797a5976c]；9.29 环境科学与工程类（环境科学、环境工程：办学地点：东山校区）[M-4f45ce598364060f]；10.30 电气工程及其自动化（办学地点：东山校区）[M-f42fd83e9ebdb9e7]；11.31 土木工程（办学地点：东山校区）[M-c62f9cc467db3378]；12.32 智慧建筑与建造（办学地点：东山校[M-2d4d7d684743a711]；13.33 电子信息科学与技术（办学地点：坞城GA◎K[M-f42f67ee6d8becae]；14.A0 ZIX业组及专业代号校区）[M-907b3f835b6de0d1],按P0优先核PDF原页结构、字段缺口和官网冲突。,整组所有专业都要核，不能只核拟填6个专业。,专业组筛选视图未完成完整组内专业、PDF原页、湖北官方计划、学校官网/章程、家庭接受度和调剂范围闭环。,按P0优先核PDF原页结构、字段缺口和官网冲突。,G-6809d11279597d51,STABLEGROUP-9b8380c93031b538
F292,山西大学,F29205,05,,非民办线索-教育部名单未备注民办,继续核公办普通学费-非民办线索,优先复核-有偏好专业且未触发自动阻断,暂不判断-组内结构异常需先核页,1,0,1,0,0,0,0,7,V1-偏好专业优先线索,true,R1-P0整组先核,H5-历史最高线高于等位分30分以上,2,94,78,106,left,1.34 新能源科学与工程（办学地点：大同校[M-93f14ef7af280d7d]；2.35 智能科学与技术（办学地点：大同校[M-d5281ac657f3d154]；3.36 集成电路设计与集成系统（办学地点：大同校区）[M-5da6b09313f8a40c]；4.37 高分子材料与工程（办学地点：大同校[M-c7a4efd2c3281382]；5.38 机器人工程（办学地点：大同校区）[M-77892c19a187ab1b]；6.39 网络空间安全（办学地点：大同校区）[M-35b2a05f1f01e837]；7.40 储能科学与工程（办学地点：大同校F293 太原科技大学（公 ）（山西）[M-56078f10aaf1d064],按P0优先核PDF原页结构、字段缺口和官网冲突。,整组所有专业都要核，不能只核拟填6个专业。,专业组筛选视图未完成完整组内专业、PDF原页、湖北官方计划、学校官网/章程、家庭接受度和调剂范围闭环。,按P0优先核PDF原页结构、字段缺口和官网冲突。,G-5742ad0ed2e51232,STABLEGROUP-ecc99b70463742f4
F295,太原理工大学,F29507,07,,非民办线索-教育部名单未备注民办,继续核公办普通学费-非民办线索,优先复核-有偏好专业且未触发自动阻断,可进入人工调剂接受度判断,1,0,1,0,0,0,0,8,V1-偏好专业优先线索,true,R2-P1页列集中核,H5-历史最高线高于等位分30分以上,1,118,118,107,left,1.17 熊源与动力工程（办学地点：明向校[M-565ee8b06d218863]；2.18 自动化（办学地点：明向校区）[M-60ece183f3b10285]；3.19 通信工程（办学地点：明向校区）[M-44d802b5befd1fe8]；4.20 电子信息工程（办学地点：明向校区）[M-8424b1b5041d983e]；5.21 电子科学与技术（办学地点：明向校[M-332a74048fe08e88]；6.22 人工智能（办学地点：明向校区）[M-eafade7e40c3d716]；7.23 集成电路设计与集成系统（办学地点：明向校区）[M-6ff53267fc2ae75e]；8.24 智能测控工程（办学地点：明向校区）[M-65464a2acdd76fc5],按页列集中核字段缺口，再接湖北官方计划和高校官网辅证。,同一页列若发现结构错误，整页列升级核验。,专业组筛选视图未完成完整组内专业、PDF原页、湖北官方计划、学校官网/章程、家庭接受度和调剂范围闭环。,按页列集中核字段缺口，再接湖北官方计划和高校官网辅证。,G-a0de3cae9cde2025,STABLEGROUP-20db0e3cc9f2998f
F384,内蒙古大学,F38405,05,,非民办线索-教育部名单未备注民办,继续核公办普通学费-非民办线索,优先复核-有偏好专业且未触发自动阻断,暂不判断-组内结构异常需先核页,1,0,1,0,0,0,0,1,V1-偏好专业优先线索,true,R1-P0整组先核,H5-历史最高线高于等位分30分以上,1,89,89,111,left,1.10 软件工程（不能准确在显示器上识别绿、蓝、紫各颜色中任何种颜色的数码、字母者不子录取；办学地点：赛罕校区）F385 内蒙古科技大学（公办）（内蒙）[M-9c8943ab67087c26],按P0优先核PDF原页结构、字段缺口和官网冲突。,整组所有专业都要核，不能只核拟填6个专业。,专业组筛选视图未完成完整组内专业、PDF原页、湖北官方计划、学校官网/章程、家庭接受度和调剂范围闭环。,按P0优先核PDF原页结构、字段缺口和官网冲突。,G-5a61f4a343fe5246,STABLEGROUP-e9f9237dc0561905
F462,沈阳工业大学,F46202,02,,非民办线索-教育部名单未备注民办,继续核公办普通学费-非民办线索,优先复核-有偏好专业且未触发自动阻断,暂不判断-组内结构异常需先核页,1,0,1,0,0,0,0,7,V1-偏好专业优先线索,true,R1-P0整组先核,H5-历史最高线高于等位分30分以上,3,75,-12,112,right,1.02 机械设计制造及其自动化[M-ec1a14132f729ee1]；2.03 电气工程及其自动化[M-71974a8137a6c458]；3.04 自动化[M-f537d70bddea9457]；4.05 智能科学与技术[M-2e31d43bd1b6f045]；5.06 数学与应用数学[M-ec2d6a9caae7c148]；6.07 智能建造[M-b015007cbee2ff37]；7.08 电子科学与技术F463 沈阳航空航天大学（公办）（辽宁）[M-ae826ab1a5e8e88f],按P0优先核PDF原页结构、字段缺口和官网冲突。,整组所有专业都要核，不能只核拟填6个专业。,专业组筛选视图未完成完整组内专业、PDF原页、湖北官方计划、学校官网/章程、家庭接受度和调剂范围闭环。,按P0优先核PDF原页结构、字段缺口和官网冲突。,G-c9951a22d08e2cc0,STABLEGROUP-fde8b1358d77a2ec
F467,辽宁工程技术大学,F46701,01,,非民办线索-教育部名单未备注民办,继续核公办普通学费-非民办线索,暂缓进入主方案-组内存在特殊限制待核专业,暂不判断-特殊限制待核,1,0,1,0,0,0,1,11,V1-偏好专业优先线索,true,R2-P1页列集中核,H5-历史最高线高于等位分30分以上,3,44,-39,113,right,1.01 地质工程（办学地点：阜新校区中华路校园）[M-7632eaffe34ad08a]；2.02 机械设计制造及其自动化（办学地点：阜新校区玉龙校园）[M-a6edb07a4f71c7ed]；3.03 賀能制造工程（办学地点：阜新校区玉龙校园）[M-f62101aa6077bd62]；4.04 城市地下空间工程（办学地点：阜新校区玉龙校园）[M-794c5d472350c6df]；5.05 电气工程及其自动化（办学地点：葫芦岛校区龙湾校园）[M-9f1425d4bee6c77e]；6.06 直动化（办学地点：葫芦岛校区龙湾校[M-d60247c0893e2801]；7.07 智能电网信息工程（办学地点：葫芦岛校区龙湾校园）[M-7451e8a7d855c85e]；8.08 机器人工程（办学地点：葫芦岛校区龙[M-904e357f2f592598]；9.09 电子科学与技术（办学地点：葫芦岛校区龙湾校园）[M-3c09cf42989c36a3]；10.10 环境工程（轻度色觉异常（俗称色弱）的考生不能录取；办学地点：阜新校区[M-6c2ce5bfc2d84acf]；11.11 数据科学与大数据技术（办学地点：葫芦岛校区龙湾校园）[M-e3dea73e4cac3d48],按页列集中核字段缺口，再接湖北官方计划和高校官网辅证。,同一页列若发现结构错误，整页列升级核验。,专业组筛选视图未完成完整组内专业、PDF原页、湖北官方计划、学校官网/章程、家庭接受度和调剂范围闭环。,按页列集中核字段缺口，再接湖北官方计划和高校官网辅证。,G-34063814965fb104,STABLEGROUP-5f60843109344aee
F484,渤海大学,F48403,03,,非民办线索-教育部名单未备注民办,继续核公办普通学费-非民办线索,优先复核-有偏好专业且未触发自动阻断,暂不判断-组内结构异常需先核页,1,0,0,1,0,0,0,1,V1-偏好专业优先线索,true,R1-P0整组先核,H5-历史最高线高于等位分30分以上,2,39,14,116,right,1.05 船舶与海洋工程（办学地点：滨海校F485 鞍山师范学院（公办）（辽宁）[M-6f0e9e2808649667],按P0优先核PDF原页结构、字段缺口和官网冲突。,整组所有专业都要核，不能只核拟填6个专业。,专业组筛选视图未完成完整组内专业、PDF原页、湖北官方计划、学校官网/章程、家庭接受度和调剂范围闭环。,按P0优先核PDF原页结构、字段缺口和官网冲突。,G-4fdda42f51678080,STABLEGROUP-13e8c10e3f1bc8d7
F492,大连大学,F49205,05,,非民办线索-教育部名单未备注民办,继续核公办普通学费-非民办线索,优先复核-有偏好专业且未触发自动阻断,可进入人工调剂接受度判断,1,0,0,1,0,0,0,5,V1-偏好专业优先线索,true,R2-P1页列集中核,H5-历史最高线高于等位分30分以上,3,57,29,116,right,1.09 物理学（师范类）[M-f98d122816db1714]；2.10 车辆工程[M-376cd30e1f942768]；3.11 电子信息工程[M-29cb50b91a40b607]；4.12 土木工程[M-b766591c8c47c5e0]；5.13 光电信息科学与工程院校专业组及专业[M-116dc5089c867369],按页列集中核字段缺口，再接湖北官方计划和高校官网辅证。,同一页列若发现结构错误，整页列升级核验。,专业组筛选视图未完成完整组内专业、PDF原页、湖北官方计划、学校官网/章程、家庭接受度和调剂范围闭环。,按页列集中核字段缺口，再接湖北官方计划和高校官网辅证。,G-f8bc88c6ff62f268,STABLEGROUP-fa3c102eb7877596
