下一轮序号,下一轮建议状态,组级核验动作,家庭讨论优先级,院校代码,院校名称,院校专业组代码,城市,冲稳保,历史线索分层,专业明细行数,优先了解专业数,可调剂了解专业数,待核后判断专业数,不能接受提示专业数,特殊限制专业数,高费或中外合作提示数,医学护理动物兽医提示数,农林园艺提示数,字段缺口专业数,100%核验专业数,建议放入6专业讨论专业数,可服从调剂初判,组内调剂判断状态,调剂风险摘要,家庭先决策问题,家庭逐专业填写说明,入选理由,下一步核验动作,是否可作为定稿依据,来源页码,版面列,第四轮候选ID
30,优先家庭讨论,家庭先看完整组内专业，标出可接受/勉强接受/不能接受；保留后再做100%原页和湖北官方侧核验。,P2-稳冲择优讨论,C138,湖北理工学院,C13810,黄石市,稳冲观察,H3-历史最高线高于等位分15分内,5,4,1,0,0,0,0,0,0,4,0,4,可讨论服从调剂,可进入调剂讨论，但需确认勉强接受专业是否真能接受,暂未见硬排除项，但仍需原页/章程闭环×5,是否能接受组内非偏好专业调剂；字段缺口补齐前不进入最终排序,逐专业只填：可接受、勉强接受、不能接受、待核后判断；全组无不能接受且待核项闭环后，才讨论服从调剂。,稳冲观察；H3-历史最高线高于等位分15分内；计算机/软件/AI4；计算机类4；电子信息/网络1；公办普通学费主线且未进入H0/H5附录,核第19期原页和完整专业组；核湖北官方系统/省招办计划；核高校招生章程、学费、计划数、选科、校区、语种/单科/体检限制和调剂范围。,false,79,right,R4GROUP-7fec5ee7830590ef
31,先核页后讨论,先核PDF原页结构、专业组边界和串读风险，再进入家庭调剂讨论。,P0-先核页,H907,广西科技师范学院,H90703,来宾市,稳冲观察,H3-历史最高线高于等位分15分内,9,4,5,0,0,0,0,0,0,9,8,4,可讨论服从调剂,可进入调剂讨论，但需确认勉强接受专业是否真能接受,暂未见硬排除项，但仍需原页/章程闭环×9,是否能接受组内非偏好专业调剂；字段缺口补齐前不进入最终排序,逐专业只填：可接受、勉强接受、不能接受、待核后判断；全组无不能接受且待核项闭环后，才讨论服从调剂。,稳冲观察；H3-历史最高线高于等位分15分内；计算机/软件/AI4；计算机类4；机械自动化3；公办普通学费主线且未进入H0/H5附录,核第19期原页和完整专业组；核湖北官方系统/省招办计划；核高校招生章程、学费、计划数、选科、校区、语种/单科/体检限制和调剂范围。,false,197,right,R4GROUP-eede6d3bd827d9cf
32,先核页后讨论,先核PDF原页结构、专业组边界和串读风险，再进入家庭调剂讨论。,P0-先核页,H330,新余学院,H33005,新余市,稳冲观察,H3-历史最高线高于等位分15分内,8,3,5,0,0,0,0,0,0,7,3,3,可讨论服从调剂,可进入调剂讨论，但需确认勉强接受专业是否真能接受,暂未见硬排除项，但仍需原页/章程闭环×8,是否能接受组内非偏好专业调剂；字段缺口补齐前不进入最终排序,逐专业只填：可接受、勉强接受、不能接受、待核后判断；全组无不能接受且待核项闭环后，才讨论服从调剂。,稳冲观察；H3-历史最高线高于等位分15分内；计算机/软件/AI3；计算机类3；电子信息/网络3；机械自动化2；公办普通学费主线且未进入H0/H5附录,核第19期原页和完整专业组；核湖北官方系统/省招办计划；核高校招生章程、学费、计划数、选科、校区、语种/单科/体检限制和调剂范围。,false,160,left,R4GROUP-a2ef7f7237d26697
33,优先家庭讨论,家庭先看完整组内专业，标出可接受/勉强接受/不能接受；保留后再做100%原页和湖北官方侧核验。,P2-稳冲择优讨论,C129,湖北民族大学,C12903,恩施土家族苗族自治州,稳冲观察,H3-历史最高线高于等位分15分内,9,2,7,0,0,0,0,0,0,8,0,2,可讨论服从调剂,可进入调剂讨论，但需确认勉强接受专业是否真能接受,暂未见硬排除项，但仍需原页/章程闭环×9,是否能接受组内非偏好专业调剂；字段缺口补齐前不进入最终排序,逐专业只填：可接受、勉强接受、不能接受、待核后判断；全组无不能接受且待核项闭环后，才讨论服从调剂。,稳冲观察；H3-历史最高线高于等位分15分内；计算机/软件/AI2；计算机类2；电子信息/网络2；机械自动化2；公办普通学费主线且未进入H0/H5附录,核第19期原页和完整专业组；核湖北官方系统/省招办计划；核高校招生章程、学费、计划数、选科、校区、语种/单科/体检限制和调剂范围。,false,75,right,R4GROUP-9a85c12ab527e559
34,先核限制后讨论,先核体检、语种、单科、专项或备注限制；限制不能接受则整组暂缓。,P1-先核限制费用,C138,湖北理工学院,C13813,黄石市,稳冲观察,H3-历史最高线高于等位分15分内,4,3,0,1,0,1,0,0,0,3,0,3,待核后再判断,存在待核后判断专业，需先核限制/字段再判断调剂,组内有特殊限制待核，服从调剂前需核完整专业组×4,体检/语种/单科/专项限制是否满足；字段缺口补齐前不进入最终排序,逐专业只填：可接受、勉强接受、不能接受、待核后判断；全组无不能接受且待核项闭环后，才讨论服从调剂。,稳冲观察；H3-历史最高线高于等位分15分内；计算机/软件/AI4；计算机类4；电子信息/网络1；有1个特殊限制专业，需先核章程/原页；公办普通学费主线且未进入H0/H5附录,核第19期原页和完整专业组；核湖北官方系统/省招办计划；核高校招生章程、学费、计划数、选科、校区、语种/单科/体检限制和调剂范围。,false,79,right,R4GROUP-d4a5ed50b354968c
35,优先家庭讨论,家庭先看完整组内专业，标出可接受/勉强接受/不能接受；保留后再做100%原页和湖北官方侧核验。,P2-稳冲择优讨论,C127,湖北工程学院,C12706,孝感市,稳冲观察,H3-历史最高线高于等位分15分内,5,3,2,0,0,0,0,0,0,4,0,3,可讨论服从调剂,可进入调剂讨论，但需确认勉强接受专业是否真能接受,暂未见硬排除项，但仍需原页/章程闭环×5,是否能接受组内非偏好专业调剂；字段缺口补齐前不进入最终排序,逐专业只填：可接受、勉强接受、不能接受、待核后判断；全组无不能接受且待核项闭环后，才讨论服从调剂。,稳冲观察；H3-历史最高线高于等位分15分内；计算机/软件/AI4；计算机类3；公办普通学费主线且未进入H0/H5附录,核第19期原页和完整专业组；核湖北官方系统/省招办计划；核高校招生章程、学费、计划数、选科、校区、语种/单科/体检限制和调剂范围。,false,74,right,R4GROUP-3744ea633aed7827
36,优先家庭讨论,家庭先看完整组内专业，标出可接受/勉强接受/不能接受；保留后再做100%原页和湖北官方侧核验。,P2-稳冲择优讨论,C126,湖北文理学院,C12610,襄阳市,稳冲观察,H3-历史最高线高于等位分15分内,9,2,7,0,0,0,0,0,0,8,0,2,可讨论服从调剂,可进入调剂讨论，但需确认勉强接受专业是否真能接受,暂未见硬排除项，但仍需原页/章程闭环×9,是否能接受组内非偏好专业调剂；字段缺口补齐前不进入最终排序,逐专业只填：可接受、勉强接受、不能接受、待核后判断；全组无不能接受且待核项闭环后，才讨论服从调剂。,稳冲观察；H3-历史最高线高于等位分15分内；计算机/软件/AI2；计算机类2；电子信息/网络2；机械自动化1；公办普通学费主线且未进入H0/H5附录,核第19期原页和完整专业组；核湖北官方系统/省招办计划；核高校招生章程、学费、计划数、选科、校区、语种/单科/体检限制和调剂范围。,false,74,right,R4GROUP-cf9694d1d50673a4
37,优先家庭讨论,家庭先看完整组内专业，标出可接受/勉强接受/不能接受；保留后再做100%原页和湖北官方侧核验。,P2-稳冲择优讨论,A197,西北民族大学,A19717,兰州市,稳冲观察,H3-历史最高线高于等位分15分内,5,1,4,0,0,0,0,0,0,3,0,1,可讨论服从调剂,可进入调剂讨论，但需确认勉强接受专业是否真能接受,暂未见硬排除项，但仍需原页/章程闭环×5,是否能接受组内非偏好专业调剂；字段缺口补齐前不进入最终排序,逐专业只填：可接受、勉强接受、不能接受、待核后判断；全组无不能接受且待核项闭环后，才讨论服从调剂。,稳冲观察；H3-历史最高线高于等位分15分内；计算机/软件/AI1；计算机类1；电子信息/网络2；机械自动化2；公办普通学费主线且未进入H0/H5附录,核第19期原页和完整专业组；核湖北官方系统/省招办计划；核高校招生章程、学费、计划数、选科、校区、语种/单科/体检限制和调剂范围。,false,57,left,R4GROUP-ed60447ea5876e2c
38,优先家庭讨论,家庭先看完整组内专业，标出可接受/勉强接受/不能接受；保留后再做100%原页和湖北官方侧核验。,P2-稳冲择优讨论,F583,吉林建筑大学,F58303,长春市,稳冲观察,H3-历史最高线高于等位分15分内,19,1,18,0,0,0,0,0,0,18,1,1,可讨论服从调剂,可进入调剂讨论，但需确认勉强接受专业是否真能接受,组内专业较多，需逐条确认调剂接受度×19,是否能接受组内非偏好专业调剂；字段缺口补齐前不进入最终排序,逐专业只填：可接受、勉强接受、不能接受、待核后判断；全组无不能接受且待核项闭环后，才讨论服从调剂。,稳冲观察；H3-历史最高线高于等位分15分内；计算机/软件/AI1；计算机类1；电子信息/网络1；机械自动化3；环境2；公办普通学费主线且未进入H0/H5附录,核第19期原页和完整专业组；核湖北官方系统/省招办计划；核高校招生章程、学费、计划数、选科、校区、语种/单科/体检限制和调剂范围。,false,119,right,R4GROUP-d938cb211802d8b2
39,先核限制后讨论,先核体检、语种、单科、专项或备注限制；限制不能接受则整组暂缓。,P1-先核限制费用,K755,新疆财经大学,K75504,乌鲁木齐市,稳冲观察,H3-历史最高线高于等位分15分内,7,3,3,1,0,1,0,0,0,6,5,3,待核后再判断,存在待核后判断专业，需先核限制/字段再判断调剂,组内有特殊限制待核，服从调剂前需核完整专业组×7,是否能接受组内非偏好专业调剂；体检/语种/单科/专项限制是否满足；字段缺口补齐前不进入最终排序,逐专业只填：可接受、勉强接受、不能接受、待核后判断；全组无不能接受且待核项闭环后，才讨论服从调剂。,稳冲观察；H3-历史最高线高于等位分15分内；计算机/软件/AI4；计算机类3；有1个特殊限制专业，需先核章程/原页；公办普通学费主线且未进入H0/H5附录,核第19期原页和完整专业组；核湖北官方系统/省招办计划；核高校招生章程、学费、计划数、选科、校区、语种/单科/体检限制和调剂范围。,false,235,right,R4GROUP-e7b186e1dff42be8
40,优先家庭讨论,家庭先看完整组内专业，标出可接受/勉强接受/不能接受；保留后再做100%原页和湖北官方侧核验。,P2-稳冲择优讨论,C118,黄冈师范学院,C11811,黄冈市,稳冲观察,H3-历史最高线高于等位分15分内,7,1,6,0,0,0,0,0,0,7,7,1,可讨论服从调剂,可进入调剂讨论，但需确认勉强接受专业是否真能接受,暂未见硬排除项，但仍需原页/章程闭环×7,是否能接受组内非偏好专业调剂；字段缺口补齐前不进入最终排序,逐专业只填：可接受、勉强接受、不能接受、待核后判断；全组无不能接受且待核项闭环后，才讨论服从调剂。,稳冲观察；H3-历史最高线高于等位分15分内；电子信息/网络2；师范1；机械自动化3；公办普通学费主线且未进入H0/H5附录,核第19期原页和完整专业组；核湖北官方系统/省招办计划；核高校招生章程、学费、计划数、选科、校区、语种/单科/体检限制和调剂范围。,false,73,right,R4GROUP-4b655aaaace37805
41,先核限制后讨论,先核体检、语种、单科、专项或备注限制；限制不能接受则整组暂缓。,P1-先核限制费用,K753,喀什大学,K75307,喀什地区,稳冲观察,H3-历史最高线高于等位分15分内,8,0,1,7,0,7,0,0,0,7,2,0,待核后再判断,存在待核后判断专业，需先核限制/字段再判断调剂,组内有特殊限制待核，服从调剂前需核完整专业组×8,是否能接受组内非偏好专业调剂；体检/语种/单科/专项限制是否满足；字段缺口补齐前不进入最终排序,逐专业只填：可接受、勉强接受、不能接受、待核后判断；全组无不能接受且待核项闭环后，才讨论服从调剂。,稳冲观察；H3-历史最高线高于等位分15分内；数字媒体技术1；计算机/软件/AI1；计算机类1；电子信息/网络2；师范1；机械自动化1；有7个特殊限制专业，需先核章程/原页；公办普通学费主线且未进入H0/H5附录,核第19期原页和完整专业组；核湖北官方系统/省招办计划；核高校招生章程、学费、计划数、选科、校区、语种/单科/体检限制和调剂范围。,false,235,left,R4GROUP-864cb60c3d27ed73
42,先核页后讨论,先核PDF原页结构、专业组边界和串读风险，再进入家庭调剂讨论。,P0-先核页,F387,内蒙古农业大学,F38702,呼和浩特市,稳冲观察,H3-历史最高线高于等位分15分内,10,2,8,0,0,0,0,0,0,10,1,2,可讨论服从调剂,可进入调剂讨论，但需确认勉强接受专业是否真能接受,暂未见硬排除项，但仍需原页/章程闭环×10,是否能接受组内非偏好专业调剂；字段缺口补齐前不进入最终排序,逐专业只填：可接受、勉强接受、不能接受、待核后判断；全组无不能接受且待核项闭环后，才讨论服从调剂。,稳冲观察；H3-历史最高线高于等位分15分内；计算机/软件/AI2；计算机类2；机械自动化2；农业不含动物2；公办普通学费主线且未进入H0/H5附录,核第19期原页和完整专业组；核湖北官方系统/省招办计划；核高校招生章程、学费、计划数、选科、校区、语种/单科/体检限制和调剂范围。,false,111,right,R4GROUP-d11a9bea417fc16f
43,先核页后讨论,先核PDF原页结构、专业组边界和串读风险，再进入家庭调剂讨论。,P0-先核页,F694,齐齐哈尔大学,F69403,齐齐哈尔市,稳冲观察,H3-历史最高线高于等位分15分内,4,2,2,0,0,0,0,0,0,3,1,2,可讨论服从调剂,可进入调剂讨论，但需确认勉强接受专业是否真能接受,暂未见硬排除项，但仍需原页/章程闭环×4,是否能接受组内非偏好专业调剂；字段缺口补齐前不进入最终排序,逐专业只填：可接受、勉强接受、不能接受、待核后判断；全组无不能接受且待核项闭环后，才讨论服从调剂。,稳冲观察；H3-历史最高线高于等位分15分内；计算机/软件/AI2；计算机类2；电子信息/网络2；机械自动化1；公办普通学费主线且未进入H0/H5附录,核第19期原页和完整专业组；核湖北官方系统/省招办计划；核高校招生章程、学费、计划数、选科、校区、语种/单科/体检限制和调剂范围。,false,126,right,R4GROUP-9f4e82a3a4689960
44,优先家庭讨论,家庭先看完整组内专业，标出可接受/勉强接受/不能接受；保留后再做100%原页和湖北官方侧核验。,P3-冲刺择优讨论,C128,湖北经济学院,C12815,武汉市,冲刺观察,H4-历史最高线高于等位分16-30分,8,6,2,0,0,0,0,0,0,7,8,6,可讨论服从调剂,可进入调剂讨论，但需确认勉强接受专业是否真能接受,暂未见硬排除项，但仍需原页/章程闭环×8,是否能接受组内非偏好专业调剂；字段缺口补齐前不进入最终排序,逐专业只填：可接受、勉强接受、不能接受、待核后判断；全组无不能接受且待核项闭环后，才讨论服从调剂。,冲刺观察；H4-历史最高线高于等位分16-30分；计算机/软件/AI6；计算机类6；电子信息/网络2；命中初始优先城市：武汉市；公办普通学费主线且未进入H0/H5附录,核第19期原页和完整专业组；核湖北官方系统/省招办计划；核高校招生章程、学费、计划数、选科、校区、语种/单科/体检限制和调剂范围。,false,75,right,R4GROUP-45168577dad22593
45,先核限制后讨论,先核体检、语种、单科、专项或备注限制；限制不能接受则整组暂缓。,P1-先核限制费用,K752,新疆师范大学,K75205,乌鲁木齐市,冲刺观察,H4-历史最高线高于等位分16-30分,17,5,6,6,0,6,0,0,0,17,1,5,待核后再判断,存在待核后判断专业，需先核限制/字段再判断调剂,组内有特殊限制待核，服从调剂前需核完整专业组×17,是否能接受组内非偏好专业调剂；体检/语种/单科/专项限制是否满足；字段缺口补齐前不进入最终排序,逐专业只填：可接受、勉强接受、不能接受、待核后判断；全组无不能接受且待核项闭环后，才讨论服从调剂。,冲刺观察；H4-历史最高线高于等位分16-30分；计算机/软件/AI3；计算机类3；电子信息/网络2；师范5；环境1；有6个特殊限制专业，需先核章程/原页；公办普通学费主线且未进入H0/H5附录,核第19期原页和完整专业组；核湖北官方系统/省招办计划；核高校招生章程、学费、计划数、选科、校区、语种/单科/体检限制和调剂范围。,false,234,right,R4GROUP-1df0d2da06affe66
46,优先家庭讨论,家庭先看完整组内专业，标出可接受/勉强接受/不能接受；保留后再做100%原页和湖北官方侧核验。,P3-冲刺择优讨论,C118,黄冈师范学院,C11810,黄冈市,冲刺观察,H4-历史最高线高于等位分16-30分,5,4,1,0,0,0,0,0,0,5,0,4,可讨论服从调剂,可进入调剂讨论，但需确认勉强接受专业是否真能接受,暂未见硬排除项，但仍需原页/章程闭环×5,是否能接受组内非偏好专业调剂；字段缺口补齐前不进入最终排序,逐专业只填：可接受、勉强接受、不能接受、待核后判断；全组无不能接受且待核项闭环后，才讨论服从调剂。,冲刺观察；H4-历史最高线高于等位分16-30分；计算机/软件/AI3；计算机类3；师范2；公办普通学费主线且未进入H0/H5附录,核第19期原页和完整专业组；核湖北官方系统/省招办计划；核高校招生章程、学费、计划数、选科、校区、语种/单科/体检限制和调剂范围。,false,73,right,R4GROUP-cfaa870fdbdcb77e
47,优先家庭讨论,家庭先看完整组内专业，标出可接受/勉强接受/不能接受；保留后再做100%原页和湖北官方侧核验。,P3-冲刺择优讨论,H892,桂林电子科技大学,H89207,桂林市,冲刺观察,H4-历史最高线高于等位分16-30分,4,3,1,0,0,0,0,0,0,4,0,3,可讨论服从调剂,可进入调剂讨论，但需确认勉强接受专业是否真能接受,暂未见硬排除项，但仍需原页/章程闭环×4,是否能接受组内非偏好专业调剂；字段缺口补齐前不进入最终排序,逐专业只填：可接受、勉强接受、不能接受、待核后判断；全组无不能接受且待核项闭环后，才讨论服从调剂。,冲刺观察；H4-历史最高线高于等位分16-30分；计算机/软件/AI4；计算机类3；公办普通学费主线且未进入H0/H5附录,核第19期原页和完整专业组；核湖北官方系统/省招办计划；核高校招生章程、学费、计划数、选科、校区、语种/单科/体检限制和调剂范围。,false,195,right,R4GROUP-1477b49b46c28b80
48,优先家庭讨论,家庭先看完整组内专业，标出可接受/勉强接受/不能接受；保留后再做100%原页和湖北官方侧核验。,P3-冲刺择优讨论,C128,湖北经济学院,C12812,武汉市,冲刺观察,H4-历史最高线高于等位分16-30分,20,3,17,0,0,0,0,0,0,19,0,3,可讨论服从调剂,可进入调剂讨论，但需确认勉强接受专业是否真能接受,组内专业较多，需逐条确认调剂接受度×20,是否能接受组内非偏好专业调剂；字段缺口补齐前不进入最终排序,逐专业只填：可接受、勉强接受、不能接受、待核后判断；全组无不能接受且待核项闭环后，才讨论服从调剂。,冲刺观察；H4-历史最高线高于等位分16-30分；计算机/软件/AI3；计算机类3；工商旅游管理2；命中初始优先城市：武汉市；公办普通学费主线且未进入H0/H5附录,核第19期原页和完整专业组；核湖北官方系统/省招办计划；核高校招生章程、学费、计划数、选科、校区、语种/单科/体检限制和调剂范围。,false,75,left,R4GROUP-aec85ee7444cd13e
49,优先家庭讨论,家庭先看完整组内专业，标出可接受/勉强接受/不能接受；保留后再做100%原页和湖北官方侧核验。,P3-冲刺择优讨论,H911,桂林航天工业学院,H91103,桂林市,冲刺观察,H4-历史最高线高于等位分16-30分,9,1,8,0,0,0,0,0,0,9,0,1,可讨论服从调剂,可进入调剂讨论，但需确认勉强接受专业是否真能接受,暂未见硬排除项，但仍需原页/章程闭环×9,是否能接受组内非偏好专业调剂；字段缺口补齐前不进入最终排序,逐专业只填：可接受、勉强接受、不能接受、待核后判断；全组无不能接受且待核项闭环后，才讨论服从调剂。,冲刺观察；H4-历史最高线高于等位分16-30分；计算机/软件/AI1；计算机类1；电子信息/网络2；机械自动化3；公办普通学费主线且未进入H0/H5附录,核第19期原页和完整专业组；核湖北官方系统/省招办计划；核高校招生章程、学费、计划数、选科、校区、语种/单科/体检限制和调剂范围。,false,198,right,R4GROUP-9c2c9788ae98ed6c
50,先核限制后讨论,先核体检、语种、单科、专项或备注限制；限制不能接受则整组暂缓。,P1-先核限制费用,K002,海南热带海洋学院,K00205,三亚市,冲刺观察,H4-历史最高线高于等位分16-30分,21,3,5,13,0,13,0,0,2,21,17,3,待核后再判断,存在待核后判断专业，需先核限制/字段再判断调剂,组内有特殊限制待核，服从调剂前需核完整专业组×21,是否能接受组内非偏好专业调剂；体检/语种/单科/专项限制是否满足；农林园艺方向是否接受；字段缺口补齐前不进入最终排序,逐专业只填：可接受、勉强接受、不能接受、待核后判断；全组无不能接受且待核项闭环后，才讨论服从调剂。,冲刺观察；H4-历史最高线高于等位分16-30分；计算机/软件/AI2；计算机类2；电子信息/网络2；师范2；环境1；农业不含动物2；有13个特殊限制专业，需先核章程/原页；公办普通学费主线且未进入H0/H5附录,核第19期原页和完整专业组；核湖北官方系统/省招办计划；核高校招生章程、学费、计划数、选科、校区、语种/单科/体检限制和调剂范围。,false,200,right,R4GROUP-9b34959b2faf1c6c
51,先核页后讨论,先核PDF原页结构、专业组边界和串读风险，再进入家庭调剂讨论。,P0-先核页,H569,洛阳理工学院,H56902,洛阳市,冲刺观察,H4-历史最高线高于等位分16-30分,13,3,10,0,0,0,0,0,0,12,11,3,可讨论服从调剂,可进入调剂讨论，但需确认勉强接受专业是否真能接受,组内专业较多，需逐条确认调剂接受度×13,是否能接受组内非偏好专业调剂；字段缺口补齐前不进入最终排序,逐专业只填：可接受、勉强接受、不能接受、待核后判断；全组无不能接受且待核项闭环后，才讨论服从调剂。,冲刺观察；H4-历史最高线高于等位分16-30分；计算机/软件/AI3；计算机类3；机械自动化2；公办普通学费主线且未进入H0/H5附录,核第19期原页和完整专业组；核湖北官方系统/省招办计划；核高校招生章程、学费、计划数、选科、校区、语种/单科/体检限制和调剂范围。,false,176,left,R4GROUP-cbee6a4fb34efd51
52,先核费用后讨论,先核学费和合作办学属性；超预算或高收费不接受则暂缓。,P1-先核限制费用,A223,大连民族大学,A22303,大连市,冲刺观察,H4-历史最高线高于等位分16-30分,8,1,7,0,0,0,0,0,0,8,0,1,可讨论服从调剂,可进入调剂讨论，但需确认勉强接受专业是否真能接受,暂未见硬排除项，但仍需原页/章程闭环×8,是否能接受组内非偏好专业调剂；字段缺口补齐前不进入最终排序,逐专业只填：可接受、勉强接受、不能接受、待核后判断；全组无不能接受且待核项闭环后，才讨论服从调剂。,冲刺观察；H4-历史最高线高于等位分16-30分；计算机/软件/AI1；计算机类1；电子信息/网络3；机械自动化2；公办普通学费主线且未进入H0/H5附录,核第19期原页和完整专业组；核湖北官方系统/省招办计划；核高校招生章程、学费、计划数、选科、校区、语种/单科/体检限制和调剂范围。,false,59,right,R4GROUP-485ed9055746d877
53,先核页后讨论,先核PDF原页结构、专业组边界和串读风险，再进入家庭调剂讨论。,P0-先核页,F204,北华航天工业学院,F20403,廊坊市,冲刺观察,H4-历史最高线高于等位分16-30分,8,2,6,0,0,1,0,0,0,7,1,2,可讨论服从调剂,可进入调剂讨论，但需确认勉强接受专业是否真能接受,暂未见硬排除项，但仍需原页/章程闭环×8,是否能接受组内非偏好专业调剂；体检/语种/单科/专项限制是否满足；字段缺口补齐前不进入最终排序,逐专业只填：可接受、勉强接受、不能接受、待核后判断；全组无不能接受且待核项闭环后，才讨论服从调剂。,冲刺观察；H4-历史最高线高于等位分16-30分；计算机/软件/AI2；计算机类2；电子信息/网络2；机械自动化1；公办普通学费主线且未进入H0/H5附录,核第19期原页和完整专业组；核湖北官方系统/省招办计划；核高校招生章程、学费、计划数、选科、校区、语种/单科/体检限制和调剂范围。,false,103,right,R4GROUP-6aa8562015aec5e9
54,优先家庭讨论,家庭先看完整组内专业，标出可接受/勉强接受/不能接受；保留后再做100%原页和湖北官方侧核验。,P3-冲刺择优讨论,C128,湖北经济学院,C12811,武汉市,冲刺观察,H4-历史最高线高于等位分16-30分,5,1,4,0,0,0,0,0,0,5,0,1,可讨论服从调剂,可进入调剂讨论，但需确认勉强接受专业是否真能接受,暂未见硬排除项，但仍需原页/章程闭环×5,是否能接受组内非偏好专业调剂；字段缺口补齐前不进入最终排序,逐专业只填：可接受、勉强接受、不能接受、待核后判断；全组无不能接受且待核项闭环后，才讨论服从调剂。,冲刺观察；H4-历史最高线高于等位分16-30分；计算机/软件/AI1；计算机类1；工商旅游管理2；命中初始优先城市：武汉市；公办普通学费主线且未进入H0/H5附录,核第19期原页和完整专业组；核湖北官方系统/省招办计划；核高校招生章程、学费、计划数、选科、校区、语种/单科/体检限制和调剂范围。,false,75,left,R4GROUP-5b9aa4eff45875ef
55,优先家庭讨论,家庭先看完整组内专业，标出可接受/勉强接受/不能接受；保留后再做100%原页和湖北官方侧核验。,P3-冲刺择优讨论,F687,佳木斯大学,F68704,佳木斯市,冲刺观察,H4-历史最高线高于等位分16-30分,4,1,3,0,0,0,0,0,0,3,0,1,可讨论服从调剂,可进入调剂讨论，但需确认勉强接受专业是否真能接受,暂未见硬排除项，但仍需原页/章程闭环×4,是否能接受组内非偏好专业调剂；字段缺口补齐前不进入最终排序,逐专业只填：可接受、勉强接受、不能接受、待核后判断；全组无不能接受且待核项闭环后，才讨论服从调剂。,冲刺观察；H4-历史最高线高于等位分16-30分；计算机/软件/AI1；计算机类1；电子信息/网络1；机械自动化2；公办普通学费主线且未进入H0/H5附录,核第19期原页和完整专业组；核湖北官方系统/省招办计划；核高校招生章程、学费、计划数、选科、校区、语种/单科/体检限制和调剂范围。,false,125,left,R4GROUP-84ce5a4a71359659
