Round4重点核验专业ID,来源Round4重点核验组,来源Round4完整组内专业,来源期号,来源PDF_SHA256,生成日期,数据阶段,主表粒度,最终可用,可进入下一阶段,可否进入最终志愿方案,是否允许作为志愿推荐依据,是否允许自动写回主表,是否允许官网证据替代湖北官方计划,是否允许生成学校专业建议,是否允许写回字段事实,压缩序号,第四轮候选ID,专业组出现ID,城市,冲稳保,院校代码,院校名称,院校专业组代码,专业组内专业序号,专业代号,专业名称及备注,专业偏好方向,第四轮方向标签,专业角色判断,机器专业接受度初判,家庭接受度初判V2,调剂风险初判V2,专业风险类型,再选科目OCR候选,专业计划数OCR候选,学费OCR候选,字段缺口数,字段缺口字段,人工核验优先级,人工核验强度,是否必须100%人工核验,PDF原页核验状态,湖北官方系统核验状态,高校官网证据匹配状态,来源页码,版面列,专业行ID
R4FOCUSMAJOR-31ab7554ad8f0a55,data/exports/issue19-round4-priority-focus55-groups.csv,data/exports/issue19-round4-city-gradient-major-details.csv,湖北招生考试2026年19期·本科普通批（下）,ee61fc69389f24a9a7830167113cf0ddc0447f8fa4b2743cd3241be60a9bd86d,2026-06-29,issue19_round4_priority_focus55,Round4重点核验组×完整组内专业,false,false,false,false,false,false,false,false,12,R4GROUP-a7a53ab0f4e20447,G-f7587aa41609d259,抚州市,稳妥观察,H375,赣东学院,H37503,2,06,计算机科学与技术,计算机类相关,计算机AI软件；计算机类相关,主线偏好-计算机/数字媒体,优先了解-命中当前偏好方向,优先了解-命中当前专业方向,暂未见硬排除项，但仍需原页/章程闭环,,,,4350,2,再选科目；专业计划数,P1-字段缺口和B0B1辅证优先核,H1-页列集中人工核验,false,has_page_hash_pending_manual_pdf_review,pending_hubei_official_plan_review,,161,right,M-43bf5cf25f7eb2ec
R4FOCUSMAJOR-d9abca0e07688cf9,data/exports/issue19-round4-priority-focus55-groups.csv,data/exports/issue19-round4-city-gradient-major-details.csv,湖北招生考试2026年19期·本科普通批（下）,ee61fc69389f24a9a7830167113cf0ddc0447f8fa4b2743cd3241be60a9bd86d,2026-06-29,issue19_round4_priority_focus55,Round4重点核验组×完整组内专业,false,false,false,false,false,false,false,false,12,R4GROUP-a7a53ab0f4e20447,G-f7587aa41609d259,抚州市,稳妥观察,H375,赣东学院,H37503,3,07,通信工程,,电子信息网络,主线偏好-工科信息制造,待了解-未命中当前偏好方向,可调剂了解-未命中偏好但暂未见硬排除,暂未见硬排除项，但仍需原页/章程闭环,,,2,4350,1,再选科目,P1-字段缺口和B0B1辅证优先核,H1-页列集中人工核验,false,has_page_hash_pending_manual_pdf_review,pending_hubei_official_plan_review,,161,right,M-ccbd2b6f5cb0ad25
R4FOCUSMAJOR-4bea23938d79169c,data/exports/issue19-round4-priority-focus55-groups.csv,data/exports/issue19-round4-city-gradient-major-details.csv,湖北招生考试2026年19期·本科普通批（下）,ee61fc69389f24a9a7830167113cf0ddc0447f8fa4b2743cd3241be60a9bd86d,2026-06-29,issue19_round4_priority_focus55,Round4重点核验组×完整组内专业,false,false,false,false,false,false,false,false,12,R4GROUP-a7a53ab0f4e20447,G-f7587aa41609d259,抚州市,稳妥观察,H375,赣东学院,H37503,4,08,物联网工程,计算机类相关,电子信息网络；计算机AI软件；计算机类相关,主线偏好-计算机/数字媒体,优先了解-命中当前偏好方向,优先了解-命中当前专业方向,暂未见硬排除项，但仍需原页/章程闭环,,,2,4350,1,再选科目,P1-字段缺口和B0B1辅证优先核,H1-页列集中人工核验,false,has_page_hash_pending_manual_pdf_review,pending_hubei_official_plan_review,,161,right,M-7235d1fd71aad297
R4FOCUSMAJOR-5b1683f4979b5541,data/exports/issue19-round4-priority-focus55-groups.csv,data/exports/issue19-round4-city-gradient-major-details.csv,湖北招生考试2026年19期·本科普通批（下）,ee61fc69389f24a9a7830167113cf0ddc0447f8fa4b2743cd3241be60a9bd86d,2026-06-29,issue19_round4_priority_focus55,Round4重点核验组×完整组内专业,false,false,false,false,false,false,false,false,12,R4GROUP-a7a53ab0f4e20447,G-f7587aa41609d259,抚州市,稳妥观察,H375,赣东学院,H37503,5,09,自动化,,机械自动化机器人,主线偏好-工科信息制造,待了解-未命中当前偏好方向,可调剂了解-未命中偏好但暂未见硬排除,暂未见硬排除项，但仍需原页/章程闭环,,,2,4350,1,再选科目,P1-字段缺口和B0B1辅证优先核,H1-页列集中人工核验,false,has_page_hash_pending_manual_pdf_review,pending_hubei_official_plan_review,,161,right,M-0d05ce8806bff055
R4FOCUSMAJOR-2510715d3e2c12ab,data/exports/issue19-round4-priority-focus55-groups.csv,data/exports/issue19-round4-city-gradient-major-details.csv,湖北招生考试2026年19期·本科普通批（下）,ee61fc69389f24a9a7830167113cf0ddc0447f8fa4b2743cd3241be60a9bd86d,2026-06-29,issue19_round4_priority_focus55,Round4重点核验组×完整组内专业,false,false,false,false,false,false,false,false,12,R4GROUP-a7a53ab0f4e20447,G-f7587aa41609d259,抚州市,稳妥观察,H375,赣东学院,H37503,6,10,智能制造工程,,机械自动化机器人,主线偏好-工科信息制造,待了解-未命中当前偏好方向,可调剂了解-未命中偏好但暂未见硬排除,暂未见硬排除项，但仍需原页/章程闭环,,,2,4350,1,再选科目,P1-字段缺口和B0B1辅证优先核,H1-页列集中人工核验,false,has_page_hash_pending_manual_pdf_review,pending_hubei_official_plan_review,,161,right,M-f00bf6d96ccb7d42
R4FOCUSMAJOR-7cd37eda20b05278,data/exports/issue19-round4-priority-focus55-groups.csv,data/exports/issue19-round4-city-gradient-major-details.csv,湖北招生考试2026年19期·本科普通批（下）,ee61fc69389f24a9a7830167113cf0ddc0447f8fa4b2743cd3241be60a9bd86d,2026-06-29,issue19_round4_priority_focus55,Round4重点核验组×完整组内专业,false,false,false,false,false,false,false,false,12,R4GROUP-a7a53ab0f4e20447,G-f7587aa41609d259,抚州市,稳妥观察,H375,赣东学院,H37503,7,11,新能源汽车工程H376 南昌航空大学科技学院（独立）（江西）,,,字段缺口待核,待了解-未命中当前偏好方向,可调剂了解-未命中偏好但暂未见硬排除,暂未见硬排除项，但仍需原页/章程闭环,,,32,4350,1,再选科目,P0-本轮候选/冲突/结构强阻断先核,H0-100%人工核验,true,has_page_hash_pending_manual_pdf_review,pending_hubei_official_plan_review,,161,right,M-e981c977aa110240
R4FOCUSMAJOR-98d0b7112a427955,data/exports/issue19-round4-priority-focus55-groups.csv,data/exports/issue19-round4-city-gradient-major-details.csv,湖北招生考试2026年19期·本科普通批（下）,ee61fc69389f24a9a7830167113cf0ddc0447f8fa4b2743cd3241be60a9bd86d,2026-06-29,issue19_round4_priority_focus55,Round4重点核验组×完整组内专业,false,false,false,false,false,false,false,false,13,R4GROUP-43251e7bdb31e3d9,G-d2c32a2887ae3b29,海口市,稳妥观察,K005,琼台师范学院,K00505,1,06,软件工程（办学地点：桂林洋校区）,计算机类相关,计算机AI软件；计算机类相关,主线偏好-计算机/数字媒体,优先了解-命中当前偏好方向,优先了解-命中当前专业方向,组内有特殊限制待核，服从调剂前需核完整专业组,,化学,,4620,1,专业计划数,P0-本轮候选/冲突/结构强阻断先核,H0-100%人工核验,true,has_page_hash_pending_manual_pdf_review,pending_hubei_official_plan_review,,202,left,M-68b6096c537fec1d
R4FOCUSMAJOR-86914a55c6c74dfa,data/exports/issue19-round4-priority-focus55-groups.csv,data/exports/issue19-round4-city-gradient-major-details.csv,湖北招生考试2026年19期·本科普通批（下）,ee61fc69389f24a9a7830167113cf0ddc0447f8fa4b2743cd3241be60a9bd86d,2026-06-29,issue19_round4_priority_focus55,Round4重点核验组×完整组内专业,false,false,false,false,false,false,false,false,13,R4GROUP-43251e7bdb31e3d9,G-d2c32a2887ae3b29,海口市,稳妥观察,K005,琼台师范学院,K00505,2,07,数学与应用数学（师范类；办学地点：桂林洋校区）识别红、紫各种颜色中任何一种颜色者；办学地点：桂林洋校K006 海南比勒贵尔德应用科学大学（中外）（海南）K00601海南比勒费尔德应用科学大学第01不限,师范类相关,师范类相关,可了解-师范,优先了解-命中当前偏好方向,优先了解-命中当前专业方向,组内有特殊限制待核，服从调剂前需核完整专业组,,,,4620,2,再选科目；专业计划数,P0-本轮候选/冲突/结构强阻断先核,H0-100%人工核验,true,has_page_hash_pending_manual_pdf_review,pending_hubei_official_plan_review,,202,left,M-765e62d010fed49a
R4FOCUSMAJOR-458b9e6ba6d298c1,data/exports/issue19-round4-priority-focus55-groups.csv,data/exports/issue19-round4-city-gradient-major-details.csv,湖北招生考试2026年19期·本科普通批（下）,ee61fc69389f24a9a7830167113cf0ddc0447f8fa4b2743cd3241be60a9bd86d,2026-06-29,issue19_round4_priority_focus55,Round4重点核验组×完整组内专业,false,false,false,false,false,false,false,false,13,R4GROUP-43251e7bdb31e3d9,G-d2c32a2887ae3b29,海口市,稳妥观察,K005,琼台师范学院,K00505,3,01,经济工程（英语教学为主，非英语语种考生慎重报考）,,,字段缺口待核,暂缓判断-特殊限制待核,待核后判断-有体检/语种/单科/专项等限制,组内有特殊限制待核，服从调剂前需核完整专业组,语种或单科限制,,,,3,再选科目；专业计划数；学费,P1-字段缺口和B0B1辅证优先核,H1-页列集中人工核验,false,has_page_hash_pending_manual_pdf_review,pending_hubei_official_plan_review,,202,left,M-43ef232afb4786f8
R4FOCUSMAJOR-ce9b31ef51d23ca2,data/exports/issue19-round4-priority-focus55-groups.csv,data/exports/issue19-round4-city-gradient-major-details.csv,湖北招生考试2026年19期·本科普通批（下）,ee61fc69389f24a9a7830167113cf0ddc0447f8fa4b2743cd3241be60a9bd86d,2026-06-29,issue19_round4_priority_focus55,Round4重点核验组×完整组内专业,false,false,false,false,false,false,false,false,13,R4GROUP-43251e7bdb31e3d9,G-d2c32a2887ae3b29,海口市,稳妥观察,K005,琼台师范学院,K00505,4,02,物流工程（英语教学为主，非英语语种考生慎重报考）K00602 海南比勒费尔德应用科学大学第 02化学,,,字段缺口待核,暂缓判断-特殊限制待核,待核后判断-有体检/语种/单科/专项等限制,组内有特殊限制待核，服从调剂前需核完整专业组,语种或单科限制,,,,3,再选科目；专业计划数；学费,P0-本轮候选/冲突/结构强阻断先核,H0-100%人工核验,true,has_page_hash_pending_manual_pdf_review,pending_hubei_official_plan_review,,202,left,M-304952e0a49afbdd
R4FOCUSMAJOR-44b52a40217bd00e,data/exports/issue19-round4-priority-focus55-groups.csv,data/exports/issue19-round4-city-gradient-major-details.csv,湖北招生考试2026年19期·本科普通批（下）,ee61fc69389f24a9a7830167113cf0ddc0447f8fa4b2743cd3241be60a9bd86d,2026-06-29,issue19_round4_priority_focus55,Round4重点核验组×完整组内专业,false,false,false,false,false,false,false,false,13,R4GROUP-43251e7bdb31e3d9,G-d2c32a2887ae3b29,海口市,稳妥观察,K005,琼台师范学院,K00505,5,03,计算机科学与技术（单色识别不清者不予录取：英语教学为主，非英语语种考生慎重报名）,计算机类相关,计算机AI软件；计算机类相关,主线偏好-计算机/数字媒体,暂缓判断-特殊限制待核,待核后判断-有体检/语种/单科/专项等限制,组内有特殊限制待核，服从调剂前需核完整专业组,体检或色觉限制；语种或单科限制,,,10万,3,再选科目；专业计划数；学费,P0-本轮候选/冲突/结构强阻断先核,H0-100%人工核验,true,has_page_hash_pending_manual_pdf_review,pending_hubei_official_plan_review,,202,left,M-86b686687a3d92db
R4FOCUSMAJOR-309fb164949c5d35,data/exports/issue19-round4-priority-focus55-groups.csv,data/exports/issue19-round4-city-gradient-major-details.csv,湖北招生考试2026年19期·本科普通批（下）,ee61fc69389f24a9a7830167113cf0ddc0447f8fa4b2743cd3241be60a9bd86d,2026-06-29,issue19_round4_priority_focus55,Round4重点核验组×完整组内专业,false,false,false,false,false,false,false,false,13,R4GROUP-43251e7bdb31e3d9,G-d2c32a2887ae3b29,海口市,稳妥观察,K005,琼台师范学院,K00505,6,04,电子信息科学与技术（单色识别不清煮不予录取：英语教学为主，非英语语种考生慎重报名）,,电子信息网络,主线偏好-工科信息制造,暂缓判断-特殊限制待核,待核后判断-有体检/语种/单科/专项等限制,组内有特殊限制待核，服从调剂前需核完整专业组,体检或色觉限制；语种或单科限制,,,「10万,3,再选科目；专业计划数；学费,P0-本轮候选/冲突/结构强阻断先核,H0-100%人工核验,true,has_page_hash_pending_manual_pdf_review,pending_hubei_official_plan_review,,202,left,M-74c1aa721dde978e
R4FOCUSMAJOR-52d46bb96a9ac2f4,data/exports/issue19-round4-priority-focus55-groups.csv,data/exports/issue19-round4-city-gradient-major-details.csv,湖北招生考试2026年19期·本科普通批（下）,ee61fc69389f24a9a7830167113cf0ddc0447f8fa4b2743cd3241be60a9bd86d,2026-06-29,issue19_round4_priority_focus55,Round4重点核验组×完整组内专业,false,false,false,false,false,false,false,false,13,R4GROUP-43251e7bdb31e3d9,G-d2c32a2887ae3b29,海口市,稳妥观察,K005,琼台师范学院,K00505,7,05,软件工程（单色识别不清者不予录取英语教学为主，非英语语种考生慎重报名）K00603海南比勒费尔德应用科学大学第03化学,计算机类相关,计算机AI软件；计算机类相关,主线偏好-计算机/数字媒体,暂缓判断-特殊限制待核,待核后判断-有体检/语种/单科/专项等限制,组内有特殊限制待核，服从调剂前需核完整专业组,体检或色觉限制；语种或单科限制,,,2,2,再选科目；专业计划数,P0-本轮候选/冲突/结构强阻断先核,H0-100%人工核验,true,has_page_hash_pending_manual_pdf_review,pending_hubei_official_plan_review,,202,left,M-1183b632693d5a5e
R4FOCUSMAJOR-e0506cb82ad17235,data/exports/issue19-round4-priority-focus55-groups.csv,data/exports/issue19-round4-city-gradient-major-details.csv,湖北招生考试2026年19期·本科普通批（下）,ee61fc69389f24a9a7830167113cf0ddc0447f8fa4b2743cd3241be60a9bd86d,2026-06-29,issue19_round4_priority_focus55,Round4重点核验组×完整组内专业,false,false,false,false,false,false,false,false,13,R4GROUP-43251e7bdb31e3d9,G-d2c32a2887ae3b29,海口市,稳妥观察,K005,琼台师范学院,K00505,8,06,电气工程与智能控制（英语教学为主，非英语语种考生慎重报名）K035 海口经济学院（民办）（海南）,,,字段缺口待核,暂缓判断-特殊限制待核,待核后判断-有体检/语种/单科/专项等限制,组内有特殊限制待核，服从调剂前需核完整专业组,语种或单科限制,,,10万,3,再选科目；专业计划数；学费,P0-本轮候选/冲突/结构强阻断先核,H0-100%人工核验,true,has_page_hash_pending_manual_pdf_review,pending_hubei_official_plan_review,,202,left,M-1d948bdb8e0f5e65
R4FOCUSMAJOR-b183e133785c2bfd,data/exports/issue19-round4-priority-focus55-groups.csv,data/exports/issue19-round4-city-gradient-major-details.csv,湖北招生考试2026年19期·本科普通批（下）,ee61fc69389f24a9a7830167113cf0ddc0447f8fa4b2743cd3241be60a9bd86d,2026-06-29,issue19_round4_priority_focus55,Round4重点核验组×完整组内专业,false,false,false,false,false,false,false,false,14,R4GROUP-b7e335896d03679f,G-c5d11aeb048a778d,保定市,稳妥观察,F189,保定学院,F18905,1,07,数学与应用数学（师范类）,师范类相关,师范类相关,可了解-师范,优先了解-命中当前偏好方向,优先了解-命中当前专业方向,暂未见硬排除项，但仍需原页/章程闭环,,,,5390,2,再选科目；专业计划数,P0-本轮候选/冲突/结构强阻断先核,H0-100%人工核验,true,has_page_hash_pending_manual_pdf_review,pending_hubei_official_plan_review,,101,right,M-a9cdb2383dd485e9
R4FOCUSMAJOR-883c2fc4f4c17d8f,data/exports/issue19-round4-priority-focus55-groups.csv,data/exports/issue19-round4-city-gradient-major-details.csv,湖北招生考试2026年19期·本科普通批（下）,ee61fc69389f24a9a7830167113cf0ddc0447f8fa4b2743cd3241be60a9bd86d,2026-06-29,issue19_round4_priority_focus55,Round4重点核验组×完整组内专业,false,false,false,false,false,false,false,false,14,R4GROUP-b7e335896d03679f,G-c5d11aeb048a778d,保定市,稳妥观察,F189,保定学院,F18905,2,08,软件工程,计算机类相关,计算机AI软件；计算机类相关,主线偏好-计算机/数字媒体,优先了解-命中当前偏好方向,优先了解-命中当前专业方向,暂未见硬排除项，但仍需原页/章程闭环,,,,5390,2,再选科目；专业计划数,P0-本轮候选/冲突/结构强阻断先核,H0-100%人工核验,true,has_page_hash_pending_manual_pdf_review,pending_hubei_official_plan_review,,101,right,M-adbf733f17230445
R4FOCUSMAJOR-5dc76f0e3d9e49bc,data/exports/issue19-round4-priority-focus55-groups.csv,data/exports/issue19-round4-city-gradient-major-details.csv,湖北招生考试2026年19期·本科普通批（下）,ee61fc69389f24a9a7830167113cf0ddc0447f8fa4b2743cd3241be60a9bd86d,2026-06-29,issue19_round4_priority_focus55,Round4重点核验组×完整组内专业,false,false,false,false,false,false,false,false,14,R4GROUP-b7e335896d03679f,G-c5d11aeb048a778d,保定市,稳妥观察,F189,保定学院,F18905,3,09,份差（不把色頭、堡真疑公森照售型混别红、黄、绿、、紫各种颜色中任何一种颜色的考生）,,,字段缺口待核,待了解-未命中当前偏好方向,可调剂了解-未命中偏好但暂未见硬排除,暂未见硬排除项，但仍需原页/章程闭环,,,,4900,2,再选科目；专业计划数,P0-本轮候选/冲突/结构强阻断先核,H0-100%人工核验,true,has_page_hash_pending_manual_pdf_review,pending_hubei_official_plan_review,,101,right,M-fd2f73ab505a5c0d
R4FOCUSMAJOR-0ef2ccf7da9bdaed,data/exports/issue19-round4-priority-focus55-groups.csv,data/exports/issue19-round4-city-gradient-major-details.csv,湖北招生考试2026年19期·本科普通批（下）,ee61fc69389f24a9a7830167113cf0ddc0447f8fa4b2743cd3241be60a9bd86d,2026-06-29,issue19_round4_priority_focus55,Round4重点核验组×完整组内专业,false,false,false,false,false,false,false,false,14,R4GROUP-b7e335896d03679f,G-c5d11aeb048a778d,保定市,稳妥观察,F189,保定学院,F18905,4,10,物联网工程F191 唐山师范学院（公办）（河北）,计算机类相关；师范类相关,电子信息网络；计算机AI软件；计算机类相关；师范类相关,主线偏好-计算机/数字媒体,优先了解-命中当前偏好方向,优先了解-命中当前专业方向,暂未见硬排除项，但仍需原页/章程闭环,,,,4900,2,再选科目；专业计划数,P0-本轮候选/冲突/结构强阻断先核,H0-100%人工核验,true,has_page_hash_pending_manual_pdf_review,pending_hubei_official_plan_review,,101,right,M-3c11775a27ed0c0f
R4FOCUSMAJOR-bb2fb7482c9d9871,data/exports/issue19-round4-priority-focus55-groups.csv,data/exports/issue19-round4-city-gradient-major-details.csv,湖北招生考试2026年19期·本科普通批（下）,ee61fc69389f24a9a7830167113cf0ddc0447f8fa4b2743cd3241be60a9bd86d,2026-06-29,issue19_round4_priority_focus55,Round4重点核验组×完整组内专业,false,false,false,false,false,false,false,false,15,R4GROUP-63e7de6cd453c519,G-cfaf086a447f3635,临汾市,稳妥观察,F348,山西电子科技学院,F34801,1,01,光电信息科学与工程,,电子信息网络,主线偏好-工科信息制造,待了解-未命中当前偏好方向,可调剂了解-未命中偏好但暂未见硬排除,暂未见硬排除项，但仍需原页/章程闭环,,「化学,,5280,1,专业计划数,P1-字段缺口和B0B1辅证优先核,H1-页列集中人工核验,false,has_page_hash_pending_manual_pdf_review,pending_hubei_official_plan_review,,110,right,M-381098630fbe1e02
R4FOCUSMAJOR-8047642e41207c5e,data/exports/issue19-round4-priority-focus55-groups.csv,data/exports/issue19-round4-city-gradient-major-details.csv,湖北招生考试2026年19期·本科普通批（下）,ee61fc69389f24a9a7830167113cf0ddc0447f8fa4b2743cd3241be60a9bd86d,2026-06-29,issue19_round4_priority_focus55,Round4重点核验组×完整组内专业,false,false,false,false,false,false,false,false,15,R4GROUP-63e7de6cd453c519,G-cfaf086a447f3635,临汾市,稳妥观察,F348,山西电子科技学院,F34801,2,02,网络工程,计算机类相关,电子信息网络；计算机AI软件；计算机类相关,主线偏好-计算机/数字媒体,优先了解-命中当前偏好方向,优先了解-命中当前专业方向,暂未见硬排除项，但仍需原页/章程闭环,,,,5280,2,再选科目；专业计划数,P1-字段缺口和B0B1辅证优先核,H1-页列集中人工核验,false,has_page_hash_pending_manual_pdf_review,pending_hubei_official_plan_review,,110,right,M-4432e298a79ae782
R4FOCUSMAJOR-4ab3af3ada780198,data/exports/issue19-round4-priority-focus55-groups.csv,data/exports/issue19-round4-city-gradient-major-details.csv,湖北招生考试2026年19期·本科普通批（下）,ee61fc69389f24a9a7830167113cf0ddc0447f8fa4b2743cd3241be60a9bd86d,2026-06-29,issue19_round4_priority_focus55,Round4重点核验组×完整组内专业,false,false,false,false,false,false,false,false,15,R4GROUP-63e7de6cd453c519,G-cfaf086a447f3635,临汾市,稳妥观察,F348,山西电子科技学院,F34801,3,03,智能科学与技术,计算机类相关,计算机AI软件；计算机类相关,主线偏好-计算机/数字媒体,优先了解-命中当前偏好方向,优先了解-命中当前专业方向,暂未见硬排除项，但仍需原页/章程闭环,,,,5280,2,再选科目；专业计划数,P1-字段缺口和B0B1辅证优先核,H1-页列集中人工核验,false,has_page_hash_pending_manual_pdf_review,pending_hubei_official_plan_review,,110,right,M-356b1d073877b505
R4FOCUSMAJOR-758bdd8499c4dacb,data/exports/issue19-round4-priority-focus55-groups.csv,data/exports/issue19-round4-city-gradient-major-details.csv,湖北招生考试2026年19期·本科普通批（下）,ee61fc69389f24a9a7830167113cf0ddc0447f8fa4b2743cd3241be60a9bd86d,2026-06-29,issue19_round4_priority_focus55,Round4重点核验组×完整组内专业,false,false,false,false,false,false,false,false,15,R4GROUP-63e7de6cd453c519,G-cfaf086a447f3635,临汾市,稳妥观察,F348,山西电子科技学院,F34801,4,04,机械电子工程,,机械自动化机器人,主线偏好-工科信息制造,待了解-未命中当前偏好方向,可调剂了解-未命中偏好但暂未见硬排除,暂未见硬排除项，但仍需原页/章程闭环,,,,5280,2,再选科目；专业计划数,P1-字段缺口和B0B1辅证优先核,H1-页列集中人工核验,false,has_page_hash_pending_manual_pdf_review,pending_hubei_official_plan_review,,110,right,M-5b8f82e8dff108c9
R4FOCUSMAJOR-d73e26922c96453d,data/exports/issue19-round4-priority-focus55-groups.csv,data/exports/issue19-round4-city-gradient-major-details.csv,湖北招生考试2026年19期·本科普通批（下）,ee61fc69389f24a9a7830167113cf0ddc0447f8fa4b2743cd3241be60a9bd86d,2026-06-29,issue19_round4_priority_focus55,Round4重点核验组×完整组内专业,false,false,false,false,false,false,false,false,15,R4GROUP-63e7de6cd453c519,G-cfaf086a447f3635,临汾市,稳妥观察,F348,山西电子科技学院,F34801,5,05,电子封装技术F350 山西科技学院（公办）（山西）,,,字段缺口待核,待了解-未命中当前偏好方向,可调剂了解-未命中偏好但暂未见硬排除,暂未见硬排除项，但仍需原页/章程闭环,,,16,5280,1,再选科目,P0-本轮候选/冲突/结构强阻断先核,H0-100%人工核验,true,has_page_hash_pending_manual_pdf_review,pending_hubei_official_plan_review,,110,right,M-aff67a155554bee3
R4FOCUSMAJOR-e9795411da6faf7e,data/exports/issue19-round4-priority-focus55-groups.csv,data/exports/issue19-round4-city-gradient-major-details.csv,湖北招生考试2026年19期·本科普通批（下）,ee61fc69389f24a9a7830167113cf0ddc0447f8fa4b2743cd3241be60a9bd86d,2026-06-29,issue19_round4_priority_focus55,Round4重点核验组×完整组内专业,false,false,false,false,false,false,false,false,16,R4GROUP-9fcb67becaf3ef14,G-677684376bb18056,六盘水市,稳妥观察,K272,六盘水师范学院,K27203,1,03,生物科学（师范类）,师范类相关,师范类相关,可了解-师范,优先了解-命中当前偏好方向,优先了解-命中当前专业方向,暂未见硬排除项，但仍需原页/章程闭环,,化学,3,4200,0,,P2-家庭费用调剂与三方闭环核,H2-自动官网核验后人工确认,false,has_page_hash_pending_manual_pdf_review,pending_hubei_official_plan_review,,216,left,M-4870082daedb4ea4
R4FOCUSMAJOR-fce3ad62c0a419d5,data/exports/issue19-round4-priority-focus55-groups.csv,data/exports/issue19-round4-city-gradient-major-details.csv,湖北招生考试2026年19期·本科普通批（下）,ee61fc69389f24a9a7830167113cf0ddc0447f8fa4b2743cd3241be60a9bd86d,2026-06-29,issue19_round4_priority_focus55,Round4重点核验组×完整组内专业,false,false,false,false,false,false,false,false,16,R4GROUP-9fcb67becaf3ef14,G-677684376bb18056,六盘水市,稳妥观察,K272,六盘水师范学院,K27203,2,04,数学与应用数学（师范类）,师范类相关,师范类相关,可了解-师范,优先了解-命中当前偏好方向,优先了解-命中当前专业方向,暂未见硬排除项，但仍需原页/章程闭环,,,2,4200,1,再选科目,P1-字段缺口和B0B1辅证优先核,H1-页列集中人工核验,false,has_page_hash_pending_manual_pdf_review,pending_hubei_official_plan_review,,216,left,M-7d636a3b9a9668cc
R4FOCUSMAJOR-64fb5235f1be6825,data/exports/issue19-round4-priority-focus55-groups.csv,data/exports/issue19-round4-city-gradient-major-details.csv,湖北招生考试2026年19期·本科普通批（下）,ee61fc69389f24a9a7830167113cf0ddc0447f8fa4b2743cd3241be60a9bd86d,2026-06-29,issue19_round4_priority_focus55,Round4重点核验组×完整组内专业,false,false,false,false,false,false,false,false,16,R4GROUP-9fcb67becaf3ef14,G-677684376bb18056,六盘水市,稳妥观察,K272,六盘水师范学院,K27203,3,05,治金工程,,,字段缺口待核,待了解-未命中当前偏好方向,可调剂了解-未命中偏好但暂未见硬排除,暂未见硬排除项，但仍需原页/章程闭环,,,2,4200,1,再选科目,P1-字段缺口和B0B1辅证优先核,H1-页列集中人工核验,false,has_page_hash_pending_manual_pdf_review,pending_hubei_official_plan_review,,216,left,M-74e9b3119736d79c
R4FOCUSMAJOR-2a2913907edc09e8,data/exports/issue19-round4-priority-focus55-groups.csv,data/exports/issue19-round4-city-gradient-major-details.csv,湖北招生考试2026年19期·本科普通批（下）,ee61fc69389f24a9a7830167113cf0ddc0447f8fa4b2743cd3241be60a9bd86d,2026-06-29,issue19_round4_priority_focus55,Round4重点核验组×完整组内专业,false,false,false,false,false,false,false,false,16,R4GROUP-9fcb67becaf3ef14,G-677684376bb18056,六盘水市,稳妥观察,K272,六盘水师范学院,K27203,4,06,物联网工程,计算机类相关,电子信息网络；计算机AI软件；计算机类相关,主线偏好-计算机/数字媒体,优先了解-命中当前偏好方向,优先了解-命中当前专业方向,暂未见硬排除项，但仍需原页/章程闭环,,,2,4200,1,再选科目,P1-字段缺口和B0B1辅证优先核,H1-页列集中人工核验,false,has_page_hash_pending_manual_pdf_review,pending_hubei_official_plan_review,,216,left,M-1292154662be557e
R4FOCUSMAJOR-eb1c09525cb858f7,data/exports/issue19-round4-priority-focus55-groups.csv,data/exports/issue19-round4-city-gradient-major-details.csv,湖北招生考试2026年19期·本科普通批（下）,ee61fc69389f24a9a7830167113cf0ddc0447f8fa4b2743cd3241be60a9bd86d,2026-06-29,issue19_round4_priority_focus55,Round4重点核验组×完整组内专业,false,false,false,false,false,false,false,false,17,R4GROUP-89cf9bcbf473967f,G-ea5ee122c9d296aa,乌鲁木齐市,稳妥观察,K757,新疆工程学院,K75703,1,18,通信工程（信息技术产教融合合作班）,,电子信息网络,主线偏好-工科信息制造,待了解-未命中当前偏好方向,可调剂了解-未命中偏好但暂未见硬排除,暂未见硬排除项，但仍需原页/章程闭环,,［化学,3,8500,0,,P2-家庭费用调剂与三方闭环核,H2-自动官网核验后人工确认,false,has_page_hash_pending_manual_pdf_review,pending_hubei_official_plan_review,,236,left,M-035c4f5d91c7073c
