家庭专业决策组ID,来源期号,来源PDF_SHA256,生成日期,数据阶段,主表粒度,任务粒度,最终可用,可进入下一阶段,可否进入最终志愿方案,是否允许作为志愿推荐依据,是否允许自动写回主表,是否允许官网证据替代湖北官方计划,是否允许生成学校专业建议,是否允许写回字段事实,家庭讨论排序,院校代码,院校名称,院校专业组代码,专业组号,院校专业组,城市,冲稳保,历史稳定性等级,与515关系,同代码命中年份数,完整组内专业数,机器可接受专业数,机器勉强接受专业数,机器待核后判断专业数,机器不能接受提示专业数,建议放入6专业讨论数,特殊限制待核专业数,体检色觉风险专业数,语种或单科限制专业数,必须100%人工核验专业数,高校官网证据已匹配专业数,高校官网证据未匹配专业数,字段缺口专业数,调剂接受风险等级,调剂风险说明,家庭本轮要回答的问题,家庭整组态度待填,家庭整组态度可填值,是否愿意服从调剂待填,服从调剂可填值,家庭整组备注待填,核验最小动作,公开填写边界,关联专业集合SHA16,公开安全策略
P55-FAM-GROUP-354e59aeefa4bf96,湖北招生考试2026年19期·本科普通批（下）,ee61fc69389f24a9a7830167113cf0ddc0447f8fa4b2743cd3241be60a9bd86d,2026-06-29,issue19_priority55_family_major_decision_workbook,Priority55家庭逐专业决策组汇总,院校专业组×完整组内专业,false,false,false,false,false,false,false,false,24,C126,湖北文理学院,C12610,10,C126 湖北文理学院 C12610 10,襄阳市,稳冲观察,H3-稳冲历史线索,515对应等位分：2025=494、2024=497、2023=481；494-481=+13；501-497=+4；506-494=+12；历史最高等位分差=13。,3,9,2,7,0,0,2,0,0,0,0,0,0,8,T4-暂未见硬阻断，仍需人工接受度判断,暂未见硬阻断，但仍需家里逐专业确认接受度。,逐条确认勉强接受专业是否真的能接受调剂。,,保留重点核验 / 暂缓 / 排除 / 待家里讨论,,可以 / 勉强可以 / 不可以 / 待核后判断,,进入下一轮候选后，按完整组内专业做100%原页和湖北官方侧核验。,本表只填家庭接受度和备注；不要填写计划数、学费、选科读数、截图路径或任何私人信息。,5b790ae47e2883f6,not_final；family_discussion_only；no_field_values；no_private_paths；no_ocr_values；no_recommendation
P55-FAM-GROUP-cb92c30b81b76b59,湖北招生考试2026年19期·本科普通批（下）,ee61fc69389f24a9a7830167113cf0ddc0447f8fa4b2743cd3241be60a9bd86d,2026-06-29,issue19_priority55_family_major_decision_workbook,Priority55家庭逐专业决策组汇总,院校专业组×完整组内专业,false,false,false,false,false,false,false,false,25,A197,西北民族大学,A19717,17,A197 西北民族大学 A19717 17,兰州市,稳冲观察,H3-稳冲历史线索,515对应等位分：2025=494、2024=497、2023=481；502-497=+5；499-494=+5；历史最高等位分差=5。,2,5,1,4,0,0,1,0,0,0,0,0,0,3,T4-暂未见硬阻断，仍需人工接受度判断,暂未见硬阻断，但仍需家里逐专业确认接受度。,逐条确认勉强接受专业是否真的能接受调剂。,,保留重点核验 / 暂缓 / 排除 / 待家里讨论,,可以 / 勉强可以 / 不可以 / 待核后判断,,进入下一轮候选后，按完整组内专业做100%原页和湖北官方侧核验。,本表只填家庭接受度和备注；不要填写计划数、学费、选科读数、截图路径或任何私人信息。,4f21f4e93124d5a1,not_final；family_discussion_only；no_field_values；no_private_paths；no_ocr_values；no_recommendation
P55-FAM-GROUP-deced5a070a17643,湖北招生考试2026年19期·本科普通批（下）,ee61fc69389f24a9a7830167113cf0ddc0447f8fa4b2743cd3241be60a9bd86d,2026-06-29,issue19_priority55_family_major_decision_workbook,Priority55家庭逐专业决策组汇总,院校专业组×完整组内专业,false,false,false,false,false,false,false,false,26,F583,吉林建筑大学,F58303,03,F583 吉林建筑大学 F58303 03,长春市,稳冲观察,H3-稳冲历史线索,515对应等位分：2025=494、2024=497、2023=481；489-481=+8；503-497=+6；479-494=-15；历史最高等位分差=8。,3,19,1,18,0,0,1,0,0,0,1,0,0,18,T3-组内专业较多，需逐条确认,组内专业较多，必须逐条判断能否接受调剂。,逐条确认勉强接受专业是否真的能接受调剂。,,保留重点核验 / 暂缓 / 排除 / 待家里讨论,,可以 / 勉强可以 / 不可以 / 待核后判断,,先核PDF原页中的专业组边界、专业归属和完整组内专业。,本表只填家庭接受度和备注；不要填写计划数、学费、选科读数、截图路径或任何私人信息。,a183e746c7d393e1,not_final；family_discussion_only；no_field_values；no_private_paths；no_ocr_values；no_recommendation
P55-FAM-GROUP-31710fed29cbbbe3,湖北招生考试2026年19期·本科普通批（下）,ee61fc69389f24a9a7830167113cf0ddc0447f8fa4b2743cd3241be60a9bd86d,2026-06-29,issue19_priority55_family_major_decision_workbook,Priority55家庭逐专业决策组汇总,院校专业组×完整组内专业,false,false,false,false,false,false,false,false,27,K755,新疆财经大学,K75504,04,K755 新疆财经大学 K75504 04,乌鲁木齐市,稳冲观察,H3-稳冲历史线索,515对应等位分：2025=494、2024=497、2023=481；484-481=+3；488-497=-9；487-494=-7；历史最高等位分差=3。,3,7,3,3,1,0,3,7,0,1,5,0,0,6,T1-特殊限制待核，先核章程/原页,有体检、语种、单科、专项或章程限制待核，先看限制再谈调剂。,先核限制/字段后，再判断是否愿意服从调剂。,,保留重点核验 / 暂缓 / 排除 / 待家里讨论,,可以 / 勉强可以 / 不可以 / 待核后判断,,先核PDF原页中的专业组边界、专业归属和完整组内专业。,本表只填家庭接受度和备注；不要填写计划数、学费、选科读数、截图路径或任何私人信息。,447cd525dad13406,not_final；family_discussion_only；no_field_values；no_private_paths；no_ocr_values；no_recommendation
P55-FAM-GROUP-af1bb5250c726959,湖北招生考试2026年19期·本科普通批（下）,ee61fc69389f24a9a7830167113cf0ddc0447f8fa4b2743cd3241be60a9bd86d,2026-06-29,issue19_priority55_family_major_decision_workbook,Priority55家庭逐专业决策组汇总,院校专业组×完整组内专业,false,false,false,false,false,false,false,false,28,C118,黄冈师范学院,C11811,11,C118 黄冈师范学院 C11811 11,黄冈市,稳冲观察,H3-稳冲历史线索,515对应等位分：2025=494、2024=497、2023=481；496-494=+2；历史最高等位分差=2。,1,7,1,6,0,0,1,0,0,0,7,0,0,7,T4-暂未见硬阻断，仍需人工接受度判断,暂未见硬阻断，但仍需家里逐专业确认接受度。,逐条确认勉强接受专业是否真的能接受调剂。,,保留重点核验 / 暂缓 / 排除 / 待家里讨论,,可以 / 勉强可以 / 不可以 / 待核后判断,,进入下一轮候选后，按完整组内专业做100%原页和湖北官方侧核验。,本表只填家庭接受度和备注；不要填写计划数、学费、选科读数、截图路径或任何私人信息。,e983541074ba7e6e,not_final；family_discussion_only；no_field_values；no_private_paths；no_ocr_values；no_recommendation
P55-FAM-GROUP-10168ee4dc32c704,湖北招生考试2026年19期·本科普通批（下）,ee61fc69389f24a9a7830167113cf0ddc0447f8fa4b2743cd3241be60a9bd86d,2026-06-29,issue19_priority55_family_major_decision_workbook,Priority55家庭逐专业决策组汇总,院校专业组×完整组内专业,false,false,false,false,false,false,false,false,29,K753,喀什大学,K75307,07,K753 喀什大学 K75307 07,喀什地区,稳冲观察,H3-稳冲历史线索,515对应等位分：2025=494、2024=497、2023=481；466-481=-15；499-497=+2；482-494=-12；历史最高等位分差=2。,3,8,0,1,7,0,0,8,0,7,2,6,2,7,T1-特殊限制待核，先核章程/原页,有体检、语种、单科、专项或章程限制待核，先看限制再谈调剂。,先核限制/字段后，再判断是否愿意服从调剂。,,保留重点核验 / 暂缓 / 排除 / 待家里讨论,,可以 / 勉强可以 / 不可以 / 待核后判断,,先处理已排入第一闭环的页列和字段，再核湖北官方侧。,本表只填家庭接受度和备注；不要填写计划数、学费、选科读数、截图路径或任何私人信息。,8d4515a834f7a397,not_final；family_discussion_only；no_field_values；no_private_paths；no_ocr_values；no_recommendation
P55-FAM-GROUP-eac2d3b545301692,湖北招生考试2026年19期·本科普通批（下）,ee61fc69389f24a9a7830167113cf0ddc0447f8fa4b2743cd3241be60a9bd86d,2026-06-29,issue19_priority55_family_major_decision_workbook,Priority55家庭逐专业决策组汇总,院校专业组×完整组内专业,false,false,false,false,false,false,false,false,30,F387,内蒙古农业大学,F38702,02,F387 内蒙古农业大学 F38702 02,呼和浩特市,稳冲观察,H3-稳冲历史线索,515对应等位分：2025=494、2024=497、2023=481；483-481=+2；490-494=-4；历史最高等位分差=2。,2,10,2,8,0,0,2,0,0,0,1,0,0,10,T2-结构异常，先核完整组内专业,组内结构或专业归属未闭环，先核完整组内专业。,逐条确认勉强接受专业是否真的能接受调剂。,,保留重点核验 / 暂缓 / 排除 / 待家里讨论,,可以 / 勉强可以 / 不可以 / 待核后判断,,先核PDF原页中的专业组边界、专业归属和完整组内专业。,本表只填家庭接受度和备注；不要填写计划数、学费、选科读数、截图路径或任何私人信息。,86073ddf70961045,not_final；family_discussion_only；no_field_values；no_private_paths；no_ocr_values；no_recommendation
P55-FAM-GROUP-6ce0e9fec08ad07c,湖北招生考试2026年19期·本科普通批（下）,ee61fc69389f24a9a7830167113cf0ddc0447f8fa4b2743cd3241be60a9bd86d,2026-06-29,issue19_priority55_family_major_decision_workbook,Priority55家庭逐专业决策组汇总,院校专业组×完整组内专业,false,false,false,false,false,false,false,false,31,F694,齐齐哈尔大学,F69403,03,F694 齐齐哈尔大学 F69403 03,齐齐哈尔市,稳冲观察,H3-稳冲历史线索,515对应等位分：2025=494、2024=497、2023=481；487-481=+6；491-497=-6；历史最高等位分差=6。,2,4,2,2,0,0,2,0,0,0,1,0,0,3,T2-结构异常，先核完整组内专业,组内结构或专业归属未闭环，先核完整组内专业。,逐条确认勉强接受专业是否真的能接受调剂。,,保留重点核验 / 暂缓 / 排除 / 待家里讨论,,可以 / 勉强可以 / 不可以 / 待核后判断,,先核PDF原页中的专业组边界、专业归属和完整组内专业。,本表只填家庭接受度和备注；不要填写计划数、学费、选科读数、截图路径或任何私人信息。,2408b2aeb48983b7,not_final；family_discussion_only；no_field_values；no_private_paths；no_ocr_values；no_recommendation
P55-FAM-GROUP-fe0b4633ef6e5b23,湖北招生考试2026年19期·本科普通批（下）,ee61fc69389f24a9a7830167113cf0ddc0447f8fa4b2743cd3241be60a9bd86d,2026-06-29,issue19_priority55_family_major_decision_workbook,Priority55家庭逐专业决策组汇总,院校专业组×完整组内专业,false,false,false,false,false,false,false,false,32,C131,湖北汽车工业学院,C13107,07,C131 湖北汽车工业学院 C13107 07,十堰市,稳妥观察,H2-稳妥历史线索,515对应等位分：2025=494、2024=497、2023=481；478-481=-3；492-497=-5；490-494=-4；历史最高等位分差=-3。,3,15,8,7,0,0,8,0,0,0,14,0,0,14,T3-组内专业较多，需逐条确认,组内专业较多，必须逐条判断能否接受调剂。,逐条确认勉强接受专业是否真的能接受调剂。,,保留重点核验 / 暂缓 / 排除 / 待家里讨论,,可以 / 勉强可以 / 不可以 / 待核后判断,,先核PDF原页中的专业组边界、专业归属和完整组内专业。,本表只填家庭接受度和备注；不要填写计划数、学费、选科读数、截图路径或任何私人信息。,60ede68f4a85ba64,not_final；family_discussion_only；no_field_values；no_private_paths；no_ocr_values；no_recommendation
P55-FAM-GROUP-121a8022fa2df1bf,湖北招生考试2026年19期·本科普通批（下）,ee61fc69389f24a9a7830167113cf0ddc0447f8fa4b2743cd3241be60a9bd86d,2026-06-29,issue19_priority55_family_major_decision_workbook,Priority55家庭逐专业决策组汇总,院校专业组×完整组内专业,false,false,false,false,false,false,false,false,33,K754,伊犁师范大学,K75403,03,K754 伊犁师范大学 K75403 03,伊犁哈萨克自治州,稳妥观察,H2-稳妥历史线索,515对应等位分：2025=494、2024=497、2023=481；492-497=-5；475-494=-19；历史最高等位分差=-5。,2,11,3,5,3,0,3,11,0,3,0,0,0,11,T1-特殊限制待核，先核章程/原页,有体检、语种、单科、专项或章程限制待核，先看限制再谈调剂。,先核限制/字段后，再判断是否愿意服从调剂。,,保留重点核验 / 暂缓 / 排除 / 待家里讨论,,可以 / 勉强可以 / 不可以 / 待核后判断,,先核章程、体检、语种、单科、校区和调剂限制。,本表只填家庭接受度和备注；不要填写计划数、学费、选科读数、截图路径或任何私人信息。,12414af324a397f1,not_final；family_discussion_only；no_field_values；no_private_paths；no_ocr_values；no_recommendation
P55-FAM-GROUP-ac4ed4c1316b56b9,湖北招生考试2026年19期·本科普通批（下）,ee61fc69389f24a9a7830167113cf0ddc0447f8fa4b2743cd3241be60a9bd86d,2026-06-29,issue19_priority55_family_major_decision_workbook,Priority55家庭逐专业决策组汇总,院校专业组×完整组内专业,false,false,false,false,false,false,false,false,34,F597,长春工程学院,F59704,04,F597 长春工程学院 F59704 04,长春市,稳妥观察,H2-稳妥历史线索,515对应等位分：2025=494、2024=497、2023=481；495-497=-2；469-494=-25；历史最高等位分差=-2。,2,17,3,14,0,0,3,0,0,0,4,0,0,17,T3-组内专业较多，需逐条确认,组内专业较多，必须逐条判断能否接受调剂。,逐条确认勉强接受专业是否真的能接受调剂。,,保留重点核验 / 暂缓 / 排除 / 待家里讨论,,可以 / 勉强可以 / 不可以 / 待核后判断,,先核PDF原页中的专业组边界、专业归属和完整组内专业。,本表只填家庭接受度和备注；不要填写计划数、学费、选科读数、截图路径或任何私人信息。,9997ab7295dca2dc,not_final；family_discussion_only；no_field_values；no_private_paths；no_ocr_values；no_recommendation
P55-FAM-GROUP-1e3c10055338b647,湖北招生考试2026年19期·本科普通批（下）,ee61fc69389f24a9a7830167113cf0ddc0447f8fa4b2743cd3241be60a9bd86d,2026-06-29,issue19_priority55_family_major_decision_workbook,Priority55家庭逐专业决策组汇总,院校专业组×完整组内专业,false,false,false,false,false,false,false,false,35,F313,山西工程技术学院,F31303,03,F313 山西工程技术学院 F31303 03,阳泉市,稳妥观察,H2-稳妥历史线索,515对应等位分：2025=494、2024=497、2023=481；477-481=-4；488-497=-9；483-494=-11；历史最高等位分差=-4。,3,15,4,11,0,0,4,0,0,0,1,0,0,15,T2-结构异常，先核完整组内专业,组内结构或专业归属未闭环，先核完整组内专业。,逐条确认勉强接受专业是否真的能接受调剂。,,保留重点核验 / 暂缓 / 排除 / 待家里讨论,,可以 / 勉强可以 / 不可以 / 待核后判断,,先核PDF原页中的专业组边界、专业归属和完整组内专业。,本表只填家庭接受度和备注；不要填写计划数、学费、选科读数、截图路径或任何私人信息。,b01565545e6f711e,not_final；family_discussion_only；no_field_values；no_private_paths；no_ocr_values；no_recommendation
P55-FAM-GROUP-39d8c51a9b1211e2,湖北招生考试2026年19期·本科普通批（下）,ee61fc69389f24a9a7830167113cf0ddc0447f8fa4b2743cd3241be60a9bd86d,2026-06-29,issue19_priority55_family_major_decision_workbook,Priority55家庭逐专业决策组汇总,院校专业组×完整组内专业,false,false,false,false,false,false,false,false,36,C139,荆楚理工学院,C13908,08,C139 荆楚理工学院 C13908 08,荆门市,稳妥观察,H2-稳妥历史线索,515对应等位分：2025=494、2024=497、2023=481；481-481=+0；485-497=-12；482-494=-12；历史最高等位分差=0。,3,11,4,7,0,0,4,0,0,0,0,0,0,10,T4-暂未见硬阻断，仍需人工接受度判断,暂未见硬阻断，但仍需家里逐专业确认接受度。,逐条确认勉强接受专业是否真的能接受调剂。,,保留重点核验 / 暂缓 / 排除 / 待家里讨论,,可以 / 勉强可以 / 不可以 / 待核后判断,,进入下一轮候选后，按完整组内专业做100%原页和湖北官方侧核验。,本表只填家庭接受度和备注；不要填写计划数、学费、选科读数、截图路径或任何私人信息。,b41c3b75cfcd5699,not_final；family_discussion_only；no_field_values；no_private_paths；no_ocr_values；no_recommendation
P55-FAM-GROUP-d584490046da1da2,湖北招生考试2026年19期·本科普通批（下）,ee61fc69389f24a9a7830167113cf0ddc0447f8fa4b2743cd3241be60a9bd86d,2026-06-29,issue19_priority55_family_major_decision_workbook,Priority55家庭逐专业决策组汇总,院校专业组×完整组内专业,false,false,false,false,false,false,false,false,37,F305,忻州师范学院,F30508,08,F305 忻州师范学院 F30508 08,忻州市,稳妥观察,H2-稳妥历史线索,515对应等位分：2025=494、2024=497、2023=481；474-481=-7；487-497=-10；历史最高等位分差=-7。,2,4,3,1,0,0,3,0,0,0,0,4,0,4,T4-暂未见硬阻断，仍需人工接受度判断,暂未见硬阻断，但仍需家里逐专业确认接受度。,逐条确认勉强接受专业是否真的能接受调剂。,,保留重点核验 / 暂缓 / 排除 / 待家里讨论,,可以 / 勉强可以 / 不可以 / 待核后判断,,先处理已排入第一闭环的页列和字段，再核湖北官方侧。,本表只填家庭接受度和备注；不要填写计划数、学费、选科读数、截图路径或任何私人信息。,08dc9f70ba4d15bd,not_final；family_discussion_only；no_field_values；no_private_paths；no_ocr_values；no_recommendation
P55-FAM-GROUP-da80bfa2f04e0d54,湖北招生考试2026年19期·本科普通批（下）,ee61fc69389f24a9a7830167113cf0ddc0447f8fa4b2743cd3241be60a9bd86d,2026-06-29,issue19_priority55_family_major_decision_workbook,Priority55家庭逐专业决策组汇总,院校专业组×完整组内专业,false,false,false,false,false,false,false,false,38,K783,新疆政法学院,K78304,04,K783 新疆政法学院 K78304 04,图木舒克市,稳妥观察,H2-稳妥历史线索,515对应等位分：2025=494、2024=497、2023=481；486-497=-11；476-494=-18；历史最高等位分差=-11。,2,6,3,3,0,0,3,0,0,0,1,0,0,6,T2-结构异常，先核完整组内专业,组内结构或专业归属未闭环，先核完整组内专业。,逐条确认勉强接受专业是否真的能接受调剂。,,保留重点核验 / 暂缓 / 排除 / 待家里讨论,,可以 / 勉强可以 / 不可以 / 待核后判断,,先核PDF原页中的专业组边界、专业归属和完整组内专业。,本表只填家庭接受度和备注；不要填写计划数、学费、选科读数、截图路径或任何私人信息。,4b7b4949ed34810b,not_final；family_discussion_only；no_field_values；no_private_paths；no_ocr_values；no_recommendation
P55-FAM-GROUP-bb48e425545defca,湖北招生考试2026年19期·本科普通批（下）,ee61fc69389f24a9a7830167113cf0ddc0447f8fa4b2743cd3241be60a9bd86d,2026-06-29,issue19_priority55_family_major_decision_workbook,Priority55家庭逐专业决策组汇总,院校专业组×完整组内专业,false,false,false,false,false,false,false,false,39,K585,兰州工业学院,K58501,01,K585 兰州工业学院 K58501 01,兰州市,稳妥观察,H2-稳妥历史线索,515对应等位分：2025=494、2024=497、2023=481；481-481=+0；483-497=-14；480-494=-14；历史最高等位分差=0。,3,10,3,7,0,0,3,0,0,0,2,0,0,10,T2-结构异常，先核完整组内专业,组内结构或专业归属未闭环，先核完整组内专业。,逐条确认勉强接受专业是否真的能接受调剂。,,保留重点核验 / 暂缓 / 排除 / 待家里讨论,,可以 / 勉强可以 / 不可以 / 待核后判断,,先核PDF原页中的专业组边界、专业归属和完整组内专业。,本表只填家庭接受度和备注；不要填写计划数、学费、选科读数、截图路径或任何私人信息。,cae824490da85a22,not_final；family_discussion_only；no_field_values；no_private_paths；no_ocr_values；no_recommendation
P55-FAM-GROUP-4421e291871c77e5,湖北招生考试2026年19期·本科普通批（下）,ee61fc69389f24a9a7830167113cf0ddc0447f8fa4b2743cd3241be60a9bd86d,2026-06-29,issue19_priority55_family_major_decision_workbook,Priority55家庭逐专业决策组汇总,院校专业组×完整组内专业,false,false,false,false,false,false,false,false,40,F308,吕梁学院,F30805,05,F308 吕梁学院 F30805 05,吕梁市,稳妥观察,H2-稳妥历史线索,515对应等位分：2025=494、2024=497、2023=481；482-497=-15；477-494=-17；历史最高等位分差=-15。,2,5,4,1,0,0,4,0,0,0,0,0,0,4,T4-暂未见硬阻断，仍需人工接受度判断,暂未见硬阻断，但仍需家里逐专业确认接受度。,逐条确认勉强接受专业是否真的能接受调剂。,,保留重点核验 / 暂缓 / 排除 / 待家里讨论,,可以 / 勉强可以 / 不可以 / 待核后判断,,进入下一轮候选后，按完整组内专业做100%原页和湖北官方侧核验。,本表只填家庭接受度和备注；不要填写计划数、学费、选科读数、截图路径或任何私人信息。,4146fa1b03cbd7f7,not_final；family_discussion_only；no_field_values；no_private_paths；no_ocr_values；no_recommendation
P55-FAM-GROUP-0a70d43f3333ffdc,湖北招生考试2026年19期·本科普通批（下）,ee61fc69389f24a9a7830167113cf0ddc0447f8fa4b2743cd3241be60a9bd86d,2026-06-29,issue19_priority55_family_major_decision_workbook,Priority55家庭逐专业决策组汇总,院校专业组×完整组内专业,false,false,false,false,false,false,false,false,41,K354,曲靖师范学院,K35405,05,K354 曲靖师范学院 K35405 05,曲靖市,稳妥观察,H2-稳妥历史线索,515对应等位分：2025=494、2024=497、2023=481；475-481=-6；483-497=-14；478-494=-16；历史最高等位分差=-6。,3,6,2,4,0,0,2,0,0,0,0,0,0,6,T4-暂未见硬阻断，仍需人工接受度判断,暂未见硬阻断，但仍需家里逐专业确认接受度。,逐条确认勉强接受专业是否真的能接受调剂。,,保留重点核验 / 暂缓 / 排除 / 待家里讨论,,可以 / 勉强可以 / 不可以 / 待核后判断,,进入下一轮候选后，按完整组内专业做100%原页和湖北官方侧核验。,本表只填家庭接受度和备注；不要填写计划数、学费、选科读数、截图路径或任何私人信息。,a934855adbb512fb,not_final；family_discussion_only；no_field_values；no_private_paths；no_ocr_values；no_recommendation
P55-FAM-GROUP-c8f3a70efb01513e,湖北招生考试2026年19期·本科普通批（下）,ee61fc69389f24a9a7830167113cf0ddc0447f8fa4b2743cd3241be60a9bd86d,2026-06-29,issue19_priority55_family_major_decision_workbook,Priority55家庭逐专业决策组汇总,院校专业组×完整组内专业,false,false,false,false,false,false,false,false,42,H375,赣东学院,H37503,03,H375 赣东学院 H37503 03,抚州市,稳妥观察,H2-稳妥历史线索,515对应等位分：2025=494、2024=497、2023=481；492-494=-2；历史最高等位分差=-2。,1,7,2,5,0,0,2,0,0,0,1,0,0,7,T2-结构异常，先核完整组内专业,组内结构或专业归属未闭环，先核完整组内专业。,逐条确认勉强接受专业是否真的能接受调剂。,,保留重点核验 / 暂缓 / 排除 / 待家里讨论,,可以 / 勉强可以 / 不可以 / 待核后判断,,先核PDF原页中的专业组边界、专业归属和完整组内专业。,本表只填家庭接受度和备注；不要填写计划数、学费、选科读数、截图路径或任何私人信息。,037653ba5087b678,not_final；family_discussion_only；no_field_values；no_private_paths；no_ocr_values；no_recommendation
P55-FAM-GROUP-b789cf08ca45da16,湖北招生考试2026年19期·本科普通批（下）,ee61fc69389f24a9a7830167113cf0ddc0447f8fa4b2743cd3241be60a9bd86d,2026-06-29,issue19_priority55_family_major_decision_workbook,Priority55家庭逐专业决策组汇总,院校专业组×完整组内专业,false,false,false,false,false,false,false,false,43,K005,琼台师范学院,K00505,05,K005 琼台师范学院 K00505 05,海口市,稳妥观察,H2-稳妥历史线索,515对应等位分：2025=494、2024=497、2023=481；497-497=+0；492-494=-2；历史最高等位分差=0。,2,8,2,0,6,0,2,8,3,6,7,0,0,8,T1-特殊限制待核，先核章程/原页,有体检、语种、单科、专项或章程限制待核，先看限制再谈调剂。,先核限制/字段后，再判断是否愿意服从调剂。,,保留重点核验 / 暂缓 / 排除 / 待家里讨论,,可以 / 勉强可以 / 不可以 / 待核后判断,,先核PDF原页中的专业组边界、专业归属和完整组内专业。,本表只填家庭接受度和备注；不要填写计划数、学费、选科读数、截图路径或任何私人信息。,4d617679c7680f79,not_final；family_discussion_only；no_field_values；no_private_paths；no_ocr_values；no_recommendation
P55-FAM-GROUP-a98a180c19456dcf,湖北招生考试2026年19期·本科普通批（下）,ee61fc69389f24a9a7830167113cf0ddc0447f8fa4b2743cd3241be60a9bd86d,2026-06-29,issue19_priority55_family_major_decision_workbook,Priority55家庭逐专业决策组汇总,院校专业组×完整组内专业,false,false,false,false,false,false,false,false,44,F189,保定学院,F18905,05,F189 保定学院 F18905 05,保定市,稳妥观察,H2-稳妥历史线索,515对应等位分：2025=494、2024=497、2023=481；478-481=-3；493-494=-1；历史最高等位分差=-1。,2,4,3,1,0,0,3,0,0,0,4,0,0,4,T2-结构异常，先核完整组内专业,组内结构或专业归属未闭环，先核完整组内专业。,逐条确认勉强接受专业是否真的能接受调剂。,,保留重点核验 / 暂缓 / 排除 / 待家里讨论,,可以 / 勉强可以 / 不可以 / 待核后判断,,先核PDF原页中的专业组边界、专业归属和完整组内专业。,本表只填家庭接受度和备注；不要填写计划数、学费、选科读数、截图路径或任何私人信息。,13d6f41694c4102c,not_final；family_discussion_only；no_field_values；no_private_paths；no_ocr_values；no_recommendation
P55-FAM-GROUP-f4a5f3a5a7a35d46,湖北招生考试2026年19期·本科普通批（下）,ee61fc69389f24a9a7830167113cf0ddc0447f8fa4b2743cd3241be60a9bd86d,2026-06-29,issue19_priority55_family_major_decision_workbook,Priority55家庭逐专业决策组汇总,院校专业组×完整组内专业,false,false,false,false,false,false,false,false,45,F348,山西电子科技学院,F34801,01,F348 山西电子科技学院 F34801 01,临汾市,稳妥观察,H2-稳妥历史线索,515对应等位分：2025=494、2024=497、2023=481；484-494=-10；历史最高等位分差=-10。,1,5,2,3,0,0,2,0,0,0,1,0,0,5,T2-结构异常，先核完整组内专业,组内结构或专业归属未闭环，先核完整组内专业。,逐条确认勉强接受专业是否真的能接受调剂。,,保留重点核验 / 暂缓 / 排除 / 待家里讨论,,可以 / 勉强可以 / 不可以 / 待核后判断,,先核PDF原页中的专业组边界、专业归属和完整组内专业。,本表只填家庭接受度和备注；不要填写计划数、学费、选科读数、截图路径或任何私人信息。,eb03a7299f63be5e,not_final；family_discussion_only；no_field_values；no_private_paths；no_ocr_values；no_recommendation
P55-FAM-GROUP-c2f5110450fcba6b,湖北招生考试2026年19期·本科普通批（下）,ee61fc69389f24a9a7830167113cf0ddc0447f8fa4b2743cd3241be60a9bd86d,2026-06-29,issue19_priority55_family_major_decision_workbook,Priority55家庭逐专业决策组汇总,院校专业组×完整组内专业,false,false,false,false,false,false,false,false,46,K272,六盘水师范学院,K27203,03,K272 六盘水师范学院 K27203 03,六盘水市,稳妥观察,H2-稳妥历史线索,515对应等位分：2025=494、2024=497、2023=481；491-497=-6；479-494=-15；历史最高等位分差=-6。,2,4,3,1,0,0,3,0,0,0,0,0,0,3,T4-暂未见硬阻断，仍需人工接受度判断,暂未见硬阻断，但仍需家里逐专业确认接受度。,逐条确认勉强接受专业是否真的能接受调剂。,,保留重点核验 / 暂缓 / 排除 / 待家里讨论,,可以 / 勉强可以 / 不可以 / 待核后判断,,进入下一轮候选后，按完整组内专业做100%原页和湖北官方侧核验。,本表只填家庭接受度和备注；不要填写计划数、学费、选科读数、截图路径或任何私人信息。,8f32b9f59dd5193e,not_final；family_discussion_only；no_field_values；no_private_paths；no_ocr_values；no_recommendation
P55-FAM-GROUP-dddbd94970628cd8,湖北招生考试2026年19期·本科普通批（下）,ee61fc69389f24a9a7830167113cf0ddc0447f8fa4b2743cd3241be60a9bd86d,2026-06-29,issue19_priority55_family_major_decision_workbook,Priority55家庭逐专业决策组汇总,院校专业组×完整组内专业,false,false,false,false,false,false,false,false,47,K757,新疆工程学院,K75703,03,K757 新疆工程学院 K75703 03,乌鲁木齐市,稳妥观察,H2-稳妥历史线索,515对应等位分：2025=494、2024=497、2023=481；471-481=-10；历史最高等位分差=-10。,1,2,1,1,0,0,1,0,0,0,0,0,0,1,T4-暂未见硬阻断，仍需人工接受度判断,暂未见硬阻断，但仍需家里逐专业确认接受度。,逐条确认勉强接受专业是否真的能接受调剂。,,保留重点核验 / 暂缓 / 排除 / 待家里讨论,,可以 / 勉强可以 / 不可以 / 待核后判断,,进入下一轮候选后，按完整组内专业做100%原页和湖北官方侧核验。,本表只填家庭接受度和备注；不要填写计划数、学费、选科读数、截图路径或任何私人信息。,f2af6c6049be42e9,not_final；family_discussion_only；no_field_values；no_private_paths；no_ocr_values；no_recommendation
