第二轮候选ID,第二轮池,第二轮层级,建议梯度,专业角色判断,第二轮方向标签,是否可作为定稿依据,院校代码,院校名称OCR,院校专业组代码OCR规范化,专业组内专业序号,专业代号OCR,专业名称及备注短摘,专业偏好方向,机器专业接受度初判,专业风险类型,再选科目OCR候选,专业计划数OCR候选,学费OCR候选,字段缺口数,字段缺口字段,人工核验优先级,人工核验强度,是否必须100%人工核验,PDF原页核验状态,湖北官方系统核验状态,高校官网证据匹配状态,历史线索分层,历史最高等位分差,历史最低等位分差,来源页码,版面列,专业行ID,专业组出现ID
R2GROUP-1ac09fc44ae9da75,专项,S2-农业/环境专项了解,历史待补,主线偏好-工科信息制造,电子信息网络,false,H813,南昌航空大学,H81304,19,31,光电信息科学与工程（南昌市前湖校,,待了解-未命中当前偏好方向,,,2,5220,1,再选科目,P0-本轮候选/冲突/结构强阻断先核,H0-100%人工核验,true,has_page_hash_pending_manual_pdf_review,pending_hubei_official_plan_review,,H0-无同代码历史线索,,,154,left,M-e06f016575267b57,G-7e8408f2ed829bda
R2GROUP-1ac09fc44ae9da75,专项,S2-农业/环境专项了解,历史待补,字段缺口待核,,false,H813,南昌航空大学,H81304,20,32,智能感知工程（南昌市前湖校区就读）,,待了解-未命中当前偏好方向,,,2,4940,1,再选科目,P0-本轮候选/冲突/结构强阻断先核,H0-100%人工核验,true,has_page_hash_pending_manual_pdf_review,pending_hubei_official_plan_review,,H0-无同代码历史线索,,,154,left,M-8b239d2db5d4fccb,G-7e8408f2ed829bda
R2GROUP-1ac09fc44ae9da75,专项,S2-农业/环境专项了解,历史待补,字段缺口待核,,false,H813,南昌航空大学,H81304,21,33,土末工程（南昌市前湖校区就读）,,待了解-未命中当前偏好方向,,,2,5220,1,再选科目,P0-本轮候选/冲突/结构强阻断先核,H0-100%人工核验,true,has_page_hash_pending_manual_pdf_review,pending_hubei_official_plan_review,,H0-无同代码历史线索,,,154,left,M-02f912872ed1d87c,G-7e8408f2ed829bda
R2GROUP-1ac09fc44ae9da75,专项,S2-农业/环境专项了解,历史待补,字段缺口待核,,false,H813,南昌航空大学,H81304,22,34,交通工程（南昌市前湖校区就读）,,待了解-未命中当前偏好方向,,,2,4940,1,再选科目,P0-本轮候选/冲突/结构强阻断先核,H0-100%人工核验,true,has_page_hash_pending_manual_pdf_review,pending_hubei_official_plan_review,,H0-无同代码历史线索,,,154,left,M-1fb913716a32e506,G-7e8408f2ed829bda
R2GROUP-1f614431b0daf866,专项,S2-农业/环境专项了解,稳妥观察,可了解-师范,师范类相关,false,K577,陇东学院,K57703,1,07,化学（师范类）,师范类相关,优先了解-命中当前偏好方向,,,,5200,2,再选科目；专业计划数,P1-字段缺口和B0B1辅证优先核,H1-页列集中人工核验,false,has_page_hash_pending_manual_pdf_review,pending_hubei_official_plan_review,,H2-历史最高线不高于等位分,-2,-4,229,right,M-0d7935d423fd3348,G-0387b85c737381ef
R2GROUP-1f614431b0daf866,专项,S2-农业/环境专项了解,稳妥观察,字段缺口待核,,false,K577,陇东学院,K57703,2,08,过程装备与控制工程,,待了解-未命中当前偏好方向,,,,5600,2,再选科目；专业计划数,P1-字段缺口和B0B1辅证优先核,H1-页列集中人工核验,false,has_page_hash_pending_manual_pdf_review,pending_hubei_official_plan_review,,H2-历史最高线不高于等位分,-2,-4,229,right,M-4edba993b16b4710,G-0387b85c737381ef
R2GROUP-1f614431b0daf866,专项,S2-农业/环境专项了解,稳妥观察,字段缺口待核,,false,K577,陇东学院,K57703,3,09,化学工程与工艺,,待了解-未命中当前偏好方向,,,2,6000,1,再选科目,P1-字段缺口和B0B1辅证优先核,H1-页列集中人工核验,false,has_page_hash_pending_manual_pdf_review,pending_hubei_official_plan_review,,H2-历史最高线不高于等位分,-2,-4,229,right,M-8ba4934e001a2ac8,G-0387b85c737381ef
R2GROUP-1f614431b0daf866,专项,S2-农业/环境专项了解,稳妥观察,字段缺口待核,,false,K577,陇东学院,K57703,4,10,石油工程卫1生物制药,,默认不能接受-医学护理等排除方向,医学/护理等排除方向,,2,6000,1,再选科目,P1-字段缺口和B0B1辅证优先核,H1-页列集中人工核验,false,has_page_hash_pending_manual_pdf_review,pending_hubei_official_plan_review,,H2-历史最高线不高于等位分,-2,-4,229,right,M-a0e9b4f33a3c31cb,G-0387b85c737381ef
R2GROUP-1f614431b0daf866,专项,S2-农业/环境专项了解,稳妥观察,字段缺口待核,,false,K577,陇东学院,K57703,5,12,食品科学与工程,,待了解-未命中当前偏好方向,,,2,5600,1,再选科目,P1-字段缺口和B0B1辅证优先核,H1-页列集中人工核验,false,has_page_hash_pending_manual_pdf_review,pending_hubei_official_plan_review,,H2-历史最高线不高于等位分,-2,-4,229,right,M-1ff6ffd50d39250f,G-0387b85c737381ef
R2GROUP-1f614431b0daf866,专项,S2-农业/环境专项了解,稳妥观察,可了解-农业相关,农业动医兽医,false,K577,陇东学院,K57703,6,13,农学（农林类）,,待了解-未命中当前偏好方向,,,,5700,2,再选科目；专业计划数,P1-字段缺口和B0B1辅证优先核,H1-页列集中人工核验,false,has_page_hash_pending_manual_pdf_review,pending_hubei_official_plan_review,,H2-历史最高线不高于等位分,-2,-4,229,right,M-b78db898dc601b06,G-0387b85c737381ef
R2GROUP-1f614431b0daf866,专项,S2-农业/环境专项了解,稳妥观察,可了解-农业相关,农业动医兽医；环境工程科学,false,K577,陇东学院,K57703,7,14,农业资源与环境（农林类）,,待了解-未命中当前偏好方向,,,2,5300,1,再选科目,P1-字段缺口和B0B1辅证优先核,H1-页列集中人工核验,false,has_page_hash_pending_manual_pdf_review,pending_hubei_official_plan_review,,H2-历史最高线不高于等位分,-2,-4,229,right,M-49b140336aab494b,G-0387b85c737381ef
R2GROUP-1f614431b0daf866,专项,S2-农业/环境专项了解,稳妥观察,字段缺口待核,,false,K577,陇东学院,K57703,8,15,土木工程,,待了解-未命中当前偏好方向,,,2,6000,1,再选科目,P1-字段缺口和B0B1辅证优先核,H1-页列集中人工核验,false,has_page_hash_pending_manual_pdf_review,pending_hubei_official_plan_review,,H2-历史最高线不高于等位分,-2,-4,229,right,M-ad92b1a0d15a6606,G-0387b85c737381ef
R2GROUP-1f614431b0daf866,专项,S2-农业/环境专项了解,稳妥观察,字段缺口待核,,false,K577,陇东学院,K57703,9,16,智能建造,,待了解-未命中当前偏好方向,,,2,5600,1,再选科目,P1-字段缺口和B0B1辅证优先核,H1-页列集中人工核验,false,has_page_hash_pending_manual_pdf_review,pending_hubei_official_plan_review,,H2-历史最高线不高于等位分,-2,-4,229,right,M-41cb26e6908b980a,G-0387b85c737381ef
R2GROUP-1f614431b0daf866,专项,S2-农业/环境专项了解,稳妥观察,主线偏好-计算机/数字媒体,计算机AI软件；计算机类相关,false,K577,陇东学院,K57703,10,17,计算机科学与技术,计算机类相关,优先了解-命中当前偏好方向,,,,6000,2,再选科目；专业计划数,P1-字段缺口和B0B1辅证优先核,H1-页列集中人工核验,false,has_page_hash_pending_manual_pdf_review,pending_hubei_official_plan_review,,H2-历史最高线不高于等位分,-2,-4,229,right,M-21897212acaf512a,G-0387b85c737381ef
R2GROUP-1f614431b0daf866,专项,S2-农业/环境专项了解,稳妥观察,主线偏好-计算机/数字媒体,电子信息网络；计算机AI软件；计算机类相关,false,K577,陇东学院,K57703,11,18,物联网工程,计算机类相关,优先了解-命中当前偏好方向,,,,5600,2,再选科目；专业计划数,P1-字段缺口和B0B1辅证优先核,H1-页列集中人工核验,false,has_page_hash_pending_manual_pdf_review,pending_hubei_official_plan_review,,H2-历史最高线不高于等位分,-2,-4,229,right,M-a7fef31f1bba1408,G-0387b85c737381ef
R2GROUP-1f614431b0daf866,专项,S2-农业/环境专项了解,稳妥观察,主线偏好-计算机/数字媒体,计算机AI软件；计算机类相关,false,K577,陇东学院,K57703,12,19,人工智能,计算机类相关,优先了解-命中当前偏好方向,,,,5600,2,再选科目；专业计划数,P1-字段缺口和B0B1辅证优先核,H1-页列集中人工核验,false,has_page_hash_pending_manual_pdf_review,pending_hubei_official_plan_review,,H2-历史最高线不高于等位分,-2,-4,229,right,M-2d571319c5fcb48c,G-0387b85c737381ef
R2GROUP-1f614431b0daf866,专项,S2-农业/环境专项了解,稳妥观察,可了解-师范,师范类相关,false,K577,陇东学院,K57703,13,20,物理学（师范炎）,师范类相关,优先了解-命中当前偏好方向,,,,5600,2,再选科目；专业计划数,P1-字段缺口和B0B1辅证优先核,H1-页列集中人工核验,false,has_page_hash_pending_manual_pdf_review,pending_hubei_official_plan_review,,H2-历史最高线不高于等位分,-2,-4,229,right,M-44cc2eafb091e5e2,G-0387b85c737381ef
R2GROUP-1f614431b0daf866,专项,S2-农业/环境专项了解,稳妥观察,主线偏好-工科信息制造,机械自动化机器人,false,K577,陇东学院,K57703,14,21,电气工程及其自动化,,待了解-未命中当前偏好方向,,,,5600,2,再选科目；专业计划数,P1-字段缺口和B0B1辅证优先核,H1-页列集中人工核验,false,has_page_hash_pending_manual_pdf_review,pending_hubei_official_plan_review,,H2-历史最高线不高于等位分,-2,-4,229,right,M-14da227ed7d55b89,G-0387b85c737381ef
R2GROUP-1f614431b0daf866,专项,S2-农业/环境专项了解,稳妥观察,字段缺口待核,,false,K577,陇东学院,K57703,15,22,安全工程,,待了解-未命中当前偏好方向,,,,6000,2,再选科目；专业计划数,P1-字段缺口和B0B1辅证优先核,H1-页列集中人工核验,false,has_page_hash_pending_manual_pdf_review,pending_hubei_official_plan_review,,H2-历史最高线不高于等位分,-2,-4,229,right,M-20a9cd79a0088b9e,G-0387b85c737381ef
R2GROUP-1f614431b0daf866,专项,S2-农业/环境专项了解,稳妥观察,字段缺口待核,,false,K577,陇东学院,K57703,16,23,新能源科学与工程,,待了解-未命中当前偏好方向,,,,5600,2,再选科目；专业计划数,P1-字段缺口和B0B1辅证优先核,H1-页列集中人工核验,false,has_page_hash_pending_manual_pdf_review,pending_hubei_official_plan_review,,H2-历史最高线不高于等位分,-2,-4,229,right,M-8164c3aef8f04273,G-0387b85c737381ef
R2GROUP-1f614431b0daf866,专项,S2-农业/环境专项了解,稳妥观察,主线偏好-工科信息制造,机械自动化机器人,false,K577,陇东学院,K57703,17,24,机械设计制造及其自动化,,待了解-未命中当前偏好方向,,,2,6000,1,再选科目,P1-字段缺口和B0B1辅证优先核,H1-页列集中人工核验,false,has_page_hash_pending_manual_pdf_review,pending_hubei_official_plan_review,,H2-历史最高线不高于等位分,-2,-4,229,right,M-aecb482cfc3d6568,G-0387b85c737381ef
R2GROUP-1f614431b0daf866,专项,S2-农业/环境专项了解,稳妥观察,主线偏好-工科信息制造,机械自动化机器人,false,K577,陇东学院,K57703,18,25,机器人工程,,待了解-未命中当前偏好方向,,化和,2,5600,0,,P2-家庭费用调剂与三方闭环核,H2-自动官网核验后人工确认,false,has_page_hash_pending_manual_pdf_review,pending_hubei_official_plan_review,,H2-历史最高线不高于等位分,-2,-4,229,right,M-3fc2404e46ed5009,G-0387b85c737381ef
R2GROUP-20d5787c5333bfbd,专项,S2-农业/环境专项了解,稳妥观察,可了解-师范,师范类相关,false,K362,楚雄师范学院,K36203,1,05,数学与应用数学（师范类）,师范类相关,优先了解-命中当前偏好方向,,化学,,4,1,专业计划数,P0-本轮候选/冲突/结构强阻断先核,H0-100%人工核验,true,has_page_hash_pending_manual_pdf_review,pending_hubei_official_plan_review,,H2-历史最高线不高于等位分,-19,-19,220,right,M-672d4ef9450e4096,G-3adf7959372a709c
R2GROUP-20d5787c5333bfbd,专项,S2-农业/环境专项了解,稳妥观察,可了解-师范,师范类相关,false,K362,楚雄师范学院,K36203,2,06,化学（师范类：色觉异常及不能准确识别颜色者不予录取）,师范类相关,暂缓判断-特殊限制待核,体检或色觉限制,,,2,2,再选科目；专业计划数,P0-本轮候选/冲突/结构强阻断先核,H0-100%人工核验,true,has_page_hash_pending_manual_pdf_review,pending_hubei_official_plan_review,,H2-历史最高线不高于等位分,-19,-19,220,right,M-2221fd5bbd62adee,G-3adf7959372a709c
R2GROUP-20d5787c5333bfbd,专项,S2-农业/环境专项了解,稳妥观察,字段缺口待核,,false,K362,楚雄师范学院,K36203,3,07,葡萄与葡萄酒工程（身体条件要求详见学校招生章程）,,待了解-未命中当前偏好方向,,,,2,2,再选科目；专业计划数,P0-本轮候选/冲突/结构强阻断先核,H0-100%人工核验,true,has_page_hash_pending_manual_pdf_review,pending_hubei_official_plan_review,,H2-历史最高线不高于等位分,-19,-19,220,right,M-270b815604ba8a79,G-3adf7959372a709c
R2GROUP-20d5787c5333bfbd,专项,S2-农业/环境专项了解,稳妥观察,主线偏好-计算机/数字媒体,计算机AI软件；计算机类相关,false,K362,楚雄师范学院,K36203,4,08,人工智能,计算机类相关,优先了解-命中当前偏好方向,,,,3,2,再选科目；专业计划数,P0-本轮候选/冲突/结构强阻断先核,H0-100%人工核验,true,has_page_hash_pending_manual_pdf_review,pending_hubei_official_plan_review,,H2-历史最高线不高于等位分,-19,-19,220,right,M-445e864efef6cd07,G-3adf7959372a709c
R2GROUP-20d5787c5333bfbd,专项,S2-农业/环境专项了解,稳妥观察,可了解-农业相关,农业动医兽医,false,K362,楚雄师范学院,K36203,5,09,农学（作物遗传育种方向：色觉异常及不能准确识别颜色者不予录取）,,暂缓判断-特殊限制待核,体检或色觉限制,,,3,2,再选科目；专业计划数,P0-本轮候选/冲突/结构强阻断先核,H0-100%人工核验,true,has_page_hash_pending_manual_pdf_review,pending_hubei_official_plan_review,,H2-历史最高线不高于等位分,-19,-19,220,right,M-fb59cd3435e5f600,G-3adf7959372a709c
R2GROUP-25f23217a9242132,专项,S2-农业/环境专项了解,冲刺观察,可了解-师范,师范类相关,false,K002,海南热带海洋学院,K00205,1,14,数学与座用数学（师范类；办学地点：三亚校区）,师范类相关,优先了解-命中当前偏好方向,,化学,,2,1,专业计划数,P0-本轮候选/冲突/结构强阻断先核,H0-100%人工核验,true,has_page_hash_pending_manual_pdf_review,pending_hubei_official_plan_review,,H4-历史最高线高于等位分16-30分,29,6,200,right,M-18c3c3d39727a1e5,G-401bc94e6f16cf6b
R2GROUP-25f23217a9242132,专项,S2-农业/环境专项了解,冲刺观察,字段缺口待核,,false,K002,海南热带海洋学院,K00205,2,15,数据计算及应用（办学地点：三亚校,,待了解-未命中当前偏好方向,,,,4620,2,再选科目；专业计划数,P1-字段缺口和B0B1辅证优先核,H1-页列集中人工核验,false,has_page_hash_pending_manual_pdf_review,pending_hubei_official_plan_review,,H4-历史最高线高于等位分16-30分,29,6,200,right,M-1d9a3717770712bb,G-401bc94e6f16cf6b
R2GROUP-25f23217a9242132,专项,S2-农业/环境专项了解,冲刺观察,可了解-师范,师范类相关,false,K002,海南热带海洋学院,K00205,3,16,物理学（师范类：办学地点：三亚校区）,师范类相关,优先了解-命中当前偏好方向,,,,4620,2,再选科目；专业计划数,P1-字段缺口和B0B1辅证优先核,H1-页列集中人工核验,false,has_page_hash_pending_manual_pdf_review,pending_hubei_official_plan_review,,H4-历史最高线高于等位分16-30分,29,6,200,right,M-1a57831faef81c0d,G-401bc94e6f16cf6b
R2GROUP-25f23217a9242132,专项,S2-农业/环境专项了解,冲刺观察,字段缺口待核,,false,K002,海南热带海洋学院,K00205,4,17,化学（不招色弱、色盲、单色识别不全者：办学地点：三亚校区,,暂缓判断-特殊限制待核,体检或色觉限制,,,2,2,再选科目；专业计划数,P0-本轮候选/冲突/结构强阻断先核,H0-100%人工核验,true,has_page_hash_pending_manual_pdf_review,pending_hubei_official_plan_review,,H4-历史最高线高于等位分16-30分,29,6,200,right,M-9f828ce1c6e87720,G-401bc94e6f16cf6b
R2GROUP-25f23217a9242132,专项,S2-农业/环境专项了解,冲刺观察,字段缺口待核,,false,K002,海南热带海洋学院,K00205,5,18,海洋科学（不招色弱、色盲、单色识别不全者；办学地点：三亚校区）,,暂缓判断-特殊限制待核,体检或色觉限制,,,4620,2,再选科目；专业计划数,P1-字段缺口和B0B1辅证优先核,H1-页列集中人工核验,false,has_page_hash_pending_manual_pdf_review,pending_hubei_official_plan_review,,H4-历史最高线高于等位分16-30分,29,6,200,right,M-074db62eabc67a28,G-401bc94e6f16cf6b
R2GROUP-25f23217a9242132,专项,S2-农业/环境专项了解,冲刺观察,字段缺口待核,,false,K002,海南热带海洋学院,K00205,6,19,海洋技术（不招色弱、色盲、單色识别院校,,暂缓判断-特殊限制待核,体检或色觉限制,,,4620,2,再选科目；专业计划数,P1-字段缺口和B0B1辅证优先核,H1-页列集中人工核验,false,has_page_hash_pending_manual_pdf_review,pending_hubei_official_plan_review,,H4-历史最高线高于等位分16-30分,29,6,200,right,M-74773332862dd10a,G-401bc94e6f16cf6b
R2GROUP-25f23217a9242132,专项,S2-农业/环境专项了解,冲刺观察,字段缺口待核,,false,K002,海南热带海洋学院,K00205,7,1,组及专业代号不全者；办学地点：三亚校区）,,待了解-未命中当前偏好方向,,要求,,,2,专业计划数；学费,P0-本轮候选/冲突/结构强阻断先核,H0-100%人工核验,true,has_page_hash_pending_manual_pdf_review,pending_hubei_official_plan_review,,H4-历史最高线高于等位分16-30分,29,6,201,left,M-1af4ffd0f676fdcf,G-401bc94e6f16cf6b
R2GROUP-25f23217a9242132,专项,S2-农业/环境专项了解,冲刺观察,字段缺口待核,,false,K002,海南热带海洋学院,K00205,8,20,生物科学（不招色弱、色真、单色识别不全者：办学地点：三亚校区）,,暂缓判断-特殊限制待核,体检或色觉限制,,2,4620,1,再选科目,P0-本轮候选/冲突/结构强阻断先核,H0-100%人工核验,true,has_page_hash_pending_manual_pdf_review,pending_hubei_official_plan_review,,H4-历史最高线高于等位分16-30分,29,6,201,left,M-93a84d294d543dc4,G-401bc94e6f16cf6b
R2GROUP-25f23217a9242132,专项,S2-农业/环境专项了解,冲刺观察,字段缺口待核,,false,K002,海南热带海洋学院,K00205,9,21,生物技术（不招色弱、色育、单色识别不全者：办学地点：三亚校区）,,暂缓判断-特殊限制待核,体检或色觉限制,,2,4620,1,再选科目,P0-本轮候选/冲突/结构强阻断先核,H0-100%人工核验,true,has_page_hash_pending_manual_pdf_review,pending_hubei_official_plan_review,,H4-历史最高线高于等位分16-30分,29,6,201,left,M-83a16df86ee95a0c,G-401bc94e6f16cf6b
R2GROUP-25f23217a9242132,专项,S2-农业/环境专项了解,冲刺观察,主线偏好-工科信息制造,电子信息网络,false,K002,海南热带海洋学院,K00205,10,22,通信工程（办学地点：三亚校区）,,待了解-未命中当前偏好方向,,,2,4620,1,再选科目,P0-本轮候选/冲突/结构强阻断先核,H0-100%人工核验,true,has_page_hash_pending_manual_pdf_review,pending_hubei_official_plan_review,,H4-历史最高线高于等位分16-30分,29,6,201,left,M-b9ee1c065b82c6ab,G-401bc94e6f16cf6b
R2GROUP-25f23217a9242132,专项,S2-农业/环境专项了解,冲刺观察,主线偏好-计算机/数字媒体,计算机AI软件；计算机类相关,false,K002,海南热带海洋学院,K00205,11,23,计算机科学与技术（不招单色识别不全者：办学地点：三亚校区）,计算机类相关,暂缓判断-特殊限制待核,体检或色觉限制,,2,4620,1,再选科目,P0-本轮候选/冲突/结构强阻断先核,H0-100%人工核验,true,has_page_hash_pending_manual_pdf_review,pending_hubei_official_plan_review,,H4-历史最高线高于等位分16-30分,29,6,201,left,M-3427bd6ef22b295a,G-401bc94e6f16cf6b
R2GROUP-25f23217a9242132,专项,S2-农业/环境专项了解,冲刺观察,主线偏好-计算机/数字媒体,电子信息网络；计算机AI软件；计算机类相关,false,K002,海南热带海洋学院,K00205,12,24,网络工程（办学地点：三亚校区）,计算机类相关,优先了解-命中当前偏好方向,,,2,4620,1,再选科目,P0-本轮候选/冲突/结构强阻断先核,H0-100%人工核验,true,has_page_hash_pending_manual_pdf_review,pending_hubei_official_plan_review,,H4-历史最高线高于等位分16-30分,29,6,201,left,M-f36880abadf263b3,G-401bc94e6f16cf6b
R2GROUP-25f23217a9242132,专项,S2-农业/环境专项了解,冲刺观察,字段缺口待核,,false,K002,海南热带海洋学院,K00205,13,25,轮机工程（陆上方向；无红绿色宜，无复热身高 155cm 及以上，双眼操视力均能达到4.6（0.4）及以上；或双眼棵秘力均能到40（0.1）及以上，且矫正视力均能达到4.6（0.4）及以上；办学地点：三亚校区）,,待了解-未命中当前偏好方向,,,2,4620,1,再选科目,P0-本轮候选/冲突/结构强阻断先核,H0-100%人工核验,true,has_page_hash_pending_manual_pdf_review,pending_hubei_official_plan_review,,H4-历史最高线高于等位分16-30分,29,6,201,left,M-7ff3f891f35570b5,G-401bc94e6f16cf6b
R2GROUP-25f23217a9242132,专项,S2-农业/环境专项了解,冲刺观察,字段缺口待核,,false,K002,海南热带海洋学院,K00205,14,26,智葱海洋技术（办学地点：三亚校区）,,待了解-未命中当前偏好方向,,,2,4620,1,再选科目,P0-本轮候选/冲突/结构强阻断先核,H0-100%人工核验,true,has_page_hash_pending_manual_pdf_review,pending_hubei_official_plan_review,,H4-历史最高线高于等位分16-30分,29,6,201,left,M-3576db17a826f6fe,G-401bc94e6f16cf6b
R2GROUP-25f23217a9242132,专项,S2-农业/环境专项了解,冲刺观察,可了解-环境,环境工程科学,false,K002,海南热带海洋学院,K00205,15,27,环境工程（不报色弱、色真、单色识别不全者；办学地点：三亚校区）,,暂缓判断-特殊限制待核,体检或色觉限制,,2,4620,1,再选科目,P0-本轮候选/冲突/结构强阻断先核,H0-100%人工核验,true,has_page_hash_pending_manual_pdf_review,pending_hubei_official_plan_review,,H4-历史最高线高于等位分16-30分,29,6,201,left,M-51a614057f398424,G-401bc94e6f16cf6b
R2GROUP-25f23217a9242132,专项,S2-农业/环境专项了解,冲刺观察,字段缺口待核,,false,K002,海南热带海洋学院,K00205,16,28,食品科学与工程（不招色弱、色真、单色识别不全者：办学地点：三亚校区）,,暂缓判断-特殊限制待核,体检或色觉限制,,2,4620,1,再选科目,P0-本轮候选/冲突/结构强阻断先核,H0-100%人工核验,true,has_page_hash_pending_manual_pdf_review,pending_hubei_official_plan_review,,H4-历史最高线高于等位分16-30分,29,6,201,left,M-dcf9db265265256b,G-401bc94e6f16cf6b
R2GROUP-25f23217a9242132,专项,S2-农业/环境专项了解,冲刺观察,字段缺口待核,,false,K002,海南热带海洋学院,K00205,17,29,食品质量与安全（不招色弱、色真、单色识别不全者：办学地点：三亚校区）,,暂缓判断-特殊限制待核,体检或色觉限制,,2,4620,1,再选科目,P0-本轮候选/冲突/结构强阻断先核,H0-100%人工核验,true,has_page_hash_pending_manual_pdf_review,pending_hubei_official_plan_review,,H4-历史最高线高于等位分16-30分,29,6,201,left,M-9fef618e69951770,G-401bc94e6f16cf6b
R2GROUP-25f23217a9242132,专项,S2-农业/环境专项了解,冲刺观察,字段缺口待核,,false,K002,海南热带海洋学院,K00205,18,30,食品营养与健康（不招色弱、色盲、单色识别不全者；办学地点：三亚校区）,,暂缓判断-特殊限制待核,体检或色觉限制,,2,4620,1,再选科目,P0-本轮候选/冲突/结构强阻断先核,H0-100%人工核验,true,has_page_hash_pending_manual_pdf_review,pending_hubei_official_plan_review,,H4-历史最高线高于等位分16-30分,29,6,201,left,M-d1dc7c3878cbc239,G-401bc94e6f16cf6b
R2GROUP-25f23217a9242132,专项,S2-农业/环境专项了解,冲刺观察,可了解-农业相关,农业动医兽医,false,K002,海南热带海洋学院,K00205,19,31,园艺（不招色弱、色直、单色识别不全者：办学地点：三亚校区）,,暂缓判断-特殊限制待核,体检或色觉限制,,2,4180,1,再选科目,P0-本轮候选/冲突/结构强阻断先核,H0-100%人工核验,true,has_page_hash_pending_manual_pdf_review,pending_hubei_official_plan_review,,H4-历史最高线高于等位分16-30分,29,6,201,left,M-2fe4b62581a0e6dd,G-401bc94e6f16cf6b
R2GROUP-25f23217a9242132,专项,S2-农业/环境专项了解,冲刺观察,可了解-农业相关,农业动医兽医,false,K002,海南热带海洋学院,K00205,20,32,水产养殖学（不招色弱、色盲、单色识别不全者：办学地点：三亚校区）,,暂缓判断-特殊限制待核,体检或色觉限制,,2,4180,1,再选科目,P0-本轮候选/冲突/结构强阻断先核,H0-100%人工核验,true,has_page_hash_pending_manual_pdf_review,pending_hubei_official_plan_review,,H4-历史最高线高于等位分16-30分,29,6,201,left,M-7d19c229dc90447f,G-401bc94e6f16cf6b
R2GROUP-25f23217a9242132,专项,S2-农业/环境专项了解,冲刺观察,字段缺口待核,,false,K002,海南热带海洋学院,K00205,21,33,海洋渔业科学与技术（不招色弱、色单色识别不全者；办学地点：三亚,,暂缓判断-特殊限制待核,体检或色觉限制,,,4180,2,再选科目；专业计划数,P0-本轮候选/冲突/结构强阻断先核,H0-100%人工核验,true,has_page_hash_pending_manual_pdf_review,pending_hubei_official_plan_review,,H4-历史最高线高于等位分16-30分,29,6,201,left,M-c808953ce84763fd,G-401bc94e6f16cf6b
R2GROUP-2731ee35642b8923,专项,S2-农业/环境专项了解,高冲暂缓,字段缺口待核,,false,C117,武汉纺织大学,C11707,1,43,轻化工程（办学地点：阳光校区）,,待了解-未命中当前偏好方向,,,67,5850,1,再选科目,P0-本轮候选/冲突/结构强阻断先核,H0-100%人工核验,true,has_page_hash_pending_manual_pdf_review,pending_hubei_official_plan_review,,H5-历史最高线高于等位分30分以上,47,46,73,left,M-d89a43c58597e9ed,G-c6a4db412d40ab75
R2GROUP-2731ee35642b8923,专项,S2-农业/环境专项了解,高冲暂缓,字段缺口待核,,false,C117,武汉纺织大学,C11707,2,44,纺级工程（柔性电子与智能穿戴方向；办学地点：阳光校区）,,待了解-未命中当前偏好方向,,,35,5850,1,再选科目,P0-本轮候选/冲突/结构强阻断先核,H0-100%人工核验,true,has_page_hash_pending_manual_pdf_review,pending_hubei_official_plan_review,,H5-历史最高线高于等位分30分以上,47,46,73,left,M-76a94b74be04d40a,G-c6a4db412d40ab75
R2GROUP-2731ee35642b8923,专项,S2-农业/环境专项了解,高冲暂缓,字段缺口待核,,false,C117,武汉纺织大学,C11707,3,45,材料类（含高分子材料与工程、复合材料与工程专业；办学地点：阳光校区）,,待了解-未命中当前偏好方向,,,121,5850,1,再选科目,P0-本轮候选/冲突/结构强阻断先核,H0-100%人工核验,true,has_page_hash_pending_manual_pdf_review,pending_hubei_official_plan_review,,H5-历史最高线高于等位分30分以上,47,46,73,left,M-49f5ffb60009fd8f,G-c6a4db412d40ab75
R2GROUP-2731ee35642b8923,专项,S2-农业/环境专项了解,高冲暂缓,字段缺口待核,,false,C117,武汉纺织大学,C11707,4,46,新能源材料与器件（办学地点：阳光校,,待了解-未命中当前偏好方向,,,31,4500,1,再选科目,P0-本轮候选/冲突/结构强阻断先核,H0-100%人工核验,true,has_page_hash_pending_manual_pdf_review,pending_hubei_official_plan_review,,H5-历史最高线高于等位分30分以上,47,46,73,left,M-d7fdfcb6a90e2e25,G-c6a4db412d40ab75
R2GROUP-2731ee35642b8923,专项,S2-农业/环境专项了解,高冲暂缓,字段缺口待核,,false,C117,武汉纺织大学,C11707,5,47,化学类（含应用化学、化妆品技术与工程专业；办学地点：阳光校区）,,待了解-未命中当前偏好方向,,,92,5850,1,再选科目,P0-本轮候选/冲突/结构强阻断先核,H0-100%人工核验,true,has_page_hash_pending_manual_pdf_review,pending_hubei_official_plan_review,,H5-历史最高线高于等位分30分以上,47,46,73,left,M-8d7208c16e1dc543,G-c6a4db412d40ab75
R2GROUP-2731ee35642b8923,专项,S2-农业/环境专项了解,高冲暂缓,字段缺口待核,,false,C117,武汉纺织大学,C11707,6,48,化学工程与工艺（绿色与智能工程方向：办学地点：阳光校区）,,待了解-未命中当前偏好方向,,,44,5850,1,再选科目,P0-本轮候选/冲突/结构强阻断先核,H0-100%人工核验,true,has_page_hash_pending_manual_pdf_review,pending_hubei_official_plan_review,,H5-历史最高线高于等位分30分以上,47,46,73,left,M-7794d04a8806db35,G-c6a4db412d40ab75
