事实准出任务汇总ID,来源事实准出门禁账本,来源期号,来源PDF_SHA256,生成日期,数据阶段,主表粒度,任务粒度,最终可用,可进入下一阶段,可否进入最终志愿方案,是否允许作为志愿推荐依据,是否允许自动写回主表,是否允许官网证据替代湖北官方计划,是否允许生成学校专业建议,是否允许写回字段事实,是否允许进入私有写回评审,任务汇总序号,稳定基座第一闭环明细任务ID,第一闭环核验结果ID,第一闭环证据状态公开账本ID,第一闭环下一步动作ID,稳定基座第一闭环页列包ID,页码版面键,来源页码,版面列,专业行ID,专业组出现ID,院校代码,字段名,执行泳道,核验动作层级,第一闭环页列优先级,事实范围数,字段事实数,专业名归属事实数,专业组边界事实数,事实准出状态分布,事实准出阻断等级分布,事实类型分布,PDF待补事实数,湖北官方待补事实数,高校辅证待补事实数,冲突待处理事实数,双人复核待完成事实数,三方闭环待完成事实数,可进入私有写回评审事实数,事实集合SHA16,任务准出动作,公开安全策略
FCFACTRESTASK-c87300c910c8b64b,data/working/issue19-first-closure-fact-resolution-gate-v1-public-ledger.csv,湖北招生考试2026年19期·本科普通批（下）,ee61fc69389f24a9a7830167113cf0ddc0447f8fa4b2743cd3241be60a9bd86d,2026-06-29,issue19_first_closure_fact_resolution_gate_v1,第一闭环事实准出任务汇总,稳定基座第一闭环明细任务ID×事实准出门禁,false,false,false,false,false,false,false,false,false,50,FIRSTDETAIL-39187a6d7560b6e7,FIRSTRESULT-8777e0d117c4cf48,FIRSTEVID-1b979092936671a4,FIRSTNEXT-4b1b208e3900b6d7,FIRSTPAGE-b55961124bc8610b,226-left,226,left,M-896f6185282057cc,G-01338c1d774310d5,K486,专业计划数,E1-计划数补缺或偏大优先核验,N1-高校补缺线索回PDF原页,Q1-补缺或计划数偏大页列先核,3,3,0,0,blocked_b0_companion_pdf_hubei×3,G1-B0同页伴生事实阻断×3,字段事实-专业计划数×1；字段事实-再选科目×1；字段事实-学费×1,3,3,3,3,0,3,0,fca862c7b73b4cdb,任务内事实仍缺PDF原页和湖北官方侧闭环；不得写回字段事实或生成推荐。,not_final；resolution_gate_only；no_field_values；no_school_names；no_major_names；no_private_paths；no_ocr_text；no_recommendation
FCFACTRESTASK-18ed0b7f0420933b,data/working/issue19-first-closure-fact-resolution-gate-v1-public-ledger.csv,湖北招生考试2026年19期·本科普通批（下）,ee61fc69389f24a9a7830167113cf0ddc0447f8fa4b2743cd3241be60a9bd86d,2026-06-29,issue19_first_closure_fact_resolution_gate_v1,第一闭环事实准出任务汇总,稳定基座第一闭环明细任务ID×事实准出门禁,false,false,false,false,false,false,false,false,false,51,FIRSTDETAIL-393dba8354b77b5e,FIRSTRESULT-d5f1cc9595c73abd,FIRSTEVID-4edb65f15e1010da,FIRSTNEXT-043a03c5c6a87544,FIRSTPAGE-97ab0abc16a6bf85,199-left,199,left,M-c0e205bf9e212204,G-37268c0379be16ef,H945,专业计划数,E0-冲突异常双人优先核验,N0-先双人核PDF原页冲突,Q0-冲突页列第一批先核,3,3,0,0,blocked_w0_b0_core_pdf_hubei×3,G0-W0B0核心事实优先阻断×3,字段事实-专业计划数×1；字段事实-再选科目×1；字段事实-学费×1,3,3,3,3,3,3,0,72dbd36ec074040a,任务内事实仍缺PDF原页和湖北官方侧闭环；不得写回字段事实或生成推荐。,not_final；resolution_gate_only；no_field_values；no_school_names；no_major_names；no_private_paths；no_ocr_text；no_recommendation
FCFACTRESTASK-331133daefc6b86e,data/working/issue19-first-closure-fact-resolution-gate-v1-public-ledger.csv,湖北招生考试2026年19期·本科普通批（下）,ee61fc69389f24a9a7830167113cf0ddc0447f8fa4b2743cd3241be60a9bd86d,2026-06-29,issue19_first_closure_fact_resolution_gate_v1,第一闭环事实准出任务汇总,稳定基座第一闭环明细任务ID×事实准出门禁,false,false,false,false,false,false,false,false,false,52,FIRSTDETAIL-39dc41c06356c551,FIRSTRESULT-49995f51833d957c,FIRSTEVID-5794ade312c1f2f9,FIRSTNEXT-755187729131fc01,FIRSTPAGE-0f2775b71610686e,194-left,194,left,M-50cab57f432b5cdc,G-a0f68bc50be1b3be,H857,专业计划数,E0-冲突异常双人优先核验,N2-机器坐标辅助核PDF原页,Q0-冲突页列第一批先核,1,1,0,0,blocked_double_review_pdf_hubei×1,G3-双人复核待完成×1,字段事实-专业计划数×1,1,1,0,0,1,1,0,33d600220728e8f8,任务内事实仍缺PDF原页和湖北官方侧闭环；不得写回字段事实或生成推荐。,not_final；resolution_gate_only；no_field_values；no_school_names；no_major_names；no_private_paths；no_ocr_text；no_recommendation
FCFACTRESTASK-5c8f75749606ce9e,data/working/issue19-first-closure-fact-resolution-gate-v1-public-ledger.csv,湖北招生考试2026年19期·本科普通批（下）,ee61fc69389f24a9a7830167113cf0ddc0447f8fa4b2743cd3241be60a9bd86d,2026-06-29,issue19_first_closure_fact_resolution_gate_v1,第一闭环事实准出任务汇总,稳定基座第一闭环明细任务ID×事实准出门禁,false,false,false,false,false,false,false,false,false,53,FIRSTDETAIL-3a235d2d79010832,FIRSTRESULT-a12fd7d04d1e5e69,FIRSTEVID-5771050ff38b4912,FIRSTNEXT-20957d35b91392c6,FIRSTPAGE-878b34b3141f5010,235-right,235,right,M-d7bad17c82051950,G-98fa46f0f05ab76e,K753,专业计划数,E0-冲突异常双人优先核验,N2-机器坐标辅助核PDF原页,Q0-冲突页列第一批先核,1,1,0,0,blocked_double_review_pdf_hubei×1,G3-双人复核待完成×1,字段事实-专业计划数×1,1,1,0,0,1,1,0,1017561353dbe8da,任务内事实仍缺PDF原页和湖北官方侧闭环；不得写回字段事实或生成推荐。,not_final；resolution_gate_only；no_field_values；no_school_names；no_major_names；no_private_paths；no_ocr_text；no_recommendation
FCFACTRESTASK-0a19999646d34de5,data/working/issue19-first-closure-fact-resolution-gate-v1-public-ledger.csv,湖北招生考试2026年19期·本科普通批（下）,ee61fc69389f24a9a7830167113cf0ddc0447f8fa4b2743cd3241be60a9bd86d,2026-06-29,issue19_first_closure_fact_resolution_gate_v1,第一闭环事实准出任务汇总,稳定基座第一闭环明细任务ID×事实准出门禁,false,false,false,false,false,false,false,false,false,54,FIRSTDETAIL-3fddffa420d16af2,FIRSTRESULT-1e5822cb0b79452b,FIRSTEVID-2dab1b047422fd4c,FIRSTNEXT-079b07c2f9a80900,FIRSTPAGE-4c0f16a37d308b85,056-left,56,left,M-294c46ae6cb755d6,G-399026bbf2fbbc18,A195,专业计划数,E0-冲突异常双人优先核验,N0-先双人核PDF原页冲突,Q0-冲突页列第一批先核,3,3,0,0,blocked_w0_b0_core_pdf_hubei×3,G0-W0B0核心事实优先阻断×3,字段事实-专业计划数×1；字段事实-再选科目×1；字段事实-学费×1,3,3,3,3,0,3,0,4a67ae8930414c8e,任务内事实仍缺PDF原页和湖北官方侧闭环；不得写回字段事实或生成推荐。,not_final；resolution_gate_only；no_field_values；no_school_names；no_major_names；no_private_paths；no_ocr_text；no_recommendation
FCFACTRESTASK-f4c9e1a489ff23b3,data/working/issue19-first-closure-fact-resolution-gate-v1-public-ledger.csv,湖北招生考试2026年19期·本科普通批（下）,ee61fc69389f24a9a7830167113cf0ddc0447f8fa4b2743cd3241be60a9bd86d,2026-06-29,issue19_first_closure_fact_resolution_gate_v1,第一闭环事实准出任务汇总,稳定基座第一闭环明细任务ID×事实准出门禁,false,false,false,false,false,false,false,false,false,55,FIRSTDETAIL-400b9fb6c1658bc2,FIRSTRESULT-607ba0e60ddc0d31,FIRSTEVID-0b654cdca88174aa,FIRSTNEXT-0f90723e1d8235e2,FIRSTPAGE-ffc90431edf15154,018-left,18,left,M-03be14d5008a95f0,G-2432826275c85956,A033,专业计划数,E0-冲突异常双人优先核验,N5-多源一致仍待湖北官方侧,Q0-冲突页列第一批先核,3,3,0,0,blocked_b0_companion_pdf_hubei×3,G1-B0同页伴生事实阻断×3,字段事实-专业计划数×1；字段事实-再选科目×1；字段事实-学费×1,3,3,3,3,0,3,0,ef7b22031d2c6c3f,任务内事实仍缺PDF原页和湖北官方侧闭环；不得写回字段事实或生成推荐。,not_final；resolution_gate_only；no_field_values；no_school_names；no_major_names；no_private_paths；no_ocr_text；no_recommendation
FCFACTRESTASK-0955cc2378da7045,data/working/issue19-first-closure-fact-resolution-gate-v1-public-ledger.csv,湖北招生考试2026年19期·本科普通批（下）,ee61fc69389f24a9a7830167113cf0ddc0447f8fa4b2743cd3241be60a9bd86d,2026-06-29,issue19_first_closure_fact_resolution_gate_v1,第一闭环事实准出任务汇总,稳定基座第一闭环明细任务ID×事实准出门禁,false,false,false,false,false,false,false,false,false,56,FIRSTDETAIL-41a7cf56d34c7bb6,FIRSTRESULT-0b32265de9d2d4d3,FIRSTEVID-bf5c1a569a4dfda5,FIRSTNEXT-1fed206402586403,FIRSTPAGE-4c8c5f6279a32c04,070-right,70,right,M-6e01e1645d19ebfd,G-facec610841ca140,C108,专业计划数,E2-官网未匹配专业名归属核验,N4-PDFOCR候选人工确认,Q2-官网未匹配或高校辅证页列先核,3,2,1,0,blocked_regular_pdf_hubei×2；blocked_structure_pdf_hubei×1,G2-结构事实PDF湖北官方先行×1；G6-常规PDF湖北官方闭环待完成×2,专业名归属事实×1；字段事实-专业计划数×1；字段事实-学费×1,3,3,0,0,0,3,0,0c9ac594a7b46338,任务内事实仍缺PDF原页和湖北官方侧闭环；不得写回字段事实或生成推荐。,not_final；resolution_gate_only；no_field_values；no_school_names；no_major_names；no_private_paths；no_ocr_text；no_recommendation
FCFACTRESTASK-85481f5972d8a2e3,data/working/issue19-first-closure-fact-resolution-gate-v1-public-ledger.csv,湖北招生考试2026年19期·本科普通批（下）,ee61fc69389f24a9a7830167113cf0ddc0447f8fa4b2743cd3241be60a9bd86d,2026-06-29,issue19_first_closure_fact_resolution_gate_v1,第一闭环事实准出任务汇总,稳定基座第一闭环明细任务ID×事实准出门禁,false,false,false,false,false,false,false,false,false,57,FIRSTDETAIL-449c8df99faf6a51,FIRSTRESULT-0bea0269e26a2eed,FIRSTEVID-a05156f629fe265a,FIRSTNEXT-6206968b9e6d8d65,FIRSTPAGE-ffc90431edf15154,018-left,18,left,M-83af574ae53d478b,G-df1242f8618d3971,A033,专业计划数,E0-冲突异常双人优先核验,N3-无稳定候选人工看图,Q0-冲突页列第一批先核,1,1,0,0,blocked_b0_companion_pdf_hubei×1,G1-B0同页伴生事实阻断×1,字段事实-专业计划数×1,1,1,0,1,1,1,0,ea7856d75686b6f2,任务内事实仍缺PDF原页和湖北官方侧闭环；不得写回字段事实或生成推荐。,not_final；resolution_gate_only；no_field_values；no_school_names；no_major_names；no_private_paths；no_ocr_text；no_recommendation
FCFACTRESTASK-e47c23dd171df75c,data/working/issue19-first-closure-fact-resolution-gate-v1-public-ledger.csv,湖北招生考试2026年19期·本科普通批（下）,ee61fc69389f24a9a7830167113cf0ddc0447f8fa4b2743cd3241be60a9bd86d,2026-06-29,issue19_first_closure_fact_resolution_gate_v1,第一闭环事实准出任务汇总,稳定基座第一闭环明细任务ID×事实准出门禁,false,false,false,false,false,false,false,false,false,58,FIRSTDETAIL-4643d67c0c0e950d,FIRSTRESULT-8501fb7677e1e3af,FIRSTEVID-c2bdd6a96f13a2c3,FIRSTNEXT-e35053a1ae25be44,FIRSTPAGE-4c8c5f6279a32c04,070-right,70,right,M-f9c56d652fbb33cd,G-facec610841ca140,C108,专业计划数,E2-官网未匹配专业名归属核验,N4-PDFOCR候选人工确认,Q2-官网未匹配或高校辅证页列先核,3,2,1,0,blocked_regular_pdf_hubei×2；blocked_structure_pdf_hubei×1,G2-结构事实PDF湖北官方先行×1；G6-常规PDF湖北官方闭环待完成×2,专业名归属事实×1；字段事实-专业计划数×1；字段事实-学费×1,3,3,0,0,0,3,0,890bc37cd5a022e8,任务内事实仍缺PDF原页和湖北官方侧闭环；不得写回字段事实或生成推荐。,not_final；resolution_gate_only；no_field_values；no_school_names；no_major_names；no_private_paths；no_ocr_text；no_recommendation
FCFACTRESTASK-f63bd77f17d28f9d,data/working/issue19-first-closure-fact-resolution-gate-v1-public-ledger.csv,湖北招生考试2026年19期·本科普通批（下）,ee61fc69389f24a9a7830167113cf0ddc0447f8fa4b2743cd3241be60a9bd86d,2026-06-29,issue19_first_closure_fact_resolution_gate_v1,第一闭环事实准出任务汇总,稳定基座第一闭环明细任务ID×事实准出门禁,false,false,false,false,false,false,false,false,false,59,FIRSTDETAIL-46750a08eb17e822,FIRSTRESULT-52a7f8f9cac7ad73,FIRSTEVID-aaf058c80412e6b5,FIRSTNEXT-58c38d694d3cbc30,FIRSTPAGE-815b76bed7962001,169-right,169,right,M-7a3695c82b5953d6,G-69a8112ee16cf2ba,H450,专业计划数,E0-冲突异常双人优先核验,N3-无稳定候选人工看图,Q0-冲突页列第一批先核,1,1,0,0,blocked_b0_companion_pdf_hubei×1,G1-B0同页伴生事实阻断×1,字段事实-专业计划数×1,1,1,0,1,1,1,0,8fcbf83784269cd3,任务内事实仍缺PDF原页和湖北官方侧闭环；不得写回字段事实或生成推荐。,not_final；resolution_gate_only；no_field_values；no_school_names；no_major_names；no_private_paths；no_ocr_text；no_recommendation
FCFACTRESTASK-a6291f103345a808,data/working/issue19-first-closure-fact-resolution-gate-v1-public-ledger.csv,湖北招生考试2026年19期·本科普通批（下）,ee61fc69389f24a9a7830167113cf0ddc0447f8fa4b2743cd3241be60a9bd86d,2026-06-29,issue19_first_closure_fact_resolution_gate_v1,第一闭环事实准出任务汇总,稳定基座第一闭环明细任务ID×事实准出门禁,false,false,false,false,false,false,false,false,false,60,FIRSTDETAIL-4a2ece3f20087581,FIRSTRESULT-948c9b0c5e8421cf,FIRSTEVID-44742cd0581eb163,FIRSTNEXT-93f60a343afbbe82,FIRSTPAGE-ffc90431edf15154,018-left,18,left,M-fddc2e8a1a4582a1,G-2432826275c85956,A033,专业计划数,E0-冲突异常双人优先核验,N5-多源一致仍待湖北官方侧,Q0-冲突页列第一批先核,3,3,0,0,blocked_b0_companion_pdf_hubei×3,G1-B0同页伴生事实阻断×3,字段事实-专业计划数×1；字段事实-再选科目×1；字段事实-学费×1,3,3,3,3,0,3,0,7d6876db532f25da,任务内事实仍缺PDF原页和湖北官方侧闭环；不得写回字段事实或生成推荐。,not_final；resolution_gate_only；no_field_values；no_school_names；no_major_names；no_private_paths；no_ocr_text；no_recommendation
FCFACTRESTASK-7efbc58d3563154e,data/working/issue19-first-closure-fact-resolution-gate-v1-public-ledger.csv,湖北招生考试2026年19期·本科普通批（下）,ee61fc69389f24a9a7830167113cf0ddc0447f8fa4b2743cd3241be60a9bd86d,2026-06-29,issue19_first_closure_fact_resolution_gate_v1,第一闭环事实准出任务汇总,稳定基座第一闭环明细任务ID×事实准出门禁,false,false,false,false,false,false,false,false,false,61,FIRSTDETAIL-4a3b29ecc48bcddc,FIRSTRESULT-1e7a79de3c2fc5bf,FIRSTEVID-8e091b6eefbb83f2,FIRSTNEXT-5f4d8cdbe33b45bb,FIRSTPAGE-815b76bed7962001,169-right,169,right,M-8ba195c86a925e83,G-69a8112ee16cf2ba,H450,专业计划数,E0-冲突异常双人优先核验,N1-高校补缺线索回PDF原页,Q0-冲突页列第一批先核,3,3,0,0,blocked_b0_companion_pdf_hubei×3,G1-B0同页伴生事实阻断×3,字段事实-专业计划数×1；字段事实-再选科目×1；字段事实-学费×1,3,3,3,3,0,3,0,b897f1b02c72d536,任务内事实仍缺PDF原页和湖北官方侧闭环；不得写回字段事实或生成推荐。,not_final；resolution_gate_only；no_field_values；no_school_names；no_major_names；no_private_paths；no_ocr_text；no_recommendation
FCFACTRESTASK-878bc6e13b4610d5,data/working/issue19-first-closure-fact-resolution-gate-v1-public-ledger.csv,湖北招生考试2026年19期·本科普通批（下）,ee61fc69389f24a9a7830167113cf0ddc0447f8fa4b2743cd3241be60a9bd86d,2026-06-29,issue19_first_closure_fact_resolution_gate_v1,第一闭环事实准出任务汇总,稳定基座第一闭环明细任务ID×事实准出门禁,false,false,false,false,false,false,false,false,false,62,FIRSTDETAIL-4b301da384283fec,FIRSTRESULT-13f9b70f8a4854e5,FIRSTEVID-3e32b1aa0ab152cc,FIRSTNEXT-4e749382f3cb1229,FIRSTPAGE-cfa201a8f79e7d0e,082-right,82,right,M-3a229bd5e4d033ee,G-a0f94f54d9c97a68,C202,专业计划数,E1-计划数补缺或偏大优先核验,N2-机器坐标辅助核PDF原页,Q1-补缺或计划数偏大页列先核,1,1,0,0,blocked_double_review_pdf_hubei×1,G3-双人复核待完成×1,字段事实-专业计划数×1,1,1,0,0,1,1,0,a268794d8ac8bc48,任务内事实仍缺PDF原页和湖北官方侧闭环；不得写回字段事实或生成推荐。,not_final；resolution_gate_only；no_field_values；no_school_names；no_major_names；no_private_paths；no_ocr_text；no_recommendation
FCFACTRESTASK-3c81fd68afdfc48d,data/working/issue19-first-closure-fact-resolution-gate-v1-public-ledger.csv,湖北招生考试2026年19期·本科普通批（下）,ee61fc69389f24a9a7830167113cf0ddc0447f8fa4b2743cd3241be60a9bd86d,2026-06-29,issue19_first_closure_fact_resolution_gate_v1,第一闭环事实准出任务汇总,稳定基座第一闭环明细任务ID×事实准出门禁,false,false,false,false,false,false,false,false,false,63,FIRSTDETAIL-4be2297b222daff5,FIRSTRESULT-d0b9e6a796ec8981,FIRSTEVID-59c56c3253b3f63f,FIRSTNEXT-eb762260636fb720,FIRSTPAGE-b55961124bc8610b,226-left,226,left,M-eb18c68df6af2f4d,G-01338c1d774310d5,K486,专业计划数,E1-计划数补缺或偏大优先核验,N3-无稳定候选人工看图,Q1-补缺或计划数偏大页列先核,1,1,0,0,blocked_b0_companion_pdf_hubei×1,G1-B0同页伴生事实阻断×1,字段事实-专业计划数×1,1,1,0,1,1,1,0,995da3c524f45b09,任务内事实仍缺PDF原页和湖北官方侧闭环；不得写回字段事实或生成推荐。,not_final；resolution_gate_only；no_field_values；no_school_names；no_major_names；no_private_paths；no_ocr_text；no_recommendation
FCFACTRESTASK-3ef0530123f891d1,data/working/issue19-first-closure-fact-resolution-gate-v1-public-ledger.csv,湖北招生考试2026年19期·本科普通批（下）,ee61fc69389f24a9a7830167113cf0ddc0447f8fa4b2743cd3241be60a9bd86d,2026-06-29,issue19_first_closure_fact_resolution_gate_v1,第一闭环事实准出任务汇总,稳定基座第一闭环明细任务ID×事实准出门禁,false,false,false,false,false,false,false,false,false,64,FIRSTDETAIL-4e84b7d69fa1307d,FIRSTRESULT-9e082e99e28ceff4,FIRSTEVID-9d132e643fbfbfa0,FIRSTNEXT-eb4f8e277d8a4eec,FIRSTPAGE-b55961124bc8610b,226-left,226,left,M-697f5f955ecc00c8,G-01338c1d774310d5,K486,专业计划数,E1-计划数补缺或偏大优先核验,N2-机器坐标辅助核PDF原页,Q1-补缺或计划数偏大页列先核,1,1,0,0,blocked_b0_companion_pdf_hubei×1,G1-B0同页伴生事实阻断×1,字段事实-专业计划数×1,1,1,0,1,0,1,0,6197bfd16ed8ea4e,任务内事实仍缺PDF原页和湖北官方侧闭环；不得写回字段事实或生成推荐。,not_final；resolution_gate_only；no_field_values；no_school_names；no_major_names；no_private_paths；no_ocr_text；no_recommendation
FCFACTRESTASK-c52bbf7b08c471d5,data/working/issue19-first-closure-fact-resolution-gate-v1-public-ledger.csv,湖北招生考试2026年19期·本科普通批（下）,ee61fc69389f24a9a7830167113cf0ddc0447f8fa4b2743cd3241be60a9bd86d,2026-06-29,issue19_first_closure_fact_resolution_gate_v1,第一闭环事实准出任务汇总,稳定基座第一闭环明细任务ID×事实准出门禁,false,false,false,false,false,false,false,false,false,65,FIRSTDETAIL-4eefd8f052c8caa8,FIRSTRESULT-2d4e367be1e7dbb7,FIRSTEVID-387bc91cf04ddd03,FIRSTNEXT-602a28b2b675cdc8,FIRSTPAGE-4c0f16a37d308b85,056-left,56,left,M-0331ffd1db7621d2,G-399026bbf2fbbc18,A195,专业计划数,E0-冲突异常双人优先核验,N2-机器坐标辅助核PDF原页,Q0-冲突页列第一批先核,1,1,0,0,blocked_b0_companion_pdf_hubei×1,G1-B0同页伴生事实阻断×1,字段事实-专业计划数×1,1,1,0,1,0,1,0,9ab5c65397eb6e15,任务内事实仍缺PDF原页和湖北官方侧闭环；不得写回字段事实或生成推荐。,not_final；resolution_gate_only；no_field_values；no_school_names；no_major_names；no_private_paths；no_ocr_text；no_recommendation
FCFACTRESTASK-914d91d510e1a339,data/working/issue19-first-closure-fact-resolution-gate-v1-public-ledger.csv,湖北招生考试2026年19期·本科普通批（下）,ee61fc69389f24a9a7830167113cf0ddc0447f8fa4b2743cd3241be60a9bd86d,2026-06-29,issue19_first_closure_fact_resolution_gate_v1,第一闭环事实准出任务汇总,稳定基座第一闭环明细任务ID×事实准出门禁,false,false,false,false,false,false,false,false,false,66,FIRSTDETAIL-51b2b8463ec925df,FIRSTRESULT-f6eda864793dbef8,FIRSTEVID-b4e73c17588a7d00,FIRSTNEXT-38692a676ec0bf84,FIRSTPAGE-815b76bed7962001,169-right,169,right,M-4a71a2765412ac2a,G-69a8112ee16cf2ba,H450,专业计划数,E0-冲突异常双人优先核验,N3-无稳定候选人工看图,Q0-冲突页列第一批先核,1,1,0,0,blocked_b0_companion_pdf_hubei×1,G1-B0同页伴生事实阻断×1,字段事实-专业计划数×1,1,1,0,1,1,1,0,5d3a74482280f706,任务内事实仍缺PDF原页和湖北官方侧闭环；不得写回字段事实或生成推荐。,not_final；resolution_gate_only；no_field_values；no_school_names；no_major_names；no_private_paths；no_ocr_text；no_recommendation
FCFACTRESTASK-59452445ea932d19,data/working/issue19-first-closure-fact-resolution-gate-v1-public-ledger.csv,湖北招生考试2026年19期·本科普通批（下）,ee61fc69389f24a9a7830167113cf0ddc0447f8fa4b2743cd3241be60a9bd86d,2026-06-29,issue19_first_closure_fact_resolution_gate_v1,第一闭环事实准出任务汇总,稳定基座第一闭环明细任务ID×事实准出门禁,false,false,false,false,false,false,false,false,false,67,FIRSTDETAIL-5386851502856401,FIRSTRESULT-3ae21056a083958b,FIRSTEVID-b867f367b728454b,FIRSTNEXT-2c93d8d574d554ce,FIRSTPAGE-ffc90431edf15154,018-left,18,left,M-93d6111287b31e95,G-2432826275c85956,A033,专业计划数,E0-冲突异常双人优先核验,N2-机器坐标辅助核PDF原页,Q0-冲突页列第一批先核,1,1,0,0,blocked_b0_companion_pdf_hubei×1,G1-B0同页伴生事实阻断×1,字段事实-专业计划数×1,1,1,0,1,0,1,0,4daeedf0669fb38c,任务内事实仍缺PDF原页和湖北官方侧闭环；不得写回字段事实或生成推荐。,not_final；resolution_gate_only；no_field_values；no_school_names；no_major_names；no_private_paths；no_ocr_text；no_recommendation
FCFACTRESTASK-6113db8116d65e9b,data/working/issue19-first-closure-fact-resolution-gate-v1-public-ledger.csv,湖北招生考试2026年19期·本科普通批（下）,ee61fc69389f24a9a7830167113cf0ddc0447f8fa4b2743cd3241be60a9bd86d,2026-06-29,issue19_first_closure_fact_resolution_gate_v1,第一闭环事实准出任务汇总,稳定基座第一闭环明细任务ID×事实准出门禁,false,false,false,false,false,false,false,false,false,68,FIRSTDETAIL-55c641ecf7db1022,FIRSTRESULT-68e898d1e50896ec,FIRSTEVID-8a469f95bfbdee16,FIRSTNEXT-716ec367058120a0,FIRSTPAGE-815b76bed7962001,169-right,169,right,M-b4b8560bd289f9b5,G-69a8112ee16cf2ba,H450,专业计划数,E0-冲突异常双人优先核验,N1-高校补缺线索回PDF原页,Q0-冲突页列第一批先核,2,2,0,0,blocked_b0_companion_pdf_hubei×2,G1-B0同页伴生事实阻断×2,字段事实-专业计划数×1；字段事实-学费×1,2,2,2,2,0,2,0,3760d7c0259e6374,任务内事实仍缺PDF原页和湖北官方侧闭环；不得写回字段事实或生成推荐。,not_final；resolution_gate_only；no_field_values；no_school_names；no_major_names；no_private_paths；no_ocr_text；no_recommendation
FCFACTRESTASK-a722d30ea9c80686,data/working/issue19-first-closure-fact-resolution-gate-v1-public-ledger.csv,湖北招生考试2026年19期·本科普通批（下）,ee61fc69389f24a9a7830167113cf0ddc0447f8fa4b2743cd3241be60a9bd86d,2026-06-29,issue19_first_closure_fact_resolution_gate_v1,第一闭环事实准出任务汇总,稳定基座第一闭环明细任务ID×事实准出门禁,false,false,false,false,false,false,false,false,false,69,FIRSTDETAIL-58197f021c0a83a3,FIRSTRESULT-3bdea6f7f1123dd7,FIRSTEVID-051876c67f6e2636,FIRSTNEXT-fd282aeede1ab208,FIRSTPAGE-7826a50352856b5d,137-right,137,right,M-b0f0f795c8848022,G-995f78a388a7f2b5,H002,专业计划数,E0-冲突异常双人优先核验,N0-先双人核PDF原页冲突,Q0-冲突页列第一批先核,3,3,0,0,blocked_w0_b0_core_pdf_hubei×3,G0-W0B0核心事实优先阻断×3,字段事实-专业计划数×1；字段事实-再选科目×1；字段事实-学费×1,3,3,3,3,3,3,0,6cd550d59e11a9c0,任务内事实仍缺PDF原页和湖北官方侧闭环；不得写回字段事实或生成推荐。,not_final；resolution_gate_only；no_field_values；no_school_names；no_major_names；no_private_paths；no_ocr_text；no_recommendation
FCFACTRESTASK-c98132c77dace2b6,data/working/issue19-first-closure-fact-resolution-gate-v1-public-ledger.csv,湖北招生考试2026年19期·本科普通批（下）,ee61fc69389f24a9a7830167113cf0ddc0447f8fa4b2743cd3241be60a9bd86d,2026-06-29,issue19_first_closure_fact_resolution_gate_v1,第一闭环事实准出任务汇总,稳定基座第一闭环明细任务ID×事实准出门禁,false,false,false,false,false,false,false,false,false,70,FIRSTDETAIL-5bf24e503db69e71,FIRSTRESULT-2c2749a13d757998,FIRSTEVID-c553314f86a10787,FIRSTNEXT-267feb8dbb1da089,FIRSTPAGE-815b76bed7962001,169-right,169,right,M-7a3695c82b5953d6,G-69a8112ee16cf2ba,H450,专业计划数,E0-冲突异常双人优先核验,N1-高校补缺线索回PDF原页,Q0-冲突页列第一批先核,2,2,0,0,blocked_b0_companion_pdf_hubei×2,G1-B0同页伴生事实阻断×2,字段事实-专业计划数×1；字段事实-学费×1,2,2,2,2,0,2,0,686eaf555833d1cd,任务内事实仍缺PDF原页和湖北官方侧闭环；不得写回字段事实或生成推荐。,not_final；resolution_gate_only；no_field_values；no_school_names；no_major_names；no_private_paths；no_ocr_text；no_recommendation
FCFACTRESTASK-6fb3cd98a9133ae0,data/working/issue19-first-closure-fact-resolution-gate-v1-public-ledger.csv,湖北招生考试2026年19期·本科普通批（下）,ee61fc69389f24a9a7830167113cf0ddc0447f8fa4b2743cd3241be60a9bd86d,2026-06-29,issue19_first_closure_fact_resolution_gate_v1,第一闭环事实准出任务汇总,稳定基座第一闭环明细任务ID×事实准出门禁,false,false,false,false,false,false,false,false,false,71,FIRSTDETAIL-5c49755070b48e70,FIRSTRESULT-24a5dcff38507485,FIRSTEVID-1c241926627b99ed,FIRSTNEXT-5118a784e962c490,FIRSTPAGE-6bd94b5fb0abfec4,080-right,80,right,M-f68c394eeefc5273,G-43eaec6deac85123,C150,再选科目,E2-官网未匹配专业名归属核验,N3-无稳定候选人工看图,Q2-官网未匹配或高校辅证页列先核,2,1,1,0,blocked_double_review_pdf_hubei×1；blocked_structure_pdf_hubei×1,G2-结构事实PDF湖北官方先行×1；G3-双人复核待完成×1,专业名归属事实×1；字段事实-再选科目×1,2,2,0,0,2,2,0,7b14d1e5e2f9098c,任务内事实仍缺PDF原页和湖北官方侧闭环；不得写回字段事实或生成推荐。,not_final；resolution_gate_only；no_field_values；no_school_names；no_major_names；no_private_paths；no_ocr_text；no_recommendation
