官方不可得抽样私有预填公开审计ID,来源抽样页列执行队列,来源本地抽样复核Overlay,来源本地私有预填材料,来源湖北官方活体复查,来源期号,来源PDF_SHA256,数据阶段,主表粒度,任务粒度,最终可用,可进入下一阶段,是否允许作为志愿推荐依据,是否允许生成学校专业建议,是否允许自动写回主表,是否允许官网证据替代湖北官方计划,是否允许写回字段事实,来源页码,版面列,页码版面键,来源官方不可得抽样页列执行队列ID,执行队列总序,执行泳道,执行优先级,页列任务数,高风险100%核验明细数,C0冲突明细数,C1官网补缺明细数,C7官网未匹配明细数,C2强辅证抽样明细数,P3低风险抽样明细数,PDF原页必核明细数,湖北官方侧必核明细数,高校辅证需复核明细数,高校辅证待补源明细数,双人复核明细数,高校辅证线索明细数,高校专业名称线索明细数,高校计划数线索明细数,高校学费线索明细数,高校选科线索明细数,高校来源文件明细数,高校来源文件数,OCR计划数线索明细数,OCR学费线索明细数,OCR选科线索明细数,私有预填页列CSV证据编号,私有预填页列CSV_SHA256,私有预填材料状态,官方公开计划页可定稿,数智平台可定稿,字段事实写回状态,公开安全策略,下一步
SAMPLINGPREFILLAUDIT-f12976ddaf8b4c9c,data/working/issue19-official-unavailable-sampling-review-execution-queue.csv,local_sampling_review_overlay_not_public,local_sampling_triage_prefill_not_public,data/working/issue19-official-public-entry-live-recheck.json,湖北招生考试2026年19期·本科普通批（下）,ee61fc69389f24a9a7830167113cf0ddc0447f8fa4b2743cd3241be60a9bd86d,issue19_official_unavailable_sampling_triage_prefill_public_audit,PDF页码×版面列,PDF页码×版面列×官方不可得抽样私有预填审计,false,false,false,false,false,false,false,80,left,080-left,SAMPLINGEXECQ-0b253b8b45c42c8a,22,E3-C2强辅证抽检,03-强辅证样本抽检,1,0,0,0,0,1,0,1,1,1,0,0,1,1,1,1,1,1,2,1,1,0,SAMPLING-PREFILL-CSV-80-left,c9732d4508bc4d84e32b5a7c4abff996e2f187eb86174b15566c208f3bfcb123,private_sampling_triage_prefill_generated_not_reviewed,false,false,blocked_until_private_overlay_pdf_hubei_review_closed,公开层只保存页列计数和私有预填CSV的SHA；不公开高校线索值、OCR线索值、人工读数、私有路径或复核记录,人工按执行队列打开私有预填页列CSV和原页材料；核PDF原页、湖北官方侧和高校辅证后再回写私有Overlay
SAMPLINGPREFILLAUDIT-9e85636a6c8a0cb3,data/working/issue19-official-unavailable-sampling-review-execution-queue.csv,local_sampling_review_overlay_not_public,local_sampling_triage_prefill_not_public,data/working/issue19-official-public-entry-live-recheck.json,湖北招生考试2026年19期·本科普通批（下）,ee61fc69389f24a9a7830167113cf0ddc0447f8fa4b2743cd3241be60a9bd86d,issue19_official_unavailable_sampling_triage_prefill_public_audit,PDF页码×版面列,PDF页码×版面列×官方不可得抽样私有预填审计,false,false,false,false,false,false,false,101,left,101-left,SAMPLINGEXECQ-b0ed52fac9d035ee,23,E4-P3低风险抽检,04-低风险样本验收,1,0,0,0,0,0,1,1,1,0,1,0,0,0,0,0,0,0,0,1,1,1,SAMPLING-PREFILL-CSV-101-left,35daa988a9746873970fc77011b836dba063b189e20bf095479839b66f083af4,private_sampling_triage_prefill_generated_not_reviewed,false,false,blocked_until_private_overlay_pdf_hubei_review_closed,公开层只保存页列计数和私有预填CSV的SHA；不公开高校线索值、OCR线索值、人工读数、私有路径或复核记录,人工按执行队列打开私有预填页列CSV和原页材料；核PDF原页、湖北官方侧和高校辅证后再回写私有Overlay
SAMPLINGPREFILLAUDIT-0e4b2fb96fe3c0be,data/working/issue19-official-unavailable-sampling-review-execution-queue.csv,local_sampling_review_overlay_not_public,local_sampling_triage_prefill_not_public,data/working/issue19-official-public-entry-live-recheck.json,湖北招生考试2026年19期·本科普通批（下）,ee61fc69389f24a9a7830167113cf0ddc0447f8fa4b2743cd3241be60a9bd86d,issue19_official_unavailable_sampling_triage_prefill_public_audit,PDF页码×版面列,PDF页码×版面列×官方不可得抽样私有预填审计,false,false,false,false,false,false,false,102,left,102-left,SAMPLINGEXECQ-61845269f724e6ee,24,E4-P3低风险抽检,04-低风险样本验收,1,0,0,0,0,0,1,1,1,0,1,0,0,0,0,0,0,0,0,1,1,1,SAMPLING-PREFILL-CSV-102-left,1be036918e7364fce34162bd62e2b47f71d0aa14b4350e1fbceeb843f3396819,private_sampling_triage_prefill_generated_not_reviewed,false,false,blocked_until_private_overlay_pdf_hubei_review_closed,公开层只保存页列计数和私有预填CSV的SHA；不公开高校线索值、OCR线索值、人工读数、私有路径或复核记录,人工按执行队列打开私有预填页列CSV和原页材料；核PDF原页、湖北官方侧和高校辅证后再回写私有Overlay
SAMPLINGPREFILLAUDIT-f19bf4522f7dff8a,data/working/issue19-official-unavailable-sampling-review-execution-queue.csv,local_sampling_review_overlay_not_public,local_sampling_triage_prefill_not_public,data/working/issue19-official-public-entry-live-recheck.json,湖北招生考试2026年19期·本科普通批（下）,ee61fc69389f24a9a7830167113cf0ddc0447f8fa4b2743cd3241be60a9bd86d,issue19_official_unavailable_sampling_triage_prefill_public_audit,PDF页码×版面列,PDF页码×版面列×官方不可得抽样私有预填审计,false,false,false,false,false,false,false,103,right,103-right,SAMPLINGEXECQ-0f4aed19bba1d8e0,25,E4-P3低风险抽检,04-低风险样本验收,1,0,0,0,0,0,1,1,1,0,1,0,0,0,0,0,0,0,0,1,1,1,SAMPLING-PREFILL-CSV-103-right,c1ad5f84816b6f3c10d9712865c0547c0a59c114cd643fc6fb722f08bd3c5d02,private_sampling_triage_prefill_generated_not_reviewed,false,false,blocked_until_private_overlay_pdf_hubei_review_closed,公开层只保存页列计数和私有预填CSV的SHA；不公开高校线索值、OCR线索值、人工读数、私有路径或复核记录,人工按执行队列打开私有预填页列CSV和原页材料；核PDF原页、湖北官方侧和高校辅证后再回写私有Overlay
SAMPLINGPREFILLAUDIT-c19cda13cdae39b5,data/working/issue19-official-unavailable-sampling-review-execution-queue.csv,local_sampling_review_overlay_not_public,local_sampling_triage_prefill_not_public,data/working/issue19-official-public-entry-live-recheck.json,湖北招生考试2026年19期·本科普通批（下）,ee61fc69389f24a9a7830167113cf0ddc0447f8fa4b2743cd3241be60a9bd86d,issue19_official_unavailable_sampling_triage_prefill_public_audit,PDF页码×版面列,PDF页码×版面列×官方不可得抽样私有预填审计,false,false,false,false,false,false,false,105,right,105-right,SAMPLINGEXECQ-0a93d79416745ca4,26,E4-P3低风险抽检,04-低风险样本验收,1,0,0,0,0,0,1,1,1,0,1,0,0,0,0,0,0,0,0,1,1,1,SAMPLING-PREFILL-CSV-105-right,59c32f8b572f5766a818f2defe20385771e767cdcc320dba28efaf2bfc070d9a,private_sampling_triage_prefill_generated_not_reviewed,false,false,blocked_until_private_overlay_pdf_hubei_review_closed,公开层只保存页列计数和私有预填CSV的SHA；不公开高校线索值、OCR线索值、人工读数、私有路径或复核记录,人工按执行队列打开私有预填页列CSV和原页材料；核PDF原页、湖北官方侧和高校辅证后再回写私有Overlay
SAMPLINGPREFILLAUDIT-12d52508899fe4ac,data/working/issue19-official-unavailable-sampling-review-execution-queue.csv,local_sampling_review_overlay_not_public,local_sampling_triage_prefill_not_public,data/working/issue19-official-public-entry-live-recheck.json,湖北招生考试2026年19期·本科普通批（下）,ee61fc69389f24a9a7830167113cf0ddc0447f8fa4b2743cd3241be60a9bd86d,issue19_official_unavailable_sampling_triage_prefill_public_audit,PDF页码×版面列,PDF页码×版面列×官方不可得抽样私有预填审计,false,false,false,false,false,false,false,106,left,106-left,SAMPLINGEXECQ-e2ff8bcf19c15f6d,27,E4-P3低风险抽检,04-低风险样本验收,1,0,0,0,0,0,1,1,1,0,1,0,0,0,0,0,0,0,0,1,1,1,SAMPLING-PREFILL-CSV-106-left,b82d492b8055a9a22c33bcd63e0409c21c9bf7b70e0aef85444715f1fca5f351,private_sampling_triage_prefill_generated_not_reviewed,false,false,blocked_until_private_overlay_pdf_hubei_review_closed,公开层只保存页列计数和私有预填CSV的SHA；不公开高校线索值、OCR线索值、人工读数、私有路径或复核记录,人工按执行队列打开私有预填页列CSV和原页材料；核PDF原页、湖北官方侧和高校辅证后再回写私有Overlay
SAMPLINGPREFILLAUDIT-7c2151a22257938c,data/working/issue19-official-unavailable-sampling-review-execution-queue.csv,local_sampling_review_overlay_not_public,local_sampling_triage_prefill_not_public,data/working/issue19-official-public-entry-live-recheck.json,湖北招生考试2026年19期·本科普通批（下）,ee61fc69389f24a9a7830167113cf0ddc0447f8fa4b2743cd3241be60a9bd86d,issue19_official_unavailable_sampling_triage_prefill_public_audit,PDF页码×版面列,PDF页码×版面列×官方不可得抽样私有预填审计,false,false,false,false,false,false,false,107,left,107-left,SAMPLINGEXECQ-c648d189fc20ad65,28,E4-P3低风险抽检,04-低风险样本验收,1,0,0,0,0,0,1,1,1,0,1,0,0,0,0,0,0,0,0,1,1,1,SAMPLING-PREFILL-CSV-107-left,3df62acee3e1c407a5169a9f14f7e6485abd9674be21bd876f73b5d13fe8bffe,private_sampling_triage_prefill_generated_not_reviewed,false,false,blocked_until_private_overlay_pdf_hubei_review_closed,公开层只保存页列计数和私有预填CSV的SHA；不公开高校线索值、OCR线索值、人工读数、私有路径或复核记录,人工按执行队列打开私有预填页列CSV和原页材料；核PDF原页、湖北官方侧和高校辅证后再回写私有Overlay
SAMPLINGPREFILLAUDIT-45cc445bed3e1f49,data/working/issue19-official-unavailable-sampling-review-execution-queue.csv,local_sampling_review_overlay_not_public,local_sampling_triage_prefill_not_public,data/working/issue19-official-public-entry-live-recheck.json,湖北招生考试2026年19期·本科普通批（下）,ee61fc69389f24a9a7830167113cf0ddc0447f8fa4b2743cd3241be60a9bd86d,issue19_official_unavailable_sampling_triage_prefill_public_audit,PDF页码×版面列,PDF页码×版面列×官方不可得抽样私有预填审计,false,false,false,false,false,false,false,108,left,108-left,SAMPLINGEXECQ-9d43f0baffdb47ae,29,E4-P3低风险抽检,04-低风险样本验收,1,0,0,0,0,0,1,1,1,0,1,0,0,0,0,0,0,0,0,1,1,1,SAMPLING-PREFILL-CSV-108-left,1a02748a7b091bc1bb72738b3867ff4f6be151f9651daee5c765f364a6bd0fbc,private_sampling_triage_prefill_generated_not_reviewed,false,false,blocked_until_private_overlay_pdf_hubei_review_closed,公开层只保存页列计数和私有预填CSV的SHA；不公开高校线索值、OCR线索值、人工读数、私有路径或复核记录,人工按执行队列打开私有预填页列CSV和原页材料；核PDF原页、湖北官方侧和高校辅证后再回写私有Overlay
SAMPLINGPREFILLAUDIT-a1c8db3604e3105f,data/working/issue19-official-unavailable-sampling-review-execution-queue.csv,local_sampling_review_overlay_not_public,local_sampling_triage_prefill_not_public,data/working/issue19-official-public-entry-live-recheck.json,湖北招生考试2026年19期·本科普通批（下）,ee61fc69389f24a9a7830167113cf0ddc0447f8fa4b2743cd3241be60a9bd86d,issue19_official_unavailable_sampling_triage_prefill_public_audit,PDF页码×版面列,PDF页码×版面列×官方不可得抽样私有预填审计,false,false,false,false,false,false,false,109,right,109-right,SAMPLINGEXECQ-88c5fa8768957e32,30,E4-P3低风险抽检,04-低风险样本验收,1,0,0,0,0,0,1,1,1,0,1,0,0,0,0,0,0,0,0,1,1,1,SAMPLING-PREFILL-CSV-109-right,dd39a2e7251e3cdad5b9f7299b833ab12d01382c9df01d5ea132d00fc9ff7ee9,private_sampling_triage_prefill_generated_not_reviewed,false,false,blocked_until_private_overlay_pdf_hubei_review_closed,公开层只保存页列计数和私有预填CSV的SHA；不公开高校线索值、OCR线索值、人工读数、私有路径或复核记录,人工按执行队列打开私有预填页列CSV和原页材料；核PDF原页、湖北官方侧和高校辅证后再回写私有Overlay
SAMPLINGPREFILLAUDIT-6864748a11046b48,data/working/issue19-official-unavailable-sampling-review-execution-queue.csv,local_sampling_review_overlay_not_public,local_sampling_triage_prefill_not_public,data/working/issue19-official-public-entry-live-recheck.json,湖北招生考试2026年19期·本科普通批（下）,ee61fc69389f24a9a7830167113cf0ddc0447f8fa4b2743cd3241be60a9bd86d,issue19_official_unavailable_sampling_triage_prefill_public_audit,PDF页码×版面列,PDF页码×版面列×官方不可得抽样私有预填审计,false,false,false,false,false,false,false,110,left,110-left,SAMPLINGEXECQ-cc2a8148ee1092c6,31,E4-P3低风险抽检,04-低风险样本验收,1,0,0,0,0,0,1,1,1,0,1,0,0,0,0,0,0,0,0,1,1,1,SAMPLING-PREFILL-CSV-110-left,24cfc09b5d4e26cecc19fee6cc558195aa68179996a18b7df0e1e9c76407bce3,private_sampling_triage_prefill_generated_not_reviewed,false,false,blocked_until_private_overlay_pdf_hubei_review_closed,公开层只保存页列计数和私有预填CSV的SHA；不公开高校线索值、OCR线索值、人工读数、私有路径或复核记录,人工按执行队列打开私有预填页列CSV和原页材料；核PDF原页、湖北官方侧和高校辅证后再回写私有Overlay
SAMPLINGPREFILLAUDIT-da059c274f4a51cc,data/working/issue19-official-unavailable-sampling-review-execution-queue.csv,local_sampling_review_overlay_not_public,local_sampling_triage_prefill_not_public,data/working/issue19-official-public-entry-live-recheck.json,湖北招生考试2026年19期·本科普通批（下）,ee61fc69389f24a9a7830167113cf0ddc0447f8fa4b2743cd3241be60a9bd86d,issue19_official_unavailable_sampling_triage_prefill_public_audit,PDF页码×版面列,PDF页码×版面列×官方不可得抽样私有预填审计,false,false,false,false,false,false,false,111,left,111-left,SAMPLINGEXECQ-df348ef7bb648e79,32,E4-P3低风险抽检,04-低风险样本验收,1,0,0,0,0,0,1,1,1,0,1,0,0,0,0,0,0,0,0,1,1,1,SAMPLING-PREFILL-CSV-111-left,7bc449bc29ebbdb4234597a728954b424d2b46bfd7e62804631a56b55901f665,private_sampling_triage_prefill_generated_not_reviewed,false,false,blocked_until_private_overlay_pdf_hubei_review_closed,公开层只保存页列计数和私有预填CSV的SHA；不公开高校线索值、OCR线索值、人工读数、私有路径或复核记录,人工按执行队列打开私有预填页列CSV和原页材料；核PDF原页、湖北官方侧和高校辅证后再回写私有Overlay
SAMPLINGPREFILLAUDIT-8284d53afd2411c1,data/working/issue19-official-unavailable-sampling-review-execution-queue.csv,local_sampling_review_overlay_not_public,local_sampling_triage_prefill_not_public,data/working/issue19-official-public-entry-live-recheck.json,湖北招生考试2026年19期·本科普通批（下）,ee61fc69389f24a9a7830167113cf0ddc0447f8fa4b2743cd3241be60a9bd86d,issue19_official_unavailable_sampling_triage_prefill_public_audit,PDF页码×版面列,PDF页码×版面列×官方不可得抽样私有预填审计,false,false,false,false,false,false,false,112,left,112-left,SAMPLINGEXECQ-6a1d8426b7fbf9f3,33,E4-P3低风险抽检,04-低风险样本验收,1,0,0,0,0,0,1,1,1,0,1,0,0,0,0,0,0,0,0,1,1,1,SAMPLING-PREFILL-CSV-112-left,1c1698678111e634b2a88e9360d95a0b0ebf031c904515ed82ed6e6baaf47f7a,private_sampling_triage_prefill_generated_not_reviewed,false,false,blocked_until_private_overlay_pdf_hubei_review_closed,公开层只保存页列计数和私有预填CSV的SHA；不公开高校线索值、OCR线索值、人工读数、私有路径或复核记录,人工按执行队列打开私有预填页列CSV和原页材料；核PDF原页、湖北官方侧和高校辅证后再回写私有Overlay
SAMPLINGPREFILLAUDIT-5a0cc283cfa8dfc6,data/working/issue19-official-unavailable-sampling-review-execution-queue.csv,local_sampling_review_overlay_not_public,local_sampling_triage_prefill_not_public,data/working/issue19-official-public-entry-live-recheck.json,湖北招生考试2026年19期·本科普通批（下）,ee61fc69389f24a9a7830167113cf0ddc0447f8fa4b2743cd3241be60a9bd86d,issue19_official_unavailable_sampling_triage_prefill_public_audit,PDF页码×版面列,PDF页码×版面列×官方不可得抽样私有预填审计,false,false,false,false,false,false,false,113,right,113-right,SAMPLINGEXECQ-7f94a6d850bd4903,34,E4-P3低风险抽检,04-低风险样本验收,1,0,0,0,0,0,1,1,1,0,1,0,0,0,0,0,0,0,0,1,1,1,SAMPLING-PREFILL-CSV-113-right,857c450ef8a8753e4f432b8fd41a51de1692d0a7470a9e1d79e537157dfbd02b,private_sampling_triage_prefill_generated_not_reviewed,false,false,blocked_until_private_overlay_pdf_hubei_review_closed,公开层只保存页列计数和私有预填CSV的SHA；不公开高校线索值、OCR线索值、人工读数、私有路径或复核记录,人工按执行队列打开私有预填页列CSV和原页材料；核PDF原页、湖北官方侧和高校辅证后再回写私有Overlay
SAMPLINGPREFILLAUDIT-efe8b78ff913bb29,data/working/issue19-official-unavailable-sampling-review-execution-queue.csv,local_sampling_review_overlay_not_public,local_sampling_triage_prefill_not_public,data/working/issue19-official-public-entry-live-recheck.json,湖北招生考试2026年19期·本科普通批（下）,ee61fc69389f24a9a7830167113cf0ddc0447f8fa4b2743cd3241be60a9bd86d,issue19_official_unavailable_sampling_triage_prefill_public_audit,PDF页码×版面列,PDF页码×版面列×官方不可得抽样私有预填审计,false,false,false,false,false,false,false,114,left,114-left,SAMPLINGEXECQ-30352fdc770bcafe,35,E4-P3低风险抽检,04-低风险样本验收,1,0,0,0,0,0,1,1,1,0,1,0,0,0,0,0,0,0,0,1,1,1,SAMPLING-PREFILL-CSV-114-left,53fae15ea066720e8203cd9c972986a6156758b7bb2a47ce3fa25ac76d19faf0,private_sampling_triage_prefill_generated_not_reviewed,false,false,blocked_until_private_overlay_pdf_hubei_review_closed,公开层只保存页列计数和私有预填CSV的SHA；不公开高校线索值、OCR线索值、人工读数、私有路径或复核记录,人工按执行队列打开私有预填页列CSV和原页材料；核PDF原页、湖北官方侧和高校辅证后再回写私有Overlay
SAMPLINGPREFILLAUDIT-4cae14bc24460436,data/working/issue19-official-unavailable-sampling-review-execution-queue.csv,local_sampling_review_overlay_not_public,local_sampling_triage_prefill_not_public,data/working/issue19-official-public-entry-live-recheck.json,湖北招生考试2026年19期·本科普通批（下）,ee61fc69389f24a9a7830167113cf0ddc0447f8fa4b2743cd3241be60a9bd86d,issue19_official_unavailable_sampling_triage_prefill_public_audit,PDF页码×版面列,PDF页码×版面列×官方不可得抽样私有预填审计,false,false,false,false,false,false,false,116,right,116-right,SAMPLINGEXECQ-fbdc40f838969d69,36,E4-P3低风险抽检,04-低风险样本验收,1,0,0,0,0,0,1,1,1,0,1,0,0,0,0,0,0,0,0,1,1,1,SAMPLING-PREFILL-CSV-116-right,f3997e6b6c2cbde8e7771c2926c16bb394288f236ee3a0d743875c1245cf73b6,private_sampling_triage_prefill_generated_not_reviewed,false,false,blocked_until_private_overlay_pdf_hubei_review_closed,公开层只保存页列计数和私有预填CSV的SHA；不公开高校线索值、OCR线索值、人工读数、私有路径或复核记录,人工按执行队列打开私有预填页列CSV和原页材料；核PDF原页、湖北官方侧和高校辅证后再回写私有Overlay
SAMPLINGPREFILLAUDIT-072938d52532ee70,data/working/issue19-official-unavailable-sampling-review-execution-queue.csv,local_sampling_review_overlay_not_public,local_sampling_triage_prefill_not_public,data/working/issue19-official-public-entry-live-recheck.json,湖北招生考试2026年19期·本科普通批（下）,ee61fc69389f24a9a7830167113cf0ddc0447f8fa4b2743cd3241be60a9bd86d,issue19_official_unavailable_sampling_triage_prefill_public_audit,PDF页码×版面列,PDF页码×版面列×官方不可得抽样私有预填审计,false,false,false,false,false,false,false,117,left,117-left,SAMPLINGEXECQ-8a3f106cedf87a53,37,E4-P3低风险抽检,04-低风险样本验收,1,0,0,0,0,0,1,1,1,0,1,0,0,0,0,0,0,0,0,1,1,1,SAMPLING-PREFILL-CSV-117-left,1237785f54d30bac869a602364aaf48128de80479c928013243f627e58a9b9df,private_sampling_triage_prefill_generated_not_reviewed,false,false,blocked_until_private_overlay_pdf_hubei_review_closed,公开层只保存页列计数和私有预填CSV的SHA；不公开高校线索值、OCR线索值、人工读数、私有路径或复核记录,人工按执行队列打开私有预填页列CSV和原页材料；核PDF原页、湖北官方侧和高校辅证后再回写私有Overlay
SAMPLINGPREFILLAUDIT-de2e505c9d825676,data/working/issue19-official-unavailable-sampling-review-execution-queue.csv,local_sampling_review_overlay_not_public,local_sampling_triage_prefill_not_public,data/working/issue19-official-public-entry-live-recheck.json,湖北招生考试2026年19期·本科普通批（下）,ee61fc69389f24a9a7830167113cf0ddc0447f8fa4b2743cd3241be60a9bd86d,issue19_official_unavailable_sampling_triage_prefill_public_audit,PDF页码×版面列,PDF页码×版面列×官方不可得抽样私有预填审计,false,false,false,false,false,false,false,118,left,118-left,SAMPLINGEXECQ-5f547bdcfb167231,38,E4-P3低风险抽检,04-低风险样本验收,1,0,0,0,0,0,1,1,1,0,1,0,0,0,0,0,0,0,0,1,1,1,SAMPLING-PREFILL-CSV-118-left,0fdecd2ae6cbcd30fc3532e5841c21120ba38c55054c16c79fcd94de6718c3ce,private_sampling_triage_prefill_generated_not_reviewed,false,false,blocked_until_private_overlay_pdf_hubei_review_closed,公开层只保存页列计数和私有预填CSV的SHA；不公开高校线索值、OCR线索值、人工读数、私有路径或复核记录,人工按执行队列打开私有预填页列CSV和原页材料；核PDF原页、湖北官方侧和高校辅证后再回写私有Overlay
SAMPLINGPREFILLAUDIT-d9c301fdcd9d3126,data/working/issue19-official-unavailable-sampling-review-execution-queue.csv,local_sampling_review_overlay_not_public,local_sampling_triage_prefill_not_public,data/working/issue19-official-public-entry-live-recheck.json,湖北招生考试2026年19期·本科普通批（下）,ee61fc69389f24a9a7830167113cf0ddc0447f8fa4b2743cd3241be60a9bd86d,issue19_official_unavailable_sampling_triage_prefill_public_audit,PDF页码×版面列,PDF页码×版面列×官方不可得抽样私有预填审计,false,false,false,false,false,false,false,120,right,120-right,SAMPLINGEXECQ-f2b407b18c1dba5c,39,E4-P3低风险抽检,04-低风险样本验收,1,0,0,0,0,0,1,1,1,0,1,0,0,0,0,0,0,0,0,1,1,1,SAMPLING-PREFILL-CSV-120-right,411071791f24aa01428e32c9302dc1cf60dcfee8e2316a526b5e1ab76c2585d7,private_sampling_triage_prefill_generated_not_reviewed,false,false,blocked_until_private_overlay_pdf_hubei_review_closed,公开层只保存页列计数和私有预填CSV的SHA；不公开高校线索值、OCR线索值、人工读数、私有路径或复核记录,人工按执行队列打开私有预填页列CSV和原页材料；核PDF原页、湖北官方侧和高校辅证后再回写私有Overlay
SAMPLINGPREFILLAUDIT-c79ec0c709fa46c9,data/working/issue19-official-unavailable-sampling-review-execution-queue.csv,local_sampling_review_overlay_not_public,local_sampling_triage_prefill_not_public,data/working/issue19-official-public-entry-live-recheck.json,湖北招生考试2026年19期·本科普通批（下）,ee61fc69389f24a9a7830167113cf0ddc0447f8fa4b2743cd3241be60a9bd86d,issue19_official_unavailable_sampling_triage_prefill_public_audit,PDF页码×版面列,PDF页码×版面列×官方不可得抽样私有预填审计,false,false,false,false,false,false,false,121,left,121-left,SAMPLINGEXECQ-7870242d5fb94a7b,40,E4-P3低风险抽检,04-低风险样本验收,1,0,0,0,0,0,1,1,1,0,1,0,0,0,0,0,0,0,0,1,1,1,SAMPLING-PREFILL-CSV-121-left,b4f47c646beb53d2defb1b28aeb66d357e8cbbd042415bfada30fcc3d8c8635e,private_sampling_triage_prefill_generated_not_reviewed,false,false,blocked_until_private_overlay_pdf_hubei_review_closed,公开层只保存页列计数和私有预填CSV的SHA；不公开高校线索值、OCR线索值、人工读数、私有路径或复核记录,人工按执行队列打开私有预填页列CSV和原页材料；核PDF原页、湖北官方侧和高校辅证后再回写私有Overlay
SAMPLINGPREFILLAUDIT-79e60e3dba67e656,data/working/issue19-official-unavailable-sampling-review-execution-queue.csv,local_sampling_review_overlay_not_public,local_sampling_triage_prefill_not_public,data/working/issue19-official-public-entry-live-recheck.json,湖北招生考试2026年19期·本科普通批（下）,ee61fc69389f24a9a7830167113cf0ddc0447f8fa4b2743cd3241be60a9bd86d,issue19_official_unavailable_sampling_triage_prefill_public_audit,PDF页码×版面列,PDF页码×版面列×官方不可得抽样私有预填审计,false,false,false,false,false,false,false,122,left,122-left,SAMPLINGEXECQ-5f4908300f03169b,41,E4-P3低风险抽检,04-低风险样本验收,1,0,0,0,0,0,1,1,1,0,1,0,0,0,0,0,0,0,0,1,1,1,SAMPLING-PREFILL-CSV-122-left,b5c9f54320777bed7f1628a4dd93df8e09de1952bd524ec82c097db9eec313de,private_sampling_triage_prefill_generated_not_reviewed,false,false,blocked_until_private_overlay_pdf_hubei_review_closed,公开层只保存页列计数和私有预填CSV的SHA；不公开高校线索值、OCR线索值、人工读数、私有路径或复核记录,人工按执行队列打开私有预填页列CSV和原页材料；核PDF原页、湖北官方侧和高校辅证后再回写私有Overlay
SAMPLINGPREFILLAUDIT-b28afb2b2224a385,data/working/issue19-official-unavailable-sampling-review-execution-queue.csv,local_sampling_review_overlay_not_public,local_sampling_triage_prefill_not_public,data/working/issue19-official-public-entry-live-recheck.json,湖北招生考试2026年19期·本科普通批（下）,ee61fc69389f24a9a7830167113cf0ddc0447f8fa4b2743cd3241be60a9bd86d,issue19_official_unavailable_sampling_triage_prefill_public_audit,PDF页码×版面列,PDF页码×版面列×官方不可得抽样私有预填审计,false,false,false,false,false,false,false,124,left,124-left,SAMPLINGEXECQ-e701508a87210e7d,42,E4-P3低风险抽检,04-低风险样本验收,1,0,0,0,0,0,1,1,1,0,1,0,0,0,0,0,0,0,0,1,1,1,SAMPLING-PREFILL-CSV-124-left,6f81b5dd4556a37071e284e3461041bf922b187ca9ae0cd3d1403384d416087a,private_sampling_triage_prefill_generated_not_reviewed,false,false,blocked_until_private_overlay_pdf_hubei_review_closed,公开层只保存页列计数和私有预填CSV的SHA；不公开高校线索值、OCR线索值、人工读数、私有路径或复核记录,人工按执行队列打开私有预填页列CSV和原页材料；核PDF原页、湖北官方侧和高校辅证后再回写私有Overlay
SAMPLINGPREFILLAUDIT-053d1282c14836b2,data/working/issue19-official-unavailable-sampling-review-execution-queue.csv,local_sampling_review_overlay_not_public,local_sampling_triage_prefill_not_public,data/working/issue19-official-public-entry-live-recheck.json,湖北招生考试2026年19期·本科普通批（下）,ee61fc69389f24a9a7830167113cf0ddc0447f8fa4b2743cd3241be60a9bd86d,issue19_official_unavailable_sampling_triage_prefill_public_audit,PDF页码×版面列,PDF页码×版面列×官方不可得抽样私有预填审计,false,false,false,false,false,false,false,125,left,125-left,SAMPLINGEXECQ-421c44d0d245ccbb,43,E4-P3低风险抽检,04-低风险样本验收,1,0,0,0,0,0,1,1,1,0,1,0,0,0,0,0,0,0,0,1,1,1,SAMPLING-PREFILL-CSV-125-left,207546bd6aba17c4482dd4865825273dcb87d8733be09b853eba591708ae637e,private_sampling_triage_prefill_generated_not_reviewed,false,false,blocked_until_private_overlay_pdf_hubei_review_closed,公开层只保存页列计数和私有预填CSV的SHA；不公开高校线索值、OCR线索值、人工读数、私有路径或复核记录,人工按执行队列打开私有预填页列CSV和原页材料；核PDF原页、湖北官方侧和高校辅证后再回写私有Overlay
SAMPLINGPREFILLAUDIT-deb76d72d9bad073,data/working/issue19-official-unavailable-sampling-review-execution-queue.csv,local_sampling_review_overlay_not_public,local_sampling_triage_prefill_not_public,data/working/issue19-official-public-entry-live-recheck.json,湖北招生考试2026年19期·本科普通批（下）,ee61fc69389f24a9a7830167113cf0ddc0447f8fa4b2743cd3241be60a9bd86d,issue19_official_unavailable_sampling_triage_prefill_public_audit,PDF页码×版面列,PDF页码×版面列×官方不可得抽样私有预填审计,false,false,false,false,false,false,false,126,left,126-left,SAMPLINGEXECQ-132e484d56e846e2,44,E4-P3低风险抽检,04-低风险样本验收,1,0,0,0,0,0,1,1,1,0,1,0,0,0,0,0,0,0,0,1,1,1,SAMPLING-PREFILL-CSV-126-left,cbcaadfd2f5b40e90c43de3fd7743463d8c2cdfd837fff8f09bccd4c7bd11627,private_sampling_triage_prefill_generated_not_reviewed,false,false,blocked_until_private_overlay_pdf_hubei_review_closed,公开层只保存页列计数和私有预填CSV的SHA；不公开高校线索值、OCR线索值、人工读数、私有路径或复核记录,人工按执行队列打开私有预填页列CSV和原页材料；核PDF原页、湖北官方侧和高校辅证后再回写私有Overlay
