页级闭环索引ID,来源逐专业闭环批次表,来源期号,来源PDF_SHA256,数据阶段,索引粒度,最终可用,可进入下一阶段,PDF页码,页级执行总序,页面专业明细数,涉及院校数,涉及专业组数,C0_P0主批次专业明细数,C1字段缺口主批次专业明细数,C2官网辅证主批次专业明细数,C3常规三方主批次专业明细数,C4低风险抽检主批次专业明细数,含官网辅证任务专业明细数,B0B1官网差异专业明细数,有高校官网来源线索专业明细数,偏好专业明细数,数字媒体技术专业明细数,计算机类相关专业明细数,师范类相关专业明细数,字段缺口字段Top,首个专业行ID,首个院校代码,首个院校名称OCR,首要核验动作,下一步
CLOSEPAGE-35e995c107a71cae,data/working/issue19-foundation-closure-major-batches.csv,湖北招生考试2026年19期·本科普通批（下）,ee61fc69389f24a9a7830167113cf0ddc0447f8fa4b2743cd3241be60a9bd86d,issue19_foundation_closure_page_index,PDF页码,false,false,73,80,80,3,11,20,57,0,3,0,15,15,15,24,0,10,15,再选科目；专业计划数,M-3159a7e9c382c0ab,C125,武汉轻工大学,回看PDF原页并同步补湖北官方系统/高校官网证据,按页批量回看PDF原页，完成页内逐专业字段和组边界核验；页级索引不得替代逐专业明细。
CLOSEPAGE-b888b29826bb53dc,data/working/issue19-foundation-closure-major-batches.csv,湖北招生考试2026年19期·本科普通批（下）,ee61fc69389f24a9a7830167113cf0ddc0447f8fa4b2743cd3241be60a9bd86d,issue19_foundation_closure_page_index,PDF页码,false,false,80,85,77,2,12,77,0,0,0,0,33,33,33,16,1,10,5,再选科目；专业计划数；学费,M-84ca8e8a7015890d,C150,武汉商学院,回看PDF原页并同步补湖北官方系统/高校官网证据,按页批量回看PDF原页，完成页内逐专业字段和组边界核验；页级索引不得替代逐专业明细。
CLOSEPAGE-2952aeca0fe15cf3,data/working/issue19-foundation-closure-major-batches.csv,湖北招生考试2026年19期·本科普通批（下）,ee61fc69389f24a9a7830167113cf0ddc0447f8fa4b2743cd3241be60a9bd86d,issue19_foundation_closure_page_index,PDF页码,false,false,199,93,78,8,14,50,26,0,2,0,12,12,12,14,2,11,1,再选科目；学费；专业计划数,M-428c631bc321e966,H945,南宁学院,回看PDF原页并同步补湖北官方系统/高校官网证据,按页批量回看PDF原页，完成页内逐专业字段和组边界核验；页级索引不得替代逐专业明细。
CLOSEPAGE-acfdd18ea7f4a2ba,data/working/issue19-foundation-closure-major-batches.csv,湖北招生考试2026年19期·本科普通批（下）,ee61fc69389f24a9a7830167113cf0ddc0447f8fa4b2743cd3241be60a9bd86d,issue19_foundation_closure_page_index,PDF页码,false,false,209,104,56,3,11,35,18,0,1,2,32,32,32,14,1,13,0,再选科目；专业计划数；学费,M-86d92f5ab218e665,K153,成都信息工程大学,回看PDF原页并同步补湖北官方系统/高校官网证据,按页批量回看PDF原页，完成页内逐专业字段和组边界核验；页级索引不得替代逐专业明细。
CLOSEPAGE-b37f6ddcefad7e86,data/working/issue19-foundation-closure-major-batches.csv,湖北招生考试2026年19期·本科普通批（下）,ee61fc69389f24a9a7830167113cf0ddc0447f8fa4b2743cd3241be60a9bd86d,issue19_foundation_closure_page_index,PDF页码,false,false,88,112,94,4,11,49,40,0,5,0,0,0,0,13,1,8,4,再选科目；专业计划数；学费,M-2d24aa4396077230,C223,武汉文理学院,回看PDF原页并同步补湖北官方系统/高校官网证据,按页批量回看PDF原页，完成页内逐专业字段和组边界核验；页级索引不得替代逐专业明细。
CLOSEPAGE-be461a0cd1fda052,data/working/issue19-foundation-closure-major-batches.csv,湖北招生考试2026年19期·本科普通批（下）,ee61fc69389f24a9a7830167113cf0ddc0447f8fa4b2743cd3241be60a9bd86d,issue19_foundation_closure_page_index,PDF页码,false,false,84,114,67,4,10,25,36,0,6,0,0,0,0,17,1,16,0,再选科目；专业计划数；学费,M-1685834ed88fbfa2,C206,汉口学院,回看PDF原页并同步补湖北官方系统/高校官网证据,按页批量回看PDF原页，完成页内逐专业字段和组边界核验；页级索引不得替代逐专业明细。
CLOSEPAGE-d54ad009d179ae34,data/working/issue19-foundation-closure-major-batches.csv,湖北招生考试2026年19期·本科普通批（下）,ee61fc69389f24a9a7830167113cf0ddc0447f8fa4b2743cd3241be60a9bd86d,issue19_foundation_closure_page_index,PDF页码,false,false,76,116,89,2,12,27,54,0,4,4,0,0,0,11,1,9,1,再选科目；专业计划数,M-ec6f4125435b4c8b,C130,湖北工业大学,回看PDF原页并同步补湖北官方系统/高校官网证据,按页批量回看PDF原页，完成页内逐专业字段和组边界核验；页级索引不得替代逐专业明细。
CLOSEPAGE-3c26dffc8a2e8804,data/working/issue19-foundation-closure-major-batches.csv,湖北招生考试2026年19期·本科普通批（下）,ee61fc69389f24a9a7830167113cf0ddc0447f8fa4b2743cd3241be60a9bd86d,issue19_foundation_closure_page_index,PDF页码,false,false,86,117,84,4,13,47,34,0,3,0,0,0,0,13,1,12,0,再选科目；专业计划数；学费,M-a92d65c7392d44dc,C215,武昌理工学院,回看PDF原页并同步补湖北官方系统/高校官网证据,按页批量回看PDF原页，完成页内逐专业字段和组边界核验；页级索引不得替代逐专业明细。
CLOSEPAGE-cae91e45aed80f3a,data/working/issue19-foundation-closure-major-batches.csv,湖北招生考试2026年19期·本科普通批（下）,ee61fc69389f24a9a7830167113cf0ddc0447f8fa4b2743cd3241be60a9bd86d,issue19_foundation_closure_page_index,PDF页码,false,false,240,118,29,5,7,21,8,0,0,0,10,10,10,7,1,6,0,专业计划数；再选科目,M-5c66f78bb93b6057,X502,新疆天山职业技术大学,回看PDF原页并同步补湖北官方系统/高校官网证据,按页批量回看PDF原页，完成页内逐专业字段和组边界核验；页级索引不得替代逐专业明细。
CLOSEPAGE-16b06bd9b738835e,data/working/issue19-foundation-closure-major-batches.csv,湖北招生考试2026年19期·本科普通批（下）,ee61fc69389f24a9a7830167113cf0ddc0447f8fa4b2743cd3241be60a9bd86d,issue19_foundation_closure_page_index,PDF页码,false,false,89,120,99,5,10,41,54,0,4,0,0,0,0,22,1,19,2,再选科目；学费；专业计划数,M-fe88a8e11c838ab7,C228,武汉纺织大学外经贸学院,回看PDF原页并同步补湖北官方系统/高校官网证据,按页批量回看PDF原页，完成页内逐专业字段和组边界核验；页级索引不得替代逐专业明细。
CLOSEPAGE-812ed4562d321136,data/working/issue19-foundation-closure-major-batches.csv,湖北招生考试2026年19期·本科普通批（下）,ee61fc69389f24a9a7830167113cf0ddc0447f8fa4b2743cd3241be60a9bd86d,issue19_foundation_closure_page_index,PDF页码,false,false,97,124,64,10,22,34,26,0,3,1,0,0,0,11,1,10,0,再选科目；专业计划数；学费,M-6e080440bc14b818,F143,天津理工大学中环信息学院,回看PDF原页并同步补湖北官方系统/高校官网证据,按页批量回看PDF原页，完成页内逐专业字段和组边界核验；页级索引不得替代逐专业明细。
CLOSEPAGE-12f0de3dc76e067d,data/working/issue19-foundation-closure-major-batches.csv,湖北招生考试2026年19期·本科普通批（下）,ee61fc69389f24a9a7830167113cf0ddc0447f8fa4b2743cd3241be60a9bd86d,issue19_foundation_closure_page_index,PDF页码,false,false,118,132,52,4,15,15,31,0,5,1,0,0,0,6,1,5,0,再选科目；专业计划数,M-de219f80a9de3f3f,F547,大连东软信息学院,回看PDF原页并同步补湖北官方系统/高校官网证据,按页批量回看PDF原页，完成页内逐专业字段和组边界核验；页级索引不得替代逐专业明细。
CLOSEPAGE-40bd001563085fc3,data/working/issue19-foundation-closure-major-batches.csv,湖北招生考试2026年19期·本科普通批（下）,ee61fc69389f24a9a7830167113cf0ddc0447f8fa4b2743cd3241be60a9bd86d,issue19_foundation_closure_page_index,PDF页码,false,false,123,138,58,11,21,20,30,0,8,0,0,0,0,15,1,8,6,再选科目；专业计划数；学费,M-863f3119888e7f84,F652,长春大学旅游学院,回看PDF原页并同步补湖北官方系统/高校官网证据,按页批量回看PDF原页，完成页内逐专业字段和组边界核验；页级索引不得替代逐专业明细。
CLOSEPAGE-2a2b47bf21a372f2,data/working/issue19-foundation-closure-major-batches.csv,湖北招生考试2026年19期·本科普通批（下）,ee61fc69389f24a9a7830167113cf0ddc0447f8fa4b2743cd3241be60a9bd86d,issue19_foundation_closure_page_index,PDF页码,false,false,142,144,65,11,15,23,38,0,4,0,0,0,0,13,1,12,0,再选科目；专业计划数；学费,M-af7102514a8f4011,H062,浙江越秀外国语学院,回看PDF原页并同步补湖北官方系统/高校官网证据,按页批量回看PDF原页，完成页内逐专业字段和组边界核验；页级索引不得替代逐专业明细。
CLOSEPAGE-fa755791d0509bb0,data/working/issue19-foundation-closure-major-batches.csv,湖北招生考试2026年19期·本科普通批（下）,ee61fc69389f24a9a7830167113cf0ddc0447f8fa4b2743cd3241be60a9bd86d,issue19_foundation_closure_page_index,PDF页码,false,false,139,145,57,9,17,19,28,0,8,2,0,0,0,14,1,6,7,再选科目；专业计划数；学费,M-8d11d218cdec777e,F014,首都经济贸易大学,回看PDF原页并同步补湖北官方系统/高校官网证据,按页批量回看PDF原页，完成页内逐专业字段和组边界核验；页级索引不得替代逐专业明细。
CLOSEPAGE-f47aea8bdcbd1179,data/working/issue19-foundation-closure-major-batches.csv,湖北招生考试2026年19期·本科普通批（下）,ee61fc69389f24a9a7830167113cf0ddc0447f8fa4b2743cd3241be60a9bd86d,issue19_foundation_closure_page_index,PDF页码,false,false,143,146,46,4,7,5,38,0,3,0,0,0,0,5,1,4,0,再选科目；专业计划数；学费,M-1ef61f8581019268,H116,安徽大学,回看PDF原页并同步补湖北官方系统/高校官网证据,按页批量回看PDF原页，完成页内逐专业字段和组边界核验；页级索引不得替代逐专业明细。
CLOSEPAGE-c837307a9a2ad4d0,data/working/issue19-foundation-closure-major-batches.csv,湖北招生考试2026年19期·本科普通批（下）,ee61fc69389f24a9a7830167113cf0ddc0447f8fa4b2743cd3241be60a9bd86d,issue19_foundation_closure_page_index,PDF页码,false,false,198,148,51,9,19,29,22,0,0,0,8,8,8,20,1,16,3,专业计划数；再选科目；学费,M-b66f69a9e9134744,H945,南宁学院,回看PDF原页并同步补湖北官方系统/高校官网证据,按页批量回看PDF原页，完成页内逐专业字段和组边界核验；页级索引不得替代逐专业明细。
CLOSEPAGE-13682ac418603aa0,data/working/issue19-foundation-closure-major-batches.csv,湖北招生考试2026年19期·本科普通批（下）,ee61fc69389f24a9a7830167113cf0ddc0447f8fa4b2743cd3241be60a9bd86d,issue19_foundation_closure_page_index,PDF页码,false,false,150,151,54,6,9,22,29,0,3,0,0,0,0,10,1,9,0,再选科目；专业计划数；学费,M-a517ac1223e94562,H272,阳光学院,回看PDF原页并同步补湖北官方系统/高校官网证据,按页批量回看PDF原页，完成页内逐专业字段和组边界核验；页级索引不得替代逐专业明细。
CLOSEPAGE-0159a99ed28b0581,data/working/issue19-foundation-closure-major-batches.csv,湖北招生考试2026年19期·本科普通批（下）,ee61fc69389f24a9a7830167113cf0ddc0447f8fa4b2743cd3241be60a9bd86d,issue19_foundation_closure_page_index,PDF页码,false,false,161,156,64,9,14,35,27,0,2,0,0,0,0,19,1,18,0,再选科目；学费；专业计划数,M-28b99dd70ac81035,H371,南昌工学院,回看PDF原页并同步补湖北官方系统/高校官网证据,按页批量回看PDF原页，完成页内逐专业字段和组边界核验；页级索引不得替代逐专业明细。
CLOSEPAGE-49e3d046636e06b2,data/working/issue19-foundation-closure-major-batches.csv,湖北招生考试2026年19期·本科普通批（下）,ee61fc69389f24a9a7830167113cf0ddc0447f8fa4b2743cd3241be60a9bd86d,issue19_foundation_closure_page_index,PDF页码,false,false,217,159,52,6,16,42,7,0,0,3,33,33,33,6,0,6,0,再选科目；专业计划数,M-b7139c922dbc3c6a,K345,云南大学,回看PDF原页并同步补湖北官方系统/高校官网证据,按页批量回看PDF原页，完成页内逐专业字段和组边界核验；页级索引不得替代逐专业明细。
CLOSEPAGE-af06318c33c8e41c,data/working/issue19-foundation-closure-major-batches.csv,湖北招生考试2026年19期·本科普通批（下）,ee61fc69389f24a9a7830167113cf0ddc0447f8fa4b2743cd3241be60a9bd86d,issue19_foundation_closure_page_index,PDF页码,false,false,223,162,67,6,15,22,39,0,4,2,19,19,19,9,0,9,0,再选科目；专业计划数,M-dd8ef508d85596c0,K465,西安建筑科技大学,回看PDF原页并同步补湖北官方系统/高校官网证据,按页批量回看PDF原页，完成页内逐专业字段和组边界核验；页级索引不得替代逐专业明细。
CLOSEPAGE-bcf814ab41506290,data/working/issue19-foundation-closure-major-batches.csv,湖北招生考试2026年19期·本科普通批（下）,ee61fc69389f24a9a7830167113cf0ddc0447f8fa4b2743cd3241be60a9bd86d,issue19_foundation_closure_page_index,PDF页码,false,false,184,183,85,8,17,52,27,0,6,0,0,0,0,25,2,16,7,再选科目；专业计划数；学费,M-246358dc3c9f296a,H719,湖南涉外经济学院,回看PDF原页并同步补湖北官方系统/高校官网证据,按页批量回看PDF原页，完成页内逐专业字段和组边界核验；页级索引不得替代逐专业明细。
CLOSEPAGE-1e7b95c5614637fd,data/working/issue19-foundation-closure-major-batches.csv,湖北招生考试2026年19期·本科普通批（下）,ee61fc69389f24a9a7830167113cf0ddc0447f8fa4b2743cd3241be60a9bd86d,issue19_foundation_closure_page_index,PDF页码,false,false,202,187,57,7,17,30,27,0,0,0,0,0,0,10,1,7,2,专业计划数；再选科目；学费,M-49013e87eefc0167,K035,海口经济学院,回看PDF原页并同步补湖北官方系统/高校官网证据,按页批量回看PDF原页，完成页内逐专业字段和组边界核验；页级索引不得替代逐专业明细。
CLOSEPAGE-3be76cc016a8c850,data/working/issue19-foundation-closure-major-batches.csv,湖北招生考试2026年19期·本科普通批（下）,ee61fc69389f24a9a7830167113cf0ddc0447f8fa4b2743cd3241be60a9bd86d,issue19_foundation_closure_page_index,PDF页码,false,false,207,190,57,9,15,10,43,0,3,1,0,0,0,11,1,9,1,再选科目；专业计划数；学费,M-0f315f43bb15d962,K117,重庆对外经贸学院,回看PDF原页并同步补湖北官方系统/高校官网证据,按页批量回看PDF原页，完成页内逐专业字段和组边界核验；页级索引不得替代逐专业明细。
CLOSEPAGE-7b52009b64fd0a2a,data/working/issue19-foundation-closure-major-batches.csv,湖北招生考试2026年19期·本科普通批（下）,ee61fc69389f24a9a7830167113cf0ddc0447f8fa4b2743cd3241be60a9bd86d,issue19_foundation_closure_page_index,PDF页码,false,false,12,192,24,2,7,14,9,0,1,0,0,0,0,8,0,8,0,专业计划数；再选科目,M-9b1c792298668996,A007,北京理工大学,回看PDF原页并同步补湖北官方系统/高校官网证据,按页批量回看PDF原页，完成页内逐专业字段和组边界核验；页级索引不得替代逐专业明细。
CLOSEPAGE-bd307a3ec329e10a,data/working/issue19-foundation-closure-major-batches.csv,湖北招生考试2026年19期·本科普通批（下）,ee61fc69389f24a9a7830167113cf0ddc0447f8fa4b2743cd3241be60a9bd86d,issue19_foundation_closure_page_index,PDF页码,false,false,13,194,31,3,9,11,18,0,2,0,0,0,0,6,0,6,0,再选科目；专业计划数；学费,M-6e9b0a2433ace642,A008,北京科技大学,回看PDF原页并同步补湖北官方系统/高校官网证据,按页批量回看PDF原页，完成页内逐专业字段和组边界核验；页级索引不得替代逐专业明细。
CLOSEPAGE-fa35e192121eabf3,data/working/issue19-foundation-closure-major-batches.csv,湖北招生考试2026年19期·本科普通批（下）,ee61fc69389f24a9a7830167113cf0ddc0447f8fa4b2743cd3241be60a9bd86d,issue19_foundation_closure_page_index,PDF页码,false,false,14,195,33,2,8,22,11,0,0,0,0,0,0,9,0,9,0,专业计划数；再选科目；学费,M-806ece1718bfc5d1,A013,北京邮电大学,回看PDF原页并同步补湖北官方系统/高校官网证据,按页批量回看PDF原页，完成页内逐专业字段和组边界核验；页级索引不得替代逐专业明细。
CLOSEPAGE-19187dc98dce52fa,data/working/issue19-foundation-closure-major-batches.csv,湖北招生考试2026年19期·本科普通批（下）,ee61fc69389f24a9a7830167113cf0ddc0447f8fa4b2743cd3241be60a9bd86d,issue19_foundation_closure_page_index,PDF页码,false,false,213,196,54,10,17,29,22,0,3,0,3,3,3,14,3,11,0,再选科目；专业计划数；学费,M-cb61dd329424a3fc,K219,成都锦城学院,回看PDF原页并同步补湖北官方系统/高校官网证据,按页批量回看PDF原页，完成页内逐专业字段和组边界核验；页级索引不得替代逐专业明细。
CLOSEPAGE-b1d5781111d84f7b,data/working/issue19-foundation-closure-major-batches.csv,湖北招生考试2026年19期·本科普通批（下）,ee61fc69389f24a9a7830167113cf0ddc0447f8fa4b2743cd3241be60a9bd86d,issue19_foundation_closure_page_index,PDF页码,false,false,10,202,33,3,4,6,25,0,2,0,0,0,0,8,0,8,0,再选科目；专业计划数,M-ae5f8f4c7caefb14,A002,中国人民大学,回看PDF原页并同步补湖北官方系统/高校官网证据,按页批量回看PDF原页，完成页内逐专业字段和组边界核验；页级索引不得替代逐专业明细。
CLOSEPAGE-91032ad7bbcb6cf7,data/working/issue19-foundation-closure-major-batches.csv,湖北招生考试2026年19期·本科普通批（下）,ee61fc69389f24a9a7830167113cf0ddc0447f8fa4b2743cd3241be60a9bd86d,issue19_foundation_closure_page_index,PDF页码,false,false,20,204,30,3,4,14,16,0,0,0,0,0,0,11,0,11,0,再选科目；专业计划数,M-f377d9f45a14de7e,A056,天津大学,回看PDF原页并同步补湖北官方系统/高校官网证据,按页批量回看PDF原页，完成页内逐专业字段和组边界核验；页级索引不得替代逐专业明细。
CLOSEPAGE-9a70776c743352cf,data/working/issue19-foundation-closure-major-batches.csv,湖北招生考试2026年19期·本科普通批（下）,ee61fc69389f24a9a7830167113cf0ddc0447f8fa4b2743cd3241be60a9bd86d,issue19_foundation_closure_page_index,PDF页码,false,false,221,211,60,11,20,21,33,0,6,0,0,0,0,14,1,10,3,再选科目；专业计划数,M-463a6d4f5ad4e16c,K399,滇池学院,回看PDF原页并同步补湖北官方系统/高校官网证据,按页批量回看PDF原页，完成页内逐专业字段和组边界核验；页级索引不得替代逐专业明细。
CLOSEPAGE-472b07b9fcf2c245,data/working/issue19-foundation-closure-major-batches.csv,湖北招生考试2026年19期·本科普通批（下）,ee61fc69389f24a9a7830167113cf0ddc0447f8fa4b2743cd3241be60a9bd86d,issue19_foundation_closure_page_index,PDF页码,false,false,21,215,55,4,9,4,48,0,3,0,0,0,0,12,0,12,0,再选科目；专业计划数；学费,M-119a432718eba33c,A071,大连理工大学,回看PDF原页并同步补湖北官方系统/高校官网证据,按页批量回看PDF原页，完成页内逐专业字段和组边界核验；页级索引不得替代逐专业明细。
CLOSEPAGE-f6e1126cedebf23e,data/working/issue19-foundation-closure-major-batches.csv,湖北招生考试2026年19期·本科普通批（下）,ee61fc69389f24a9a7830167113cf0ddc0447f8fa4b2743cd3241be60a9bd86d,issue19_foundation_closure_page_index,PDF页码,false,false,25,217,40,3,19,2,28,0,4,6,0,0,0,5,0,5,0,再选科目；专业计划数,M-4dc843eb87d4f979,A083,哈尔滨工业大学,回看PDF原页并同步补湖北官方系统/高校官网证据,按页批量回看PDF原页，完成页内逐专业字段和组边界核验；页级索引不得替代逐专业明细。
CLOSEPAGE-4d134bc072212ace,data/working/issue19-foundation-closure-major-batches.csv,湖北招生考试2026年19期·本科普通批（下）,ee61fc69389f24a9a7830167113cf0ddc0447f8fa4b2743cd3241be60a9bd86d,issue19_foundation_closure_page_index,PDF页码,false,false,24,219,31,3,13,12,18,0,1,0,0,0,0,19,0,13,7,专业计划数；再选科目,M-58d62dcd21af9211,A083,哈尔滨工业大学,回看PDF原页并同步补湖北官方系统/高校官网证据,按页批量回看PDF原页，完成页内逐专业字段和组边界核验；页级索引不得替代逐专业明细。
CLOSEPAGE-bc33ea4e26e5e1af,data/working/issue19-foundation-closure-major-batches.csv,湖北招生考试2026年19期·本科普通批（下）,ee61fc69389f24a9a7830167113cf0ddc0447f8fa4b2743cd3241be60a9bd86d,issue19_foundation_closure_page_index,PDF页码,false,false,27,220,36,3,7,7,25,0,3,1,0,0,0,13,0,13,0,再选科目；专业计划数,M-4d002731d5d8c2ea,A093,上海交通大学,回看PDF原页并同步补湖北官方系统/高校官网证据,按页批量回看PDF原页，完成页内逐专业字段和组边界核验；页级索引不得替代逐专业明细。
CLOSEPAGE-7719a1c782a1ba91,data/working/issue19-foundation-closure-major-batches.csv,湖北招生考试2026年19期·本科普通批（下）,ee61fc69389f24a9a7830167113cf0ddc0447f8fa4b2743cd3241be60a9bd86d,issue19_foundation_closure_page_index,PDF页码,false,false,29,223,41,5,9,16,22,0,3,0,0,0,0,16,0,16,0,再选科目；专业计划数；学费,M-6921b215780dfb4c,A101,上海外国语大学,回看PDF原页并同步补湖北官方系统/高校官网证据,按页批量回看PDF原页，完成页内逐专业字段和组边界核验；页级索引不得替代逐专业明细。
CLOSEPAGE-22d200f8670dbdb3,data/working/issue19-foundation-closure-major-batches.csv,湖北招生考试2026年19期·本科普通批（下）,ee61fc69389f24a9a7830167113cf0ddc0447f8fa4b2743cd3241be60a9bd86d,issue19_foundation_closure_page_index,PDF页码,false,false,30,229,44,3,6,7,36,0,1,0,0,0,0,8,0,8,0,再选科目；专业计划数；学费,M-306154cfc7f1544a,A111,南京航空航天大学,回看PDF原页并同步补湖北官方系统/高校官网证据,按页批量回看PDF原页，完成页内逐专业字段和组边界核验；页级索引不得替代逐专业明细。
CLOSEPAGE-1d513c0bcbe33b2e,data/working/issue19-foundation-closure-major-batches.csv,湖北招生考试2026年19期·本科普通批（下）,ee61fc69389f24a9a7830167113cf0ddc0447f8fa4b2743cd3241be60a9bd86d,issue19_foundation_closure_page_index,PDF页码,false,false,81,237,64,7,17,42,21,0,0,1,2,2,2,20,0,6,14,再选科目；专业计划数,M-41b02b5d8de0b251,C150,武汉商学院,回看PDF原页并同步补湖北官方系统/高校官网证据,按页批量回看PDF原页，完成页内逐专业字段和组边界核验；页级索引不得替代逐专业明细。
CLOSEPAGE-0a57cb53ba59c46f,data/working/issue19-foundation-closure-major-batches.csv,湖北招生考试2026年19期·本科普通批（下）,ee61fc69389f24a9a7830167113cf0ddc0447f8fa4b2743cd3241be60a9bd86d,issue19_foundation_closure_page_index,PDF页码,false,false,28,239,34,2,4,20,14,0,0,0,0,0,0,6,0,5,1,再选科目；专业计划数,M-df8cebc4b8e7573f,A097,东华大学,回看PDF原页并同步补湖北官方系统/高校官网证据,按页批量回看PDF原页，完成页内逐专业字段和组边界核验；页级索引不得替代逐专业明细。
CLOSEPAGE-cb4e5208b4cd8726,data/working/issue19-foundation-closure-major-batches.csv,湖北招生考试2026年19期·本科普通批（下）,ee61fc69389f24a9a7830167113cf0ddc0447f8fa4b2743cd3241be60a9bd86d,issue19_foundation_closure_page_index,PDF页码,false,false,32,240,45,2,9,12,33,0,0,0,0,0,0,8,0,8,0,专业计划数；再选科目,M-c970ba818f70bf09,A119,江南大学,回看PDF原页并同步补湖北官方系统/高校官网证据,按页批量回看PDF原页，完成页内逐专业字段和组边界核验；页级索引不得替代逐专业明细。
CLOSEPAGE-b4182bff4b3cf75f,data/working/issue19-foundation-closure-major-batches.csv,湖北招生考试2026年19期·本科普通批（下）,ee61fc69389f24a9a7830167113cf0ddc0447f8fa4b2743cd3241be60a9bd86d,issue19_foundation_closure_page_index,PDF页码,false,false,128,242,50,9,18,20,29,0,1,0,0,0,0,10,1,7,2,再选科目；专业计划数,M-584c19eff1139cdc,F743,哈尔滨远东理工学院,回看PDF原页并同步补湖北官方系统/高校官网证据,按页批量回看PDF原页，完成页内逐专业字段和组边界核验；页级索引不得替代逐专业明细。
CLOSEPAGE-b6692ea5df920cad,data/working/issue19-foundation-closure-major-batches.csv,湖北招生考试2026年19期·本科普通批（下）,ee61fc69389f24a9a7830167113cf0ddc0447f8fa4b2743cd3241be60a9bd86d,issue19_foundation_closure_page_index,PDF页码,false,false,33,244,55,3,22,9,36,0,0,10,0,0,0,2,0,2,0,再选科目；专业计划数；学费,M-fc54433e6fda2e66,A119,江南大学,回看PDF原页并同步补湖北官方系统/高校官网证据,按页批量回看PDF原页，完成页内逐专业字段和组边界核验；页级索引不得替代逐专业明细。
CLOSEPAGE-5b384ce32d8cdef0,data/working/issue19-foundation-closure-major-batches.csv,湖北招生考试2026年19期·本科普通批（下）,ee61fc69389f24a9a7830167113cf0ddc0447f8fa4b2743cd3241be60a9bd86d,issue19_foundation_closure_page_index,PDF页码,false,false,38,248,56,2,6,16,40,0,0,0,0,0,0,11,0,11,0,专业计划数；再选科目,M-484bc6758fff89d7,A141,武汉大学,回看PDF原页并同步补湖北官方系统/高校官网证据,按页批量回看PDF原页，完成页内逐专业字段和组边界核验；页级索引不得替代逐专业明细。
CLOSEPAGE-5b7d26c4d99b9229,data/working/issue19-foundation-closure-major-batches.csv,湖北招生考试2026年19期·本科普通批（下）,ee61fc69389f24a9a7830167113cf0ddc0447f8fa4b2743cd3241be60a9bd86d,issue19_foundation_closure_page_index,PDF页码,false,false,238,249,60,12,13,15,38,0,5,2,0,0,0,12,1,11,0,再选科目；专业计划数；学费,M-08aaee7b292e4856,M684,上海中侨职业技术大学,回看PDF原页并同步补湖北官方系统/高校官网证据,按页批量回看PDF原页，完成页内逐专业字段和组边界核验；页级索引不得替代逐专业明细。
CLOSEPAGE-887309d048beef83,data/working/issue19-foundation-closure-major-batches.csv,湖北招生考试2026年19期·本科普通批（下）,ee61fc69389f24a9a7830167113cf0ddc0447f8fa4b2743cd3241be60a9bd86d,issue19_foundation_closure_page_index,PDF页码,false,false,26,251,50,3,6,15,34,0,1,0,0,0,0,10,0,10,0,专业计划数；再选科目；学费,M-8ef509984d5d40d8,A087,东北林业大学,回看PDF原页并同步补湖北官方系统/高校官网证据,按页批量回看PDF原页，完成页内逐专业字段和组边界核验；页级索引不得替代逐专业明细。
CLOSEPAGE-f1f836cb4ea6efb2,data/working/issue19-foundation-closure-major-batches.csv,湖北招生考试2026年19期·本科普通批（下）,ee61fc69389f24a9a7830167113cf0ddc0447f8fa4b2743cd3241be60a9bd86d,issue19_foundation_closure_page_index,PDF页码,false,false,34,252,41,3,8,17,24,0,0,0,0,0,0,10,0,10,0,专业计划数；再选科目；学费,M-6bdb0f7071b584f7,A123,中国药科大学,回看PDF原页并同步补湖北官方系统/高校官网证据,按页批量回看PDF原页，完成页内逐专业字段和组边界核验；页级索引不得替代逐专业明细。
CLOSEPAGE-972a67c48192728a,data/working/issue19-foundation-closure-major-batches.csv,湖北招生考试2026年19期·本科普通批（下）,ee61fc69389f24a9a7830167113cf0ddc0447f8fa4b2743cd3241be60a9bd86d,issue19_foundation_closure_page_index,PDF页码,false,false,35,253,37,2,6,4,30,0,3,0,0,0,0,7,0,7,0,再选科目；专业计划数；学费,M-b9948a4dff43701e,A131,厦门大学,回看PDF原页并同步补湖北官方系统/高校官网证据,按页批量回看PDF原页，完成页内逐专业字段和组边界核验；页级索引不得替代逐专业明细。
CLOSEPAGE-3c331613a26f3664,data/working/issue19-foundation-closure-major-batches.csv,湖北招生考试2026年19期·本科普通批（下）,ee61fc69389f24a9a7830167113cf0ddc0447f8fa4b2743cd3241be60a9bd86d,issue19_foundation_closure_page_index,PDF页码,false,false,237,255,86,8,13,28,51,0,5,2,0,0,0,16,1,15,0,再选科目；专业计划数,M-05514b4dad2b8b79,K782,新疆科技学院,回看PDF原页并同步补湖北官方系统/高校官网证据,按页批量回看PDF原页，完成页内逐专业字段和组边界核验；页级索引不得替代逐专业明细。
CLOSEPAGE-ca3512f4dfa95a03,data/working/issue19-foundation-closure-major-batches.csv,湖北招生考试2026年19期·本科普通批（下）,ee61fc69389f24a9a7830167113cf0ddc0447f8fa4b2743cd3241be60a9bd86d,issue19_foundation_closure_page_index,PDF页码,false,false,39,261,39,1,5,14,23,0,2,0,0,0,0,5,0,5,0,再选科目；专业计划数；学费,M-3fa9f05325fcf1b3,A141,武汉大学,回看PDF原页并同步补湖北官方系统/高校官网证据,按页批量回看PDF原页，完成页内逐专业字段和组边界核验；页级索引不得替代逐专业明细。
