来源期号,来源PDF_SHA256,数据阶段,综合风险等级,风险类型,院校代码,院校名称OCR,院校专业组代码,来源页码,OCR专业行数,再选科目OCR候选,人数OCR候选,学费OCR候选,偏好和风险标签,字段完整性标记,候选池V1命中,样本学校命中,核验状态,最终可用,下一步
《湖北招生考试》2026年第19期,ee61fc69389f24a9a7830167113cf0ddc0447f8fa4b2743cd3241be60a9bd86d,hard_risk_group_review_queue_ocr_draft,硬风险,中外合作或高收费；语种或单科限制；学费超过当前上限,H086,温州肯恩大学,H08603,143,4,化学；不限,5；2；6；78；30,88000,high_fee_or_coop;language_or_single_subject;priority_2_computer;tuition_over_15000,plan_count_not_plain_number;tuition_over_15000,否,否,needs_manual_pdf_review,false,风险标签必须人工复核；进入最终表前需证明组内调剂可接受
《湖北招生考试》2026年第19期,ee61fc69389f24a9a7830167113cf0ddc0447f8fa4b2743cd3241be60a9bd86d,hard_risk_group_review_queue_ocr_draft,硬风险,中外合作或高收费；语种或单科限制；学费超过当前上限,H116,安徽大学,H11604,143,3,,5；50,60000,high_fee_or_coop;language_or_single_subject;priority_1_digital_media;tuition_over_15000,missing_subject_candidate;plan_count_not_plain_number;tuition_over_15000,否,否,needs_manual_pdf_review,false,风险标签必须人工复核；进入最终表前需证明组内调剂可接受
《湖北招生考试》2026年第19期,ee61fc69389f24a9a7830167113cf0ddc0447f8fa4b2743cd3241be60a9bd86d,hard_risk_group_review_queue_ocr_draft,硬风险,中外合作或高收费；语种或单科限制；学费超过当前上限,H228,闽南师范大学,H22810,149,1,化学,5；7,待定,high_fee_or_coop;language_or_single_subject;priority_3_teacher;tuition_over_15000,plan_count_not_plain_number;tuition_not_plain_number;tuition_over_15000,否,否,needs_manual_pdf_review,false,风险标签必须人工复核；进入最终表前需证明组内调剂可接受
《湖北招生考试》2026年第19期,ee61fc69389f24a9a7830167113cf0ddc0447f8fa4b2743cd3241be60a9bd86d,hard_risk_group_review_queue_ocr_draft,硬风险,中外合作或高收费；语种或单科限制；学费超过当前上限,H662,中南林业科技大学,H66206,180,2,不限,2,38000,high_fee_or_coop;language_or_single_subject;tuition_over_15000,tuition_over_15000,否,否,needs_manual_pdf_review,false,风险标签必须人工复核；进入最终表前需证明组内调剂可接受
《湖北招生考试》2026年第19期,ee61fc69389f24a9a7830167113cf0ddc0447f8fa4b2743cd3241be60a9bd86d,hard_risk_group_review_queue_ocr_draft,硬风险,中外合作或高收费；语种或单科限制；学费超过当前上限,H662,中南林业科技大学,H66207,180,2,［化学；要求,人数；22,39000；年；学费；（元）；3；37000,high_fee_or_coop;language_or_single_subject;tuition_over_15000,plan_count_not_plain_number;tuition_not_plain_number;tuition_over_15000,否,否,needs_manual_pdf_review,false,风险标签必须人工复核；进入最终表前需证明组内调剂可接受
《湖北招生考试》2026年第19期,ee61fc69389f24a9a7830167113cf0ddc0447f8fa4b2743cd3241be60a9bd86d,hard_risk_group_review_queue_ocr_draft,硬风险,中外合作或高收费；语种或单科限制；学费超过当前上限,H673,湖南文理学院,H67306,182,1,,7,18000,high_fee_or_coop;language_or_single_subject;tuition_over_15000,missing_subject_candidate;tuition_over_15000,否,否,needs_manual_pdf_review,false,风险标签必须人工复核；进入最终表前需证明组内调剂可接受
《湖北招生考试》2026年第19期,ee61fc69389f24a9a7830167113cf0ddc0447f8fa4b2743cd3241be60a9bd86d,hard_risk_group_review_queue_ocr_draft,硬风险,中外合作或高收费；语种或单科限制；学费超过当前上限,H676,湖南工商大学,H67606,182,3,不限,84,45000；38500；43000,high_fee_or_coop;language_or_single_subject;tuition_over_15000,tuition_not_plain_number;tuition_over_15000,否,否,needs_manual_pdf_review,false,风险标签必须人工复核；进入最终表前需证明组内调剂可接受
《湖北招生考试》2026年第19期,ee61fc69389f24a9a7830167113cf0ddc0447f8fa4b2743cd3241be60a9bd86d,hard_risk_group_review_queue_ocr_draft,硬风险,中外合作或高收费；语种或单科限制；学费超过当前上限,H768,华南农业大学,H76803,186,3,化学；再选；科耳人数 学；要求,2；28,75000；年；0）；3,high_fee_or_coop;language_or_single_subject;tuition_over_15000,plan_count_not_plain_number;tuition_not_plain_number;tuition_over_15000,否,否,needs_manual_pdf_review,false,风险标签必须人工复核；进入最终表前需证明组内调剂可接受
《湖北招生考试》2026年第19期,ee61fc69389f24a9a7830167113cf0ddc0447f8fa4b2743cd3241be60a9bd86d,hard_risk_group_review_queue_ocr_draft,硬风险,中外合作或高收费；语种或单科限制；学费超过当前上限,H857,北师香港浸会大学,H85702,193,6,19期；X；科目；要求；化学,4；11万；3；11刀；資亮；N；人数 学贵,411万；211万；1；11万；19,high_fee_or_coop;language_or_single_subject;tuition_over_15000,plan_count_not_plain_number;tuition_not_plain_number;tuition_over_15000,否,否,needs_manual_pdf_review,false,风险标签必须人工复核；进入最终表前需证明组内调剂可接受
《湖北招生考试》2026年第19期,ee61fc69389f24a9a7830167113cf0ddc0447f8fa4b2743cd3241be60a9bd86d,hard_risk_group_review_queue_ocr_draft,硬风险,中外合作或高收费；语种或单科限制；学费超过当前上限,H857,北师香港浸会大学,H85703,194,6,,,7；11万；211万；111万；411万；311万；6；2,high_fee_or_coop;language_or_single_subject;priority_2_computer;tuition_over_15000,missing_subject_candidate;missing_plan_count_candidate;tuition_not_plain_number;tuition_over_15000,否,否,needs_manual_pdf_review,false,风险标签必须人工复核；进入最终表前需证明组内调剂可接受
《湖北招生考试》2026年第19期,ee61fc69389f24a9a7830167113cf0ddc0447f8fa4b2743cd3241be60a9bd86d,hard_risk_group_review_queue_ocr_draft,硬风险,中外合作或高收费；语种或单科限制；学费超过当前上限,H859,深圳北理莫斯科大学,H85905,194,2,「化学,再选；科目；要求；「化学,2；50000；人数；（元）；24,high_fee_or_coop;language_or_single_subject;priority_2_computer;tuition_over_15000,plan_count_not_plain_number;tuition_not_plain_number;tuition_over_15000,否,否,needs_manual_pdf_review,false,风险标签必须人工复核；进入最终表前需证明组内调剂可接受
《湖北招生考试》2026年第19期,ee61fc69389f24a9a7830167113cf0ddc0447f8fa4b2743cd3241be60a9bd86d,hard_risk_group_review_queue_ocr_draft,硬风险,中外合作或高收费；语种或单科限制；学费超过当前上限,H860,广东以色列理工学院,H86001,194,5,,,5；10.5；4；3；10,high_fee_or_coop;language_or_single_subject;tuition_over_15000,missing_subject_candidate;missing_plan_count_candidate;tuition_not_plain_number;tuition_over_15000,否,否,needs_manual_pdf_review,false,风险标签必须人工复核；进入最终表前需证明组内调剂可接受
《湖北招生考试》2026年第19期,ee61fc69389f24a9a7830167113cf0ddc0447f8fa4b2743cd3241be60a9bd86d,hard_risk_group_review_queue_ocr_draft,硬风险,中外合作或高收费；语种或单科限制；学费超过当前上限,H891,广西科技大学,H89109,195,2,,4；45000,,high_fee_or_coop;language_or_single_subject;priority_2_computer;tuition_over_15000,missing_subject_candidate;plan_count_not_plain_number;missing_tuition_candidate;tuition_over_15000,否,否,needs_manual_pdf_review,false,风险标签必须人工复核；进入最终表前需证明组内调剂可接受
《湖北招生考试》2026年第19期,ee61fc69389f24a9a7830167113cf0ddc0447f8fa4b2743cd3241be60a9bd86d,hard_risk_group_review_queue_ocr_draft,硬风险,中外合作或高收费；语种或单科限制；学费超过当前上限,H891,广西科技大学,H89110,195,3,化学；再选；科；要求,60000；4；2；招生计划；U；人数；82；16,N；年；学贤；（元）,high_fee_or_coop;language_or_single_subject;tuition_over_15000,plan_count_not_plain_number;tuition_not_plain_number;tuition_over_15000,否,否,needs_manual_pdf_review,false,风险标签必须人工复核；进入最终表前需证明组内调剂可接受
《湖北招生考试》2026年第19期,ee61fc69389f24a9a7830167113cf0ddc0447f8fa4b2743cd3241be60a9bd86d,hard_risk_group_review_queue_ocr_draft,硬风险,中外合作或高收费；语种或单科限制；学费超过当前上限,K001,海南大学,K00113,200,2,不限；化学,,3；50000；2；73000；7,high_fee_or_coop;language_or_single_subject;tuition_over_15000,missing_plan_count_candidate;tuition_not_plain_number;tuition_over_15000,否,否,needs_manual_pdf_review,false,风险标签必须人工复核；进入最终表前需证明组内调剂可接受
《湖北招生考试》2026年第19期,ee61fc69389f24a9a7830167113cf0ddc0447f8fa4b2743cd3241be60a9bd86d,hard_risk_group_review_queue_ocr_draft,硬风险,中外合作或高收费；语种或单科限制；学费超过当前上限,K001,海南大学,K00115,200,1,地理,,2；73000；43,high_fee_or_coop;language_or_single_subject;tuition_over_15000,missing_plan_count_candidate;tuition_not_plain_number;tuition_over_15000,否,否,needs_manual_pdf_review,false,风险标签必须人工复核；进入最终表前需证明组内调剂可接受
《湖北招生考试》2026年第19期,ee61fc69389f24a9a7830167113cf0ddc0447f8fa4b2743cd3241be60a9bd86d,hard_risk_group_review_queue_ocr_draft,硬风险,中外合作或高收费；语种或单科限制；学费超过当前上限,K067,重庆邮电大学,K06707,203,3,,8；96；12,待定；50000,high_fee_or_coop;language_or_single_subject;priority_2_computer;tuition_over_15000,missing_subject_candidate;plan_count_not_plain_number;tuition_not_plain_number;tuition_over_15000,否,否,needs_manual_pdf_review,false,风险标签必须人工复核；进入最终表前需证明组内调剂可接受
《湖北招生考试》2026年第19期,ee61fc69389f24a9a7830167113cf0ddc0447f8fa4b2743cd3241be60a9bd86d,hard_risk_group_review_queue_ocr_draft,硬风险,中外合作或高收费；语种或单科限制；学费超过当前上限,K074,四川外国语大学,K07414,205,1,不限,2,33000,high_fee_or_coop;language_or_single_subject;tuition_over_15000,tuition_over_15000,否,否,needs_manual_pdf_review,false,风险标签必须人工复核；进入最终表前需证明组内调剂可接受
《湖北招生考试》2026年第19期,ee61fc69389f24a9a7830167113cf0ddc0447f8fa4b2743cd3241be60a9bd86d,hard_risk_group_review_queue_ocr_draft,硬风险,中外合作或高收费；语种或单科限制；学费超过当前上限,K151,成都理工大学,K15116,208,1,不限；再选；科目；要求,2；人数,68000；年；学費；（）,high_fee_or_coop;language_or_single_subject;tuition_over_15000,plan_count_not_plain_number;tuition_not_plain_number;tuition_over_15000,否,否,needs_manual_pdf_review,false,风险标签必须人工复核；进入最终表前需证明组内调剂可接受
《湖北招生考试》2026年第19期,ee61fc69389f24a9a7830167113cf0ddc0447f8fa4b2743cd3241be60a9bd86d,hard_risk_group_review_queue_ocr_draft,硬风险,中外合作或高收费；语种或单科限制；学费超过当前上限,K151,成都理工大学,K15117,209,1,化学,2,75000,high_fee_or_coop;language_or_single_subject;tuition_over_15000,tuition_over_15000,否,否,needs_manual_pdf_review,false,风险标签必须人工复核；进入最终表前需证明组内调剂可接受
《湖北招生考试》2026年第19期,ee61fc69389f24a9a7830167113cf0ddc0447f8fa4b2743cd3241be60a9bd86d,hard_risk_group_review_queue_ocr_draft,硬风险,中外合作或高收费；语种或单科限制；学费超过当前上限,K153,成都信息工程大学,K15307,209,3,「化学,2,76000,high_fee_or_coop;language_or_single_subject;priority_2_computer;tuition_over_15000,tuition_over_15000,否,否,needs_manual_pdf_review,false,风险标签必须人工复核；进入最终表前需证明组内调剂可接受
《湖北招生考试》2026年第19期,ee61fc69389f24a9a7830167113cf0ddc0447f8fa4b2743cd3241be60a9bd86d,hard_risk_group_review_queue_ocr_draft,硬风险,中外合作或高收费；语种或单科限制；学费超过当前上限,K153,成都信息工程大学,K15308,209,2,U；再选；科目；要求,2；N；人数 学費；25,55000；貨高；部考；年；（元）,high_fee_or_coop;language_or_single_subject;priority_2_computer;tuition_over_15000,plan_count_not_plain_number;tuition_not_plain_number;tuition_over_15000,否,否,needs_manual_pdf_review,false,风险标签必须人工复核；进入最终表前需证明组内调剂可接受
《湖北招生考试》2026年第19期,ee61fc69389f24a9a7830167113cf0ddc0447f8fa4b2743cd3241be60a9bd86d,hard_risk_group_review_queue_ocr_draft,硬风险,中外合作或高收费；语种或单科限制；学费超过当前上限,K155,西华大学,K15508,210,1,化学,5；86,69000,high_fee_or_coop;language_or_single_subject;tuition_over_15000,plan_count_not_plain_number;tuition_over_15000,否,是,needs_manual_pdf_review,false,风险标签必须人工复核；进入最终表前需证明组内调剂可接受
《湖北招生考试》2026年第19期,ee61fc69389f24a9a7830167113cf0ddc0447f8fa4b2743cd3241be60a9bd86d,hard_risk_group_review_queue_ocr_draft,硬风险,中外合作或高收费；语种或单科限制；学费超过当前上限,K159,成都中医药大学,K15906,211,1,,3,63000.,high_fee_or_coop;language_or_single_subject;tuition_over_15000,missing_subject_candidate;tuition_not_plain_number;tuition_over_15000,否,否,needs_manual_pdf_review,false,风险标签必须人工复核；进入最终表前需证明组内调剂可接受
《湖北招生考试》2026年第19期,ee61fc69389f24a9a7830167113cf0ddc0447f8fa4b2743cd3241be60a9bd86d,hard_risk_group_review_queue_ocr_draft,硬风险,中外合作或高收费；语种或单科限制；学费超过当前上限,K175,四川旅游学院,K17502,212,1,,,38000,high_fee_or_coop;language_or_single_subject;tuition_over_15000,missing_subject_candidate;missing_plan_count_candidate;tuition_over_15000,否,否,needs_manual_pdf_review,false,风险标签必须人工复核；进入最终表前需证明组内调剂可接受
《湖北招生考试》2026年第19期,ee61fc69389f24a9a7830167113cf0ddc0447f8fa4b2743cd3241be60a9bd86d,hard_risk_group_review_queue_ocr_draft,硬风险,中外合作或高收费；语种或单科限制；学费超过当前上限,K179,成都师范学院,K17906,213,1,化学,3,48000,high_fee_or_coop;language_or_single_subject;priority_3_teacher;tuition_over_15000,tuition_over_15000,否,是,needs_manual_pdf_review,false,风险标签必须人工复核；进入最终表前需证明组内调剂可接受
《湖北招生考试》2026年第19期,ee61fc69389f24a9a7830167113cf0ddc0447f8fa4b2743cd3241be60a9bd86d,hard_risk_group_review_queue_ocr_draft,硬风险,中外合作或高收费；语种或单科限制；学费超过当前上限,K179,成都师范学院,K17907,213,1,「化学,3,48000,high_fee_or_coop;language_or_single_subject;priority_3_teacher;tuition_over_15000,tuition_over_15000,否,是,needs_manual_pdf_review,false,风险标签必须人工复核；进入最终表前需证明组内调剂可接受
《湖北招生考试》2026年第19期,ee61fc69389f24a9a7830167113cf0ddc0447f8fa4b2743cd3241be60a9bd86d,hard_risk_group_review_queue_ocr_draft,硬风险,中外合作或高收费；语种或单科限制；学费超过当前上限,K179,成都师范学院,K17908,213,1,化学,3；18；14,48000,high_fee_or_coop;language_or_single_subject;priority_3_teacher;tuition_over_15000,plan_count_not_plain_number;tuition_over_15000,否,是,needs_manual_pdf_review,false,风险标签必须人工复核；进入最终表前需证明组内调剂可接受
《湖北招生考试》2026年第19期,ee61fc69389f24a9a7830167113cf0ddc0447f8fa4b2743cd3241be60a9bd86d,hard_risk_group_review_queue_ocr_draft,硬风险,中外合作或高收费；语种或单科限制；学费超过当前上限,K209,成都东软学院,K20904,213,1,,2；27；5,68000,high_fee_or_coop;language_or_single_subject;priority_2_computer;tuition_over_15000,missing_subject_candidate;plan_count_not_plain_number;tuition_over_15000,否,否,needs_manual_pdf_review,false,风险标签必须人工复核；进入最终表前需证明组内调剂可接受
《湖北招生考试》2026年第19期,ee61fc69389f24a9a7830167113cf0ddc0447f8fa4b2743cd3241be60a9bd86d,hard_risk_group_review_queue_ocr_draft,硬风险,中外合作或高收费；语种或单科限制；学费超过当前上限,K220,西南财经大学天府学院,K22007,214,1,不限,2,68000,high_fee_or_coop;language_or_single_subject;tuition_over_15000,tuition_over_15000,否,否,needs_manual_pdf_review,false,风险标签必须人工复核；进入最终表前需证明组内调剂可接受
《湖北招生考试》2026年第19期,ee61fc69389f24a9a7830167113cf0ddc0447f8fa4b2743cd3241be60a9bd86d,hard_risk_group_review_queue_ocr_draft,硬风险,中外合作或高收费；语种或单科限制；学费超过当前上限,K256,贵州大学,K25614,214,2,不限；化学,3；5,24000；60000,high_fee_or_coop;language_or_single_subject;tuition_over_15000,plan_count_not_plain_number;tuition_not_plain_number;tuition_over_15000,否,否,needs_manual_pdf_review,false,风险标签必须人工复核；进入最终表前需证明组内调剂可接受
《湖北招生考试》2026年第19期,ee61fc69389f24a9a7830167113cf0ddc0447f8fa4b2743cd3241be60a9bd86d,hard_risk_group_review_queue_ocr_draft,硬风险,中外合作或高收费；语种或单科限制；学费超过当前上限,K256,贵州大学,K25617,215,1,化学,4；16；3,60000,high_fee_or_coop;language_or_single_subject;tuition_over_15000,plan_count_not_plain_number;tuition_over_15000,否,否,needs_manual_pdf_review,false,风险标签必须人工复核；进入最终表前需证明组内调剂可接受
《湖北招生考试》2026年第19期,ee61fc69389f24a9a7830167113cf0ddc0447f8fa4b2743cd3241be60a9bd86d,hard_risk_group_review_queue_ocr_draft,硬风险,中外合作或高收费；语种或单科限制；学费超过当前上限,K269,贵州财经大学,K26908,216,3,不限,2；3；11,60000,high_fee_or_coop;language_or_single_subject;tuition_over_15000,plan_count_not_plain_number;tuition_over_15000,否,否,needs_manual_pdf_review,false,风险标签必须人工复核；进入最终表前需证明组内调剂可接受
《湖北招生考试》2026年第19期,ee61fc69389f24a9a7830167113cf0ddc0447f8fa4b2743cd3241be60a9bd86d,hard_risk_group_review_queue_ocr_draft,硬风险,中外合作或高收费；语种或单科限制；学费超过当前上限,K346,昆明理工大学,K34613,218,1,「化学,25；12,5；65000,high_fee_or_coop;language_or_single_subject;tuition_over_15000,plan_count_not_plain_number;tuition_not_plain_number;tuition_over_15000,否,否,needs_manual_pdf_review,false,风险标签必须人工复核；进入最终表前需证明组内调剂可接受
《湖北招生考试》2026年第19期,ee61fc69389f24a9a7830167113cf0ddc0447f8fa4b2743cd3241be60a9bd86d,hard_risk_group_review_queue_ocr_draft,硬风险,中外合作或高收费；语种或单科限制；学费超过当前上限,K347,云南农业大学,K34708,218,1,化学,2；47；3,［36000,high_fee_or_coop;language_or_single_subject;tuition_over_15000,plan_count_not_plain_number;tuition_not_plain_number;tuition_over_15000,否,否,needs_manual_pdf_review,false,风险标签必须人工复核；进入最终表前需证明组内调剂可接受
《湖北招生考试》2026年第19期,ee61fc69389f24a9a7830167113cf0ddc0447f8fa4b2743cd3241be60a9bd86d,hard_risk_group_review_queue_ocr_draft,硬风险,中外合作或高收费；语种或单科限制；学费超过当前上限,K365,昆明学院,K36505,221,1,,,26000,high_fee_or_coop;language_or_single_subject;tuition_over_15000,missing_subject_candidate;missing_plan_count_candidate;tuition_over_15000,否,否,needs_manual_pdf_review,false,风险标签必须人工复核；进入最终表前需证明组内调剂可接受
《湖北招生考试》2026年第19期,ee61fc69389f24a9a7830167113cf0ddc0447f8fa4b2743cd3241be60a9bd86d,hard_risk_group_review_queue_ocr_draft,限制风险,体检或色觉限制,A010,北京化工大学,A01003,13,5,X；U；再选；科目；要求；化学,3；2；5；資亮；部冬；N；人数,5000；学费；（元）；29,body_or_exam_limit;priority_2_computer,plan_count_not_plain_number;tuition_not_plain_number,否,否,needs_manual_pdf_review,false,风险标签必须人工复核；进入最终表前需证明组内调剂可接受
《湖北招生考试》2026年第19期,ee61fc69389f24a9a7830167113cf0ddc0447f8fa4b2743cd3241be60a9bd86d,hard_risk_group_review_queue_ocr_draft,限制风险,体检或色觉限制,A043,北京体育大学,A04306,18,1,,,1；6000；4,body_or_exam_limit,missing_subject_candidate;missing_plan_count_candidate;tuition_not_plain_number,否,否,needs_manual_pdf_review,false,风险标签必须人工复核；进入最终表前需证明组内调剂可接受
《湖北招生考试》2026年第19期,ee61fc69389f24a9a7830167113cf0ddc0447f8fa4b2743cd3241be60a9bd86d,hard_risk_group_review_queue_ocr_draft,限制风险,体检或色觉限制,A043,北京体育大学,A04308,19,2,不限,1,5000,body_or_exam_limit,,否,否,needs_manual_pdf_review,false,风险标签必须人工复核；进入最终表前需证明组内调剂可接受
《湖北招生考试》2026年第19期,ee61fc69389f24a9a7830167113cf0ddc0447f8fa4b2743cd3241be60a9bd86d,hard_risk_group_review_queue_ocr_draft,限制风险,体检或色觉限制,A043,北京体育大学,A04309,19,1,,,,body_or_exam_limit;priority_2_computer,missing_subject_candidate;missing_plan_count_candidate;missing_tuition_candidate,否,否,needs_manual_pdf_review,false,风险标签必须人工复核；进入最终表前需证明组内调剂可接受
《湖北招生考试》2026年第19期,ee61fc69389f24a9a7830167113cf0ddc0447f8fa4b2743cd3241be60a9bd86d,hard_risk_group_review_queue_ocr_draft,限制风险,体检或色觉限制,A043,北京体育大学,A04310,19,1,,,,body_or_exam_limit,missing_subject_candidate;missing_plan_count_candidate;missing_tuition_candidate,否,否,needs_manual_pdf_review,false,风险标签必须人工复核；进入最终表前需证明组内调剂可接受
《湖北招生考试》2026年第19期,ee61fc69389f24a9a7830167113cf0ddc0447f8fa4b2743cd3241be60a9bd86d,hard_risk_group_review_queue_ocr_draft,限制风险,体检或色觉限制,A075,大连海事大学,A07505,22,10,化学；更选；科目；耍求,15；人数；6；3；4；2,5200；13；5980；8；9；14；学炎；（元）,body_or_exam_limit;priority_2_computer,plan_count_not_plain_number;tuition_not_plain_number,否,否,needs_manual_pdf_review,false,风险标签必须人工复核；进入最终表前需证明组内调剂可接受
《湖北招生考试》2026年第19期,ee61fc69389f24a9a7830167113cf0ddc0447f8fa4b2743cd3241be60a9bd86d,hard_risk_group_review_queue_ocr_draft,限制风险,体检或色觉限制,A085,哈尔滨工程大学,A08512,25,1,化学；「化学,2,5500,body_or_exam_limit,,否,否,needs_manual_pdf_review,false,风险标签必须人工复核；进入最终表前需证明组内调剂可接受
《湖北招生考试》2026年第19期,ee61fc69389f24a9a7830167113cf0ddc0447f8fa4b2743cd3241be60a9bd86d,hard_risk_group_review_queue_ocr_draft,限制风险,体检或色觉限制,A095,华东理工大学,A09503,27,20,「化学；19期；X；U；再选；科目；要求,5；3；2；12；資亮；部岑；N；人数；15,7000；年；学費；（元）；2；6500；5；6；7700；9；8；4,body_or_exam_limit;priority_2_computer,plan_count_not_plain_number;tuition_not_plain_number,否,否,needs_manual_pdf_review,false,风险标签必须人工复核；进入最终表前需证明组内调剂可接受
《湖北招生考试》2026年第19期,ee61fc69389f24a9a7830167113cf0ddc0447f8fa4b2743cd3241be60a9bd86d,hard_risk_group_review_queue_ocr_draft,限制风险,体检或色觉限制,A115,中国矿业大学,A11502,31,7,不限,5；5200；2；招生计划；X；U；人数；1；109,5200；N；（元）,body_or_exam_limit;priority_2_computer,plan_count_not_plain_number;tuition_not_plain_number,否,否,needs_manual_pdf_review,false,风险标签必须人工复核；进入最终表前需证明组内调剂可接受
《湖北招生考试》2026年第19期,ee61fc69389f24a9a7830167113cf0ddc0447f8fa4b2743cd3241be60a9bd86d,hard_risk_group_review_queue_ocr_draft,限制风险,体检或色觉限制,A115,中国矿业大学,A11503,31,22,化学,6；5；13；7；12；3；4；10；2,5800；5200；5500,body_or_exam_limit;priority_2_computer,plan_count_not_plain_number;tuition_not_plain_number,否,否,needs_manual_pdf_review,false,风险标签必须人工复核；进入最终表前需证明组内调剂可接受
《湖北招生考试》2026年第19期,ee61fc69389f24a9a7830167113cf0ddc0447f8fa4b2743cd3241be60a9bd86d,hard_risk_group_review_queue_ocr_draft,限制风险,体检或色觉限制,A129,合肥工业大学,A12901,35,4,化学,4；3；115,5500；6050；6600,body_or_exam_limit,plan_count_not_plain_number;tuition_not_plain_number,否,否,needs_manual_pdf_review,false,风险标签必须人工复核；进入最终表前需证明组内调剂可接受
《湖北招生考试》2026年第19期,ee61fc69389f24a9a7830167113cf0ddc0447f8fa4b2743cd3241be60a9bd86d,hard_risk_group_review_queue_ocr_draft,限制风险,体检或色觉限制,A129,合肥工业大学,A12902,35,15,不限,4；12500；9；12；7；？；6；10；11,6050；5500,body_or_exam_limit;priority_2_computer,plan_count_not_plain_number;tuition_not_plain_number,否,否,needs_manual_pdf_review,false,风险标签必须人工复核；进入最终表前需证明组内调剂可接受
《湖北招生考试》2026年第19期,ee61fc69389f24a9a7830167113cf0ddc0447f8fa4b2743cd3241be60a9bd86d,hard_risk_group_review_queue_ocr_draft,限制风险,体检或色觉限制,A145,中国地质大学（武汉）,A14507,40,16,化学；冉遊；科日；耍求,346；人数 学费；10；50；23；16；45；20；8；9；13,20；5850；46；4500；8；年；（元）,body_or_exam_limit;priority_2_computer,plan_count_not_plain_number;tuition_not_plain_number,否,否,needs_manual_pdf_review,false,风险标签必须人工复核；进入最终表前需证明组内调剂可接受
《湖北招生考试》2026年第19期,ee61fc69389f24a9a7830167113cf0ddc0447f8fa4b2743cd3241be60a9bd86d,hard_risk_group_review_queue_ocr_draft,限制风险,体检或色觉限制,A147,武汉理工大学,A14712,41,23,［化学；科目；要求,12；11；145；33；8；15；198；招生计划；×；人数；50；76；60；80；52；54；150；184；170；45；10；36；13；20；18,4500；5850；N；年；⑦t）,body_or_exam_limit;priority_2_computer,plan_count_not_plain_number;tuition_not_plain_number,否,否,needs_manual_pdf_review,false,风险标签必须人工复核；进入最终表前需证明组内调剂可接受
《湖北招生考试》2026年第19期,ee61fc69389f24a9a7830167113cf0ddc0447f8fa4b2743cd3241be60a9bd86d,hard_risk_group_review_queue_ocr_draft,限制风险,体检或色觉限制,A149,华中农业大学,A14904,42,3,化学,68；26；15；104,5850,body_or_exam_limit,plan_count_not_plain_number,否,否,needs_manual_pdf_review,false,风险标签必须人工复核；进入最终表前需证明组内调剂可接受
《湖北招生考试》2026年第19期,ee61fc69389f24a9a7830167113cf0ddc0447f8fa4b2743cd3241be60a9bd86d,hard_risk_group_review_queue_ocr_draft,限制风险,体检或色觉限制,A149,华中农业大学,A14905,42,3,化学,16；61；2；25；608,5850,body_or_exam_limit;priority_2_computer,plan_count_not_plain_number,否,否,needs_manual_pdf_review,false,风险标签必须人工复核；进入最终表前需证明组内调剂可接受
《湖北招生考试》2026年第19期,ee61fc69389f24a9a7830167113cf0ddc0447f8fa4b2743cd3241be60a9bd86d,hard_risk_group_review_queue_ocr_draft,限制风险,体检或色觉限制,A149,华中农业大学,A14908,42,1,地理,15,10；5850,body_or_exam_limit,tuition_not_plain_number,否,否,needs_manual_pdf_review,false,风险标签必须人工复核；进入最终表前需证明组内调剂可接受
《湖北招生考试》2026年第19期,ee61fc69389f24a9a7830167113cf0ddc0447f8fa4b2743cd3241be60a9bd86d,hard_risk_group_review_queue_ocr_draft,限制风险,体检或色觉限制,C131,湖北汽车工业学院,C13106,77,22,化学 1105,201；86；78；64；80；56；89；167；65；19；42；26；59；27；41；13；10；21；16；22,5200；4000,body_or_exam_limit,plan_count_not_plain_number;tuition_not_plain_number,否,否,needs_manual_pdf_review,false,风险标签必须人工复核；进入最终表前需证明组内调剂可接受
《湖北招生考试》2026年第19期,ee61fc69389f24a9a7830167113cf0ddc0447f8fa4b2743cd3241be60a9bd86d,hard_risk_group_review_queue_ocr_draft,限制风险,体检或色觉限制,C131,湖北汽车工业学院,C13108,77,3,化学,35；105,5200,body_or_exam_limit,plan_count_not_plain_number,否,否,needs_manual_pdf_review,false,风险标签必须人工复核；进入最终表前需证明组内调剂可接受
《湖北招生考试》2026年第19期,ee61fc69389f24a9a7830167113cf0ddc0447f8fa4b2743cd3241be60a9bd86d,hard_risk_group_review_queue_ocr_draft,限制风险,体检或色觉限制,C138,湖北理工学院,C13813,79,4,生物,66；22；36；34；60,5200；4000,body_or_exam_limit;priority_2_computer,plan_count_not_plain_number;tuition_not_plain_number,否,是,needs_manual_pdf_review,false,风险标签必须人工复核；进入最终表前需证明组内调剂可接受
《湖北招生考试》2026年第19期,ee61fc69389f24a9a7830167113cf0ddc0447f8fa4b2743cd3241be60a9bd86d,hard_risk_group_review_queue_ocr_draft,限制风险,体检或色觉限制,C151,汉江师范学院,C15108,81,7,不限,38；8；15；10；32；20；23；240,4000,body_or_exam_limit;priority_3_teacher,plan_count_not_plain_number,否,是,needs_manual_pdf_review,false,风险标签必须人工复核；进入最终表前需证明组内调剂可接受
