第一闭环页列证据状态汇总ID,来源第一闭环证据状态公开账本,来源第一闭环字段状态看板,来源湖北官方公开入口状态快照,来源期号,来源PDF_SHA256,数据阶段,主表粒度,任务粒度,最终可用,可进入下一阶段,可否进入最终志愿方案,是否允许作为志愿推荐依据,是否允许自动写回主表,是否允许官网证据替代湖北官方计划,是否允许生成学校专业建议,是否允许写回字段事实,执行顺序,执行泳道,第一闭环页列优先级,稳定基座第一闭环页列包ID,第一闭环字段状态看板ID,来源页码,版面列,页码版面键,页列任务数,涉及专业行数,涉及院校代码数,第一闭环任务ID集合SHA256,专业行ID集合SHA256,院校代码集合SHA256,自动官网辅证任务数,P0人工字段任务数,专业计划数字段任务数,学费字段任务数,再选科目字段任务数,待人工判定字段任务数,PDF原页待核任务数,湖北官方侧待核任务数,高校辅证待核任务数,PDFOCR提示任务数,机器坐标提示任务数,高校辅证线索任务数,PDFOCR与高校辅证冲突任务数,高校有线索但PDFOCR缺候选任务数,仅PDFOCR候选待人工核页任务数,PDFOCR与高校辅证一致仍需官方闭环任务数,PDFOCR无候选任务数,无候选需人工看图任务数,需要人工直接看图任务数,需要双人复核任务数,字段事实写回可进入任务数,字段事实写回阻断任务数,任务来源类型分布,OCR提示状态分布,冲突状态分布,人工核验泳道分布,页列主阻断,页列建议下一步动作,完成条件,公开安全策略
FIRSTEVIDPAGE-a766473a37caa4de,data/working/issue19-stable-foundation-first-closure-evidence-status-public-ledger.csv,data/working/issue19-stable-foundation-first-closure-field-status-dashboard.csv,data/working/issue19-official-public-entry-status.json,湖北招生考试2026年19期·本科普通批（下）,ee61fc69389f24a9a7830167113cf0ddc0447f8fa4b2743cd3241be60a9bd86d,issue19_stable_foundation_first_closure_evidence_status_report_page_side_summary,PDF页码×版面列,页列×第一闭环证据状态汇总,false,false,false,false,false,false,false,false,16,E0-冲突异常双人优先核验,Q0-冲突页列第一批先核,FIRSTPAGE-a766473a37caa4de,FIRSTFSTATUS-a766473a37caa4de,141,left,141-left,1,1,1,8456ebe59668b16dfb89916d0c589ae1c24069d54f6f36010608242fd7406fc0,6e49fd4e722d316494f4e0a06a1d94a2d6eb438f664d94a45df63bfab398effa,81d0516c6aeec304451cdcb67c55c5c3851af8475b690ef0755b569c1c01f941,0,1,0,1,0,0,1,1,0,0,1,0,0,0,0,0,1,0,0,1,0,1,P0人工字段任务=1,O4-无PDFOCR但有机器坐标提示=1,C4-无可比候选，需人工看图或随页列闭环=1,F1-机器坐标候选辅助核页=1,B2-机器坐标候选辅助核页,按机器坐标提示定位字段，但仍以PDF原页人工记录和湖北官方侧为准。,PDF原页、湖北官方侧、必要高校辅证和双人复核状态均闭环后，才可进入字段写回评估,公开层只保存页列状态桶、计数、集合SHA和门禁，不公开字段值、OCR原文、学校专业明细、人工记录或私有路径
FIRSTEVIDPAGE-815b76bed7962001,data/working/issue19-stable-foundation-first-closure-evidence-status-public-ledger.csv,data/working/issue19-stable-foundation-first-closure-field-status-dashboard.csv,data/working/issue19-official-public-entry-status.json,湖北招生考试2026年19期·本科普通批（下）,ee61fc69389f24a9a7830167113cf0ddc0447f8fa4b2743cd3241be60a9bd86d,issue19_stable_foundation_first_closure_evidence_status_report_page_side_summary,PDF页码×版面列,页列×第一闭环证据状态汇总,false,false,false,false,false,false,false,false,4,E0-冲突异常双人优先核验,Q0-冲突页列第一批先核,FIRSTPAGE-815b76bed7962001,FIRSTFSTATUS-815b76bed7962001,169,right,169-right,22,12,1,f450896d976d918f8dd26dae7d9f911e2a655c04cb5125c964791dc8dcd6fd12,5d69476fa4cd2520a75edf117338db24f33c11a87bc1475ae8b10025d307e59f,e33aa8070796cc4b9dd5ca24c3f40daed60041349ce399df1fd6c0204935232e,12,10,22,12,1,0,22,22,22,12,0,11,1,10,1,0,10,10,11,10,0,22,P0人工字段任务=10；自动官网辅证任务=12,O0-PDFOCR与高校辅证冲突=1；O2-高校有线索但PDFOCR缺候选=10；O3-仅PDFOCR候选待人工核页=1；O5-无公开OCR候选提示=10,C0-PDFOCR与高校辅证冲突，必须回PDF原页和湖北官方侧=1；C1-高校补缺线索，PDF原页缺候选需人工看图=10；C3-仅PDFOCR候选，需人工核页=1；C4-无可比候选，需人工看图或随页列闭环=10,F0-PDFOCR与高校辅证冲突双人核页=1；F2-PDFOCR候选人工确认=11；F4-无候选人工看图=10,B0-PDFOCR与高校辅证冲突,先按私有页列材料核PDF原页；冲突字段必须双人复核，并等待湖北官方侧记录后再判定。,PDF原页、湖北官方侧、必要高校辅证和双人复核状态均闭环后，才可进入字段写回评估,公开层只保存页列状态桶、计数、集合SHA和门禁，不公开字段值、OCR原文、学校专业明细、人工记录或私有路径
FIRSTEVIDPAGE-0f2775b71610686e,data/working/issue19-stable-foundation-first-closure-evidence-status-public-ledger.csv,data/working/issue19-stable-foundation-first-closure-field-status-dashboard.csv,data/working/issue19-official-public-entry-status.json,湖北招生考试2026年19期·本科普通批（下）,ee61fc69389f24a9a7830167113cf0ddc0447f8fa4b2743cd3241be60a9bd86d,issue19_stable_foundation_first_closure_evidence_status_report_page_side_summary,PDF页码×版面列,页列×第一闭环证据状态汇总,false,false,false,false,false,false,false,false,8,E0-冲突异常双人优先核验,Q0-冲突页列第一批先核,FIRSTPAGE-0f2775b71610686e,FIRSTFSTATUS-0f2775b71610686e,194,left,194-left,7,7,1,d863a28d6b83c27585310669bd177c7e4500a9bc19a98a97a60847765268e845,2355d17be3f48ad9e2d049c0f666b5570072b08b23bf8cad2d889b0d26432c64,9404a186764f4c68dce2ddefc34e9498420545745a75265fc0fbccfba2695ab5,0,7,7,0,0,0,7,7,0,0,7,0,0,0,0,0,7,0,0,7,0,7,P0人工字段任务=7,O4-无PDFOCR但有机器坐标提示=7,C4-无可比候选，需人工看图或随页列闭环=7,F1-机器坐标候选辅助核页=7,B2-机器坐标候选辅助核页,按机器坐标提示定位字段，但仍以PDF原页人工记录和湖北官方侧为准。,PDF原页、湖北官方侧、必要高校辅证和双人复核状态均闭环后，才可进入字段写回评估,公开层只保存页列状态桶、计数、集合SHA和门禁，不公开字段值、OCR原文、学校专业明细、人工记录或私有路径
FIRSTEVIDPAGE-97ab0abc16a6bf85,data/working/issue19-stable-foundation-first-closure-evidence-status-public-ledger.csv,data/working/issue19-stable-foundation-first-closure-field-status-dashboard.csv,data/working/issue19-official-public-entry-status.json,湖北招生考试2026年19期·本科普通批（下）,ee61fc69389f24a9a7830167113cf0ddc0447f8fa4b2743cd3241be60a9bd86d,issue19_stable_foundation_first_closure_evidence_status_report_page_side_summary,PDF页码×版面列,页列×第一闭环证据状态汇总,false,false,false,false,false,false,false,false,2,E0-冲突异常双人优先核验,Q0-冲突页列第一批先核,FIRSTPAGE-97ab0abc16a6bf85,FIRSTFSTATUS-97ab0abc16a6bf85,199,left,199-left,5,5,1,35d5e9e75dc9c4b65e994bc737e4729e4a27494ca0a2c30d83e220de5384edc5,6f1f70c7ae43e060a6b180a31fae224a0f64322f13a9f44d92afab5f643854b1,fb61c7c1175189cf58cff97de9b41e013e6e9e75552b765dfb96eaed28d98fb2,4,1,4,4,3,0,5,5,5,4,1,3,3,0,1,0,1,0,3,4,0,5,P0人工字段任务=1；自动官网辅证任务=4,O0-PDFOCR与高校辅证冲突=3；O3-仅PDFOCR候选待人工核页=1；O4-无PDFOCR但有机器坐标提示=1,C0-PDFOCR与高校辅证冲突，必须回PDF原页和湖北官方侧=3；C3-仅PDFOCR候选，需人工核页=1；C4-无可比候选，需人工看图或随页列闭环=1,F0-PDFOCR与高校辅证冲突双人核页=3；F1-机器坐标候选辅助核页=1；F2-PDFOCR候选人工确认=1,B0-PDFOCR与高校辅证冲突,先按私有页列材料核PDF原页；冲突字段必须双人复核，并等待湖北官方侧记录后再判定。,PDF原页、湖北官方侧、必要高校辅证和双人复核状态均闭环后，才可进入字段写回评估,公开层只保存页列状态桶、计数、集合SHA和门禁，不公开字段值、OCR原文、学校专业明细、人工记录或私有路径
FIRSTEVIDPAGE-44afa6d6e4d84e5a,data/working/issue19-stable-foundation-first-closure-evidence-status-public-ledger.csv,data/working/issue19-stable-foundation-first-closure-field-status-dashboard.csv,data/working/issue19-official-public-entry-status.json,湖北招生考试2026年19期·本科普通批（下）,ee61fc69389f24a9a7830167113cf0ddc0447f8fa4b2743cd3241be60a9bd86d,issue19_stable_foundation_first_closure_evidence_status_report_page_side_summary,PDF页码×版面列,页列×第一闭环证据状态汇总,false,false,false,false,false,false,false,false,17,E0-冲突异常双人优先核验,Q0-冲突页列第一批先核,FIRSTPAGE-44afa6d6e4d84e5a,FIRSTFSTATUS-44afa6d6e4d84e5a,205,left,205-left,1,1,1,eed634392a7f10ceadfd1c19cd5773d924ca6c5b54c3c0735e4a783e72e4fee1,6314091b189ae6be30d396d291a037247940323dbb589028fa780781c9607f1d,ffbb1621e8910f25bbbf6fbad3f580cc45cbe6ca7e29e95401ef834aa9d2f33d,0,1,0,1,0,0,1,1,0,0,1,0,0,0,0,0,1,0,0,1,0,1,P0人工字段任务=1,O4-无PDFOCR但有机器坐标提示=1,C4-无可比候选，需人工看图或随页列闭环=1,F1-机器坐标候选辅助核页=1,B2-机器坐标候选辅助核页,按机器坐标提示定位字段，但仍以PDF原页人工记录和湖北官方侧为准。,PDF原页、湖北官方侧、必要高校辅证和双人复核状态均闭环后，才可进入字段写回评估,公开层只保存页列状态桶、计数、集合SHA和门禁，不公开字段值、OCR原文、学校专业明细、人工记录或私有路径
FIRSTEVIDPAGE-e942d34407576c0d,data/working/issue19-stable-foundation-first-closure-evidence-status-public-ledger.csv,data/working/issue19-stable-foundation-first-closure-field-status-dashboard.csv,data/working/issue19-official-public-entry-status.json,湖北招生考试2026年19期·本科普通批（下）,ee61fc69389f24a9a7830167113cf0ddc0447f8fa4b2743cd3241be60a9bd86d,issue19_stable_foundation_first_closure_evidence_status_report_page_side_summary,PDF页码×版面列,页列×第一闭环证据状态汇总,false,false,false,false,false,false,false,false,3,E0-冲突异常双人优先核验,Q0-冲突页列第一批先核,FIRSTPAGE-e942d34407576c0d,FIRSTFSTATUS-e942d34407576c0d,209,right,209-right,13,9,1,2b6dac3f008ab633cdfa66e0acc495bf59d0751acaec7bdf3b3f13d436a6f124,abdc89ef9906387836de93fc0ff0e01153e85161c4192304d5a80ed860bc45b2,a764f5f65a6087318b7cd803b3ba6031396dbfd8f159dff51db918673d6f8d32,9,4,12,9,6,0,13,13,13,9,0,6,2,0,3,4,4,4,6,4,0,13,P0人工字段任务=4；自动官网辅证任务=9,O0-PDFOCR与高校辅证冲突=2；O1-PDFOCR与高校辅证有一致字段但仍待官方闭环=4；O3-仅PDFOCR候选待人工核页=3；O5-无公开OCR候选提示=4,C0-PDFOCR与高校辅证冲突，必须回PDF原页和湖北官方侧=2；C2-多源有一致线索，仍待湖北官方侧闭环=4；C3-仅PDFOCR候选，需人工核页=3；C4-无可比候选，需人工看图或随页列闭环=4,F0-PDFOCR与高校辅证冲突双人核页=2；F2-PDFOCR候选人工确认=7；F4-无候选人工看图=4,B0-PDFOCR与高校辅证冲突,先按私有页列材料核PDF原页；冲突字段必须双人复核，并等待湖北官方侧记录后再判定。,PDF原页、湖北官方侧、必要高校辅证和双人复核状态均闭环后，才可进入字段写回评估,公开层只保存页列状态桶、计数、集合SHA和门禁，不公开字段值、OCR原文、学校专业明细、人工记录或私有路径
FIRSTEVIDPAGE-b55961124bc8610b,data/working/issue19-stable-foundation-first-closure-evidence-status-public-ledger.csv,data/working/issue19-stable-foundation-first-closure-field-status-dashboard.csv,data/working/issue19-official-public-entry-status.json,湖北招生考试2026年19期·本科普通批（下）,ee61fc69389f24a9a7830167113cf0ddc0447f8fa4b2743cd3241be60a9bd86d,issue19_stable_foundation_first_closure_evidence_status_report_page_side_summary,PDF页码×版面列,页列×第一闭环证据状态汇总,false,false,false,false,false,false,false,false,19,E1-计划数补缺或偏大优先核验,Q1-补缺或计划数偏大页列先核,FIRSTPAGE-b55961124bc8610b,FIRSTFSTATUS-b55961124bc8610b,226,left,226-left,39,20,2,00ee5b0b21524c73891372cdee1136f5466ddf7c6e401770c6231f2331f423a6,979a35ea62021076db7dcb3811a0b072c8345de792d1ce4141210e5e6555f11d,d1c755ba46cca36ff05919b6a6215a241e3abdfa05f2c2a50185f4b361c3942f,20,19,38,20,20,0,39,39,39,20,13,19,1,18,1,0,19,6,7,5,0,39,P0人工字段任务=19；自动官网辅证任务=20,O0-PDFOCR与高校辅证冲突=1；O2-高校有线索但PDFOCR缺候选=18；O3-仅PDFOCR候选待人工核页=1；O4-无PDFOCR但有机器坐标提示=13；O5-无公开OCR候选提示=6,C0-PDFOCR与高校辅证冲突，必须回PDF原页和湖北官方侧=1；C1-高校补缺线索，PDF原页缺候选需人工看图=18；C3-仅PDFOCR候选，需人工核页=1；C4-无可比候选，需人工看图或随页列闭环=19,F0-PDFOCR与高校辅证冲突双人核页=1；F1-机器坐标候选辅助核页=13；F2-PDFOCR候选人工确认=19；F4-无候选人工看图=6,B0-PDFOCR与高校辅证冲突,先按私有页列材料核PDF原页；冲突字段必须双人复核，并等待湖北官方侧记录后再判定。,PDF原页、湖北官方侧、必要高校辅证和双人复核状态均闭环后，才可进入字段写回评估,公开层只保存页列状态桶、计数、集合SHA和门禁，不公开字段值、OCR原文、学校专业明细、人工记录或私有路径
FIRSTEVIDPAGE-ed94df7696953cc5,data/working/issue19-stable-foundation-first-closure-evidence-status-public-ledger.csv,data/working/issue19-stable-foundation-first-closure-field-status-dashboard.csv,data/working/issue19-official-public-entry-status.json,湖北招生考试2026年19期·本科普通批（下）,ee61fc69389f24a9a7830167113cf0ddc0447f8fa4b2743cd3241be60a9bd86d,issue19_stable_foundation_first_closure_evidence_status_report_page_side_summary,PDF页码×版面列,页列×第一闭环证据状态汇总,false,false,false,false,false,false,false,false,21,E1-计划数补缺或偏大优先核验,Q1-补缺或计划数偏大页列先核,FIRSTPAGE-ed94df7696953cc5,FIRSTFSTATUS-ed94df7696953cc5,226,right,226-right,4,2,1,03906792757ef5d9538a69d0ced9b1886ee353fef8ac46edd5fdc9153e914481,32b2095c6859d7c91375c78850d761f2e1efcb85848649166e54811be1470e6b,640082c04be96da904cedb13db707da524ede4ecbf44d14eeed3eda023501f40,2,2,4,2,2,0,4,4,4,2,0,2,2,0,0,0,2,2,4,2,0,4,P0人工字段任务=2；自动官网辅证任务=2,O0-PDFOCR与高校辅证冲突=2；O5-无公开OCR候选提示=2,C0-PDFOCR与高校辅证冲突，必须回PDF原页和湖北官方侧=2；C4-无可比候选，需人工看图或随页列闭环=2,F0-PDFOCR与高校辅证冲突双人核页=2；F4-无候选人工看图=2,B0-PDFOCR与高校辅证冲突,先按私有页列材料核PDF原页；冲突字段必须双人复核，并等待湖北官方侧记录后再判定。,PDF原页、湖北官方侧、必要高校辅证和双人复核状态均闭环后，才可进入字段写回评估,公开层只保存页列状态桶、计数、集合SHA和门禁，不公开字段值、OCR原文、学校专业明细、人工记录或私有路径
FIRSTEVIDPAGE-db5ce399a7fd30e8,data/working/issue19-stable-foundation-first-closure-evidence-status-public-ledger.csv,data/working/issue19-stable-foundation-first-closure-field-status-dashboard.csv,data/working/issue19-official-public-entry-status.json,湖北招生考试2026年19期·本科普通批（下）,ee61fc69389f24a9a7830167113cf0ddc0447f8fa4b2743cd3241be60a9bd86d,issue19_stable_foundation_first_closure_evidence_status_report_page_side_summary,PDF页码×版面列,页列×第一闭环证据状态汇总,false,false,false,false,false,false,false,false,29,E1-计划数补缺或偏大优先核验,Q1-补缺或计划数偏大页列先核,FIRSTPAGE-db5ce399a7fd30e8,FIRSTFSTATUS-db5ce399a7fd30e8,228,left,228-left,1,1,1,f77477d05abdd5e28406db3239fd521bf5f16a07f8d7f94eb43e78dbdec90a9b,3ba23e5ba3de663c12bbedf3f415ae0fe374b4b0e1aec625e9bae2fdb2159316,bc2b80485378e0108a116511a44e86702b54e8fc4de18ed83addd47b02609047,0,1,1,0,0,0,1,1,0,0,1,0,0,0,0,0,1,0,0,1,0,1,P0人工字段任务=1,O4-无PDFOCR但有机器坐标提示=1,C4-无可比候选，需人工看图或随页列闭环=1,F1-机器坐标候选辅助核页=1,B2-机器坐标候选辅助核页,按机器坐标提示定位字段，但仍以PDF原页人工记录和湖北官方侧为准。,PDF原页、湖北官方侧、必要高校辅证和双人复核状态均闭环后，才可进入字段写回评估,公开层只保存页列状态桶、计数、集合SHA和门禁，不公开字段值、OCR原文、学校专业明细、人工记录或私有路径
FIRSTEVIDPAGE-878b34b3141f5010,data/working/issue19-stable-foundation-first-closure-evidence-status-public-ledger.csv,data/working/issue19-stable-foundation-first-closure-field-status-dashboard.csv,data/working/issue19-official-public-entry-status.json,湖北招生考试2026年19期·本科普通批（下）,ee61fc69389f24a9a7830167113cf0ddc0447f8fa4b2743cd3241be60a9bd86d,issue19_stable_foundation_first_closure_evidence_status_report_page_side_summary,PDF页码×版面列,页列×第一闭环证据状态汇总,false,false,false,false,false,false,false,false,18,E0-冲突异常双人优先核验,Q0-冲突页列第一批先核,FIRSTPAGE-878b34b3141f5010,FIRSTFSTATUS-878b34b3141f5010,235,right,235-right,1,1,1,9bd3bff993132c7d4068dc2217249f6810997d69f4651a8ac3981887df981ff3,ffc747191af9e32b7587a84996171823b7573332cc6d4effb100d3f080c3746d,e266f95730db6cb1d9364b0cdec6079c205d1229ca0a541eec5312e38981d5a7,0,1,1,0,0,0,1,1,0,0,1,0,0,0,0,0,1,0,0,1,0,1,P0人工字段任务=1,O4-无PDFOCR但有机器坐标提示=1,C4-无可比候选，需人工看图或随页列闭环=1,F1-机器坐标候选辅助核页=1,B2-机器坐标候选辅助核页,按机器坐标提示定位字段，但仍以PDF原页人工记录和湖北官方侧为准。,PDF原页、湖北官方侧、必要高校辅证和双人复核状态均闭环后，才可进入字段写回评估,公开层只保存页列状态桶、计数、集合SHA和门禁，不公开字段值、OCR原文、学校专业明细、人工记录或私有路径
FIRSTEVIDPAGE-9a59e69a09baeb3c,data/working/issue19-stable-foundation-first-closure-evidence-status-public-ledger.csv,data/working/issue19-stable-foundation-first-closure-field-status-dashboard.csv,data/working/issue19-official-public-entry-status.json,湖北招生考试2026年19期·本科普通批（下）,ee61fc69389f24a9a7830167113cf0ddc0447f8fa4b2743cd3241be60a9bd86d,issue19_stable_foundation_first_closure_evidence_status_report_page_side_summary,PDF页码×版面列,页列×第一闭环证据状态汇总,false,false,false,false,false,false,false,false,33,E2-官网未匹配专业名归属核验,Q2-官网未匹配或高校辅证页列先核,FIRSTPAGE-9a59e69a09baeb3c,FIRSTFSTATUS-9a59e69a09baeb3c,235,left,235-left,2,2,1,27a4c57ddf32279beedc8e907d62500afecdf46c0ee411f59776b052237aad7b,fc8e06f9473620e57d30e4bea9e21b9d2a714e64a1eebe3f9de7313a7fdd7c5f,e266f95730db6cb1d9364b0cdec6079c205d1229ca0a541eec5312e38981d5a7,2,0,2,2,1,0,2,2,2,2,0,0,0,0,2,0,0,0,0,0,0,2,自动官网辅证任务=2,O3-仅PDFOCR候选待人工核页=2,C3-仅PDFOCR候选，需人工核页=2,F2-PDFOCR候选人工确认=2,B3-仅PDFOCR候选待人工确认,按PDFOCR提示逐条核原页；确认后再做湖北官方侧和高校侧闭环。,PDF原页、湖北官方侧、必要高校辅证和双人复核状态均闭环后，才可进入字段写回评估,公开层只保存页列状态桶、计数、集合SHA和门禁，不公开字段值、OCR原文、学校专业明细、人工记录或私有路径
