官方不可得抽样Overlay公开账本ID,来源官方不可得抽样执行明细,来源私有抽样复核Overlay,来源期号,来源PDF_SHA256,数据阶段,主表粒度,任务粒度,最终可用,可进入下一阶段,是否允许作为志愿推荐依据,是否允许生成学校专业建议,是否允许自动写回主表,是否允许官网证据替代湖北官方计划,是否允许写回字段事实,来源官方不可得抽样执行明细ID,专业行ID,专业组出现ID,来源页码,版面列,页码版面键,执行类别,执行优先级,风险等级,官网辅证自动动作,是否100%人工核验,是否抽样核验,是否低风险样本,是否需要双人复核,抽样策略,样本序号,样本最低明细数,私有Overlay证据编号,私有OverlayCSV_SHA256,私有Overlay记录SHA256,私有Overlay记录是否存在,私有Overlay记录缺失数,PDF原页已填字段数,湖北官方侧已填字段数,高校辅证已填字段数,三方一致性可评估,抽检失败状态,升级状态,首轮复核状态,次轮复核状态,字段事实写回状态,Overlay进度桶,公开安全策略,下一步
SAMPLINGOVERLAYPROG-37308ec0662252e8,data/working/issue19-official-unavailable-sampling-execution-detail.csv,local_sampling_review_overlay_not_public,湖北招生考试2026年19期·本科普通批（下）,ee61fc69389f24a9a7830167113cf0ddc0447f8fa4b2743cd3241be60a9bd86d,issue19_official_unavailable_sampling_review_overlay_public_ledger,逐专业招生明细,官方不可得抽样执行明细×人工复核Overlay进度,false,false,false,false,false,false,false,SAMPLINGEXEC-d06b8633fffdb3dc,M-07561f2ddca7868c,G-d202caf3a5b24060,137,left,137-left,H0-高风险100%人工核验,00-高风险逐专业核验,R3-high,C1-官网补缺候选但禁止自动写回,true,false,false,false,100%人工核验,1,1,issue19-official-unavailable-sampling-review-overlay-csv,8e2087d21e8f33ba27a773f9bc660077d8498b02c5396407c5f975b4538b91b4,60ea59d85895e84196ce049a8d4e9abd64d077c8d7b49cb834f37a8ac96bb421,true,0,0,0,0,false,not_evaluated,not_evaluated,pending,not_required_yet,blocked_until_private_overlay_pdf_hubei_review_closed,R0-Overlay已生成未填写,公开表只保存抽样复核进度、门禁状态、证据编号和SHA；不公开学校专业明细、字段读数、人员字段或备注正文。,在本地抽样复核Overlay录入PDF原页、湖北官方侧和必要高校辅证；抽检失败时按同页列、同校或同组升级边界扩大人工核验。
SAMPLINGOVERLAYPROG-f8e15fd01fa5f2db,data/working/issue19-official-unavailable-sampling-execution-detail.csv,local_sampling_review_overlay_not_public,湖北招生考试2026年19期·本科普通批（下）,ee61fc69389f24a9a7830167113cf0ddc0447f8fa4b2743cd3241be60a9bd86d,issue19_official_unavailable_sampling_review_overlay_public_ledger,逐专业招生明细,官方不可得抽样执行明细×人工复核Overlay进度,false,false,false,false,false,false,false,SAMPLINGEXEC-b9bedbfcc89d61de,M-8ba195c86a925e83,G-69a8112ee16cf2ba,169,right,169-right,H0-高风险100%人工核验,00-高风险逐专业核验,R3-high,C1-官网补缺候选但禁止自动写回,true,false,false,false,100%人工核验,1,10,issue19-official-unavailable-sampling-review-overlay-csv,8e2087d21e8f33ba27a773f9bc660077d8498b02c5396407c5f975b4538b91b4,b59f2bf87a4f2df6d4d33e6a880eb85d9bb77fa90a37ac71e0d427a8ff9562d4,true,0,0,0,0,false,not_evaluated,not_evaluated,pending,not_required_yet,blocked_until_private_overlay_pdf_hubei_review_closed,R0-Overlay已生成未填写,公开表只保存抽样复核进度、门禁状态、证据编号和SHA；不公开学校专业明细、字段读数、人员字段或备注正文。,在本地抽样复核Overlay录入PDF原页、湖北官方侧和必要高校辅证；抽检失败时按同页列、同校或同组升级边界扩大人工核验。
SAMPLINGOVERLAYPROG-f2af3ac7540dacfb,data/working/issue19-official-unavailable-sampling-execution-detail.csv,local_sampling_review_overlay_not_public,湖北招生考试2026年19期·本科普通批（下）,ee61fc69389f24a9a7830167113cf0ddc0447f8fa4b2743cd3241be60a9bd86d,issue19_official_unavailable_sampling_review_overlay_public_ledger,逐专业招生明细,官方不可得抽样执行明细×人工复核Overlay进度,false,false,false,false,false,false,false,SAMPLINGEXEC-c771c7b546be759c,M-90b2fc54c5bc2e5c,G-69a8112ee16cf2ba,169,right,169-right,H0-高风险100%人工核验,00-高风险逐专业核验,R3-high,C1-官网补缺候选但禁止自动写回,true,false,false,false,100%人工核验,2,10,issue19-official-unavailable-sampling-review-overlay-csv,8e2087d21e8f33ba27a773f9bc660077d8498b02c5396407c5f975b4538b91b4,969d101a233a0caaaf9b86043994628a9557330027171fdaaa86602ac731daaa,true,0,0,0,0,false,not_evaluated,not_evaluated,pending,not_required_yet,blocked_until_private_overlay_pdf_hubei_review_closed,R0-Overlay已生成未填写,公开表只保存抽样复核进度、门禁状态、证据编号和SHA；不公开学校专业明细、字段读数、人员字段或备注正文。,在本地抽样复核Overlay录入PDF原页、湖北官方侧和必要高校辅证；抽检失败时按同页列、同校或同组升级边界扩大人工核验。
SAMPLINGOVERLAYPROG-8b5df240025e1e0d,data/working/issue19-official-unavailable-sampling-execution-detail.csv,local_sampling_review_overlay_not_public,湖北招生考试2026年19期·本科普通批（下）,ee61fc69389f24a9a7830167113cf0ddc0447f8fa4b2743cd3241be60a9bd86d,issue19_official_unavailable_sampling_review_overlay_public_ledger,逐专业招生明细,官方不可得抽样执行明细×人工复核Overlay进度,false,false,false,false,false,false,false,SAMPLINGEXEC-88a03b031db990ec,M-9710c4b647b66507,G-69a8112ee16cf2ba,169,right,169-right,H0-高风险100%人工核验,00-高风险逐专业核验,R3-high,C1-官网补缺候选但禁止自动写回,true,false,false,false,100%人工核验,3,10,issue19-official-unavailable-sampling-review-overlay-csv,8e2087d21e8f33ba27a773f9bc660077d8498b02c5396407c5f975b4538b91b4,0a395793aeb9f58377134acfc64204baaed2520c69cecffbb38a8c3906b9912d,true,0,0,0,0,false,not_evaluated,not_evaluated,pending,not_required_yet,blocked_until_private_overlay_pdf_hubei_review_closed,R0-Overlay已生成未填写,公开表只保存抽样复核进度、门禁状态、证据编号和SHA；不公开学校专业明细、字段读数、人员字段或备注正文。,在本地抽样复核Overlay录入PDF原页、湖北官方侧和必要高校辅证；抽检失败时按同页列、同校或同组升级边界扩大人工核验。
SAMPLINGOVERLAYPROG-d197c659d9d43e4c,data/working/issue19-official-unavailable-sampling-execution-detail.csv,local_sampling_review_overlay_not_public,湖北招生考试2026年19期·本科普通批（下）,ee61fc69389f24a9a7830167113cf0ddc0447f8fa4b2743cd3241be60a9bd86d,issue19_official_unavailable_sampling_review_overlay_public_ledger,逐专业招生明细,官方不可得抽样执行明细×人工复核Overlay进度,false,false,false,false,false,false,false,SAMPLINGEXEC-ea68b8ff5cc9af23,M-cdfe659d6ddbb7d7,G-69a8112ee16cf2ba,169,right,169-right,H0-高风险100%人工核验,00-高风险逐专业核验,R3-high,C1-官网补缺候选但禁止自动写回,true,false,false,false,100%人工核验,4,10,issue19-official-unavailable-sampling-review-overlay-csv,8e2087d21e8f33ba27a773f9bc660077d8498b02c5396407c5f975b4538b91b4,bbfbd096c8cd4f0d41ef6368aae6f74eb2a2a92058e478e2f55781e18d045978,true,0,0,0,0,false,not_evaluated,not_evaluated,pending,not_required_yet,blocked_until_private_overlay_pdf_hubei_review_closed,R0-Overlay已生成未填写,公开表只保存抽样复核进度、门禁状态、证据编号和SHA；不公开学校专业明细、字段读数、人员字段或备注正文。,在本地抽样复核Overlay录入PDF原页、湖北官方侧和必要高校辅证；抽检失败时按同页列、同校或同组升级边界扩大人工核验。
SAMPLINGOVERLAYPROG-3c36140199eba9a4,data/working/issue19-official-unavailable-sampling-execution-detail.csv,local_sampling_review_overlay_not_public,湖北招生考试2026年19期·本科普通批（下）,ee61fc69389f24a9a7830167113cf0ddc0447f8fa4b2743cd3241be60a9bd86d,issue19_official_unavailable_sampling_review_overlay_public_ledger,逐专业招生明细,官方不可得抽样执行明细×人工复核Overlay进度,false,false,false,false,false,false,false,SAMPLINGEXEC-e6e34229763c2bec,M-13b19a3991c8159a,G-69a8112ee16cf2ba,169,right,169-right,H0-高风险100%人工核验,00-高风险逐专业核验,R3-high,C1-官网补缺候选但禁止自动写回,true,false,false,false,100%人工核验,5,10,issue19-official-unavailable-sampling-review-overlay-csv,8e2087d21e8f33ba27a773f9bc660077d8498b02c5396407c5f975b4538b91b4,b275ee8d9438b4c5cbd0b8c8870b34c345453d93a6b5e142f6601e29d36faac7,true,0,0,0,0,false,not_evaluated,not_evaluated,pending,not_required_yet,blocked_until_private_overlay_pdf_hubei_review_closed,R0-Overlay已生成未填写,公开表只保存抽样复核进度、门禁状态、证据编号和SHA；不公开学校专业明细、字段读数、人员字段或备注正文。,在本地抽样复核Overlay录入PDF原页、湖北官方侧和必要高校辅证；抽检失败时按同页列、同校或同组升级边界扩大人工核验。
SAMPLINGOVERLAYPROG-71e5ea89f37b17a7,data/working/issue19-official-unavailable-sampling-execution-detail.csv,local_sampling_review_overlay_not_public,湖北招生考试2026年19期·本科普通批（下）,ee61fc69389f24a9a7830167113cf0ddc0447f8fa4b2743cd3241be60a9bd86d,issue19_official_unavailable_sampling_review_overlay_public_ledger,逐专业招生明细,官方不可得抽样执行明细×人工复核Overlay进度,false,false,false,false,false,false,false,SAMPLINGEXEC-91c6b2f2109d57bb,M-b4b8560bd289f9b5,G-69a8112ee16cf2ba,169,right,169-right,H0-高风险100%人工核验,00-高风险逐专业核验,R3-high,C1-官网补缺候选但禁止自动写回,true,false,false,false,100%人工核验,6,10,issue19-official-unavailable-sampling-review-overlay-csv,8e2087d21e8f33ba27a773f9bc660077d8498b02c5396407c5f975b4538b91b4,7b7dac4eed3eae671a0c33dc0b96bb4a0bbaae73bb8aaf1baa2a679176607d36,true,0,0,0,0,false,not_evaluated,not_evaluated,pending,not_required_yet,blocked_until_private_overlay_pdf_hubei_review_closed,R0-Overlay已生成未填写,公开表只保存抽样复核进度、门禁状态、证据编号和SHA；不公开学校专业明细、字段读数、人员字段或备注正文。,在本地抽样复核Overlay录入PDF原页、湖北官方侧和必要高校辅证；抽检失败时按同页列、同校或同组升级边界扩大人工核验。
SAMPLINGOVERLAYPROG-8372eaf521ff4777,data/working/issue19-official-unavailable-sampling-execution-detail.csv,local_sampling_review_overlay_not_public,湖北招生考试2026年19期·本科普通批（下）,ee61fc69389f24a9a7830167113cf0ddc0447f8fa4b2743cd3241be60a9bd86d,issue19_official_unavailable_sampling_review_overlay_public_ledger,逐专业招生明细,官方不可得抽样执行明细×人工复核Overlay进度,false,false,false,false,false,false,false,SAMPLINGEXEC-3cb0572b565294ec,M-4a71a2765412ac2a,G-69a8112ee16cf2ba,169,right,169-right,H0-高风险100%人工核验,00-高风险逐专业核验,R3-high,C1-官网补缺候选但禁止自动写回,true,false,false,false,100%人工核验,7,10,issue19-official-unavailable-sampling-review-overlay-csv,8e2087d21e8f33ba27a773f9bc660077d8498b02c5396407c5f975b4538b91b4,aaa589564b9d58864522c5916d976cb35268591443ccf78d0b2d5433525e214e,true,0,0,0,0,false,not_evaluated,not_evaluated,pending,not_required_yet,blocked_until_private_overlay_pdf_hubei_review_closed,R0-Overlay已生成未填写,公开表只保存抽样复核进度、门禁状态、证据编号和SHA；不公开学校专业明细、字段读数、人员字段或备注正文。,在本地抽样复核Overlay录入PDF原页、湖北官方侧和必要高校辅证；抽检失败时按同页列、同校或同组升级边界扩大人工核验。
SAMPLINGOVERLAYPROG-da634c1242925a18,data/working/issue19-official-unavailable-sampling-execution-detail.csv,local_sampling_review_overlay_not_public,湖北招生考试2026年19期·本科普通批（下）,ee61fc69389f24a9a7830167113cf0ddc0447f8fa4b2743cd3241be60a9bd86d,issue19_official_unavailable_sampling_review_overlay_public_ledger,逐专业招生明细,官方不可得抽样执行明细×人工复核Overlay进度,false,false,false,false,false,false,false,SAMPLINGEXEC-1645dd1f3ef2a691,M-7a3695c82b5953d6,G-69a8112ee16cf2ba,169,right,169-right,H0-高风险100%人工核验,00-高风险逐专业核验,R3-high,C1-官网补缺候选但禁止自动写回,true,false,false,false,100%人工核验,8,10,issue19-official-unavailable-sampling-review-overlay-csv,8e2087d21e8f33ba27a773f9bc660077d8498b02c5396407c5f975b4538b91b4,e28f280fd27184826ce090a232987ba2835ce667139f1dfd608e0dab74b8fa35,true,0,0,0,0,false,not_evaluated,not_evaluated,pending,not_required_yet,blocked_until_private_overlay_pdf_hubei_review_closed,R0-Overlay已生成未填写,公开表只保存抽样复核进度、门禁状态、证据编号和SHA；不公开学校专业明细、字段读数、人员字段或备注正文。,在本地抽样复核Overlay录入PDF原页、湖北官方侧和必要高校辅证；抽检失败时按同页列、同校或同组升级边界扩大人工核验。
SAMPLINGOVERLAYPROG-68d73b1516c0f2e5,data/working/issue19-official-unavailable-sampling-execution-detail.csv,local_sampling_review_overlay_not_public,湖北招生考试2026年19期·本科普通批（下）,ee61fc69389f24a9a7830167113cf0ddc0447f8fa4b2743cd3241be60a9bd86d,issue19_official_unavailable_sampling_review_overlay_public_ledger,逐专业招生明细,官方不可得抽样执行明细×人工复核Overlay进度,false,false,false,false,false,false,false,SAMPLINGEXEC-52f4897cdcc1033f,M-7489ddca4dfd3dd8,G-69a8112ee16cf2ba,169,right,169-right,H0-高风险100%人工核验,00-高风险逐专业核验,R3-high,C1-官网补缺候选但禁止自动写回,true,false,false,false,100%人工核验,9,10,issue19-official-unavailable-sampling-review-overlay-csv,8e2087d21e8f33ba27a773f9bc660077d8498b02c5396407c5f975b4538b91b4,bd2f5bfdb0d72d78ae7a02f180bbea0874db9240995e84e509d5f8084b072844,true,0,0,0,0,false,not_evaluated,not_evaluated,pending,not_required_yet,blocked_until_private_overlay_pdf_hubei_review_closed,R0-Overlay已生成未填写,公开表只保存抽样复核进度、门禁状态、证据编号和SHA；不公开学校专业明细、字段读数、人员字段或备注正文。,在本地抽样复核Overlay录入PDF原页、湖北官方侧和必要高校辅证；抽检失败时按同页列、同校或同组升级边界扩大人工核验。
SAMPLINGOVERLAYPROG-037cc3f41c11b543,data/working/issue19-official-unavailable-sampling-execution-detail.csv,local_sampling_review_overlay_not_public,湖北招生考试2026年19期·本科普通批（下）,ee61fc69389f24a9a7830167113cf0ddc0447f8fa4b2743cd3241be60a9bd86d,issue19_official_unavailable_sampling_review_overlay_public_ledger,逐专业招生明细,官方不可得抽样执行明细×人工复核Overlay进度,false,false,false,false,false,false,false,SAMPLINGEXEC-7f5dfff7017c5fda,M-d7ad035436e7d0f7,G-69a8112ee16cf2ba,169,right,169-right,H0-高风险100%人工核验,00-高风险逐专业核验,R3-high,C1-官网补缺候选但禁止自动写回,true,false,false,false,100%人工核验,10,10,issue19-official-unavailable-sampling-review-overlay-csv,8e2087d21e8f33ba27a773f9bc660077d8498b02c5396407c5f975b4538b91b4,7972c17b48db2f1c9a30cb5bd5501c21a3725d2402df2967dc6fdc1696080d64,true,0,0,0,0,false,not_evaluated,not_evaluated,pending,not_required_yet,blocked_until_private_overlay_pdf_hubei_review_closed,R0-Overlay已生成未填写,公开表只保存抽样复核进度、门禁状态、证据编号和SHA；不公开学校专业明细、字段读数、人员字段或备注正文。,在本地抽样复核Overlay录入PDF原页、湖北官方侧和必要高校辅证；抽检失败时按同页列、同校或同组升级边界扩大人工核验。
SAMPLINGOVERLAYPROG-689cd904fbb41771,data/working/issue19-official-unavailable-sampling-execution-detail.csv,local_sampling_review_overlay_not_public,湖北招生考试2026年19期·本科普通批（下）,ee61fc69389f24a9a7830167113cf0ddc0447f8fa4b2743cd3241be60a9bd86d,issue19_official_unavailable_sampling_review_overlay_public_ledger,逐专业招生明细,官方不可得抽样执行明细×人工复核Overlay进度,false,false,false,false,false,false,false,SAMPLINGEXEC-677b9e090c05398e,M-eb78e1c31fae9e22,G-e377a7e078e92213,209,right,209-right,H0-高风险100%人工核验,00-高风险逐专业核验,R3-high,C1-官网补缺候选但禁止自动写回,true,false,false,false,100%人工核验,1,4,issue19-official-unavailable-sampling-review-overlay-csv,8e2087d21e8f33ba27a773f9bc660077d8498b02c5396407c5f975b4538b91b4,e1e8e6192d2a79d1e3e4f1c9a7fbd86afa4ad5d44ec3eb8fd7ddc1f65d3f0f5a,true,0,0,0,0,false,not_evaluated,not_evaluated,pending,not_required_yet,blocked_until_private_overlay_pdf_hubei_review_closed,R0-Overlay已生成未填写,公开表只保存抽样复核进度、门禁状态、证据编号和SHA；不公开学校专业明细、字段读数、人员字段或备注正文。,在本地抽样复核Overlay录入PDF原页、湖北官方侧和必要高校辅证；抽检失败时按同页列、同校或同组升级边界扩大人工核验。
SAMPLINGOVERLAYPROG-386f7e9d2265337b,data/working/issue19-official-unavailable-sampling-execution-detail.csv,local_sampling_review_overlay_not_public,湖北招生考试2026年19期·本科普通批（下）,ee61fc69389f24a9a7830167113cf0ddc0447f8fa4b2743cd3241be60a9bd86d,issue19_official_unavailable_sampling_review_overlay_public_ledger,逐专业招生明细,官方不可得抽样执行明细×人工复核Overlay进度,false,false,false,false,false,false,false,SAMPLINGEXEC-b9a3cefe565954d2,M-4d07d36dc438349c,G-e377a7e078e92213,209,right,209-right,H0-高风险100%人工核验,00-高风险逐专业核验,R3-high,C1-官网补缺候选但禁止自动写回,true,false,false,false,100%人工核验,2,4,issue19-official-unavailable-sampling-review-overlay-csv,8e2087d21e8f33ba27a773f9bc660077d8498b02c5396407c5f975b4538b91b4,29218c0575a5eea601fe5ef741b1ed16c43128ae8d95eb51e910eb810f9f6260,true,0,0,0,0,false,not_evaluated,not_evaluated,pending,not_required_yet,blocked_until_private_overlay_pdf_hubei_review_closed,R0-Overlay已生成未填写,公开表只保存抽样复核进度、门禁状态、证据编号和SHA；不公开学校专业明细、字段读数、人员字段或备注正文。,在本地抽样复核Overlay录入PDF原页、湖北官方侧和必要高校辅证；抽检失败时按同页列、同校或同组升级边界扩大人工核验。
SAMPLINGOVERLAYPROG-ae71266a56fab36d,data/working/issue19-official-unavailable-sampling-execution-detail.csv,local_sampling_review_overlay_not_public,湖北招生考试2026年19期·本科普通批（下）,ee61fc69389f24a9a7830167113cf0ddc0447f8fa4b2743cd3241be60a9bd86d,issue19_official_unavailable_sampling_review_overlay_public_ledger,逐专业招生明细,官方不可得抽样执行明细×人工复核Overlay进度,false,false,false,false,false,false,false,SAMPLINGEXEC-627674a6aab46779,M-8281eec06d651680,G-e377a7e078e92213,209,right,209-right,H0-高风险100%人工核验,00-高风险逐专业核验,R3-high,C1-官网补缺候选但禁止自动写回,true,false,false,false,100%人工核验,3,4,issue19-official-unavailable-sampling-review-overlay-csv,8e2087d21e8f33ba27a773f9bc660077d8498b02c5396407c5f975b4538b91b4,c3daca9ad88d2178605b6b4a204e20ed9aa01711076b21b4ce0ca0008dded903,true,0,0,0,0,false,not_evaluated,not_evaluated,pending,not_required_yet,blocked_until_private_overlay_pdf_hubei_review_closed,R0-Overlay已生成未填写,公开表只保存抽样复核进度、门禁状态、证据编号和SHA；不公开学校专业明细、字段读数、人员字段或备注正文。,在本地抽样复核Overlay录入PDF原页、湖北官方侧和必要高校辅证；抽检失败时按同页列、同校或同组升级边界扩大人工核验。
SAMPLINGOVERLAYPROG-a590fed33e910dc5,data/working/issue19-official-unavailable-sampling-execution-detail.csv,local_sampling_review_overlay_not_public,湖北招生考试2026年19期·本科普通批（下）,ee61fc69389f24a9a7830167113cf0ddc0447f8fa4b2743cd3241be60a9bd86d,issue19_official_unavailable_sampling_review_overlay_public_ledger,逐专业招生明细,官方不可得抽样执行明细×人工复核Overlay进度,false,false,false,false,false,false,false,SAMPLINGEXEC-6eae87735fea4c27,M-8aed30091b7482da,G-e377a7e078e92213,209,right,209-right,H0-高风险100%人工核验,00-高风险逐专业核验,R3-high,C1-官网补缺候选但禁止自动写回,true,false,false,false,100%人工核验,4,4,issue19-official-unavailable-sampling-review-overlay-csv,8e2087d21e8f33ba27a773f9bc660077d8498b02c5396407c5f975b4538b91b4,231d9f66ee7268b54d99c38d15a04030892409945bafff4c3f7e21ee1e81c0fa,true,0,0,0,0,false,not_evaluated,not_evaluated,pending,not_required_yet,blocked_until_private_overlay_pdf_hubei_review_closed,R0-Overlay已生成未填写,公开表只保存抽样复核进度、门禁状态、证据编号和SHA；不公开学校专业明细、字段读数、人员字段或备注正文。,在本地抽样复核Overlay录入PDF原页、湖北官方侧和必要高校辅证；抽检失败时按同页列、同校或同组升级边界扩大人工核验。
SAMPLINGOVERLAYPROG-8bd7db286a30e666,data/working/issue19-official-unavailable-sampling-execution-detail.csv,local_sampling_review_overlay_not_public,湖北招生考试2026年19期·本科普通批（下）,ee61fc69389f24a9a7830167113cf0ddc0447f8fa4b2743cd3241be60a9bd86d,issue19_official_unavailable_sampling_review_overlay_public_ledger,逐专业招生明细,官方不可得抽样执行明细×人工复核Overlay进度,false,false,false,false,false,false,false,SAMPLINGEXEC-5c643384baeed3d6,M-b23da168ecf3a69d,G-01338c1d774310d5,226,left,226-left,H0-高风险100%人工核验,00-高风险逐专业核验,R3-high,C1-官网补缺候选但禁止自动写回,true,false,false,false,100%人工核验,1,19,issue19-official-unavailable-sampling-review-overlay-csv,8e2087d21e8f33ba27a773f9bc660077d8498b02c5396407c5f975b4538b91b4,5ccad8d153c80d5efb587bd8829d21a2c374aa7fbf96715042e8f3426a8ea0f8,true,0,0,0,0,false,not_evaluated,not_evaluated,pending,not_required_yet,blocked_until_private_overlay_pdf_hubei_review_closed,R0-Overlay已生成未填写,公开表只保存抽样复核进度、门禁状态、证据编号和SHA；不公开学校专业明细、字段读数、人员字段或备注正文。,在本地抽样复核Overlay录入PDF原页、湖北官方侧和必要高校辅证；抽检失败时按同页列、同校或同组升级边界扩大人工核验。
SAMPLINGOVERLAYPROG-846d0e0cf125f677,data/working/issue19-official-unavailable-sampling-execution-detail.csv,local_sampling_review_overlay_not_public,湖北招生考试2026年19期·本科普通批（下）,ee61fc69389f24a9a7830167113cf0ddc0447f8fa4b2743cd3241be60a9bd86d,issue19_official_unavailable_sampling_review_overlay_public_ledger,逐专业招生明细,官方不可得抽样执行明细×人工复核Overlay进度,false,false,false,false,false,false,false,SAMPLINGEXEC-94bc57b3ecff21c8,M-b26306df48aeae35,G-01338c1d774310d5,226,left,226-left,H0-高风险100%人工核验,00-高风险逐专业核验,R3-high,C1-官网补缺候选但禁止自动写回,true,false,false,false,100%人工核验,2,19,issue19-official-unavailable-sampling-review-overlay-csv,8e2087d21e8f33ba27a773f9bc660077d8498b02c5396407c5f975b4538b91b4,a77e0c954f9f3c5a620a3e81659dd6aeeb08fcfb91e684b2bf36c80043b4be1c,true,0,0,0,0,false,not_evaluated,not_evaluated,pending,not_required_yet,blocked_until_private_overlay_pdf_hubei_review_closed,R0-Overlay已生成未填写,公开表只保存抽样复核进度、门禁状态、证据编号和SHA；不公开学校专业明细、字段读数、人员字段或备注正文。,在本地抽样复核Overlay录入PDF原页、湖北官方侧和必要高校辅证；抽检失败时按同页列、同校或同组升级边界扩大人工核验。
SAMPLINGOVERLAYPROG-36ecb001ea35a24a,data/working/issue19-official-unavailable-sampling-execution-detail.csv,local_sampling_review_overlay_not_public,湖北招生考试2026年19期·本科普通批（下）,ee61fc69389f24a9a7830167113cf0ddc0447f8fa4b2743cd3241be60a9bd86d,issue19_official_unavailable_sampling_review_overlay_public_ledger,逐专业招生明细,官方不可得抽样执行明细×人工复核Overlay进度,false,false,false,false,false,false,false,SAMPLINGEXEC-f34028ddf6ccb988,M-59f2fe4937c929af,G-01338c1d774310d5,226,left,226-left,H0-高风险100%人工核验,00-高风险逐专业核验,R3-high,C1-官网补缺候选但禁止自动写回,true,false,false,false,100%人工核验,3,19,issue19-official-unavailable-sampling-review-overlay-csv,8e2087d21e8f33ba27a773f9bc660077d8498b02c5396407c5f975b4538b91b4,4d18f14cbdfc0c1207f1a4391aec3b4a209ce5bec485b312ca6507a2d927f3bf,true,0,0,0,0,false,not_evaluated,not_evaluated,pending,not_required_yet,blocked_until_private_overlay_pdf_hubei_review_closed,R0-Overlay已生成未填写,公开表只保存抽样复核进度、门禁状态、证据编号和SHA；不公开学校专业明细、字段读数、人员字段或备注正文。,在本地抽样复核Overlay录入PDF原页、湖北官方侧和必要高校辅证；抽检失败时按同页列、同校或同组升级边界扩大人工核验。
SAMPLINGOVERLAYPROG-0eb84a8c9b5d0ec9,data/working/issue19-official-unavailable-sampling-execution-detail.csv,local_sampling_review_overlay_not_public,湖北招生考试2026年19期·本科普通批（下）,ee61fc69389f24a9a7830167113cf0ddc0447f8fa4b2743cd3241be60a9bd86d,issue19_official_unavailable_sampling_review_overlay_public_ledger,逐专业招生明细,官方不可得抽样执行明细×人工复核Overlay进度,false,false,false,false,false,false,false,SAMPLINGEXEC-3a8159fa76ac801a,M-697f5f955ecc00c8,G-01338c1d774310d5,226,left,226-left,H0-高风险100%人工核验,00-高风险逐专业核验,R3-high,C1-官网补缺候选但禁止自动写回,true,false,false,false,100%人工核验,4,19,issue19-official-unavailable-sampling-review-overlay-csv,8e2087d21e8f33ba27a773f9bc660077d8498b02c5396407c5f975b4538b91b4,f6b23281da05238d1bab952e3d560491583d4d2204f2595f58ce18267e255af9,true,0,0,0,0,false,not_evaluated,not_evaluated,pending,not_required_yet,blocked_until_private_overlay_pdf_hubei_review_closed,R0-Overlay已生成未填写,公开表只保存抽样复核进度、门禁状态、证据编号和SHA；不公开学校专业明细、字段读数、人员字段或备注正文。,在本地抽样复核Overlay录入PDF原页、湖北官方侧和必要高校辅证；抽检失败时按同页列、同校或同组升级边界扩大人工核验。
SAMPLINGOVERLAYPROG-d98ff9c4156c32bd,data/working/issue19-official-unavailable-sampling-execution-detail.csv,local_sampling_review_overlay_not_public,湖北招生考试2026年19期·本科普通批（下）,ee61fc69389f24a9a7830167113cf0ddc0447f8fa4b2743cd3241be60a9bd86d,issue19_official_unavailable_sampling_review_overlay_public_ledger,逐专业招生明细,官方不可得抽样执行明细×人工复核Overlay进度,false,false,false,false,false,false,false,SAMPLINGEXEC-ea65e660e6ded949,M-c3ff06ecc81ab136,G-01338c1d774310d5,226,left,226-left,H0-高风险100%人工核验,00-高风险逐专业核验,R3-high,C1-官网补缺候选但禁止自动写回,true,false,false,false,100%人工核验,5,19,issue19-official-unavailable-sampling-review-overlay-csv,8e2087d21e8f33ba27a773f9bc660077d8498b02c5396407c5f975b4538b91b4,74c1592234b122cf600b7e13f729ff2db431a8dd9e2f1055668ec780a30e4451,true,0,0,0,0,false,not_evaluated,not_evaluated,pending,not_required_yet,blocked_until_private_overlay_pdf_hubei_review_closed,R0-Overlay已生成未填写,公开表只保存抽样复核进度、门禁状态、证据编号和SHA；不公开学校专业明细、字段读数、人员字段或备注正文。,在本地抽样复核Overlay录入PDF原页、湖北官方侧和必要高校辅证；抽检失败时按同页列、同校或同组升级边界扩大人工核验。
