G0字段W0W1页列通道汇总ID,来源G0字段W0W1可执行通道项,来源期号,来源PDF_SHA256,生成日期,数据阶段,主表粒度,任务粒度,最终可用,可进入下一阶段,可否进入最终志愿方案,是否允许作为志愿推荐依据,是否允许自动写回主表,是否允许官网证据替代湖北官方计划,是否允许生成学校专业建议,是否允许写回字段事实,是否允许进入私有写回评审,页列通道汇总序号,页码版面键,来源页码,版面列,证据通道序号,证据通道,当前执行波次,当前证据动作组,执行项数,涉及字段事实数,涉及任务数,涉及专业行数,涉及院校代码数,字段名分布,候选分层桶分布,闭环准出阶段分布,当前通道状态分布,当前阻断桶分布,通道回填状态分布,需要双人复核字段数,高校源可DoubleCheck字段数,结构化接入候选字段数,页列通道解除阻断条件,页列通道下一步动作,字段事实集合SHA256,缺口任务集合SHA256,公开安全策略
G0-W0W1-ACTION-PAGE-CHANNEL-945e13307d8b54fc,data/working/issue19-first-closure-g0-field-w0-w1-action-items-v1-public-ledger.csv,湖北招生考试2026年19期·本科普通批（下）,ee61fc69389f24a9a7830167113cf0ddc0447f8fa4b2743cd3241be60a9bd86d,2026-06-29,issue19_first_closure_g0_field_w0_w1_action_items_v1,PDF页码×版面列×证据通道,G0字段事实W0W1可执行证据通道汇总,false,false,false,false,false,false,false,false,false,21,169-right,169,right,02,湖北官方侧记录,W0-一手证据与辅证采集,A1-补湖北官方侧记录,2,2,1,1,1,专业计划数:1；学费:1,C0-双侧候选冲突优先核:1；C2-仅PDFOCR候选需补辅证:1,F0-先补PDF原页并处理冲突:1；F2-PDFOCR候选需补辅证并核原页:1,pending_hubei_official_plan_review:2,G1-缺湖北官方记录:2,pending_private_evidence_record:2,2,2,2,补齐湖北官方系统或省招办计划记录并保留证据编号。,按字段事实回查湖北官方侧记录，保留证据编号。,e9156bdef5372b541f10c10fb1c3ba832706ab312049f5d13b1c51bea221aea0,2dde23b561185619ed92b6e0786414b7352ffa62c9ad655c82ac1f955b1c9362,页列通道汇总只公开计数、分布、ID集合SHA和下一步动作；不公开敏感明细。
G0-W0W1-ACTION-PAGE-CHANNEL-92def291e7eeea3d,data/working/issue19-first-closure-g0-field-w0-w1-action-items-v1-public-ledger.csv,湖北招生考试2026年19期·本科普通批（下）,ee61fc69389f24a9a7830167113cf0ddc0447f8fa4b2743cd3241be60a9bd86d,2026-06-29,issue19_first_closure_g0_field_w0_w1_action_items_v1,PDF页码×版面列×证据通道,G0字段事实W0W1可执行证据通道汇总,false,false,false,false,false,false,false,false,false,22,169-right,169,right,03,高校辅证人工核验,W0-一手证据与辅证采集,A2-核高校辅证线索,2,2,1,1,1,专业计划数:1；学费:1,C0-双侧候选冲突优先核:1；C2-仅PDFOCR候选需补辅证:1,F0-先补PDF原页并处理冲突:1；F2-PDFOCR候选需补辅证并核原页:1,school_source_pending:1；school_source_seed_present_pending_manual_review:1,G2a-缺高校辅证线索:1；G2b-高校辅证种子待人工核验:1,pending_private_evidence_record:2,2,2,2,核高校辅证线索，仅作为double check，不替代湖北官方计划。,回接高校源线索并标注是否支持或冲突。,e9156bdef5372b541f10c10fb1c3ba832706ab312049f5d13b1c51bea221aea0,9d4862fdd5b8a33e5e5d967b853c2eb0b18e19f105cfa87fea8d4e9f5b7fc865,页列通道汇总只公开计数、分布、ID集合SHA和下一步动作；不公开敏感明细。
G0-W0W1-ACTION-PAGE-CHANNEL-e08c9f062285edf8,data/working/issue19-first-closure-g0-field-w0-w1-action-items-v1-public-ledger.csv,湖北招生考试2026年19期·本科普通批（下）,ee61fc69389f24a9a7830167113cf0ddc0447f8fa4b2743cd3241be60a9bd86d,2026-06-29,issue19_first_closure_g0_field_w0_w1_action_items_v1,PDF页码×版面列×证据通道,G0字段事实W0W1可执行证据通道汇总,false,false,false,false,false,false,false,false,false,23,169-right,169,right,05,双人复核,W1-双人复核,A3-冲突字段双人复核,2,2,1,1,1,专业计划数:1；学费:1,C0-双侧候选冲突优先核:1；C2-仅PDFOCR候选需补辅证:1,F0-先补PDF原页并处理冲突:1；F2-PDFOCR候选需补辅证并核原页:1,pending_double_review:2,G4-双人复核未完成:2,pending_private_evidence_record:2,2,2,2,完成双人复核记录，冲突字段才能进入三方闭环。,对冲突字段做第二人复核，复核后再三方闭环。,e9156bdef5372b541f10c10fb1c3ba832706ab312049f5d13b1c51bea221aea0,956e2293b4aba46f36415dc142e1fdaa8f91bd94dd074a7d42b2daf48dfe977a,页列通道汇总只公开计数、分布、ID集合SHA和下一步动作；不公开敏感明细。
G0-W0W1-ACTION-PAGE-CHANNEL-1cb78d4d1a6ecc42,data/working/issue19-first-closure-g0-field-w0-w1-action-items-v1-public-ledger.csv,湖北招生考试2026年19期·本科普通批（下）,ee61fc69389f24a9a7830167113cf0ddc0447f8fa4b2743cd3241be60a9bd86d,2026-06-29,issue19_first_closure_g0_field_w0_w1_action_items_v1,PDF页码×版面列×证据通道,G0字段事实W0W1可执行证据通道汇总,false,false,false,false,false,false,false,false,false,24,199-left,199,left,01,PDF原页记录,W0-一手证据与辅证采集,A0-补PDF原页记录,9,9,3,3,1,专业计划数:3；再选科目:3；学费:3,C0-双侧候选冲突优先核:4；C3-仅高校辅证候选需核原页:5,F0-先补PDF原页并处理冲突:4；F1-高校线索回PDF原页:5,pending_pdf_page_review:9,G0-缺PDF原页记录:9,pending_private_evidence_record:9,9,9,0,补齐PDF原页记录并保留证据编号和SHA。,打开对应页列私有核页材料，逐字段补PDF原页记录。,98a2d86662d1ee09aac21a36896fb16fd7c8d0e9a89d93787a734a344d6c1a9c,4a807c7436d83294ab40b5242df6060e50cc67742a402d585629046f5130a9da,页列通道汇总只公开计数、分布、ID集合SHA和下一步动作；不公开敏感明细。
G0-W0W1-ACTION-PAGE-CHANNEL-71cfed38dcdde73e,data/working/issue19-first-closure-g0-field-w0-w1-action-items-v1-public-ledger.csv,湖北招生考试2026年19期·本科普通批（下）,ee61fc69389f24a9a7830167113cf0ddc0447f8fa4b2743cd3241be60a9bd86d,2026-06-29,issue19_first_closure_g0_field_w0_w1_action_items_v1,PDF页码×版面列×证据通道,G0字段事实W0W1可执行证据通道汇总,false,false,false,false,false,false,false,false,false,25,199-left,199,left,02,湖北官方侧记录,W0-一手证据与辅证采集,A1-补湖北官方侧记录,9,9,3,3,1,专业计划数:3；再选科目:3；学费:3,C0-双侧候选冲突优先核:4；C3-仅高校辅证候选需核原页:5,F0-先补PDF原页并处理冲突:4；F1-高校线索回PDF原页:5,pending_hubei_official_plan_review:9,G1-缺湖北官方记录:9,pending_private_evidence_record:9,9,9,0,补齐湖北官方系统或省招办计划记录并保留证据编号。,按字段事实回查湖北官方侧记录，保留证据编号。,98a2d86662d1ee09aac21a36896fb16fd7c8d0e9a89d93787a734a344d6c1a9c,f917bdf7622ec1c17a4aabdf0a6e53b37690c44469318efed6d5ef9270c1412c,页列通道汇总只公开计数、分布、ID集合SHA和下一步动作；不公开敏感明细。
G0-W0W1-ACTION-PAGE-CHANNEL-acbb5565036eea4a,data/working/issue19-first-closure-g0-field-w0-w1-action-items-v1-public-ledger.csv,湖北招生考试2026年19期·本科普通批（下）,ee61fc69389f24a9a7830167113cf0ddc0447f8fa4b2743cd3241be60a9bd86d,2026-06-29,issue19_first_closure_g0_field_w0_w1_action_items_v1,PDF页码×版面列×证据通道,G0字段事实W0W1可执行证据通道汇总,false,false,false,false,false,false,false,false,false,26,199-left,199,left,03,高校辅证人工核验,W0-一手证据与辅证采集,A2-核高校辅证线索,9,9,3,3,1,专业计划数:3；再选科目:3；学费:3,C0-双侧候选冲突优先核:4；C3-仅高校辅证候选需核原页:5,F0-先补PDF原页并处理冲突:4；F1-高校线索回PDF原页:5,school_source_seed_present_pending_manual_review:9,G2b-高校辅证种子待人工核验:9,pending_private_evidence_record:9,9,9,0,核高校辅证线索，仅作为double check，不替代湖北官方计划。,回接高校源线索并标注是否支持或冲突。,98a2d86662d1ee09aac21a36896fb16fd7c8d0e9a89d93787a734a344d6c1a9c,2af09cf681fc402e3693c4c69ad8b0d21a3803d2ec3efc18913bafeb8d4464f1,页列通道汇总只公开计数、分布、ID集合SHA和下一步动作；不公开敏感明细。
G0-W0W1-ACTION-PAGE-CHANNEL-16156a4aea53504f,data/working/issue19-first-closure-g0-field-w0-w1-action-items-v1-public-ledger.csv,湖北招生考试2026年19期·本科普通批（下）,ee61fc69389f24a9a7830167113cf0ddc0447f8fa4b2743cd3241be60a9bd86d,2026-06-29,issue19_first_closure_g0_field_w0_w1_action_items_v1,PDF页码×版面列×证据通道,G0字段事实W0W1可执行证据通道汇总,false,false,false,false,false,false,false,false,false,27,199-left,199,left,05,双人复核,W1-双人复核,A3-冲突字段双人复核,9,9,3,3,1,专业计划数:3；再选科目:3；学费:3,C0-双侧候选冲突优先核:4；C3-仅高校辅证候选需核原页:5,F0-先补PDF原页并处理冲突:4；F1-高校线索回PDF原页:5,pending_double_review:9,G4-双人复核未完成:9,pending_private_evidence_record:9,9,9,0,完成双人复核记录，冲突字段才能进入三方闭环。,对冲突字段做第二人复核，复核后再三方闭环。,98a2d86662d1ee09aac21a36896fb16fd7c8d0e9a89d93787a734a344d6c1a9c,808e90cad66a677d855fe85fe1b4fd69dd49b48fe7ca0cc9d0e51f39de32f09d,页列通道汇总只公开计数、分布、ID集合SHA和下一步动作；不公开敏感明细。
G0-W0W1-ACTION-PAGE-CHANNEL-d456ecd22133c581,data/working/issue19-first-closure-g0-field-w0-w1-action-items-v1-public-ledger.csv,湖北招生考试2026年19期·本科普通批（下）,ee61fc69389f24a9a7830167113cf0ddc0447f8fa4b2743cd3241be60a9bd86d,2026-06-29,issue19_first_closure_g0_field_w0_w1_action_items_v1,PDF页码×版面列×证据通道,G0字段事实W0W1可执行证据通道汇总,false,false,false,false,false,false,false,false,false,28,209-right,209,right,01,PDF原页记录,W0-一手证据与辅证采集,A0-补PDF原页记录,6,6,2,2,1,专业计划数:2；再选科目:2；学费:2,C0-双侧候选冲突优先核:2；C1-双侧候选一致但仍待核:2；C3-仅高校辅证候选需核原页:2,F0-先补PDF原页并处理冲突:2；F1-高校线索回PDF原页:2；F3-补PDF原页基础记录:2,pending_pdf_page_review:6,G0-缺PDF原页记录:6,pending_private_evidence_record:6,6,6,0,补齐PDF原页记录并保留证据编号和SHA。,打开对应页列私有核页材料，逐字段补PDF原页记录。,68061a85c2524039aac576546e9f8503ad896e43da5b5839957cd10abb8f2faf,8474e4ecdc5ef16ec8223904f91d04ce05af59482ef4703c82060d03ed9656c0,页列通道汇总只公开计数、分布、ID集合SHA和下一步动作；不公开敏感明细。
G0-W0W1-ACTION-PAGE-CHANNEL-1f92fa936530b079,data/working/issue19-first-closure-g0-field-w0-w1-action-items-v1-public-ledger.csv,湖北招生考试2026年19期·本科普通批（下）,ee61fc69389f24a9a7830167113cf0ddc0447f8fa4b2743cd3241be60a9bd86d,2026-06-29,issue19_first_closure_g0_field_w0_w1_action_items_v1,PDF页码×版面列×证据通道,G0字段事实W0W1可执行证据通道汇总,false,false,false,false,false,false,false,false,false,29,209-right,209,right,02,湖北官方侧记录,W0-一手证据与辅证采集,A1-补湖北官方侧记录,6,6,2,2,1,专业计划数:2；再选科目:2；学费:2,C0-双侧候选冲突优先核:2；C1-双侧候选一致但仍待核:2；C3-仅高校辅证候选需核原页:2,F0-先补PDF原页并处理冲突:2；F1-高校线索回PDF原页:2；F3-补PDF原页基础记录:2,pending_hubei_official_plan_review:6,G1-缺湖北官方记录:6,pending_private_evidence_record:6,6,6,0,补齐湖北官方系统或省招办计划记录并保留证据编号。,按字段事实回查湖北官方侧记录，保留证据编号。,68061a85c2524039aac576546e9f8503ad896e43da5b5839957cd10abb8f2faf,28e41e6dd76629c869a67e7223921bd4e278eb127df6eacec908075a7b3c8b59,页列通道汇总只公开计数、分布、ID集合SHA和下一步动作；不公开敏感明细。
G0-W0W1-ACTION-PAGE-CHANNEL-451815d91c232953,data/working/issue19-first-closure-g0-field-w0-w1-action-items-v1-public-ledger.csv,湖北招生考试2026年19期·本科普通批（下）,ee61fc69389f24a9a7830167113cf0ddc0447f8fa4b2743cd3241be60a9bd86d,2026-06-29,issue19_first_closure_g0_field_w0_w1_action_items_v1,PDF页码×版面列×证据通道,G0字段事实W0W1可执行证据通道汇总,false,false,false,false,false,false,false,false,false,30,209-right,209,right,03,高校辅证人工核验,W0-一手证据与辅证采集,A2-核高校辅证线索,6,6,2,2,1,专业计划数:2；再选科目:2；学费:2,C0-双侧候选冲突优先核:2；C1-双侧候选一致但仍待核:2；C3-仅高校辅证候选需核原页:2,F0-先补PDF原页并处理冲突:2；F1-高校线索回PDF原页:2；F3-补PDF原页基础记录:2,school_source_seed_present_pending_manual_review:6,G2b-高校辅证种子待人工核验:6,pending_private_evidence_record:6,6,6,0,核高校辅证线索，仅作为double check，不替代湖北官方计划。,回接高校源线索并标注是否支持或冲突。,68061a85c2524039aac576546e9f8503ad896e43da5b5839957cd10abb8f2faf,c67c4b9e82c8fddc626b6f8348cb13c6e5d2faa94b25c815ecaef814309ab9b8,页列通道汇总只公开计数、分布、ID集合SHA和下一步动作；不公开敏感明细。
G0-W0W1-ACTION-PAGE-CHANNEL-831a9f4259e682cf,data/working/issue19-first-closure-g0-field-w0-w1-action-items-v1-public-ledger.csv,湖北招生考试2026年19期·本科普通批（下）,ee61fc69389f24a9a7830167113cf0ddc0447f8fa4b2743cd3241be60a9bd86d,2026-06-29,issue19_first_closure_g0_field_w0_w1_action_items_v1,PDF页码×版面列×证据通道,G0字段事实W0W1可执行证据通道汇总,false,false,false,false,false,false,false,false,false,31,209-right,209,right,05,双人复核,W1-双人复核,A3-冲突字段双人复核,6,6,2,2,1,专业计划数:2；再选科目:2；学费:2,C0-双侧候选冲突优先核:2；C1-双侧候选一致但仍待核:2；C3-仅高校辅证候选需核原页:2,F0-先补PDF原页并处理冲突:2；F1-高校线索回PDF原页:2；F3-补PDF原页基础记录:2,pending_double_review:6,G4-双人复核未完成:6,pending_private_evidence_record:6,6,6,0,完成双人复核记录，冲突字段才能进入三方闭环。,对冲突字段做第二人复核，复核后再三方闭环。,68061a85c2524039aac576546e9f8503ad896e43da5b5839957cd10abb8f2faf,858bb74802a7e6eb2ec221ee49dd980fb17741ce4f1be6853f65e1318bc27366,页列通道汇总只公开计数、分布、ID集合SHA和下一步动作；不公开敏感明细。
G0-W0W1-ACTION-PAGE-CHANNEL-07a18bff8a40bea2,data/working/issue19-first-closure-g0-field-w0-w1-action-items-v1-public-ledger.csv,湖北招生考试2026年19期·本科普通批（下）,ee61fc69389f24a9a7830167113cf0ddc0447f8fa4b2743cd3241be60a9bd86d,2026-06-29,issue19_first_closure_g0_field_w0_w1_action_items_v1,PDF页码×版面列×证据通道,G0字段事实W0W1可执行证据通道汇总,false,false,false,false,false,false,false,false,false,32,226-left,226,left,01,PDF原页记录,W0-一手证据与辅证采集,A0-补PDF原页记录,3,3,1,1,1,专业计划数:1；再选科目:1；学费:1,C0-双侧候选冲突优先核:1；C2-仅PDFOCR候选需补辅证:1；C3-仅高校辅证候选需核原页:1,F0-先补PDF原页并处理冲突:1；F1-高校线索回PDF原页:1；F2-PDFOCR候选需补辅证并核原页:1,pending_pdf_page_review:3,G0-缺PDF原页记录:3,pending_private_evidence_record:3,0,3,0,补齐PDF原页记录并保留证据编号和SHA。,打开对应页列私有核页材料，逐字段补PDF原页记录。,33dbdfd7222d15dd26d12fcf6a9a4e1942e83103e964011714a38fdba514048e,e7d6de9a89841fed0d44fd6198490754a52b9334b71ab4236514b4821f4b7bbb,页列通道汇总只公开计数、分布、ID集合SHA和下一步动作；不公开敏感明细。
G0-W0W1-ACTION-PAGE-CHANNEL-f2f224740bc109e4,data/working/issue19-first-closure-g0-field-w0-w1-action-items-v1-public-ledger.csv,湖北招生考试2026年19期·本科普通批（下）,ee61fc69389f24a9a7830167113cf0ddc0447f8fa4b2743cd3241be60a9bd86d,2026-06-29,issue19_first_closure_g0_field_w0_w1_action_items_v1,PDF页码×版面列×证据通道,G0字段事实W0W1可执行证据通道汇总,false,false,false,false,false,false,false,false,false,33,226-left,226,left,02,湖北官方侧记录,W0-一手证据与辅证采集,A1-补湖北官方侧记录,3,3,1,1,1,专业计划数:1；再选科目:1；学费:1,C0-双侧候选冲突优先核:1；C2-仅PDFOCR候选需补辅证:1；C3-仅高校辅证候选需核原页:1,F0-先补PDF原页并处理冲突:1；F1-高校线索回PDF原页:1；F2-PDFOCR候选需补辅证并核原页:1,pending_hubei_official_plan_review:3,G1-缺湖北官方记录:3,pending_private_evidence_record:3,0,3,0,补齐湖北官方系统或省招办计划记录并保留证据编号。,按字段事实回查湖北官方侧记录，保留证据编号。,33dbdfd7222d15dd26d12fcf6a9a4e1942e83103e964011714a38fdba514048e,74f0940787630f4968d88ae4315316805731d3d4a5e5adb13ca2e4806ee1361b,页列通道汇总只公开计数、分布、ID集合SHA和下一步动作；不公开敏感明细。
G0-W0W1-ACTION-PAGE-CHANNEL-d44332ab7096667a,data/working/issue19-first-closure-g0-field-w0-w1-action-items-v1-public-ledger.csv,湖北招生考试2026年19期·本科普通批（下）,ee61fc69389f24a9a7830167113cf0ddc0447f8fa4b2743cd3241be60a9bd86d,2026-06-29,issue19_first_closure_g0_field_w0_w1_action_items_v1,PDF页码×版面列×证据通道,G0字段事实W0W1可执行证据通道汇总,false,false,false,false,false,false,false,false,false,34,226-left,226,left,03,高校辅证人工核验,W0-一手证据与辅证采集,A2-核高校辅证线索,3,3,1,1,1,专业计划数:1；再选科目:1；学费:1,C0-双侧候选冲突优先核:1；C2-仅PDFOCR候选需补辅证:1；C3-仅高校辅证候选需核原页:1,F0-先补PDF原页并处理冲突:1；F1-高校线索回PDF原页:1；F2-PDFOCR候选需补辅证并核原页:1,school_source_pending:1；school_source_seed_present_pending_manual_review:2,G2a-缺高校辅证线索:1；G2b-高校辅证种子待人工核验:2,pending_private_evidence_record:3,0,3,0,核高校辅证线索，仅作为double check，不替代湖北官方计划。,回接高校源线索并标注是否支持或冲突。,33dbdfd7222d15dd26d12fcf6a9a4e1942e83103e964011714a38fdba514048e,aa6b205da74f5709ee423ba9525f1a07433535a9fc68835163f0b520bedecfce,页列通道汇总只公开计数、分布、ID集合SHA和下一步动作；不公开敏感明细。
G0-W0W1-ACTION-PAGE-CHANNEL-828e8ed39234b542,data/working/issue19-first-closure-g0-field-w0-w1-action-items-v1-public-ledger.csv,湖北招生考试2026年19期·本科普通批（下）,ee61fc69389f24a9a7830167113cf0ddc0447f8fa4b2743cd3241be60a9bd86d,2026-06-29,issue19_first_closure_g0_field_w0_w1_action_items_v1,PDF页码×版面列×证据通道,G0字段事实W0W1可执行证据通道汇总,false,false,false,false,false,false,false,false,false,35,226-right,226,right,01,PDF原页记录,W0-一手证据与辅证采集,A0-补PDF原页记录,6,6,2,2,1,专业计划数:2；再选科目:2；学费:2,C0-双侧候选冲突优先核:2；C1-双侧候选一致但仍待核:2；C3-仅高校辅证候选需核原页:2,F0-先补PDF原页并处理冲突:2；F1-高校线索回PDF原页:2；F3-补PDF原页基础记录:2,pending_pdf_page_review:6,G0-缺PDF原页记录:6,pending_private_evidence_record:6,0,6,0,补齐PDF原页记录并保留证据编号和SHA。,打开对应页列私有核页材料，逐字段补PDF原页记录。,d788982f04b729df76f6216a3549f4b0dcff34e37bd7335d4cdfd4d1c1392442,a1d76bc2a69d5bc8dfe6adbe49e8b1b2382c6d4006da9faeed00073cc7a16673,页列通道汇总只公开计数、分布、ID集合SHA和下一步动作；不公开敏感明细。
G0-W0W1-ACTION-PAGE-CHANNEL-ddf58dfb19e2e1c9,data/working/issue19-first-closure-g0-field-w0-w1-action-items-v1-public-ledger.csv,湖北招生考试2026年19期·本科普通批（下）,ee61fc69389f24a9a7830167113cf0ddc0447f8fa4b2743cd3241be60a9bd86d,2026-06-29,issue19_first_closure_g0_field_w0_w1_action_items_v1,PDF页码×版面列×证据通道,G0字段事实W0W1可执行证据通道汇总,false,false,false,false,false,false,false,false,false,36,226-right,226,right,02,湖北官方侧记录,W0-一手证据与辅证采集,A1-补湖北官方侧记录,6,6,2,2,1,专业计划数:2；再选科目:2；学费:2,C0-双侧候选冲突优先核:2；C1-双侧候选一致但仍待核:2；C3-仅高校辅证候选需核原页:2,F0-先补PDF原页并处理冲突:2；F1-高校线索回PDF原页:2；F3-补PDF原页基础记录:2,pending_hubei_official_plan_review:6,G1-缺湖北官方记录:6,pending_private_evidence_record:6,0,6,0,补齐湖北官方系统或省招办计划记录并保留证据编号。,按字段事实回查湖北官方侧记录，保留证据编号。,d788982f04b729df76f6216a3549f4b0dcff34e37bd7335d4cdfd4d1c1392442,7ffec0dec96e3d3a1195cbd307659763dc7ba296c7d38ebd9003f7cd05cef8dd,页列通道汇总只公开计数、分布、ID集合SHA和下一步动作；不公开敏感明细。
G0-W0W1-ACTION-PAGE-CHANNEL-b8f51cea231ddc97,data/working/issue19-first-closure-g0-field-w0-w1-action-items-v1-public-ledger.csv,湖北招生考试2026年19期·本科普通批（下）,ee61fc69389f24a9a7830167113cf0ddc0447f8fa4b2743cd3241be60a9bd86d,2026-06-29,issue19_first_closure_g0_field_w0_w1_action_items_v1,PDF页码×版面列×证据通道,G0字段事实W0W1可执行证据通道汇总,false,false,false,false,false,false,false,false,false,37,226-right,226,right,03,高校辅证人工核验,W0-一手证据与辅证采集,A2-核高校辅证线索,6,6,2,2,1,专业计划数:2；再选科目:2；学费:2,C0-双侧候选冲突优先核:2；C1-双侧候选一致但仍待核:2；C3-仅高校辅证候选需核原页:2,F0-先补PDF原页并处理冲突:2；F1-高校线索回PDF原页:2；F3-补PDF原页基础记录:2,school_source_seed_present_pending_manual_review:6,G2b-高校辅证种子待人工核验:6,pending_private_evidence_record:6,0,6,0,核高校辅证线索，仅作为double check，不替代湖北官方计划。,回接高校源线索并标注是否支持或冲突。,d788982f04b729df76f6216a3549f4b0dcff34e37bd7335d4cdfd4d1c1392442,ae9ede0f01599a225e52e083906276e828d76a5b960b246a984e4700359d3944,页列通道汇总只公开计数、分布、ID集合SHA和下一步动作；不公开敏感明细。
