第一闭环核验结果ID,来源第一闭环下一步动作矩阵,来源第一闭环页列下一步汇总,来源第一闭环证据状态账本,来源字段事实核验任务,来源高校源E0人工回页队列,来源期号,来源PDF_SHA256,生成日期,数据阶段,主表粒度,任务粒度,最终可用,可进入下一阶段,可否进入最终志愿方案,是否允许作为志愿推荐依据,是否允许自动写回主表,是否允许官网证据替代湖北官方计划,是否允许生成学校专业建议,是否允许写回字段事实,结果序号,第一闭环下一步动作ID,第一闭环证据状态公开账本ID,第一闭环页列下一步动作ID,稳定基座第一闭环明细任务ID,稳定基座第一闭环页列包ID,来源页码,版面列,页码版面键,专业行ID,专业组出现ID,院校代码,任务来源类型,字段名,执行泳道,第一闭环页列优先级,核验动作层级,任务结果桶,核验结果状态,PDF原页证据状态,OCR提示状态,机器坐标提示状态,高校辅证证据状态,湖北官方侧状态,冲突状态,三方闭环状态,字段写回门禁,是否有PDFOCR提示,是否有机器坐标提示,是否有高校辅证线索,是否存在PDFOCR与高校冲突,是否需要人工直接看图,是否需要双人复核,专业行字段任务数,专业行P0字段任务数,专业行P1字段任务数,专业行P3字段任务数,专业行字段状态分布,专业行字段缺口类型分布,页列任务数,页列双人复核任务数,页列人工看图任务数,页列高校辅证线索任务数,页列核验动作层级分布,同校E0人工回页提示状态,同校E0人工回页任务数,同校E0人工回页风险桶分布,同校E0人工回页队列集合SHA16,完成证据要求,当前阻断原因,下一步核验动作,公开安全策略
FIRSTRESULT-e0092adbe28116fd,data/working/issue19-stable-foundation-first-closure-next-action-matrix.csv,data/working/issue19-stable-foundation-first-closure-next-action-page-summary.csv,data/working/issue19-stable-foundation-first-closure-evidence-status-public-ledger.csv,data/working/issue19-field-fact-verification-tasks.csv,data/working/issue19-school-source-e0-manual-page-review-queue-public-ledger.csv,湖北招生考试2026年19期·本科普通批（下）,ee61fc69389f24a9a7830167113cf0ddc0447f8fa4b2743cd3241be60a9bd86d,2026-06-29,issue19_first_closure_verification_result_board,第一闭环高风险明细任务,逐任务×PDF/OCR/高校官网/湖北官方/冲突状态,false,false,false,false,false,false,false,false,124,FIRSTNEXT-fe4a1a0671e539e4,FIRSTEVID-a47d493e05989c17,FIRSTNEXTPAGE-ac4e3431d8bb3dbc,FIRSTDETAIL-04f5273e386af8c6,FIRSTPAGE-815b76bed7962001,169,right,169-right,M-90b2fc54c5bc2e5c,G-69a8112ee16cf2ba,H450,P0人工字段任务,专业计划数,E0-冲突异常双人优先核验,Q0-冲突页列第一批先核,N3-无稳定候选人工看图,R3-无稳定候选需人工看图,pending_pdf_hubei_school_closure,P3-无稳定OCR提示，需人工看PDF原页,O5-无公开OCR候选提示,M0-无机器坐标提示,S1-有高校辅证线索或自动官网任务，待私有辅证记录,pending_hubei_official_review,C4-无可比候选，需人工看图或随页列闭环,pending_private_three_way_field_confirmation,blocked_until_required_private_readings_complete,false,false,false,false,true,false,3,1,1,1,K0-字段缺口无候选需原页重读×1；K1-字段缺口有候选待PDF原页和官方核验×1；K2-OCR候选存在但三方核验未闭环×1,再选科目；专业计划数×3,22,1,10,11,N0-先双人核PDF原页冲突×1；N1-高校补缺线索回PDF原页×10；N3-无稳定候选人工看图×10；N4-PDFOCR候选人工确认×1,H1-同校存在E0人工回页队列,4,M0-计划数冲突或高校侧差异先核×2；M1-OCR补缺线索先核×1；M2-专业名归属或匹配规则先核×1,b5dccb7b28fd8a27,PDF原页、湖北官方侧、必要高校辅证和双人复核记录完成后，仍需人工评估是否可写回。,PDF原页未完成逐项核页；湖北官方系统或省招办计划未闭环；高校官网辅证仍待私有记录或回页核验；无可比候选，需人工看图,直接打开PDF原页所在页列人工看图，必要时同页列连带复核。,公开结果表只保存状态、计数、ID和SHA；不保存学校专业文本、字段读数、OCR正文、截图路径、人工记录、登录态或个人身份信息。
FIRSTRESULT-85439c561f28d52f,data/working/issue19-stable-foundation-first-closure-next-action-matrix.csv,data/working/issue19-stable-foundation-first-closure-next-action-page-summary.csv,data/working/issue19-stable-foundation-first-closure-evidence-status-public-ledger.csv,data/working/issue19-field-fact-verification-tasks.csv,data/working/issue19-school-source-e0-manual-page-review-queue-public-ledger.csv,湖北招生考试2026年19期·本科普通批（下）,ee61fc69389f24a9a7830167113cf0ddc0447f8fa4b2743cd3241be60a9bd86d,2026-06-29,issue19_first_closure_verification_result_board,第一闭环高风险明细任务,逐任务×PDF/OCR/高校官网/湖北官方/冲突状态,false,false,false,false,false,false,false,false,125,FIRSTNEXT-75aff2e172f23f79,FIRSTEVID-bcf42a1aafb1d18f,FIRSTNEXTPAGE-ac4e3431d8bb3dbc,FIRSTDETAIL-26a4a2d46176a22b,FIRSTPAGE-815b76bed7962001,169,right,169-right,M-13b19a3991c8159a,G-69a8112ee16cf2ba,H450,P0人工字段任务,专业计划数,E0-冲突异常双人优先核验,Q0-冲突页列第一批先核,N3-无稳定候选人工看图,R3-无稳定候选需人工看图,pending_pdf_hubei_school_closure,P3-无稳定OCR提示，需人工看PDF原页,O5-无公开OCR候选提示,M0-无机器坐标提示,S1-有高校辅证线索或自动官网任务，待私有辅证记录,pending_hubei_official_review,C4-无可比候选，需人工看图或随页列闭环,pending_private_three_way_field_confirmation,blocked_until_required_private_readings_complete,false,false,false,false,true,true,3,1,1,1,K0-字段缺口无候选需原页重读×1；K1-字段缺口有候选待PDF原页和官方核验×1；K2-OCR候选存在但三方核验未闭环×1,再选科目；专业计划数×3,22,1,10,11,N0-先双人核PDF原页冲突×1；N1-高校补缺线索回PDF原页×10；N3-无稳定候选人工看图×10；N4-PDFOCR候选人工确认×1,H1-同校存在E0人工回页队列,4,M0-计划数冲突或高校侧差异先核×2；M1-OCR补缺线索先核×1；M2-专业名归属或匹配规则先核×1,b5dccb7b28fd8a27,PDF原页、湖北官方侧、必要高校辅证和双人复核记录完成后，仍需人工评估是否可写回。,PDF原页未完成逐项核页；湖北官方系统或省招办计划未闭环；高校官网辅证仍待私有记录或回页核验；无可比候选，需人工看图,直接打开PDF原页所在页列人工看图，必要时同页列连带复核。,公开结果表只保存状态、计数、ID和SHA；不保存学校专业文本、字段读数、OCR正文、截图路径、人工记录、登录态或个人身份信息。
FIRSTRESULT-77fdcbc1b5233d17,data/working/issue19-stable-foundation-first-closure-next-action-matrix.csv,data/working/issue19-stable-foundation-first-closure-next-action-page-summary.csv,data/working/issue19-stable-foundation-first-closure-evidence-status-public-ledger.csv,data/working/issue19-field-fact-verification-tasks.csv,data/working/issue19-school-source-e0-manual-page-review-queue-public-ledger.csv,湖北招生考试2026年19期·本科普通批（下）,ee61fc69389f24a9a7830167113cf0ddc0447f8fa4b2743cd3241be60a9bd86d,2026-06-29,issue19_first_closure_verification_result_board,第一闭环高风险明细任务,逐任务×PDF/OCR/高校官网/湖北官方/冲突状态,false,false,false,false,false,false,false,false,126,FIRSTNEXT-456f37072074e9c2,FIRSTEVID-f60e7c078862cd82,FIRSTNEXTPAGE-ac4e3431d8bb3dbc,FIRSTDETAIL-2bedee7b9c7f7990,FIRSTPAGE-815b76bed7962001,169,right,169-right,M-7489ddca4dfd3dd8,G-69a8112ee16cf2ba,H450,P0人工字段任务,专业计划数,E0-冲突异常双人优先核验,Q0-冲突页列第一批先核,N3-无稳定候选人工看图,R3-无稳定候选需人工看图,pending_pdf_hubei_school_closure,P3-无稳定OCR提示，需人工看PDF原页,O5-无公开OCR候选提示,M0-无机器坐标提示,S1-有高校辅证线索或自动官网任务，待私有辅证记录,pending_hubei_official_review,C4-无可比候选，需人工看图或随页列闭环,pending_private_three_way_field_confirmation,blocked_until_required_private_readings_complete,false,false,false,false,true,true,3,1,1,1,K0-字段缺口无候选需原页重读×1；K1-字段缺口有候选待PDF原页和官方核验×1；K2-OCR候选存在但三方核验未闭环×1,再选科目；专业计划数×3,22,1,10,11,N0-先双人核PDF原页冲突×1；N1-高校补缺线索回PDF原页×10；N3-无稳定候选人工看图×10；N4-PDFOCR候选人工确认×1,H1-同校存在E0人工回页队列,4,M0-计划数冲突或高校侧差异先核×2；M1-OCR补缺线索先核×1；M2-专业名归属或匹配规则先核×1,b5dccb7b28fd8a27,PDF原页、湖北官方侧、必要高校辅证和双人复核记录完成后，仍需人工评估是否可写回。,PDF原页未完成逐项核页；湖北官方系统或省招办计划未闭环；高校官网辅证仍待私有记录或回页核验；无可比候选，需人工看图,直接打开PDF原页所在页列人工看图，必要时同页列连带复核。,公开结果表只保存状态、计数、ID和SHA；不保存学校专业文本、字段读数、OCR正文、截图路径、人工记录、登录态或个人身份信息。
FIRSTRESULT-ed01d356458b3c98,data/working/issue19-stable-foundation-first-closure-next-action-matrix.csv,data/working/issue19-stable-foundation-first-closure-next-action-page-summary.csv,data/working/issue19-stable-foundation-first-closure-evidence-status-public-ledger.csv,data/working/issue19-field-fact-verification-tasks.csv,data/working/issue19-school-source-e0-manual-page-review-queue-public-ledger.csv,湖北招生考试2026年19期·本科普通批（下）,ee61fc69389f24a9a7830167113cf0ddc0447f8fa4b2743cd3241be60a9bd86d,2026-06-29,issue19_first_closure_verification_result_board,第一闭环高风险明细任务,逐任务×PDF/OCR/高校官网/湖北官方/冲突状态,false,false,false,false,false,false,false,false,127,FIRSTNEXT-844a9c4de5c0f628,FIRSTEVID-ea8ea80a242a2e1b,FIRSTNEXTPAGE-ac4e3431d8bb3dbc,FIRSTDETAIL-352f0e7f8e92d653,FIRSTPAGE-815b76bed7962001,169,right,169-right,M-8ba195c86a925e83,G-69a8112ee16cf2ba,H450,P0人工字段任务,专业计划数,E0-冲突异常双人优先核验,Q0-冲突页列第一批先核,N3-无稳定候选人工看图,R3-无稳定候选需人工看图,pending_pdf_hubei_school_closure,P3-无稳定OCR提示，需人工看PDF原页,O5-无公开OCR候选提示,M0-无机器坐标提示,S1-有高校辅证线索或自动官网任务，待私有辅证记录,pending_hubei_official_review,C4-无可比候选，需人工看图或随页列闭环,pending_private_three_way_field_confirmation,blocked_until_required_private_readings_complete,false,false,false,false,true,true,3,1,0,2,K0-字段缺口无候选需原页重读×1；K2-OCR候选存在但三方核验未闭环×2,专业计划数×3,22,1,10,11,N0-先双人核PDF原页冲突×1；N1-高校补缺线索回PDF原页×10；N3-无稳定候选人工看图×10；N4-PDFOCR候选人工确认×1,H1-同校存在E0人工回页队列,4,M0-计划数冲突或高校侧差异先核×2；M1-OCR补缺线索先核×1；M2-专业名归属或匹配规则先核×1,b5dccb7b28fd8a27,PDF原页、湖北官方侧、必要高校辅证和双人复核记录完成后，仍需人工评估是否可写回。,PDF原页未完成逐项核页；湖北官方系统或省招办计划未闭环；高校官网辅证仍待私有记录或回页核验；无可比候选，需人工看图,直接打开PDF原页所在页列人工看图，必要时同页列连带复核。,公开结果表只保存状态、计数、ID和SHA；不保存学校专业文本、字段读数、OCR正文、截图路径、人工记录、登录态或个人身份信息。
FIRSTRESULT-52a7f8f9cac7ad73,data/working/issue19-stable-foundation-first-closure-next-action-matrix.csv,data/working/issue19-stable-foundation-first-closure-next-action-page-summary.csv,data/working/issue19-stable-foundation-first-closure-evidence-status-public-ledger.csv,data/working/issue19-field-fact-verification-tasks.csv,data/working/issue19-school-source-e0-manual-page-review-queue-public-ledger.csv,湖北招生考试2026年19期·本科普通批（下）,ee61fc69389f24a9a7830167113cf0ddc0447f8fa4b2743cd3241be60a9bd86d,2026-06-29,issue19_first_closure_verification_result_board,第一闭环高风险明细任务,逐任务×PDF/OCR/高校官网/湖北官方/冲突状态,false,false,false,false,false,false,false,false,128,FIRSTNEXT-58c38d694d3cbc30,FIRSTEVID-aaf058c80412e6b5,FIRSTNEXTPAGE-ac4e3431d8bb3dbc,FIRSTDETAIL-46750a08eb17e822,FIRSTPAGE-815b76bed7962001,169,right,169-right,M-7a3695c82b5953d6,G-69a8112ee16cf2ba,H450,P0人工字段任务,专业计划数,E0-冲突异常双人优先核验,Q0-冲突页列第一批先核,N3-无稳定候选人工看图,R3-无稳定候选需人工看图,pending_pdf_hubei_school_closure,P3-无稳定OCR提示，需人工看PDF原页,O5-无公开OCR候选提示,M0-无机器坐标提示,S1-有高校辅证线索或自动官网任务，待私有辅证记录,pending_hubei_official_review,C4-无可比候选，需人工看图或随页列闭环,pending_private_three_way_field_confirmation,blocked_until_required_private_readings_complete,false,false,false,false,true,true,3,1,1,1,K0-字段缺口无候选需原页重读×1；K1-字段缺口有候选待PDF原页和官方核验×1；K2-OCR候选存在但三方核验未闭环×1,再选科目；专业计划数×3,22,1,10,11,N0-先双人核PDF原页冲突×1；N1-高校补缺线索回PDF原页×10；N3-无稳定候选人工看图×10；N4-PDFOCR候选人工确认×1,H1-同校存在E0人工回页队列,4,M0-计划数冲突或高校侧差异先核×2；M1-OCR补缺线索先核×1；M2-专业名归属或匹配规则先核×1,b5dccb7b28fd8a27,PDF原页、湖北官方侧、必要高校辅证和双人复核记录完成后，仍需人工评估是否可写回。,PDF原页未完成逐项核页；湖北官方系统或省招办计划未闭环；高校官网辅证仍待私有记录或回页核验；无可比候选，需人工看图,直接打开PDF原页所在页列人工看图，必要时同页列连带复核。,公开结果表只保存状态、计数、ID和SHA；不保存学校专业文本、字段读数、OCR正文、截图路径、人工记录、登录态或个人身份信息。
FIRSTRESULT-f6eda864793dbef8,data/working/issue19-stable-foundation-first-closure-next-action-matrix.csv,data/working/issue19-stable-foundation-first-closure-next-action-page-summary.csv,data/working/issue19-stable-foundation-first-closure-evidence-status-public-ledger.csv,data/working/issue19-field-fact-verification-tasks.csv,data/working/issue19-school-source-e0-manual-page-review-queue-public-ledger.csv,湖北招生考试2026年19期·本科普通批（下）,ee61fc69389f24a9a7830167113cf0ddc0447f8fa4b2743cd3241be60a9bd86d,2026-06-29,issue19_first_closure_verification_result_board,第一闭环高风险明细任务,逐任务×PDF/OCR/高校官网/湖北官方/冲突状态,false,false,false,false,false,false,false,false,129,FIRSTNEXT-38692a676ec0bf84,FIRSTEVID-b4e73c17588a7d00,FIRSTNEXTPAGE-ac4e3431d8bb3dbc,FIRSTDETAIL-51b2b8463ec925df,FIRSTPAGE-815b76bed7962001,169,right,169-right,M-4a71a2765412ac2a,G-69a8112ee16cf2ba,H450,P0人工字段任务,专业计划数,E0-冲突异常双人优先核验,Q0-冲突页列第一批先核,N3-无稳定候选人工看图,R3-无稳定候选需人工看图,pending_pdf_hubei_school_closure,P3-无稳定OCR提示，需人工看PDF原页,O5-无公开OCR候选提示,M0-无机器坐标提示,S1-有高校辅证线索或自动官网任务，待私有辅证记录,pending_hubei_official_review,C4-无可比候选，需人工看图或随页列闭环,pending_private_three_way_field_confirmation,blocked_until_required_private_readings_complete,false,false,false,false,true,true,3,1,1,1,K0-字段缺口无候选需原页重读×1；K1-字段缺口有候选待PDF原页和官方核验×1；K2-OCR候选存在但三方核验未闭环×1,再选科目；专业计划数×3,22,1,10,11,N0-先双人核PDF原页冲突×1；N1-高校补缺线索回PDF原页×10；N3-无稳定候选人工看图×10；N4-PDFOCR候选人工确认×1,H1-同校存在E0人工回页队列,4,M0-计划数冲突或高校侧差异先核×2；M1-OCR补缺线索先核×1；M2-专业名归属或匹配规则先核×1,b5dccb7b28fd8a27,PDF原页、湖北官方侧、必要高校辅证和双人复核记录完成后，仍需人工评估是否可写回。,PDF原页未完成逐项核页；湖北官方系统或省招办计划未闭环；高校官网辅证仍待私有记录或回页核验；无可比候选，需人工看图,直接打开PDF原页所在页列人工看图，必要时同页列连带复核。,公开结果表只保存状态、计数、ID和SHA；不保存学校专业文本、字段读数、OCR正文、截图路径、人工记录、登录态或个人身份信息。
FIRSTRESULT-66fc7bdafbb35ff9,data/working/issue19-stable-foundation-first-closure-next-action-matrix.csv,data/working/issue19-stable-foundation-first-closure-next-action-page-summary.csv,data/working/issue19-stable-foundation-first-closure-evidence-status-public-ledger.csv,data/working/issue19-field-fact-verification-tasks.csv,data/working/issue19-school-source-e0-manual-page-review-queue-public-ledger.csv,湖北招生考试2026年19期·本科普通批（下）,ee61fc69389f24a9a7830167113cf0ddc0447f8fa4b2743cd3241be60a9bd86d,2026-06-29,issue19_first_closure_verification_result_board,第一闭环高风险明细任务,逐任务×PDF/OCR/高校官网/湖北官方/冲突状态,false,false,false,false,false,false,false,false,130,FIRSTNEXT-ab9b331d138b25fc,FIRSTEVID-96e0d460d030b412,FIRSTNEXTPAGE-ac4e3431d8bb3dbc,FIRSTDETAIL-655cc4d71fe13207,FIRSTPAGE-815b76bed7962001,169,right,169-right,M-d7ad035436e7d0f7,G-69a8112ee16cf2ba,H450,P0人工字段任务,专业计划数,E0-冲突异常双人优先核验,Q0-冲突页列第一批先核,N3-无稳定候选人工看图,R3-无稳定候选需人工看图,pending_pdf_hubei_school_closure,P3-无稳定OCR提示，需人工看PDF原页,O5-无公开OCR候选提示,M0-无机器坐标提示,S1-有高校辅证线索或自动官网任务，待私有辅证记录,pending_hubei_official_review,C4-无可比候选，需人工看图或随页列闭环,pending_private_three_way_field_confirmation,blocked_until_required_private_readings_complete,false,false,false,false,true,true,3,1,1,1,K0-字段缺口无候选需原页重读×1；K1-字段缺口有候选待PDF原页和官方核验×1；K2-OCR候选存在但三方核验未闭环×1,再选科目；专业计划数×3,22,1,10,11,N0-先双人核PDF原页冲突×1；N1-高校补缺线索回PDF原页×10；N3-无稳定候选人工看图×10；N4-PDFOCR候选人工确认×1,H1-同校存在E0人工回页队列,4,M0-计划数冲突或高校侧差异先核×2；M1-OCR补缺线索先核×1；M2-专业名归属或匹配规则先核×1,b5dccb7b28fd8a27,PDF原页、湖北官方侧、必要高校辅证和双人复核记录完成后，仍需人工评估是否可写回。,PDF原页未完成逐项核页；湖北官方系统或省招办计划未闭环；高校官网辅证仍待私有记录或回页核验；无可比候选，需人工看图,直接打开PDF原页所在页列人工看图，必要时同页列连带复核。,公开结果表只保存状态、计数、ID和SHA；不保存学校专业文本、字段读数、OCR正文、截图路径、人工记录、登录态或个人身份信息。
FIRSTRESULT-3ff292bf6b5fa5b2,data/working/issue19-stable-foundation-first-closure-next-action-matrix.csv,data/working/issue19-stable-foundation-first-closure-next-action-page-summary.csv,data/working/issue19-stable-foundation-first-closure-evidence-status-public-ledger.csv,data/working/issue19-field-fact-verification-tasks.csv,data/working/issue19-school-source-e0-manual-page-review-queue-public-ledger.csv,湖北招生考试2026年19期·本科普通批（下）,ee61fc69389f24a9a7830167113cf0ddc0447f8fa4b2743cd3241be60a9bd86d,2026-06-29,issue19_first_closure_verification_result_board,第一闭环高风险明细任务,逐任务×PDF/OCR/高校官网/湖北官方/冲突状态,false,false,false,false,false,false,false,false,131,FIRSTNEXT-8ef9652b563b3cf6,FIRSTEVID-a7e743e1228444e1,FIRSTNEXTPAGE-ac4e3431d8bb3dbc,FIRSTDETAIL-80ab74779f516adb,FIRSTPAGE-815b76bed7962001,169,right,169-right,M-b4b8560bd289f9b5,G-69a8112ee16cf2ba,H450,P0人工字段任务,专业计划数,E0-冲突异常双人优先核验,Q0-冲突页列第一批先核,N3-无稳定候选人工看图,R3-无稳定候选需人工看图,pending_pdf_hubei_school_closure,P3-无稳定OCR提示，需人工看PDF原页,O5-无公开OCR候选提示,M0-无机器坐标提示,S1-有高校辅证线索或自动官网任务，待私有辅证记录,pending_hubei_official_review,C4-无可比候选，需人工看图或随页列闭环,pending_private_three_way_field_confirmation,blocked_until_required_private_readings_complete,false,false,false,false,true,true,3,1,1,1,K0-字段缺口无候选需原页重读×1；K1-字段缺口有候选待PDF原页和官方核验×1；K2-OCR候选存在但三方核验未闭环×1,再选科目；专业计划数×3,22,1,10,11,N0-先双人核PDF原页冲突×1；N1-高校补缺线索回PDF原页×10；N3-无稳定候选人工看图×10；N4-PDFOCR候选人工确认×1,H1-同校存在E0人工回页队列,4,M0-计划数冲突或高校侧差异先核×2；M1-OCR补缺线索先核×1；M2-专业名归属或匹配规则先核×1,b5dccb7b28fd8a27,PDF原页、湖北官方侧、必要高校辅证和双人复核记录完成后，仍需人工评估是否可写回。,PDF原页未完成逐项核页；湖北官方系统或省招办计划未闭环；高校官网辅证仍待私有记录或回页核验；无可比候选，需人工看图,直接打开PDF原页所在页列人工看图，必要时同页列连带复核。,公开结果表只保存状态、计数、ID和SHA；不保存学校专业文本、字段读数、OCR正文、截图路径、人工记录、登录态或个人身份信息。
FIRSTRESULT-929949d7e15b593c,data/working/issue19-stable-foundation-first-closure-next-action-matrix.csv,data/working/issue19-stable-foundation-first-closure-next-action-page-summary.csv,data/working/issue19-stable-foundation-first-closure-evidence-status-public-ledger.csv,data/working/issue19-field-fact-verification-tasks.csv,data/working/issue19-school-source-e0-manual-page-review-queue-public-ledger.csv,湖北招生考试2026年19期·本科普通批（下）,ee61fc69389f24a9a7830167113cf0ddc0447f8fa4b2743cd3241be60a9bd86d,2026-06-29,issue19_first_closure_verification_result_board,第一闭环高风险明细任务,逐任务×PDF/OCR/高校官网/湖北官方/冲突状态,false,false,false,false,false,false,false,false,132,FIRSTNEXT-c1216327491b5a0a,FIRSTEVID-90f8c0f5cf486ef7,FIRSTNEXTPAGE-ac4e3431d8bb3dbc,FIRSTDETAIL-9085a434404761c6,FIRSTPAGE-815b76bed7962001,169,right,169-right,M-9710c4b647b66507,G-69a8112ee16cf2ba,H450,P0人工字段任务,专业计划数,E0-冲突异常双人优先核验,Q0-冲突页列第一批先核,N3-无稳定候选人工看图,R3-无稳定候选需人工看图,pending_pdf_hubei_school_closure,P3-无稳定OCR提示，需人工看PDF原页,O5-无公开OCR候选提示,M0-无机器坐标提示,S1-有高校辅证线索或自动官网任务，待私有辅证记录,pending_hubei_official_review,C4-无可比候选，需人工看图或随页列闭环,pending_private_three_way_field_confirmation,blocked_until_required_private_readings_complete,false,false,false,false,true,true,3,1,1,1,K0-字段缺口无候选需原页重读×1；K1-字段缺口有候选待PDF原页和官方核验×1；K2-OCR候选存在但三方核验未闭环×1,再选科目；专业计划数×3,22,1,10,11,N0-先双人核PDF原页冲突×1；N1-高校补缺线索回PDF原页×10；N3-无稳定候选人工看图×10；N4-PDFOCR候选人工确认×1,H1-同校存在E0人工回页队列,4,M0-计划数冲突或高校侧差异先核×2；M1-OCR补缺线索先核×1；M2-专业名归属或匹配规则先核×1,b5dccb7b28fd8a27,PDF原页、湖北官方侧、必要高校辅证和双人复核记录完成后，仍需人工评估是否可写回。,PDF原页未完成逐项核页；湖北官方系统或省招办计划未闭环；高校官网辅证仍待私有记录或回页核验；无可比候选，需人工看图,直接打开PDF原页所在页列人工看图，必要时同页列连带复核。,公开结果表只保存状态、计数、ID和SHA；不保存学校专业文本、字段读数、OCR正文、截图路径、人工记录、登录态或个人身份信息。
FIRSTRESULT-6291b8c942eb5989,data/working/issue19-stable-foundation-first-closure-next-action-matrix.csv,data/working/issue19-stable-foundation-first-closure-next-action-page-summary.csv,data/working/issue19-stable-foundation-first-closure-evidence-status-public-ledger.csv,data/working/issue19-field-fact-verification-tasks.csv,data/working/issue19-school-source-e0-manual-page-review-queue-public-ledger.csv,湖北招生考试2026年19期·本科普通批（下）,ee61fc69389f24a9a7830167113cf0ddc0447f8fa4b2743cd3241be60a9bd86d,2026-06-29,issue19_first_closure_verification_result_board,第一闭环高风险明细任务,逐任务×PDF/OCR/高校官网/湖北官方/冲突状态,false,false,false,false,false,false,false,false,133,FIRSTNEXT-5b0c3a651f715f57,FIRSTEVID-5301e9a4cf05c939,FIRSTNEXTPAGE-ac4e3431d8bb3dbc,FIRSTDETAIL-e796394270d8dbd9,FIRSTPAGE-815b76bed7962001,169,right,169-right,M-cdfe659d6ddbb7d7,G-69a8112ee16cf2ba,H450,P0人工字段任务,专业计划数,E0-冲突异常双人优先核验,Q0-冲突页列第一批先核,N3-无稳定候选人工看图,R3-无稳定候选需人工看图,pending_pdf_hubei_school_closure,P3-无稳定OCR提示，需人工看PDF原页,O5-无公开OCR候选提示,M0-无机器坐标提示,S1-有高校辅证线索或自动官网任务，待私有辅证记录,pending_hubei_official_review,C4-无可比候选，需人工看图或随页列闭环,pending_private_three_way_field_confirmation,blocked_until_required_private_readings_complete,false,false,false,false,true,true,3,1,1,1,K0-字段缺口无候选需原页重读×1；K1-字段缺口有候选待PDF原页和官方核验×1；K2-OCR候选存在但三方核验未闭环×1,再选科目；专业计划数×3,22,1,10,11,N0-先双人核PDF原页冲突×1；N1-高校补缺线索回PDF原页×10；N3-无稳定候选人工看图×10；N4-PDFOCR候选人工确认×1,H1-同校存在E0人工回页队列,4,M0-计划数冲突或高校侧差异先核×2；M1-OCR补缺线索先核×1；M2-专业名归属或匹配规则先核×1,b5dccb7b28fd8a27,PDF原页、湖北官方侧、必要高校辅证和双人复核记录完成后，仍需人工评估是否可写回。,PDF原页未完成逐项核页；湖北官方系统或省招办计划未闭环；高校官网辅证仍待私有记录或回页核验；无可比候选，需人工看图,直接打开PDF原页所在页列人工看图，必要时同页列连带复核。,公开结果表只保存状态、计数、ID和SHA；不保存学校专业文本、字段读数、OCR正文、截图路径、人工记录、登录态或个人身份信息。
FIRSTRESULT-bfc37919ea9885d1,data/working/issue19-stable-foundation-first-closure-next-action-matrix.csv,data/working/issue19-stable-foundation-first-closure-next-action-page-summary.csv,data/working/issue19-stable-foundation-first-closure-evidence-status-public-ledger.csv,data/working/issue19-field-fact-verification-tasks.csv,data/working/issue19-school-source-e0-manual-page-review-queue-public-ledger.csv,湖北招生考试2026年19期·本科普通批（下）,ee61fc69389f24a9a7830167113cf0ddc0447f8fa4b2743cd3241be60a9bd86d,2026-06-29,issue19_first_closure_verification_result_board,第一闭环高风险明细任务,逐任务×PDF/OCR/高校官网/湖北官方/冲突状态,false,false,false,false,false,false,false,false,134,FIRSTNEXT-7ecd2ab21aee0e9b,FIRSTEVID-089c092e3f50a11a,FIRSTNEXTPAGE-d6b12444b1eeaf95,FIRSTDETAIL-15f16e7e9cbea148,FIRSTPAGE-0f2775b71610686e,194,left,194-left,M-26d2edeaf4b862a5,G-a0f68bc50be1b3be,H857,P0人工字段任务,专业计划数,E0-冲突异常双人优先核验,Q0-冲突页列第一批先核,N2-机器坐标辅助核PDF原页,R2-机器坐标辅助核PDF原页,pending_pdf_hubei_school_closure,P1-有机器坐标提示，仍待PDF原页人工核验,O4-无PDFOCR但有机器坐标提示,M1-有机器坐标提示可辅助定位,S0-无高校字段线索，本任务高校辅证不适用,pending_hubei_official_review,C4-无可比候选，需人工看图或随页列闭环,pending_private_three_way_field_confirmation,blocked_until_required_private_readings_complete,false,true,false,false,false,true,3,2,1,0,K0-字段缺口无候选需原页重读×2；K1-字段缺口有候选待PDF原页和官方核验×1,再选科目；专业计划数；学费×3,7,0,0,0,N2-机器坐标辅助核PDF原页×7,H0-同校暂无E0人工回页队列,0,,,PDF原页、湖北官方侧、必要高校辅证和双人复核记录完成后，仍需人工评估是否可写回。,PDF原页未完成逐项核页；湖北官方系统或省招办计划未闭环；无可比候选，需人工看图,按机器坐标提示定位原页字段，完成人工记录后再核湖北官方侧。,公开结果表只保存状态、计数、ID和SHA；不保存学校专业文本、字段读数、OCR正文、截图路径、人工记录、登录态或个人身份信息。
