第一闭环公开证据地图ID,来源页列证据状态汇总,来源任务复核公开账本,来源私有预填公开审计,来源湖北官方公开入口状态快照,来源期号,来源PDF_SHA256,数据阶段,主表粒度,最终可用,可进入下一阶段,可否进入最终志愿方案,是否允许作为志愿推荐依据,是否允许自动写回主表,是否允许官网证据替代湖北官方计划,是否允许生成学校专业建议,是否允许写回字段事实,执行顺序,来源页码,版面列,页码版面键,执行泳道,第一闭环页列优先级,页列任务数,自动官网辅证任务数,P0人工字段任务数,专业计划数字段任务数,学费字段任务数,再选科目字段任务数,PDF原页待核任务数,PDFOCR提示任务数,PDFOCR无候选任务数,机器坐标提示任务数,高校辅证线索任务数,高校辅证待核任务数,公共高校来源文件任务数,公共高校来源文件数,湖北官方侧待核任务数,PDFOCR与高校辅证冲突任务数,高校有线索但PDFOCR缺候选任务数,仅PDFOCR候选待人工核页任务数,需要人工直接看图任务数,需要双人复核任务数,页列主阻断,页列建议下一步动作,字段事实写回阻断任务数,字段事实写回可进入任务数,官方公开计划页可定稿,数智平台可定稿,完成条件,公开安全策略
FIRSTEVIDMAP-a5fb69b7bcb746c1,data/working/issue19-stable-foundation-first-closure-evidence-status-page-side-summary.csv,data/working/issue19-stable-foundation-first-closure-task-review-public-ledger.csv,data/working/issue19-stable-foundation-first-closure-triage-prefill-public-audit.csv,data/working/issue19-official-public-entry-status.json,湖北招生考试2026年19期·本科普通批（下）,ee61fc69389f24a9a7830167113cf0ddc0447f8fa4b2743cd3241be60a9bd86d,issue19_stable_foundation_first_closure_public_evidence_map,PDF页码×版面列×公开证据地图,false,false,false,false,false,false,false,false,25,14,left,014-left,E1-计划数补缺或偏大优先核验,Q1-补缺或计划数偏大页列先核,1,0,1,1,0,0,1,0,1,1,0,0,0,0,1,0,0,0,0,1,B2-机器坐标候选辅助核页,按机器坐标提示定位字段，但仍以PDF原页人工记录和湖北官方侧为准。,1,0,false,false,PDF原页、湖北官方侧、必要高校辅证和双人复核状态均闭环后，才可进入字段写回评估,公开层只保存页列状态桶、计数、集合SHA和门禁；不公开学校专业明细、字段读数、识别正文、截图、人工记录或私有路径。
FIRSTEVIDMAP-9b57275ef565f006,data/working/issue19-stable-foundation-first-closure-evidence-status-page-side-summary.csv,data/working/issue19-stable-foundation-first-closure-task-review-public-ledger.csv,data/working/issue19-stable-foundation-first-closure-triage-prefill-public-audit.csv,data/working/issue19-official-public-entry-status.json,湖北招生考试2026年19期·本科普通批（下）,ee61fc69389f24a9a7830167113cf0ddc0447f8fa4b2743cd3241be60a9bd86d,issue19_stable_foundation_first_closure_public_evidence_map,PDF页码×版面列×公开证据地图,false,false,false,false,false,false,false,false,26,32,right,032-right,E1-计划数补缺或偏大优先核验,Q1-补缺或计划数偏大页列先核,1,0,1,1,0,0,1,0,1,1,0,0,0,0,1,0,0,0,0,1,B2-机器坐标候选辅助核页,按机器坐标提示定位字段，但仍以PDF原页人工记录和湖北官方侧为准。,1,0,false,false,PDF原页、湖北官方侧、必要高校辅证和双人复核状态均闭环后，才可进入字段写回评估,公开层只保存页列状态桶、计数、集合SHA和门禁；不公开学校专业明细、字段读数、识别正文、截图、人工记录或私有路径。
FIRSTEVIDMAP-d8f0634ec88d9a31,data/working/issue19-stable-foundation-first-closure-evidence-status-page-side-summary.csv,data/working/issue19-stable-foundation-first-closure-task-review-public-ledger.csv,data/working/issue19-stable-foundation-first-closure-triage-prefill-public-audit.csv,data/working/issue19-official-public-entry-status.json,湖北招生考试2026年19期·本科普通批（下）,ee61fc69389f24a9a7830167113cf0ddc0447f8fa4b2743cd3241be60a9bd86d,issue19_stable_foundation_first_closure_public_evidence_map,PDF页码×版面列×公开证据地图,false,false,false,false,false,false,false,false,27,33,right,033-right,E1-计划数补缺或偏大优先核验,Q1-补缺或计划数偏大页列先核,1,0,1,1,0,0,1,0,1,1,0,0,0,0,1,0,0,0,0,1,B2-机器坐标候选辅助核页,按机器坐标提示定位字段，但仍以PDF原页人工记录和湖北官方侧为准。,1,0,false,false,PDF原页、湖北官方侧、必要高校辅证和双人复核状态均闭环后，才可进入字段写回评估,公开层只保存页列状态桶、计数、集合SHA和门禁；不公开学校专业明细、字段读数、识别正文、截图、人工记录或私有路径。
FIRSTEVIDMAP-3b3dcc66aa34ca34,data/working/issue19-stable-foundation-first-closure-evidence-status-page-side-summary.csv,data/working/issue19-stable-foundation-first-closure-task-review-public-ledger.csv,data/working/issue19-stable-foundation-first-closure-triage-prefill-public-audit.csv,data/working/issue19-official-public-entry-status.json,湖北招生考试2026年19期·本科普通批（下）,ee61fc69389f24a9a7830167113cf0ddc0447f8fa4b2743cd3241be60a9bd86d,issue19_stable_foundation_first_closure_public_evidence_map,PDF页码×版面列×公开证据地图,false,false,false,false,false,false,false,false,28,102,left,102-left,E1-计划数补缺或偏大优先核验,Q1-补缺或计划数偏大页列先核,1,0,1,1,0,0,1,0,1,1,0,0,0,0,1,0,0,0,0,1,B2-机器坐标候选辅助核页,按机器坐标提示定位字段，但仍以PDF原页人工记录和湖北官方侧为准。,1,0,false,false,PDF原页、湖北官方侧、必要高校辅证和双人复核状态均闭环后，才可进入字段写回评估,公开层只保存页列状态桶、计数、集合SHA和门禁；不公开学校专业明细、字段读数、识别正文、截图、人工记录或私有路径。
FIRSTEVIDMAP-b256e827f12a1f55,data/working/issue19-stable-foundation-first-closure-evidence-status-page-side-summary.csv,data/working/issue19-stable-foundation-first-closure-task-review-public-ledger.csv,data/working/issue19-stable-foundation-first-closure-triage-prefill-public-audit.csv,data/working/issue19-official-public-entry-status.json,湖北招生考试2026年19期·本科普通批（下）,ee61fc69389f24a9a7830167113cf0ddc0447f8fa4b2743cd3241be60a9bd86d,issue19_stable_foundation_first_closure_public_evidence_map,PDF页码×版面列×公开证据地图,false,false,false,false,false,false,false,false,29,228,left,228-left,E1-计划数补缺或偏大优先核验,Q1-补缺或计划数偏大页列先核,1,0,1,1,0,0,1,0,1,1,0,0,0,0,1,0,0,0,0,1,B2-机器坐标候选辅助核页,按机器坐标提示定位字段，但仍以PDF原页人工记录和湖北官方侧为准。,1,0,false,false,PDF原页、湖北官方侧、必要高校辅证和双人复核状态均闭环后，才可进入字段写回评估,公开层只保存页列状态桶、计数、集合SHA和门禁；不公开学校专业明细、字段读数、识别正文、截图、人工记录或私有路径。
FIRSTEVIDMAP-e715e4c059a05a0e,data/working/issue19-stable-foundation-first-closure-evidence-status-page-side-summary.csv,data/working/issue19-stable-foundation-first-closure-task-review-public-ledger.csv,data/working/issue19-stable-foundation-first-closure-triage-prefill-public-audit.csv,data/working/issue19-official-public-entry-status.json,湖北招生考试2026年19期·本科普通批（下）,ee61fc69389f24a9a7830167113cf0ddc0447f8fa4b2743cd3241be60a9bd86d,issue19_stable_foundation_first_closure_public_evidence_map,PDF页码×版面列×公开证据地图,false,false,false,false,false,false,false,false,30,80,right,080-right,E2-官网未匹配专业名归属核验,Q2-官网未匹配或高校辅证页列先核,18,1,17,1,1,17,18,1,17,0,0,18,0,0,18,0,0,1,17,17,B1-缺PDFOCR候选需人工看图,先人工看PDF原页补字段读数；再回连湖北官方侧和高校辅证记录。,18,0,false,false,PDF原页、湖北官方侧、必要高校辅证和双人复核状态均闭环后，才可进入字段写回评估,公开层只保存页列状态桶、计数、集合SHA和门禁；不公开学校专业明细、字段读数、识别正文、截图、人工记录或私有路径。
FIRSTEVIDMAP-1789a3ec2276271f,data/working/issue19-stable-foundation-first-closure-evidence-status-page-side-summary.csv,data/working/issue19-stable-foundation-first-closure-task-review-public-ledger.csv,data/working/issue19-stable-foundation-first-closure-triage-prefill-public-audit.csv,data/working/issue19-official-public-entry-status.json,湖北招生考试2026年19期·本科普通批（下）,ee61fc69389f24a9a7830167113cf0ddc0447f8fa4b2743cd3241be60a9bd86d,issue19_stable_foundation_first_closure_public_evidence_map,PDF页码×版面列×公开证据地图,false,false,false,false,false,false,false,false,31,70,right,070-right,E2-官网未匹配专业名归属核验,Q2-官网未匹配或高校辅证页列先核,11,11,0,7,11,1,11,11,0,0,0,11,0,0,11,0,0,11,0,0,B3-仅PDFOCR候选待人工确认,按PDFOCR提示逐条核原页；确认后再做湖北官方侧和高校侧闭环。,11,0,false,false,PDF原页、湖北官方侧、必要高校辅证和双人复核状态均闭环后，才可进入字段写回评估,公开层只保存页列状态桶、计数、集合SHA和门禁；不公开学校专业明细、字段读数、识别正文、截图、人工记录或私有路径。
FIRSTEVIDMAP-40f1e0636a4a6bce,data/working/issue19-stable-foundation-first-closure-evidence-status-page-side-summary.csv,data/working/issue19-stable-foundation-first-closure-task-review-public-ledger.csv,data/working/issue19-stable-foundation-first-closure-triage-prefill-public-audit.csv,data/working/issue19-official-public-entry-status.json,湖北招生考试2026年19期·本科普通批（下）,ee61fc69389f24a9a7830167113cf0ddc0447f8fa4b2743cd3241be60a9bd86d,issue19_stable_foundation_first_closure_public_evidence_map,PDF页码×版面列×公开证据地图,false,false,false,false,false,false,false,false,32,135,right,135-right,E2-官网未匹配专业名归属核验,Q2-官网未匹配或高校辅证页列先核,3,3,0,1,1,0,3,1,2,0,0,3,0,0,3,0,0,1,2,0,B1-缺PDFOCR候选需人工看图,先人工看PDF原页补字段读数；再回连湖北官方侧和高校辅证记录。,3,0,false,false,PDF原页、湖北官方侧、必要高校辅证和双人复核状态均闭环后，才可进入字段写回评估,公开层只保存页列状态桶、计数、集合SHA和门禁；不公开学校专业明细、字段读数、识别正文、截图、人工记录或私有路径。
FIRSTEVIDMAP-b6219f290da98450,data/working/issue19-stable-foundation-first-closure-evidence-status-page-side-summary.csv,data/working/issue19-stable-foundation-first-closure-task-review-public-ledger.csv,data/working/issue19-stable-foundation-first-closure-triage-prefill-public-audit.csv,data/working/issue19-official-public-entry-status.json,湖北招生考试2026年19期·本科普通批（下）,ee61fc69389f24a9a7830167113cf0ddc0447f8fa4b2743cd3241be60a9bd86d,issue19_stable_foundation_first_closure_public_evidence_map,PDF页码×版面列×公开证据地图,false,false,false,false,false,false,false,false,33,235,left,235-left,E2-官网未匹配专业名归属核验,Q2-官网未匹配或高校辅证页列先核,2,2,0,2,2,1,2,2,0,0,0,2,0,0,2,0,0,2,0,0,B3-仅PDFOCR候选待人工确认,按PDFOCR提示逐条核原页；确认后再做湖北官方侧和高校侧闭环。,2,0,false,false,PDF原页、湖北官方侧、必要高校辅证和双人复核状态均闭环后，才可进入字段写回评估,公开层只保存页列状态桶、计数、集合SHA和门禁；不公开学校专业明细、字段读数、识别正文、截图、人工记录或私有路径。
FIRSTEVIDMAP-d26d5121c9e218ad,data/working/issue19-stable-foundation-first-closure-evidence-status-page-side-summary.csv,data/working/issue19-stable-foundation-first-closure-task-review-public-ledger.csv,data/working/issue19-stable-foundation-first-closure-triage-prefill-public-audit.csv,data/working/issue19-official-public-entry-status.json,湖北招生考试2026年19期·本科普通批（下）,ee61fc69389f24a9a7830167113cf0ddc0447f8fa4b2743cd3241be60a9bd86d,issue19_stable_foundation_first_closure_public_evidence_map,PDF页码×版面列×公开证据地图,false,false,false,false,false,false,false,false,34,36,right,036-right,E2-官网未匹配专业名归属核验,Q2-官网未匹配或高校辅证页列先核,1,1,0,0,1,1,1,1,0,0,0,1,0,0,1,0,0,1,0,0,B3-仅PDFOCR候选待人工确认,按PDFOCR提示逐条核原页；确认后再做湖北官方侧和高校侧闭环。,1,0,false,false,PDF原页、湖北官方侧、必要高校辅证和双人复核状态均闭环后，才可进入字段写回评估,公开层只保存页列状态桶、计数、集合SHA和门禁；不公开学校专业明细、字段读数、识别正文、截图、人工记录或私有路径。
FIRSTEVIDMAP-75d229ba3338d933,data/working/issue19-stable-foundation-first-closure-evidence-status-page-side-summary.csv,data/working/issue19-stable-foundation-first-closure-task-review-public-ledger.csv,data/working/issue19-stable-foundation-first-closure-triage-prefill-public-audit.csv,data/working/issue19-official-public-entry-status.json,湖北招生考试2026年19期·本科普通批（下）,ee61fc69389f24a9a7830167113cf0ddc0447f8fa4b2743cd3241be60a9bd86d,issue19_stable_foundation_first_closure_public_evidence_map,PDF页码×版面列×公开证据地图,false,false,false,false,false,false,false,false,35,57,left,057-left,E2-官网未匹配专业名归属核验,Q2-官网未匹配或高校辅证页列先核,1,1,0,1,1,0,1,1,0,0,0,1,0,0,1,0,0,1,0,0,B3-仅PDFOCR候选待人工确认,按PDFOCR提示逐条核原页；确认后再做湖北官方侧和高校侧闭环。,1,0,false,false,PDF原页、湖北官方侧、必要高校辅证和双人复核状态均闭环后，才可进入字段写回评估,公开层只保存页列状态桶、计数、集合SHA和门禁；不公开学校专业明细、字段读数、识别正文、截图、人工记录或私有路径。
FIRSTEVIDMAP-6b24a36e859ae0eb,data/working/issue19-stable-foundation-first-closure-evidence-status-page-side-summary.csv,data/working/issue19-stable-foundation-first-closure-task-review-public-ledger.csv,data/working/issue19-stable-foundation-first-closure-triage-prefill-public-audit.csv,data/working/issue19-official-public-entry-status.json,湖北招生考试2026年19期·本科普通批（下）,ee61fc69389f24a9a7830167113cf0ddc0447f8fa4b2743cd3241be60a9bd86d,issue19_stable_foundation_first_closure_public_evidence_map,PDF页码×版面列×公开证据地图,false,false,false,false,false,false,false,false,36,81,left,081-left,E2-官网未匹配专业名归属核验,Q2-官网未匹配或高校辅证页列先核,1,1,0,1,1,0,1,1,0,0,0,1,0,0,1,0,0,1,0,0,B3-仅PDFOCR候选待人工确认,按PDFOCR提示逐条核原页；确认后再做湖北官方侧和高校侧闭环。,1,0,false,false,PDF原页、湖北官方侧、必要高校辅证和双人复核状态均闭环后，才可进入字段写回评估,公开层只保存页列状态桶、计数、集合SHA和门禁；不公开学校专业明细、字段读数、识别正文、截图、人工记录或私有路径。
FIRSTEVIDMAP-659cb65cc46b72b9,data/working/issue19-stable-foundation-first-closure-evidence-status-page-side-summary.csv,data/working/issue19-stable-foundation-first-closure-task-review-public-ledger.csv,data/working/issue19-stable-foundation-first-closure-triage-prefill-public-audit.csv,data/working/issue19-official-public-entry-status.json,湖北招生考试2026年19期·本科普通批（下）,ee61fc69389f24a9a7830167113cf0ddc0447f8fa4b2743cd3241be60a9bd86d,issue19_stable_foundation_first_closure_public_evidence_map,PDF页码×版面列×公开证据地图,false,false,false,false,false,false,false,false,37,96,right,096-right,E2-官网未匹配专业名归属核验,Q2-官网未匹配或高校辅证页列先核,1,1,0,0,1,0,1,1,0,0,0,1,0,0,1,0,0,1,0,0,B3-仅PDFOCR候选待人工确认,按PDFOCR提示逐条核原页；确认后再做湖北官方侧和高校侧闭环。,1,0,false,false,PDF原页、湖北官方侧、必要高校辅证和双人复核状态均闭环后，才可进入字段写回评估,公开层只保存页列状态桶、计数、集合SHA和门禁；不公开学校专业明细、字段读数、识别正文、截图、人工记录或私有路径。
