第一闭环证据仲裁页列汇总ID,来源第一闭环证据仲裁表,来源第一闭环核验结果页列汇总,来源G0字段W0W1候选分层页列汇总,来源期号,来源PDF_SHA256,生成日期,数据阶段,主表粒度,任务粒度,最终可用,可进入下一阶段,可否进入最终志愿方案,是否允许作为志愿推荐依据,是否允许自动写回主表,是否允许官网证据替代湖北官方计划,是否允许生成学校专业建议,是否允许写回字段事实,页列汇总序号,页码版面键,来源页码,版面列,第一闭环任务数,G0命中任务数,G0字段事实数,G0缺口任务数,G0当前可并行通道数,G0前置阻断通道数,G0待PDF原页记录数,G0待湖北官方记录数,G0待高校辅证核验数,G0待冲突处理数,G0待双人复核数,G0待三方一致性数,G0待字段确认数,G0待写回评审数,任务结果桶分布,PDF原页状态分布,OCR提示状态分布,高校官网辅证状态分布,冲突状态分布,证据准出阶段分布,G0候选分层分布,页列最小核验动作,页列任务集合SHA256,页列G0事实集合SHA256,页列G0缺口任务集合SHA256,公开安全策略
FIRST-ADJ-PAGE-d55e0a81cf1e909d,data/working/issue19-first-closure-evidence-adjudication-board-v1-public-ledger.csv,data/working/issue19-first-closure-verification-result-page-summary.csv,data/working/issue19-first-closure-g0-conflict-field-w0-w1-candidate-triage-v1-page-summary.csv,湖北招生考试2026年19期·本科普通批（下）,ee61fc69389f24a9a7830167113cf0ddc0447f8fa4b2743cd3241be60a9bd86d,2026-06-29,issue19_first_closure_evidence_adjudication_board_v1,PDF页码×版面列,37页列叠加G0 W0/W1字段事实准出状态,false,false,false,false,false,false,false,false,21,102-left,102,left,1,0,0,0,0,0,0,0,0,0,0,0,0,0,R2-机器坐标辅助核PDF原页:1,P1-有机器坐标提示，仍待PDF原页人工核验:1,O4-无PDFOCR但有机器坐标提示:1,S0-无高校字段线索，本任务高校辅证不适用:1,C4-无可比候选，需人工看图或随页列闭环:1,A3-非G0本轮子集但仍待第一闭环:1,,按第一闭环总看板继续核页。,8ae05f0f2e1cac11e96f4b9f5df0c6ec8ba7769292bcd107955e970d89a258bc,,,页列汇总只公开状态分布、数量和SHA；不公开敏感明细或学校专业文本。
FIRST-ADJ-PAGE-dd4c36e83856a8ef,data/working/issue19-first-closure-evidence-adjudication-board-v1-public-ledger.csv,data/working/issue19-first-closure-verification-result-page-summary.csv,data/working/issue19-first-closure-g0-conflict-field-w0-w1-candidate-triage-v1-page-summary.csv,湖北招生考试2026年19期·本科普通批（下）,ee61fc69389f24a9a7830167113cf0ddc0447f8fa4b2743cd3241be60a9bd86d,2026-06-29,issue19_first_closure_evidence_adjudication_board_v1,PDF页码×版面列,37页列叠加G0 W0/W1字段事实准出状态,false,false,false,false,false,false,false,false,22,109-left,109,left,8,0,0,0,0,0,0,0,0,0,0,0,0,0,R3-无稳定候选需人工看图:4；R5-多源一致线索仍待湖北官方侧:4,P2-有PDFOCR提示，仍待PDF原页人工确认:4；P3-无稳定OCR提示，需人工看PDF原页:4,O1-PDFOCR与高校辅证有一致字段但仍待官方闭环:4；O5-无公开OCR候选提示:4,S1-有高校辅证线索或自动官网任务，待私有辅证记录:8,C2-多源有一致线索，仍待湖北官方侧闭环:4；C4-无可比候选，需人工看图或随页列闭环:4,A3-非G0本轮子集但仍待第一闭环:8,,按第一闭环总看板继续核页。,3d027322b56e0b2e59c0dca5e2aa5659eabc5e3c17bd7dc127b5358132ac0346,,,页列汇总只公开状态分布、数量和SHA；不公开敏感明细或学校专业文本。
FIRST-ADJ-PAGE-76730a7104e95661,data/working/issue19-first-closure-evidence-adjudication-board-v1-public-ledger.csv,data/working/issue19-first-closure-verification-result-page-summary.csv,data/working/issue19-first-closure-g0-conflict-field-w0-w1-candidate-triage-v1-page-summary.csv,湖北招生考试2026年19期·本科普通批（下）,ee61fc69389f24a9a7830167113cf0ddc0447f8fa4b2743cd3241be60a9bd86d,2026-06-29,issue19_first_closure_evidence_adjudication_board_v1,PDF页码×版面列,37页列叠加G0 W0/W1字段事实准出状态,false,false,false,false,false,false,false,false,23,135-left,135,left,10,10,21,168,84,84,21,21,21,21,21,21,21,21,R0-冲突优先双人核PDF原页和湖北官方侧:10,P0-有冲突线索，PDF原页优先人工核验:10,O0-PDFOCR与高校辅证冲突:10,S1-有高校辅证线索或自动官网任务，待私有辅证记录:10,C0-PDFOCR与高校辅证冲突，必须回PDF原页和湖北官方侧:10,A0-G0候选冲突阻断准出:10,C0-双侧候选冲突优先核:10；C1-双侧候选一致但仍待核:4；C2-仅PDFOCR候选需补辅证:1；C3-仅高校辅证候选需核原页:6,优先处理G0 W0/W1冲突字段。,341184f10270fbdb2f0c3e81355e50894f0ac0d659248439b743088fcf7ffcc9,5316f9e19fd9bf3ec3ddfb23613027bc014f58c69265d5b0a3c0576aa94b8934,87b07021d5e248f98d39d12fbd6a8545d35f34426aad738c09afe9ed49d35a77,页列汇总只公开状态分布、数量和SHA；不公开敏感明细或学校专业文本。
FIRST-ADJ-PAGE-be9e961fe62e25ad,data/working/issue19-first-closure-evidence-adjudication-board-v1-public-ledger.csv,data/working/issue19-first-closure-verification-result-page-summary.csv,data/working/issue19-first-closure-g0-conflict-field-w0-w1-candidate-triage-v1-page-summary.csv,湖北招生考试2026年19期·本科普通批（下）,ee61fc69389f24a9a7830167113cf0ddc0447f8fa4b2743cd3241be60a9bd86d,2026-06-29,issue19_first_closure_evidence_adjudication_board_v1,PDF页码×版面列,37页列叠加G0 W0/W1字段事实准出状态,false,false,false,false,false,false,false,false,24,135-right,135,right,3,0,0,0,0,0,0,0,0,0,0,0,0,0,R3-无稳定候选需人工看图:2；R4-PDFOCR候选人工确认:1,P2-有PDFOCR提示，仍待PDF原页人工确认:1；P3-无稳定OCR提示，需人工看PDF原页:2,O3-仅PDFOCR候选待人工核页:1；O5-无公开OCR候选提示:2,S1-有高校辅证线索或自动官网任务，待私有辅证记录:3,C3-仅PDFOCR候选，需人工核页:1；C4-无可比候选，需人工看图或随页列闭环:2,A3-非G0本轮子集但仍待第一闭环:3,,按第一闭环总看板继续核页。,4bb6e4a769bf0e030f06cb6ee41df52fddca5be3a6e23cdf66b76e8a2d0a7c49,,,页列汇总只公开状态分布、数量和SHA；不公开敏感明细或学校专业文本。
FIRST-ADJ-PAGE-cd20c071ca0cee85,data/working/issue19-first-closure-evidence-adjudication-board-v1-public-ledger.csv,data/working/issue19-first-closure-verification-result-page-summary.csv,data/working/issue19-first-closure-g0-conflict-field-w0-w1-candidate-triage-v1-page-summary.csv,湖北招生考试2026年19期·本科普通批（下）,ee61fc69389f24a9a7830167113cf0ddc0447f8fa4b2743cd3241be60a9bd86d,2026-06-29,issue19_first_closure_evidence_adjudication_board_v1,PDF页码×版面列,37页列叠加G0 W0/W1字段事实准出状态,false,false,false,false,false,false,false,false,25,137-left,137,left,2,0,0,0,0,0,0,0,0,0,0,0,0,0,R1-高校补缺线索回PDF原页:1；R3-无稳定候选需人工看图:1,P2-有PDFOCR提示，仍待PDF原页人工确认:1；P3-无稳定OCR提示，需人工看PDF原页:1,O2-高校有线索但PDFOCR缺候选:1；O5-无公开OCR候选提示:1,S1-有高校辅证线索或自动官网任务，待私有辅证记录:2,C1-高校补缺线索，PDF原页缺候选需人工看图:1；C4-无可比候选，需人工看图或随页列闭环:1,A3-非G0本轮子集但仍待第一闭环:2,,按第一闭环总看板继续核页。,6bd921e3d02aac416db1c28d960950dfcca829fd553340269af86740c399f3f0,,,页列汇总只公开状态分布、数量和SHA；不公开敏感明细或学校专业文本。
FIRST-ADJ-PAGE-715cad8c86fae4f6,data/working/issue19-first-closure-evidence-adjudication-board-v1-public-ledger.csv,data/working/issue19-first-closure-verification-result-page-summary.csv,data/working/issue19-first-closure-g0-conflict-field-w0-w1-candidate-triage-v1-page-summary.csv,湖北招生考试2026年19期·本科普通批（下）,ee61fc69389f24a9a7830167113cf0ddc0447f8fa4b2743cd3241be60a9bd86d,2026-06-29,issue19_first_closure_evidence_adjudication_board_v1,PDF页码×版面列,37页列叠加G0 W0/W1字段事实准出状态,false,false,false,false,false,false,false,false,26,137-right,137,right,1,1,3,24,12,12,3,3,3,3,3,3,3,3,R0-冲突优先双人核PDF原页和湖北官方侧:1,P0-有冲突线索，PDF原页优先人工核验:1,O0-PDFOCR与高校辅证冲突:1,S1-有高校辅证线索或自动官网任务，待私有辅证记录:1,C0-PDFOCR与高校辅证冲突，必须回PDF原页和湖北官方侧:1,A0-G0候选冲突阻断准出:1,C0-双侧候选冲突优先核:1；C2-仅PDFOCR候选需补辅证:2,优先处理G0 W0/W1冲突字段。,5ca8c98107449f25c801f30f1e274f3d4f72b135602b6bfc57f76121c8fd3585,f71db0fc5fc9c84fb293d14d3ea16244ecf08e4f0a9ecb9a29ccaf96e2f00937,fc7458098bd809e31b85b233368da01479aaeb2f948a337bf98122453b21bf5d,页列汇总只公开状态分布、数量和SHA；不公开敏感明细或学校专业文本。
FIRST-ADJ-PAGE-9222f146d0bed01d,data/working/issue19-first-closure-evidence-adjudication-board-v1-public-ledger.csv,data/working/issue19-first-closure-verification-result-page-summary.csv,data/working/issue19-first-closure-g0-conflict-field-w0-w1-candidate-triage-v1-page-summary.csv,湖北招生考试2026年19期·本科普通批（下）,ee61fc69389f24a9a7830167113cf0ddc0447f8fa4b2743cd3241be60a9bd86d,2026-06-29,issue19_first_closure_evidence_adjudication_board_v1,PDF页码×版面列,37页列叠加G0 W0/W1字段事实准出状态,false,false,false,false,false,false,false,false,27,141-left,141,left,1,0,0,0,0,0,0,0,0,0,0,0,0,0,R2-机器坐标辅助核PDF原页:1,P1-有机器坐标提示，仍待PDF原页人工核验:1,O4-无PDFOCR但有机器坐标提示:1,S0-无高校字段线索，本任务高校辅证不适用:1,C4-无可比候选，需人工看图或随页列闭环:1,A3-非G0本轮子集但仍待第一闭环:1,,按第一闭环总看板继续核页。,8456ebe59668b16dfb89916d0c589ae1c24069d54f6f36010608242fd7406fc0,,,页列汇总只公开状态分布、数量和SHA；不公开敏感明细或学校专业文本。
FIRST-ADJ-PAGE-fc8b9420bf3f5dfc,data/working/issue19-first-closure-evidence-adjudication-board-v1-public-ledger.csv,data/working/issue19-first-closure-verification-result-page-summary.csv,data/working/issue19-first-closure-g0-conflict-field-w0-w1-candidate-triage-v1-page-summary.csv,湖北招生考试2026年19期·本科普通批（下）,ee61fc69389f24a9a7830167113cf0ddc0447f8fa4b2743cd3241be60a9bd86d,2026-06-29,issue19_first_closure_evidence_adjudication_board_v1,PDF页码×版面列,37页列叠加G0 W0/W1字段事实准出状态,false,false,false,false,false,false,false,false,28,169-right,169,right,22,1,2,16,8,8,2,2,2,2,2,2,2,2,R0-冲突优先双人核PDF原页和湖北官方侧:1；R1-高校补缺线索回PDF原页:10；R3-无稳定候选需人工看图:10；R4-PDFOCR候选人工确认:1,P0-有冲突线索，PDF原页优先人工核验:1；P2-有PDFOCR提示，仍待PDF原页人工确认:11；P3-无稳定OCR提示，需人工看PDF原页:10,O0-PDFOCR与高校辅证冲突:1；O2-高校有线索但PDFOCR缺候选:10；O3-仅PDFOCR候选待人工核页:1；O5-无公开OCR候选提示:10,S1-有高校辅证线索或自动官网任务，待私有辅证记录:22,C0-PDFOCR与高校辅证冲突，必须回PDF原页和湖北官方侧:1；C1-高校补缺线索，PDF原页缺候选需人工看图:10；C3-仅PDFOCR候选，需人工核页:1；C4-无可比候选，需人工看图或随页列闭环:10,A0-G0候选冲突阻断准出:1；A3-非G0本轮子集但仍待第一闭环:21,C0-双侧候选冲突优先核:1；C2-仅PDFOCR候选需补辅证:1,优先处理G0 W0/W1冲突字段。,3581545c269af80e9332525c5aafdc83c73b6959c8d3b79ae584b48450574349,e9156bdef5372b541f10c10fb1c3ba832706ab312049f5d13b1c51bea221aea0,48a65f552f4b5d70334ccb47ed2395defbc023cfd4e0ef4865d1ab989526de19,页列汇总只公开状态分布、数量和SHA；不公开敏感明细或学校专业文本。
FIRST-ADJ-PAGE-c7ade0ac3c0a8c7a,data/working/issue19-first-closure-evidence-adjudication-board-v1-public-ledger.csv,data/working/issue19-first-closure-verification-result-page-summary.csv,data/working/issue19-first-closure-g0-conflict-field-w0-w1-candidate-triage-v1-page-summary.csv,湖北招生考试2026年19期·本科普通批（下）,ee61fc69389f24a9a7830167113cf0ddc0447f8fa4b2743cd3241be60a9bd86d,2026-06-29,issue19_first_closure_evidence_adjudication_board_v1,PDF页码×版面列,37页列叠加G0 W0/W1字段事实准出状态,false,false,false,false,false,false,false,false,29,194-left,194,left,7,0,0,0,0,0,0,0,0,0,0,0,0,0,R2-机器坐标辅助核PDF原页:7,P1-有机器坐标提示，仍待PDF原页人工核验:7,O4-无PDFOCR但有机器坐标提示:7,S0-无高校字段线索，本任务高校辅证不适用:7,C4-无可比候选，需人工看图或随页列闭环:7,A3-非G0本轮子集但仍待第一闭环:7,,按第一闭环总看板继续核页。,7d4fbb1e4e99acedef5970e2fde93d14d011cd16d5dfbbb480967f411939927f,,,页列汇总只公开状态分布、数量和SHA；不公开敏感明细或学校专业文本。
FIRST-ADJ-PAGE-306698b6ca057b18,data/working/issue19-first-closure-evidence-adjudication-board-v1-public-ledger.csv,data/working/issue19-first-closure-verification-result-page-summary.csv,data/working/issue19-first-closure-g0-conflict-field-w0-w1-candidate-triage-v1-page-summary.csv,湖北招生考试2026年19期·本科普通批（下）,ee61fc69389f24a9a7830167113cf0ddc0447f8fa4b2743cd3241be60a9bd86d,2026-06-29,issue19_first_closure_evidence_adjudication_board_v1,PDF页码×版面列,37页列叠加G0 W0/W1字段事实准出状态,false,false,false,false,false,false,false,false,30,199-left,199,left,5,3,9,72,36,36,9,9,9,9,9,9,9,9,R0-冲突优先双人核PDF原页和湖北官方侧:3；R2-机器坐标辅助核PDF原页:1；R4-PDFOCR候选人工确认:1,P0-有冲突线索，PDF原页优先人工核验:3；P1-有机器坐标提示，仍待PDF原页人工核验:1；P2-有PDFOCR提示，仍待PDF原页人工确认:1,O0-PDFOCR与高校辅证冲突:3；O3-仅PDFOCR候选待人工核页:1；O4-无PDFOCR但有机器坐标提示:1,S1-有高校辅证线索或自动官网任务，待私有辅证记录:5,C0-PDFOCR与高校辅证冲突，必须回PDF原页和湖北官方侧:3；C3-仅PDFOCR候选，需人工核页:1；C4-无可比候选，需人工看图或随页列闭环:1,A0-G0候选冲突阻断准出:3；A3-非G0本轮子集但仍待第一闭环:2,C0-双侧候选冲突优先核:4；C3-仅高校辅证候选需核原页:5,优先处理G0 W0/W1冲突字段。,dd66d532873cb65cc0f2c4ae8ea7654f36c0d22c5426dcda11e5bf8588fc68fc,98a2d86662d1ee09aac21a36896fb16fd7c8d0e9a89d93787a734a344d6c1a9c,64e4e504607a80ca48a3c21fcbf657b241c910ee3d3e0514e2706a1ca4f8b488,页列汇总只公开状态分布、数量和SHA；不公开敏感明细或学校专业文本。
FIRST-ADJ-PAGE-01301d640c0771c9,data/working/issue19-first-closure-evidence-adjudication-board-v1-public-ledger.csv,data/working/issue19-first-closure-verification-result-page-summary.csv,data/working/issue19-first-closure-g0-conflict-field-w0-w1-candidate-triage-v1-page-summary.csv,湖北招生考试2026年19期·本科普通批（下）,ee61fc69389f24a9a7830167113cf0ddc0447f8fa4b2743cd3241be60a9bd86d,2026-06-29,issue19_first_closure_evidence_adjudication_board_v1,PDF页码×版面列,37页列叠加G0 W0/W1字段事实准出状态,false,false,false,false,false,false,false,false,31,205-left,205,left,1,0,0,0,0,0,0,0,0,0,0,0,0,0,R2-机器坐标辅助核PDF原页:1,P1-有机器坐标提示，仍待PDF原页人工核验:1,O4-无PDFOCR但有机器坐标提示:1,S0-无高校字段线索，本任务高校辅证不适用:1,C4-无可比候选，需人工看图或随页列闭环:1,A3-非G0本轮子集但仍待第一闭环:1,,按第一闭环总看板继续核页。,eed634392a7f10ceadfd1c19cd5773d924ca6c5b54c3c0735e4a783e72e4fee1,,,页列汇总只公开状态分布、数量和SHA；不公开敏感明细或学校专业文本。
FIRST-ADJ-PAGE-92a4dcf4c2fafbbd,data/working/issue19-first-closure-evidence-adjudication-board-v1-public-ledger.csv,data/working/issue19-first-closure-verification-result-page-summary.csv,data/working/issue19-first-closure-g0-conflict-field-w0-w1-candidate-triage-v1-page-summary.csv,湖北招生考试2026年19期·本科普通批（下）,ee61fc69389f24a9a7830167113cf0ddc0447f8fa4b2743cd3241be60a9bd86d,2026-06-29,issue19_first_closure_evidence_adjudication_board_v1,PDF页码×版面列,37页列叠加G0 W0/W1字段事实准出状态,false,false,false,false,false,false,false,false,32,209-right,209,right,13,2,6,48,24,24,6,6,6,6,6,6,6,6,R0-冲突优先双人核PDF原页和湖北官方侧:2；R3-无稳定候选需人工看图:4；R4-PDFOCR候选人工确认:3；R5-多源一致线索仍待湖北官方侧:4,P0-有冲突线索，PDF原页优先人工核验:2；P2-有PDFOCR提示，仍待PDF原页人工确认:7；P3-无稳定OCR提示，需人工看PDF原页:4,O0-PDFOCR与高校辅证冲突:2；O1-PDFOCR与高校辅证有一致字段但仍待官方闭环:4；O3-仅PDFOCR候选待人工核页:3；O5-无公开OCR候选提示:4,S1-有高校辅证线索或自动官网任务，待私有辅证记录:13,C0-PDFOCR与高校辅证冲突，必须回PDF原页和湖北官方侧:2；C2-多源有一致线索，仍待湖北官方侧闭环:4；C3-仅PDFOCR候选，需人工核页:3；C4-无可比候选，需人工看图或随页列闭环:4,A0-G0候选冲突阻断准出:2；A3-非G0本轮子集但仍待第一闭环:11,C0-双侧候选冲突优先核:2；C1-双侧候选一致但仍待核:2；C3-仅高校辅证候选需核原页:2,优先处理G0 W0/W1冲突字段。,2212151d52c82eac5fe63933ad496960fa88747c0e72b112ad2a3b95acdb3c62,68061a85c2524039aac576546e9f8503ad896e43da5b5839957cd10abb8f2faf,315738167ed9d904638de9c0e2738a87d9c6e84659401114c3822db0368be2fb,页列汇总只公开状态分布、数量和SHA；不公开敏感明细或学校专业文本。
FIRST-ADJ-PAGE-c347157222b3904b,data/working/issue19-first-closure-evidence-adjudication-board-v1-public-ledger.csv,data/working/issue19-first-closure-verification-result-page-summary.csv,data/working/issue19-first-closure-g0-conflict-field-w0-w1-candidate-triage-v1-page-summary.csv,湖北招生考试2026年19期·本科普通批（下）,ee61fc69389f24a9a7830167113cf0ddc0447f8fa4b2743cd3241be60a9bd86d,2026-06-29,issue19_first_closure_evidence_adjudication_board_v1,PDF页码×版面列,37页列叠加G0 W0/W1字段事实准出状态,false,false,false,false,false,false,false,false,33,226-left,226,left,39,1,3,21,9,12,3,3,3,3,0,3,3,3,R0-冲突优先双人核PDF原页和湖北官方侧:1；R1-高校补缺线索回PDF原页:18；R2-机器坐标辅助核PDF原页:13；R3-无稳定候选需人工看图:6；R4-PDFOCR候选人工确认:1,P0-有冲突线索，PDF原页优先人工核验:1；P1-有机器坐标提示，仍待PDF原页人工核验:13；P2-有PDFOCR提示，仍待PDF原页人工确认:19；P3-无稳定OCR提示，需人工看PDF原页:6,O0-PDFOCR与高校辅证冲突:1；O2-高校有线索但PDFOCR缺候选:18；O3-仅PDFOCR候选待人工核页:1；O4-无PDFOCR但有机器坐标提示:13；O5-无公开OCR候选提示:6,S1-有高校辅证线索或自动官网任务，待私有辅证记录:39,C0-PDFOCR与高校辅证冲突，必须回PDF原页和湖北官方侧:1；C1-高校补缺线索，PDF原页缺候选需人工看图:18；C3-仅PDFOCR候选，需人工核页:1；C4-无可比候选，需人工看图或随页列闭环:19,A0-G0候选冲突阻断准出:1；A3-非G0本轮子集但仍待第一闭环:38,C0-双侧候选冲突优先核:1；C2-仅PDFOCR候选需补辅证:1；C3-仅高校辅证候选需核原页:1,优先处理G0 W0/W1冲突字段。,fa1a95a84a5a4f434fe818f7cedf445474c3ec42802f2e20ebc0a46b3a19d0dd,33dbdfd7222d15dd26d12fcf6a9a4e1942e83103e964011714a38fdba514048e,eff369bcd2f9a47ac80f8d3ee1155bce11053968a3fb7587c87a69d4e99b2204,页列汇总只公开状态分布、数量和SHA；不公开敏感明细或学校专业文本。
FIRST-ADJ-PAGE-7d00fdc7c53dcdd3,data/working/issue19-first-closure-evidence-adjudication-board-v1-public-ledger.csv,data/working/issue19-first-closure-verification-result-page-summary.csv,data/working/issue19-first-closure-g0-conflict-field-w0-w1-candidate-triage-v1-page-summary.csv,湖北招生考试2026年19期·本科普通批（下）,ee61fc69389f24a9a7830167113cf0ddc0447f8fa4b2743cd3241be60a9bd86d,2026-06-29,issue19_first_closure_evidence_adjudication_board_v1,PDF页码×版面列,37页列叠加G0 W0/W1字段事实准出状态,false,false,false,false,false,false,false,false,34,226-right,226,right,4,2,6,42,18,24,6,6,6,6,0,6,6,6,R0-冲突优先双人核PDF原页和湖北官方侧:2；R3-无稳定候选需人工看图:2,P0-有冲突线索，PDF原页优先人工核验:2；P3-无稳定OCR提示，需人工看PDF原页:2,O0-PDFOCR与高校辅证冲突:2；O5-无公开OCR候选提示:2,S1-有高校辅证线索或自动官网任务，待私有辅证记录:4,C0-PDFOCR与高校辅证冲突，必须回PDF原页和湖北官方侧:2；C4-无可比候选，需人工看图或随页列闭环:2,A0-G0候选冲突阻断准出:2；A3-非G0本轮子集但仍待第一闭环:2,C0-双侧候选冲突优先核:2；C1-双侧候选一致但仍待核:2；C3-仅高校辅证候选需核原页:2,优先处理G0 W0/W1冲突字段。,dfc2f9435c3e8899e1db30f8c084f256b68a111c4b26517423e37452aaa91fab,d788982f04b729df76f6216a3549f4b0dcff34e37bd7335d4cdfd4d1c1392442,8dcfe797002a904cc6e53bfee9fc6b43a36275c0d3590367ead799595ff0cd8a,页列汇总只公开状态分布、数量和SHA；不公开敏感明细或学校专业文本。
FIRST-ADJ-PAGE-8292ec6ef4b7b591,data/working/issue19-first-closure-evidence-adjudication-board-v1-public-ledger.csv,data/working/issue19-first-closure-verification-result-page-summary.csv,data/working/issue19-first-closure-g0-conflict-field-w0-w1-candidate-triage-v1-page-summary.csv,湖北招生考试2026年19期·本科普通批（下）,ee61fc69389f24a9a7830167113cf0ddc0447f8fa4b2743cd3241be60a9bd86d,2026-06-29,issue19_first_closure_evidence_adjudication_board_v1,PDF页码×版面列,37页列叠加G0 W0/W1字段事实准出状态,false,false,false,false,false,false,false,false,35,228-left,228,left,1,0,0,0,0,0,0,0,0,0,0,0,0,0,R2-机器坐标辅助核PDF原页:1,P1-有机器坐标提示，仍待PDF原页人工核验:1,O4-无PDFOCR但有机器坐标提示:1,S0-无高校字段线索，本任务高校辅证不适用:1,C4-无可比候选，需人工看图或随页列闭环:1,A3-非G0本轮子集但仍待第一闭环:1,,按第一闭环总看板继续核页。,f77477d05abdd5e28406db3239fd521bf5f16a07f8d7f94eb43e78dbdec90a9b,,,页列汇总只公开状态分布、数量和SHA；不公开敏感明细或学校专业文本。
FIRST-ADJ-PAGE-ae375803aa80a48f,data/working/issue19-first-closure-evidence-adjudication-board-v1-public-ledger.csv,data/working/issue19-first-closure-verification-result-page-summary.csv,data/working/issue19-first-closure-g0-conflict-field-w0-w1-candidate-triage-v1-page-summary.csv,湖北招生考试2026年19期·本科普通批（下）,ee61fc69389f24a9a7830167113cf0ddc0447f8fa4b2743cd3241be60a9bd86d,2026-06-29,issue19_first_closure_evidence_adjudication_board_v1,PDF页码×版面列,37页列叠加G0 W0/W1字段事实准出状态,false,false,false,false,false,false,false,false,36,235-left,235,left,2,0,0,0,0,0,0,0,0,0,0,0,0,0,R4-PDFOCR候选人工确认:2,P2-有PDFOCR提示，仍待PDF原页人工确认:2,O3-仅PDFOCR候选待人工核页:2,S1-有高校辅证线索或自动官网任务，待私有辅证记录:2,C3-仅PDFOCR候选，需人工核页:2,A3-非G0本轮子集但仍待第一闭环:2,,按第一闭环总看板继续核页。,92876be71e08efa2d0653f0800ced214ffefd1ed968e7fd4488d476b1597b986,,,页列汇总只公开状态分布、数量和SHA；不公开敏感明细或学校专业文本。
FIRST-ADJ-PAGE-ce9eeb86adb6b933,data/working/issue19-first-closure-evidence-adjudication-board-v1-public-ledger.csv,data/working/issue19-first-closure-verification-result-page-summary.csv,data/working/issue19-first-closure-g0-conflict-field-w0-w1-candidate-triage-v1-page-summary.csv,湖北招生考试2026年19期·本科普通批（下）,ee61fc69389f24a9a7830167113cf0ddc0447f8fa4b2743cd3241be60a9bd86d,2026-06-29,issue19_first_closure_evidence_adjudication_board_v1,PDF页码×版面列,37页列叠加G0 W0/W1字段事实准出状态,false,false,false,false,false,false,false,false,37,235-right,235,right,1,0,0,0,0,0,0,0,0,0,0,0,0,0,R2-机器坐标辅助核PDF原页:1,P1-有机器坐标提示，仍待PDF原页人工核验:1,O4-无PDFOCR但有机器坐标提示:1,S0-无高校字段线索，本任务高校辅证不适用:1,C4-无可比候选，需人工看图或随页列闭环:1,A3-非G0本轮子集但仍待第一闭环:1,,按第一闭环总看板继续核页。,9bd3bff993132c7d4068dc2217249f6810997d69f4651a8ac3981887df981ff3,,,页列汇总只公开状态分布、数量和SHA；不公开敏感明细或学校专业文本。
