第一闭环私有预填公开审计ID,来源第一闭环任务复核公开账本,来源第一闭环复核公开账本,来源湖北官方公开入口状态快照,来源第一闭环私有预填材料,来源期号,来源PDF_SHA256,数据阶段,主表粒度,任务粒度,最终可用,可进入下一阶段,可否进入最终志愿方案,是否允许作为志愿推荐依据,是否允许自动写回主表,是否允许官网证据替代湖北官方计划,是否允许生成学校专业建议,是否允许写回字段事实,稳定基座第一闭环页列包ID,稳定基座第一闭环复核公开账本ID,来源页码,版面列,页码版面键,第一闭环页列优先级,预填任务数,自动官网辅证任务数,P0人工字段任务数,高校辅证线索任务数,含高校计划数线索任务数,含高校学费线索任务数,含高校选科线索任务数,公共高校来源文件任务数,公共高校来源文件数,自动辅证可作为核页提示任务数,PDF原页必核任务数,湖北官方侧必核任务数,高校辅证需复核任务数,双人复核任务数,C0冲突任务数,C1官网补缺任务数,C7官网未匹配任务数,EXEC01冲突异常字段数,EXEC02计划数偏大字段数,EXEC03高校辅证字段数,私有预填页列CSV证据编号,私有预填页列CSV_SHA256,私有预填材料状态,官方公开计划页可定稿,数智平台可定稿,字段事实写回状态,公开安全策略,下一步
FIRSTPREFILLAUDIT-38a317f5bf72d0ce,data/working/issue19-stable-foundation-first-closure-task-review-public-ledger.csv,data/working/issue19-stable-foundation-first-closure-review-public-ledger.csv,data/working/issue19-official-public-entry-status.json,first_closure_triage_prefill_private_material_not_public,湖北招生考试2026年19期·本科普通批（下）,ee61fc69389f24a9a7830167113cf0ddc0447f8fa4b2743cd3241be60a9bd86d,issue19_stable_foundation_first_closure_triage_prefill_public_audit,PDF页码×版面列,PDF页码×版面列×第一闭环私有预填审计,false,false,false,false,false,false,false,false,FIRSTPAGE-38a317f5bf72d0ce,FIRSTREVIEW-38a317f5bf72d0ce,38,right,038-right,Q1-补缺或计划数偏大页列先核,2,0,2,0,0,0,0,0,0,0,2,2,0,2,0,0,0,0,2,0,FIRST-CLOSURE-PREFILL-CSV-038-right,f3b115089de1b71ca77aa84314996da2866c668950cddfc82f2f4ac643a78d43,private_triage_prefill_material_generated_not_reviewed,false,false,blocked_until_private_pdf_hubei_review_confirms_values,公开层只保存页列计数和私有预填CSV的SHA；不公开高校候选值、OCR候选值、人工读数、私有路径或复核记录,人工在私有预填工作台中按页列核PDF原页、湖北官方侧和高校辅证线索，完成后再进入字段事实复查
FIRSTPREFILLAUDIT-cfa201a8f79e7d0e,data/working/issue19-stable-foundation-first-closure-task-review-public-ledger.csv,data/working/issue19-stable-foundation-first-closure-review-public-ledger.csv,data/working/issue19-official-public-entry-status.json,first_closure_triage_prefill_private_material_not_public,湖北招生考试2026年19期·本科普通批（下）,ee61fc69389f24a9a7830167113cf0ddc0447f8fa4b2743cd3241be60a9bd86d,issue19_stable_foundation_first_closure_triage_prefill_public_audit,PDF页码×版面列,PDF页码×版面列×第一闭环私有预填审计,false,false,false,false,false,false,false,false,FIRSTPAGE-cfa201a8f79e7d0e,FIRSTREVIEW-cfa201a8f79e7d0e,82,right,082-right,Q1-补缺或计划数偏大页列先核,2,0,2,0,0,0,0,0,0,0,2,2,0,2,0,0,0,0,2,0,FIRST-CLOSURE-PREFILL-CSV-082-right,67d2717c52d7f7544b32c7815452406d1fd1502e13f5de89f253557988fbf4b4,private_triage_prefill_material_generated_not_reviewed,false,false,blocked_until_private_pdf_hubei_review_confirms_values,公开层只保存页列计数和私有预填CSV的SHA；不公开高校候选值、OCR候选值、人工读数、私有路径或复核记录,人工在私有预填工作台中按页列核PDF原页、湖北官方侧和高校辅证线索，完成后再进入字段事实复查
FIRSTPREFILLAUDIT-26bbbf78aa76ddbe,data/working/issue19-stable-foundation-first-closure-task-review-public-ledger.csv,data/working/issue19-stable-foundation-first-closure-review-public-ledger.csv,data/working/issue19-official-public-entry-status.json,first_closure_triage_prefill_private_material_not_public,湖北招生考试2026年19期·本科普通批（下）,ee61fc69389f24a9a7830167113cf0ddc0447f8fa4b2743cd3241be60a9bd86d,issue19_stable_foundation_first_closure_triage_prefill_public_audit,PDF页码×版面列,PDF页码×版面列×第一闭环私有预填审计,false,false,false,false,false,false,false,false,FIRSTPAGE-26bbbf78aa76ddbe,FIRSTREVIEW-26bbbf78aa76ddbe,102,left,102-left,Q1-补缺或计划数偏大页列先核,1,0,1,0,0,0,0,0,0,0,1,1,0,1,0,0,0,0,1,0,FIRST-CLOSURE-PREFILL-CSV-102-left,815c877041e136a1fb11104ea2f290a551056eb9a8665f5ce259fa27e496ba7f,private_triage_prefill_material_generated_not_reviewed,false,false,blocked_until_private_pdf_hubei_review_confirms_values,公开层只保存页列计数和私有预填CSV的SHA；不公开高校候选值、OCR候选值、人工读数、私有路径或复核记录,人工在私有预填工作台中按页列核PDF原页、湖北官方侧和高校辅证线索，完成后再进入字段事实复查
FIRSTPREFILLAUDIT-551d0b213dbd2529,data/working/issue19-stable-foundation-first-closure-task-review-public-ledger.csv,data/working/issue19-stable-foundation-first-closure-review-public-ledger.csv,data/working/issue19-official-public-entry-status.json,first_closure_triage_prefill_private_material_not_public,湖北招生考试2026年19期·本科普通批（下）,ee61fc69389f24a9a7830167113cf0ddc0447f8fa4b2743cd3241be60a9bd86d,issue19_stable_foundation_first_closure_triage_prefill_public_audit,PDF页码×版面列,PDF页码×版面列×第一闭环私有预填审计,false,false,false,false,false,false,false,false,FIRSTPAGE-551d0b213dbd2529,FIRSTREVIEW-551d0b213dbd2529,109,left,109-left,Q1-补缺或计划数偏大页列先核,8,4,4,4,4,4,0,4,1,4,8,8,8,2,0,8,0,0,0,4,FIRST-CLOSURE-PREFILL-CSV-109-left,be27b4f7df1b5415d8ff00a089f81053bda4ac4f0899bdbbda8dff6e51a6cc34,private_triage_prefill_material_generated_not_reviewed,false,false,blocked_until_private_pdf_hubei_review_confirms_values,公开层只保存页列计数和私有预填CSV的SHA；不公开高校候选值、OCR候选值、人工读数、私有路径或复核记录,人工在私有预填工作台中按页列核PDF原页、湖北官方侧和高校辅证线索，完成后再进入字段事实复查
FIRSTPREFILLAUDIT-15ba87f70c7f53a2,data/working/issue19-stable-foundation-first-closure-task-review-public-ledger.csv,data/working/issue19-stable-foundation-first-closure-review-public-ledger.csv,data/working/issue19-official-public-entry-status.json,first_closure_triage_prefill_private_material_not_public,湖北招生考试2026年19期·本科普通批（下）,ee61fc69389f24a9a7830167113cf0ddc0447f8fa4b2743cd3241be60a9bd86d,issue19_stable_foundation_first_closure_triage_prefill_public_audit,PDF页码×版面列,PDF页码×版面列×第一闭环私有预填审计,false,false,false,false,false,false,false,false,FIRSTPAGE-15ba87f70c7f53a2,FIRSTREVIEW-15ba87f70c7f53a2,137,left,137-left,Q1-补缺或计划数偏大页列先核,2,1,1,1,1,0,1,1,1,1,2,2,2,1,0,2,0,0,0,1,FIRST-CLOSURE-PREFILL-CSV-137-left,e0d7d15cf3617f59e41dad7c22250208d96030003bec8aab3320dcef90111e24,private_triage_prefill_material_generated_not_reviewed,false,false,blocked_until_private_pdf_hubei_review_confirms_values,公开层只保存页列计数和私有预填CSV的SHA；不公开高校候选值、OCR候选值、人工读数、私有路径或复核记录,人工在私有预填工作台中按页列核PDF原页、湖北官方侧和高校辅证线索，完成后再进入字段事实复查
FIRSTPREFILLAUDIT-b55961124bc8610b,data/working/issue19-stable-foundation-first-closure-task-review-public-ledger.csv,data/working/issue19-stable-foundation-first-closure-review-public-ledger.csv,data/working/issue19-official-public-entry-status.json,first_closure_triage_prefill_private_material_not_public,湖北招生考试2026年19期·本科普通批（下）,ee61fc69389f24a9a7830167113cf0ddc0447f8fa4b2743cd3241be60a9bd86d,issue19_stable_foundation_first_closure_triage_prefill_public_audit,PDF页码×版面列,PDF页码×版面列×第一闭环私有预填审计,false,false,false,false,false,false,false,false,FIRSTPAGE-b55961124bc8610b,FIRSTREVIEW-b55961124bc8610b,226,left,226-left,Q1-补缺或计划数偏大页列先核,39,20,19,19,19,0,19,19,1,19,39,39,39,5,0,38,1,0,0,19,FIRST-CLOSURE-PREFILL-CSV-226-left,8781d049a69e746f9ca926a377c63bff9f6fe8c03760752d6b8f529750fb1691,private_triage_prefill_material_generated_not_reviewed,false,false,blocked_until_private_pdf_hubei_review_confirms_values,公开层只保存页列计数和私有预填CSV的SHA；不公开高校候选值、OCR候选值、人工读数、私有路径或复核记录,人工在私有预填工作台中按页列核PDF原页、湖北官方侧和高校辅证线索，完成后再进入字段事实复查
FIRSTPREFILLAUDIT-ed94df7696953cc5,data/working/issue19-stable-foundation-first-closure-task-review-public-ledger.csv,data/working/issue19-stable-foundation-first-closure-review-public-ledger.csv,data/working/issue19-official-public-entry-status.json,first_closure_triage_prefill_private_material_not_public,湖北招生考试2026年19期·本科普通批（下）,ee61fc69389f24a9a7830167113cf0ddc0447f8fa4b2743cd3241be60a9bd86d,issue19_stable_foundation_first_closure_triage_prefill_public_audit,PDF页码×版面列,PDF页码×版面列×第一闭环私有预填审计,false,false,false,false,false,false,false,false,FIRSTPAGE-ed94df7696953cc5,FIRSTREVIEW-ed94df7696953cc5,226,right,226-right,Q1-补缺或计划数偏大页列先核,4,2,2,2,2,2,2,2,1,2,4,4,4,2,0,4,0,0,0,2,FIRST-CLOSURE-PREFILL-CSV-226-right,e245b2fc5f9c17d3dc4e3b24cfe5571fd1b380cda226a3f989e1f78a88bef319,private_triage_prefill_material_generated_not_reviewed,false,false,blocked_until_private_pdf_hubei_review_confirms_values,公开层只保存页列计数和私有预填CSV的SHA；不公开高校候选值、OCR候选值、人工读数、私有路径或复核记录,人工在私有预填工作台中按页列核PDF原页、湖北官方侧和高校辅证线索，完成后再进入字段事实复查
FIRSTPREFILLAUDIT-db5ce399a7fd30e8,data/working/issue19-stable-foundation-first-closure-task-review-public-ledger.csv,data/working/issue19-stable-foundation-first-closure-review-public-ledger.csv,data/working/issue19-official-public-entry-status.json,first_closure_triage_prefill_private_material_not_public,湖北招生考试2026年19期·本科普通批（下）,ee61fc69389f24a9a7830167113cf0ddc0447f8fa4b2743cd3241be60a9bd86d,issue19_stable_foundation_first_closure_triage_prefill_public_audit,PDF页码×版面列,PDF页码×版面列×第一闭环私有预填审计,false,false,false,false,false,false,false,false,FIRSTPAGE-db5ce399a7fd30e8,FIRSTREVIEW-db5ce399a7fd30e8,228,left,228-left,Q1-补缺或计划数偏大页列先核,1,0,1,0,0,0,0,0,0,0,1,1,0,1,0,0,0,0,1,0,FIRST-CLOSURE-PREFILL-CSV-228-left,4eea6a43d966a93ab0c2f275e408a0d3851aadda21c66aca1473674b3b8dbbbc,private_triage_prefill_material_generated_not_reviewed,false,false,blocked_until_private_pdf_hubei_review_confirms_values,公开层只保存页列计数和私有预填CSV的SHA；不公开高校候选值、OCR候选值、人工读数、私有路径或复核记录,人工在私有预填工作台中按页列核PDF原页、湖北官方侧和高校辅证线索，完成后再进入字段事实复查
FIRSTPREFILLAUDIT-71c8a1c59d84716c,data/working/issue19-stable-foundation-first-closure-task-review-public-ledger.csv,data/working/issue19-stable-foundation-first-closure-review-public-ledger.csv,data/working/issue19-official-public-entry-status.json,first_closure_triage_prefill_private_material_not_public,湖北招生考试2026年19期·本科普通批（下）,ee61fc69389f24a9a7830167113cf0ddc0447f8fa4b2743cd3241be60a9bd86d,issue19_stable_foundation_first_closure_triage_prefill_public_audit,PDF页码×版面列,PDF页码×版面列×第一闭环私有预填审计,false,false,false,false,false,false,false,false,FIRSTPAGE-71c8a1c59d84716c,FIRSTREVIEW-71c8a1c59d84716c,36,right,036-right,Q2-官网未匹配或高校辅证页列先核,1,1,0,0,0,0,0,0,0,0,1,1,1,0,0,0,1,0,0,0,FIRST-CLOSURE-PREFILL-CSV-036-right,3a3bdb329489c001e564735660afe9063f72f080ee3de4f6b9f90bd880a164b4,private_triage_prefill_material_generated_not_reviewed,false,false,blocked_until_private_pdf_hubei_review_confirms_values,公开层只保存页列计数和私有预填CSV的SHA；不公开高校候选值、OCR候选值、人工读数、私有路径或复核记录,人工在私有预填工作台中按页列核PDF原页、湖北官方侧和高校辅证线索，完成后再进入字段事实复查
FIRSTPREFILLAUDIT-45d30b827811919c,data/working/issue19-stable-foundation-first-closure-task-review-public-ledger.csv,data/working/issue19-stable-foundation-first-closure-review-public-ledger.csv,data/working/issue19-official-public-entry-status.json,first_closure_triage_prefill_private_material_not_public,湖北招生考试2026年19期·本科普通批（下）,ee61fc69389f24a9a7830167113cf0ddc0447f8fa4b2743cd3241be60a9bd86d,issue19_stable_foundation_first_closure_triage_prefill_public_audit,PDF页码×版面列,PDF页码×版面列×第一闭环私有预填审计,false,false,false,false,false,false,false,false,FIRSTPAGE-45d30b827811919c,FIRSTREVIEW-45d30b827811919c,57,left,057-left,Q2-官网未匹配或高校辅证页列先核,1,1,0,0,0,0,0,0,0,0,1,1,1,0,0,0,1,0,0,0,FIRST-CLOSURE-PREFILL-CSV-057-left,28c5bb2590031a200dbb1129a2503ea02c62e0d8d5e5ed1e7447281e0f19825f,private_triage_prefill_material_generated_not_reviewed,false,false,blocked_until_private_pdf_hubei_review_confirms_values,公开层只保存页列计数和私有预填CSV的SHA；不公开高校候选值、OCR候选值、人工读数、私有路径或复核记录,人工在私有预填工作台中按页列核PDF原页、湖北官方侧和高校辅证线索，完成后再进入字段事实复查
FIRSTPREFILLAUDIT-4c8c5f6279a32c04,data/working/issue19-stable-foundation-first-closure-task-review-public-ledger.csv,data/working/issue19-stable-foundation-first-closure-review-public-ledger.csv,data/working/issue19-official-public-entry-status.json,first_closure_triage_prefill_private_material_not_public,湖北招生考试2026年19期·本科普通批（下）,ee61fc69389f24a9a7830167113cf0ddc0447f8fa4b2743cd3241be60a9bd86d,issue19_stable_foundation_first_closure_triage_prefill_public_audit,PDF页码×版面列,PDF页码×版面列×第一闭环私有预填审计,false,false,false,false,false,false,false,false,FIRSTPAGE-4c8c5f6279a32c04,FIRSTREVIEW-4c8c5f6279a32c04,70,right,070-right,Q2-官网未匹配或高校辅证页列先核,11,11,0,0,0,0,0,0,0,0,11,11,11,0,0,0,11,0,0,0,FIRST-CLOSURE-PREFILL-CSV-070-right,131911333ac5d3b2ba38b7b4f86d81fe077e823bd2ff4e378f768f831d137c1f,private_triage_prefill_material_generated_not_reviewed,false,false,blocked_until_private_pdf_hubei_review_confirms_values,公开层只保存页列计数和私有预填CSV的SHA；不公开高校候选值、OCR候选值、人工读数、私有路径或复核记录,人工在私有预填工作台中按页列核PDF原页、湖北官方侧和高校辅证线索，完成后再进入字段事实复查
FIRSTPREFILLAUDIT-6bd94b5fb0abfec4,data/working/issue19-stable-foundation-first-closure-task-review-public-ledger.csv,data/working/issue19-stable-foundation-first-closure-review-public-ledger.csv,data/working/issue19-official-public-entry-status.json,first_closure_triage_prefill_private_material_not_public,湖北招生考试2026年19期·本科普通批（下）,ee61fc69389f24a9a7830167113cf0ddc0447f8fa4b2743cd3241be60a9bd86d,issue19_stable_foundation_first_closure_triage_prefill_public_audit,PDF页码×版面列,PDF页码×版面列×第一闭环私有预填审计,false,false,false,false,false,false,false,false,FIRSTPAGE-6bd94b5fb0abfec4,FIRSTREVIEW-6bd94b5fb0abfec4,80,right,080-right,Q2-官网未匹配或高校辅证页列先核,18,1,17,0,0,0,0,0,0,0,18,18,18,17,0,0,1,0,0,17,FIRST-CLOSURE-PREFILL-CSV-080-right,cba2c2dd97897f39187e212f6715596bd71ac5d4248773faa0f2d68e4dfdd7b4,private_triage_prefill_material_generated_not_reviewed,false,false,blocked_until_private_pdf_hubei_review_confirms_values,公开层只保存页列计数和私有预填CSV的SHA；不公开高校候选值、OCR候选值、人工读数、私有路径或复核记录,人工在私有预填工作台中按页列核PDF原页、湖北官方侧和高校辅证线索，完成后再进入字段事实复查
FIRSTPREFILLAUDIT-93ec45e4e888f97d,data/working/issue19-stable-foundation-first-closure-task-review-public-ledger.csv,data/working/issue19-stable-foundation-first-closure-review-public-ledger.csv,data/working/issue19-official-public-entry-status.json,first_closure_triage_prefill_private_material_not_public,湖北招生考试2026年19期·本科普通批（下）,ee61fc69389f24a9a7830167113cf0ddc0447f8fa4b2743cd3241be60a9bd86d,issue19_stable_foundation_first_closure_triage_prefill_public_audit,PDF页码×版面列,PDF页码×版面列×第一闭环私有预填审计,false,false,false,false,false,false,false,false,FIRSTPAGE-93ec45e4e888f97d,FIRSTREVIEW-93ec45e4e888f97d,81,left,081-left,Q2-官网未匹配或高校辅证页列先核,1,1,0,0,0,0,0,0,0,0,1,1,1,0,0,0,1,0,0,0,FIRST-CLOSURE-PREFILL-CSV-081-left,f09177207f90e17dcf84ff5376745d8391482472b2ed8340e3efe420c5c3d260,private_triage_prefill_material_generated_not_reviewed,false,false,blocked_until_private_pdf_hubei_review_confirms_values,公开层只保存页列计数和私有预填CSV的SHA；不公开高校候选值、OCR候选值、人工读数、私有路径或复核记录,人工在私有预填工作台中按页列核PDF原页、湖北官方侧和高校辅证线索，完成后再进入字段事实复查
FIRSTPREFILLAUDIT-4a89eabd9dcaa967,data/working/issue19-stable-foundation-first-closure-task-review-public-ledger.csv,data/working/issue19-stable-foundation-first-closure-review-public-ledger.csv,data/working/issue19-official-public-entry-status.json,first_closure_triage_prefill_private_material_not_public,湖北招生考试2026年19期·本科普通批（下）,ee61fc69389f24a9a7830167113cf0ddc0447f8fa4b2743cd3241be60a9bd86d,issue19_stable_foundation_first_closure_triage_prefill_public_audit,PDF页码×版面列,PDF页码×版面列×第一闭环私有预填审计,false,false,false,false,false,false,false,false,FIRSTPAGE-4a89eabd9dcaa967,FIRSTREVIEW-4a89eabd9dcaa967,96,right,096-right,Q2-官网未匹配或高校辅证页列先核,1,1,0,0,0,0,0,0,0,0,1,1,1,0,0,0,1,0,0,0,FIRST-CLOSURE-PREFILL-CSV-096-right,e460bad82cfc4e211d6f29ed7e0bb989d4c1fd87b3ae05f4f7c92e8093867ff8,private_triage_prefill_material_generated_not_reviewed,false,false,blocked_until_private_pdf_hubei_review_confirms_values,公开层只保存页列计数和私有预填CSV的SHA；不公开高校候选值、OCR候选值、人工读数、私有路径或复核记录,人工在私有预填工作台中按页列核PDF原页、湖北官方侧和高校辅证线索，完成后再进入字段事实复查
FIRSTPREFILLAUDIT-6f905e62249f58a5,data/working/issue19-stable-foundation-first-closure-task-review-public-ledger.csv,data/working/issue19-stable-foundation-first-closure-review-public-ledger.csv,data/working/issue19-official-public-entry-status.json,first_closure_triage_prefill_private_material_not_public,湖北招生考试2026年19期·本科普通批（下）,ee61fc69389f24a9a7830167113cf0ddc0447f8fa4b2743cd3241be60a9bd86d,issue19_stable_foundation_first_closure_triage_prefill_public_audit,PDF页码×版面列,PDF页码×版面列×第一闭环私有预填审计,false,false,false,false,false,false,false,false,FIRSTPAGE-6f905e62249f58a5,FIRSTREVIEW-6f905e62249f58a5,135,right,135-right,Q2-官网未匹配或高校辅证页列先核,3,3,0,0,0,0,0,0,0,0,3,3,3,0,0,0,3,0,0,0,FIRST-CLOSURE-PREFILL-CSV-135-right,f1b2b37a2bd04e59221aff1af74181ad7db359fca3fc4d4a7a4641be33113ced,private_triage_prefill_material_generated_not_reviewed,false,false,blocked_until_private_pdf_hubei_review_confirms_values,公开层只保存页列计数和私有预填CSV的SHA；不公开高校候选值、OCR候选值、人工读数、私有路径或复核记录,人工在私有预填工作台中按页列核PDF原页、湖北官方侧和高校辅证线索，完成后再进入字段事实复查
FIRSTPREFILLAUDIT-9a59e69a09baeb3c,data/working/issue19-stable-foundation-first-closure-task-review-public-ledger.csv,data/working/issue19-stable-foundation-first-closure-review-public-ledger.csv,data/working/issue19-official-public-entry-status.json,first_closure_triage_prefill_private_material_not_public,湖北招生考试2026年19期·本科普通批（下）,ee61fc69389f24a9a7830167113cf0ddc0447f8fa4b2743cd3241be60a9bd86d,issue19_stable_foundation_first_closure_triage_prefill_public_audit,PDF页码×版面列,PDF页码×版面列×第一闭环私有预填审计,false,false,false,false,false,false,false,false,FIRSTPAGE-9a59e69a09baeb3c,FIRSTREVIEW-9a59e69a09baeb3c,235,left,235-left,Q2-官网未匹配或高校辅证页列先核,2,2,0,0,0,0,0,0,0,0,2,2,2,0,0,0,2,0,0,0,FIRST-CLOSURE-PREFILL-CSV-235-left,0d4c365fe3787bdf858077ac80df2892ab1833416fcb8dfb24c85d2408765d4c,private_triage_prefill_material_generated_not_reviewed,false,false,blocked_until_private_pdf_hubei_review_confirms_values,公开层只保存页列计数和私有预填CSV的SHA；不公开高校候选值、OCR候选值、人工读数、私有路径或复核记录,人工在私有预填工作台中按页列核PDF原页、湖北官方侧和高校辅证线索，完成后再进入字段事实复查
