第一闭环核验结果页列汇总ID,来源第一闭环核验结果表,来源第一闭环下一步动作页列汇总,来源期号,来源PDF_SHA256,生成日期,数据阶段,主表粒度,任务粒度,最终可用,可进入下一阶段,可否进入最终志愿方案,是否允许作为志愿推荐依据,是否允许自动写回主表,是否允许官网证据替代湖北官方计划,是否允许生成学校专业建议,是否允许写回字段事实,页列汇总序号,第一闭环页列下一步动作ID,稳定基座第一闭环页列包ID,来源页码,版面列,页码版面键,执行泳道,第一闭环页列优先级,页列任务数,涉及专业行数,涉及院校代码数,N0冲突双人核页任务数,N1高校补缺回页任务数,N2机器坐标辅助核页任务数,N3无候选人工看图任务数,N4PDFOCR候选确认任务数,N5多源一致待官核任务数,PDF原页待核任务数,湖北官方侧待核任务数,高校辅证线索任务数,需要双人复核任务数,需要人工直接看图任务数,任务结果桶分布,OCR提示状态分布,冲突状态分布,字段优先级分布,专业行字段缺口类型分布,页列主阻断,页列建议下一步动作,建议人工核验小包类型,建议物理小包数量,建议每包任务上限,关联任务集合SHA16,关联专业行集合SHA16,PDF原页核页状态,湖北官方系统或省招办计划核验状态,高校官网或招生章程辅证状态,字段事实写回状态,完成条件,公开安全策略
FIRSTRESULTPAGE-82814cb0ee19be97,data/working/issue19-first-closure-verification-result-public-ledger.csv,data/working/issue19-stable-foundation-first-closure-next-action-page-summary.csv,湖北招生考试2026年19期·本科普通批（下）,ee61fc69389f24a9a7830167113cf0ddc0447f8fa4b2743cd3241be60a9bd86d,2026-06-29,issue19_first_closure_verification_result_board_page_summary,PDF页码×版面列,页列×核验结果汇总×建议人工小包,false,false,false,false,false,false,false,false,28,FIRSTNEXTPAGE-ac4e3431d8bb3dbc,FIRSTPAGE-815b76bed7962001,169,right,169-right,E0-冲突异常双人优先核验,Q0-冲突页列第一批先核,22,12,1,1,10,0,10,1,0,22,22,22,10,11,R0-冲突优先双人核PDF原页和湖北官方侧×1；R1-高校补缺线索回PDF原页×10；R3-无稳定候选需人工看图×10；R4-PDFOCR候选人工确认×1,O0-PDFOCR与高校辅证冲突×1；O2-高校有线索但PDFOCR缺候选×10；O3-仅PDFOCR候选待人工核页×1；O5-无公开OCR候选提示×10,C0-PDFOCR与高校辅证冲突，必须回PDF原页和湖北官方侧×1；C1-高校补缺线索，PDF原页缺候选需人工看图×10；C3-仅PDFOCR候选，需人工核页×1；C4-无可比候选，需人工看图或随页列闭环×10,P0-字段无候选原页重读×10；P1-字段有候选回看原页和官方×11；P3-OCR齐全字段三方闭环×15,专业计划数×3；再选科目×6；再选科目；专业计划数×27,B0-PDFOCR与高校辅证冲突,先按私有页列材料核PDF原页；冲突字段必须双人复核，并等待湖北官方侧记录后再判定。,P0-冲突双人核页包,3,10,9c6e7d62e8127237,5d69476fa4cd2520,pending_pdf_page_review,pending_hubei_official_plan_review,for_double_check_only_not_official_plan_replacement,blocked_until_pdf_hubei_school_three_way_closure,页列内所有任务完成PDF原页、湖北官方侧、必要高校辅证和双人复核记录后，仍不自动写回。,页列汇总只保存状态、计数、分布、ID和SHA；不保存学校专业文本、字段读数、OCR正文、图片路径、人工记录或登录态。
FIRSTRESULTPAGE-60abd7a7a87f4067,data/working/issue19-first-closure-verification-result-public-ledger.csv,data/working/issue19-stable-foundation-first-closure-next-action-page-summary.csv,湖北招生考试2026年19期·本科普通批（下）,ee61fc69389f24a9a7830167113cf0ddc0447f8fa4b2743cd3241be60a9bd86d,2026-06-29,issue19_first_closure_verification_result_board_page_summary,PDF页码×版面列,页列×核验结果汇总×建议人工小包,false,false,false,false,false,false,false,false,29,FIRSTNEXTPAGE-d6b12444b1eeaf95,FIRSTPAGE-0f2775b71610686e,194,left,194-left,E0-冲突异常双人优先核验,Q0-冲突页列第一批先核,7,7,1,0,0,7,0,0,0,7,7,0,7,0,R2-机器坐标辅助核PDF原页×7,O4-无PDFOCR但有机器坐标提示×7,C4-无可比候选，需人工看图或随页列闭环×7,P0-字段无候选原页重读×14；P1-字段有候选回看原页和官方×7,再选科目；专业计划数；学费×21,B2-机器坐标候选辅助核页,按机器坐标提示定位字段，但仍以PDF原页人工记录和湖北官方侧为准。,P3-机器坐标辅助核页包,1,10,1096ca5dfa9b3804,2355d17be3f48ad9,pending_pdf_page_review,pending_hubei_official_plan_review,for_double_check_only_not_official_plan_replacement,blocked_until_pdf_hubei_school_three_way_closure,页列内所有任务完成PDF原页、湖北官方侧、必要高校辅证和双人复核记录后，仍不自动写回。,页列汇总只保存状态、计数、分布、ID和SHA；不保存学校专业文本、字段读数、OCR正文、图片路径、人工记录或登录态。
FIRSTRESULTPAGE-0a961598de44e61e,data/working/issue19-first-closure-verification-result-public-ledger.csv,data/working/issue19-stable-foundation-first-closure-next-action-page-summary.csv,湖北招生考试2026年19期·本科普通批（下）,ee61fc69389f24a9a7830167113cf0ddc0447f8fa4b2743cd3241be60a9bd86d,2026-06-29,issue19_first_closure_verification_result_board_page_summary,PDF页码×版面列,页列×核验结果汇总×建议人工小包,false,false,false,false,false,false,false,false,30,FIRSTNEXTPAGE-00984a4831054c53,FIRSTPAGE-97ab0abc16a6bf85,199,left,199-left,E0-冲突异常双人优先核验,Q0-冲突页列第一批先核,5,5,1,3,0,1,0,1,0,5,5,5,4,3,R0-冲突优先双人核PDF原页和湖北官方侧×3；R2-机器坐标辅助核PDF原页×1；R4-PDFOCR候选人工确认×1,O0-PDFOCR与高校辅证冲突×3；O3-仅PDFOCR候选待人工核页×1；O4-无PDFOCR但有机器坐标提示×1,C0-PDFOCR与高校辅证冲突，必须回PDF原页和湖北官方侧×3；C3-仅PDFOCR候选，需人工核页×1；C4-无可比候选，需人工看图或随页列闭环×1,P0-字段无候选原页重读×2；P1-字段有候选回看原页和官方×10；P3-OCR齐全字段三方闭环×3,专业计划数；学费×3；再选科目；专业计划数；学费×6；再选科目；学费×6,B0-PDFOCR与高校辅证冲突,先按私有页列材料核PDF原页；冲突字段必须双人复核，并等待湖北官方侧记录后再判定。,P0-冲突双人核页包,1,10,24188a72fd82f640,6f1f70c7ae43e060,pending_pdf_page_review,pending_hubei_official_plan_review,for_double_check_only_not_official_plan_replacement,blocked_until_pdf_hubei_school_three_way_closure,页列内所有任务完成PDF原页、湖北官方侧、必要高校辅证和双人复核记录后，仍不自动写回。,页列汇总只保存状态、计数、分布、ID和SHA；不保存学校专业文本、字段读数、OCR正文、图片路径、人工记录或登录态。
FIRSTRESULTPAGE-97b78aee0eb21cbf,data/working/issue19-first-closure-verification-result-public-ledger.csv,data/working/issue19-stable-foundation-first-closure-next-action-page-summary.csv,湖北招生考试2026年19期·本科普通批（下）,ee61fc69389f24a9a7830167113cf0ddc0447f8fa4b2743cd3241be60a9bd86d,2026-06-29,issue19_first_closure_verification_result_board_page_summary,PDF页码×版面列,页列×核验结果汇总×建议人工小包,false,false,false,false,false,false,false,false,31,FIRSTNEXTPAGE-b304603c6ea17809,FIRSTPAGE-44afa6d6e4d84e5a,205,left,205-left,E0-冲突异常双人优先核验,Q0-冲突页列第一批先核,1,1,1,0,0,1,0,0,0,1,1,0,1,0,R2-机器坐标辅助核PDF原页×1,O4-无PDFOCR但有机器坐标提示×1,C4-无可比候选，需人工看图或随页列闭环×1,P0-字段无候选原页重读×1；P1-字段有候选回看原页和官方×1；P3-OCR齐全字段三方闭环×1,再选科目；学费×3,B2-机器坐标候选辅助核页,按机器坐标提示定位字段，但仍以PDF原页人工记录和湖北官方侧为准。,P3-机器坐标辅助核页包,1,10,c5787f14ead204a4,6314091b189ae6be,pending_pdf_page_review,pending_hubei_official_plan_review,for_double_check_only_not_official_plan_replacement,blocked_until_pdf_hubei_school_three_way_closure,页列内所有任务完成PDF原页、湖北官方侧、必要高校辅证和双人复核记录后，仍不自动写回。,页列汇总只保存状态、计数、分布、ID和SHA；不保存学校专业文本、字段读数、OCR正文、图片路径、人工记录或登录态。
FIRSTRESULTPAGE-25f907323bb41829,data/working/issue19-first-closure-verification-result-public-ledger.csv,data/working/issue19-stable-foundation-first-closure-next-action-page-summary.csv,湖北招生考试2026年19期·本科普通批（下）,ee61fc69389f24a9a7830167113cf0ddc0447f8fa4b2743cd3241be60a9bd86d,2026-06-29,issue19_first_closure_verification_result_board_page_summary,PDF页码×版面列,页列×核验结果汇总×建议人工小包,false,false,false,false,false,false,false,false,32,FIRSTNEXTPAGE-e2a4b7cfc5e9f0ce,FIRSTPAGE-e942d34407576c0d,209,right,209-right,E0-冲突异常双人优先核验,Q0-冲突页列第一批先核,13,9,1,2,0,0,4,3,4,13,13,13,4,6,R0-冲突优先双人核PDF原页和湖北官方侧×2；R3-无稳定候选需人工看图×4；R4-PDFOCR候选人工确认×3；R5-多源一致线索仍待湖北官方侧×4,O0-PDFOCR与高校辅证冲突×2；O1-PDFOCR与高校辅证有一致字段但仍待官方闭环×4；O3-仅PDFOCR候选待人工核页×3；O5-无公开OCR候选提示×4,C0-PDFOCR与高校辅证冲突，必须回PDF原页和湖北官方侧×2；C2-多源有一致线索，仍待湖北官方侧闭环×4；C3-仅PDFOCR候选，需人工核页×3；C4-无可比候选，需人工看图或随页列闭环×4,P0-字段无候选原页重读×5；P1-字段有候选回看原页和官方×9；P3-OCR齐全字段三方闭环×13,再选科目×12；再选科目；专业计划数×15,B0-PDFOCR与高校辅证冲突,先按私有页列材料核PDF原页；冲突字段必须双人复核，并等待湖北官方侧记录后再判定。,P0-冲突双人核页包,2,10,58f7a20596184287,abdc89ef99063878,pending_pdf_page_review,pending_hubei_official_plan_review,for_double_check_only_not_official_plan_replacement,blocked_until_pdf_hubei_school_three_way_closure,页列内所有任务完成PDF原页、湖北官方侧、必要高校辅证和双人复核记录后，仍不自动写回。,页列汇总只保存状态、计数、分布、ID和SHA；不保存学校专业文本、字段读数、OCR正文、图片路径、人工记录或登录态。
FIRSTRESULTPAGE-50e5bbc86f9f71f6,data/working/issue19-first-closure-verification-result-public-ledger.csv,data/working/issue19-stable-foundation-first-closure-next-action-page-summary.csv,湖北招生考试2026年19期·本科普通批（下）,ee61fc69389f24a9a7830167113cf0ddc0447f8fa4b2743cd3241be60a9bd86d,2026-06-29,issue19_first_closure_verification_result_board_page_summary,PDF页码×版面列,页列×核验结果汇总×建议人工小包,false,false,false,false,false,false,false,false,33,FIRSTNEXTPAGE-31c602d7daf5c772,FIRSTPAGE-b55961124bc8610b,226,left,226-left,E1-计划数补缺或偏大优先核验,Q1-补缺或计划数偏大页列先核,39,20,2,1,18,13,6,1,0,39,39,39,5,7,R0-冲突优先双人核PDF原页和湖北官方侧×1；R1-高校补缺线索回PDF原页×18；R2-机器坐标辅助核PDF原页×13；R3-无稳定候选需人工看图×6；R4-PDFOCR候选人工确认×1,O0-PDFOCR与高校辅证冲突×1；O2-高校有线索但PDFOCR缺候选×18；O3-仅PDFOCR候选待人工核页×1；O4-无PDFOCR但有机器坐标提示×13；O5-无公开OCR候选提示×6,C0-PDFOCR与高校辅证冲突，必须回PDF原页和湖北官方侧×1；C1-高校补缺线索，PDF原页缺候选需人工看图×18；C3-仅PDFOCR候选，需人工核页×1；C4-无可比候选，需人工看图或随页列闭环×19,P0-字段无候选原页重读×20；P1-字段有候选回看原页和官方×18；P3-OCR齐全字段三方闭环×22,专业计划数×6；再选科目；专业计划数×54,B0-PDFOCR与高校辅证冲突,先按私有页列材料核PDF原页；冲突字段必须双人复核，并等待湖北官方侧记录后再判定。,P0-冲突双人核页包,4,10,aa93d0f739736392,979a35ea62021076,pending_pdf_page_review,pending_hubei_official_plan_review,for_double_check_only_not_official_plan_replacement,blocked_until_pdf_hubei_school_three_way_closure,页列内所有任务完成PDF原页、湖北官方侧、必要高校辅证和双人复核记录后，仍不自动写回。,页列汇总只保存状态、计数、分布、ID和SHA；不保存学校专业文本、字段读数、OCR正文、图片路径、人工记录或登录态。
FIRSTRESULTPAGE-1ae2a6104f00c3de,data/working/issue19-first-closure-verification-result-public-ledger.csv,data/working/issue19-stable-foundation-first-closure-next-action-page-summary.csv,湖北招生考试2026年19期·本科普通批（下）,ee61fc69389f24a9a7830167113cf0ddc0447f8fa4b2743cd3241be60a9bd86d,2026-06-29,issue19_first_closure_verification_result_board_page_summary,PDF页码×版面列,页列×核验结果汇总×建议人工小包,false,false,false,false,false,false,false,false,34,FIRSTNEXTPAGE-fe6a75ada40af769,FIRSTPAGE-ed94df7696953cc5,226,right,226-right,E1-计划数补缺或偏大优先核验,Q1-补缺或计划数偏大页列先核,4,2,1,2,0,0,2,0,0,4,4,4,2,4,R0-冲突优先双人核PDF原页和湖北官方侧×2；R3-无稳定候选需人工看图×2,O0-PDFOCR与高校辅证冲突×2；O5-无公开OCR候选提示×2,C0-PDFOCR与高校辅证冲突，必须回PDF原页和湖北官方侧×2；C4-无可比候选，需人工看图或随页列闭环×2,P0-字段无候选原页重读×2；P3-OCR齐全字段三方闭环×4,专业计划数×6,B0-PDFOCR与高校辅证冲突,先按私有页列材料核PDF原页；冲突字段必须双人复核，并等待湖北官方侧记录后再判定。,P0-冲突双人核页包,1,10,f8194b96cccf4bab,32b2095c6859d7c9,pending_pdf_page_review,pending_hubei_official_plan_review,for_double_check_only_not_official_plan_replacement,blocked_until_pdf_hubei_school_three_way_closure,页列内所有任务完成PDF原页、湖北官方侧、必要高校辅证和双人复核记录后，仍不自动写回。,页列汇总只保存状态、计数、分布、ID和SHA；不保存学校专业文本、字段读数、OCR正文、图片路径、人工记录或登录态。
FIRSTRESULTPAGE-d7e0e1451a5fe85b,data/working/issue19-first-closure-verification-result-public-ledger.csv,data/working/issue19-stable-foundation-first-closure-next-action-page-summary.csv,湖北招生考试2026年19期·本科普通批（下）,ee61fc69389f24a9a7830167113cf0ddc0447f8fa4b2743cd3241be60a9bd86d,2026-06-29,issue19_first_closure_verification_result_board_page_summary,PDF页码×版面列,页列×核验结果汇总×建议人工小包,false,false,false,false,false,false,false,false,35,FIRSTNEXTPAGE-0c33dfff2c3ddd7c,FIRSTPAGE-db5ce399a7fd30e8,228,left,228-left,E1-计划数补缺或偏大优先核验,Q1-补缺或计划数偏大页列先核,1,1,1,0,0,1,0,0,0,1,1,0,1,0,R2-机器坐标辅助核PDF原页×1,O4-无PDFOCR但有机器坐标提示×1,C4-无可比候选，需人工看图或随页列闭环×1,P0-字段无候选原页重读×1；P1-字段有候选回看原页和官方×1；P3-OCR齐全字段三方闭环×1,再选科目；专业计划数×3,B2-机器坐标候选辅助核页,按机器坐标提示定位字段，但仍以PDF原页人工记录和湖北官方侧为准。,P3-机器坐标辅助核页包,1,10,7be9efd1e545aedd,3ba23e5ba3de663c,pending_pdf_page_review,pending_hubei_official_plan_review,for_double_check_only_not_official_plan_replacement,blocked_until_pdf_hubei_school_three_way_closure,页列内所有任务完成PDF原页、湖北官方侧、必要高校辅证和双人复核记录后，仍不自动写回。,页列汇总只保存状态、计数、分布、ID和SHA；不保存学校专业文本、字段读数、OCR正文、图片路径、人工记录或登录态。
FIRSTRESULTPAGE-494730d59e9601c6,data/working/issue19-first-closure-verification-result-public-ledger.csv,data/working/issue19-stable-foundation-first-closure-next-action-page-summary.csv,湖北招生考试2026年19期·本科普通批（下）,ee61fc69389f24a9a7830167113cf0ddc0447f8fa4b2743cd3241be60a9bd86d,2026-06-29,issue19_first_closure_verification_result_board_page_summary,PDF页码×版面列,页列×核验结果汇总×建议人工小包,false,false,false,false,false,false,false,false,36,FIRSTNEXTPAGE-2e750acd6f62ee5c,FIRSTPAGE-9a59e69a09baeb3c,235,left,235-left,E2-官网未匹配专业名归属核验,Q2-官网未匹配或高校辅证页列先核,2,2,1,0,0,0,0,2,0,2,2,2,0,0,R4-PDFOCR候选人工确认×2,O3-仅PDFOCR候选待人工核页×2,C3-仅PDFOCR候选，需人工核页×2,P1-字段有候选回看原页和官方×1；P3-OCR齐全字段三方闭环×5,再选科目×3；无机器字段缺口×3,B3-仅PDFOCR候选待人工确认,按PDFOCR提示逐条核原页；确认后再做湖北官方侧和高校侧闭环。,P4-PDFOCR候选确认包,1,10,b4ab4312a4405979,fc8e06f9473620e5,pending_pdf_page_review,pending_hubei_official_plan_review,for_double_check_only_not_official_plan_replacement,blocked_until_pdf_hubei_school_three_way_closure,页列内所有任务完成PDF原页、湖北官方侧、必要高校辅证和双人复核记录后，仍不自动写回。,页列汇总只保存状态、计数、分布、ID和SHA；不保存学校专业文本、字段读数、OCR正文、图片路径、人工记录或登录态。
FIRSTRESULTPAGE-59852c61906beddf,data/working/issue19-first-closure-verification-result-public-ledger.csv,data/working/issue19-stable-foundation-first-closure-next-action-page-summary.csv,湖北招生考试2026年19期·本科普通批（下）,ee61fc69389f24a9a7830167113cf0ddc0447f8fa4b2743cd3241be60a9bd86d,2026-06-29,issue19_first_closure_verification_result_board_page_summary,PDF页码×版面列,页列×核验结果汇总×建议人工小包,false,false,false,false,false,false,false,false,37,FIRSTNEXTPAGE-227310125a4fae59,FIRSTPAGE-878b34b3141f5010,235,right,235-right,E0-冲突异常双人优先核验,Q0-冲突页列第一批先核,1,1,1,0,0,1,0,0,0,1,1,0,1,0,R2-机器坐标辅助核PDF原页×1,O4-无PDFOCR但有机器坐标提示×1,C4-无可比候选，需人工看图或随页列闭环×1,P0-字段无候选原页重读×3,再选科目；专业计划数；学费×3,B2-机器坐标候选辅助核页,按机器坐标提示定位字段，但仍以PDF原页人工记录和湖北官方侧为准。,P3-机器坐标辅助核页包,1,10,ab341a76047f4c7b,ffc747191af9e32b,pending_pdf_page_review,pending_hubei_official_plan_review,for_double_check_only_not_official_plan_replacement,blocked_until_pdf_hubei_school_three_way_closure,页列内所有任务完成PDF原页、湖北官方侧、必要高校辅证和双人复核记录后，仍不自动写回。,页列汇总只保存状态、计数、分布、ID和SHA；不保存学校专业文本、字段读数、OCR正文、图片路径、人工记录或登录态。
