第一闭环事实准入页列汇总ID,来源第一闭环事实准入门禁账本,来源第一闭环事实进度页列汇总,来源期号,来源PDF_SHA256,生成日期,数据阶段,主表粒度,任务粒度,最终可用,可进入下一阶段,可否进入最终志愿方案,是否允许作为志愿推荐依据,是否允许自动写回主表,是否允许官网证据替代湖北官方计划,是否允许生成学校专业建议,是否允许写回字段事实,是否允许进入私有写回评审,页列汇总序号,页码版面键,来源页码,版面列,事实范围数,字段事实数,专业名归属事实数,专业组边界事实数,涉及任务数,涉及院校代码数,事实类型分布,准入阻断等级分布,核验动作层级分布,执行泳道分布,W0B0命中事实数,高校源double_check事实数,PDF湖北官方先行事实数,B0冲突事实数,需要双人复核事实数,需要人工看图事实数,结构化接入候选事实数,PDF待核事实数,湖北官方待核事实数,准入总状态分布,事实集合SHA16,任务集合SHA16,院校代码集合SHA16,证据集合SHA16,页列准入动作,公开安全策略
FCFACTGATEPAGE-4a81791738da8a88,data/working/issue19-first-closure-fact-gate-public-ledger.csv,data/working/issue19-first-closure-fact-progress-page-summary.csv,湖北招生考试2026年19期·本科普通批（下）,ee61fc69389f24a9a7830167113cf0ddc0447f8fa4b2743cd3241be60a9bd86d,2026-06-29,issue19_first_closure_fact_gate,第一闭环事实准入页列汇总,PDF页码×版面列×事实范围缺口,false,false,false,false,false,false,false,false,false,24,135-right,135,right,8,4,3,1,3,1,专业名归属事实×3；专业组边界事实×1；字段事实-专业计划数×1；字段事实-学费×1；字段事实-待人工判定字段×2,G2-结构事实PDF湖北官方先行×4；G4-人工看图待完成×2；G6-常规PDF湖北官方闭环待完成×2,N3-无稳定候选人工看图×4；N4-PDFOCR候选人工确认×3；N6-专业组边界PDF湖北官方侧核验×1,E2-官网未匹配专业名归属核验×8,0,0,0,0,0,6,0,8,8,blocked_not_ready_for_next_stage×8,da97f41ae748a1ab,d5b1dfe8be2afe4d,8920ff86c3af081e,92ad6611efbf97b8,按页列补齐PDF原页和湖北官方侧记录；高校源只作提示，不允许字段事实写回。,not_final；fact_gate_only；no_field_values；no_private_paths；no_ocr_text；no_recommendation
FCFACTGATEPAGE-870959cd38210971,data/working/issue19-first-closure-fact-gate-public-ledger.csv,data/working/issue19-first-closure-fact-progress-page-summary.csv,湖北招生考试2026年19期·本科普通批（下）,ee61fc69389f24a9a7830167113cf0ddc0447f8fa4b2743cd3241be60a9bd86d,2026-06-29,issue19_first_closure_fact_gate,第一闭环事实准入页列汇总,PDF页码×版面列×事实范围缺口,false,false,false,false,false,false,false,false,false,25,137-left,137,left,5,4,0,1,2,1,专业组边界事实×1；字段事实-专业计划数×2；字段事实-再选科目×1；字段事实-学费×1,G2-结构事实PDF湖北官方先行×1；G3-双人复核待完成×1；G6-常规PDF湖北官方闭环待完成×3,N1-高校补缺线索回PDF原页×3；N3-无稳定候选人工看图×1；N6-专业组边界PDF湖北官方侧核验×1,E1-计划数补缺或偏大优先核验×5,0,0,0,0,1,4,0,5,5,blocked_not_ready_for_next_stage×5,27622eab2374d378,af4d5f2b44d41379,573261a7e560eca8,73e86fd859602907,按页列补齐PDF原页和湖北官方侧记录；高校源只作提示，不允许字段事实写回。,not_final；fact_gate_only；no_field_values；no_private_paths；no_ocr_text；no_recommendation
FCFACTGATEPAGE-14b8d8af7e604892,data/working/issue19-first-closure-fact-gate-public-ledger.csv,data/working/issue19-first-closure-fact-progress-page-summary.csv,湖北招生考试2026年19期·本科普通批（下）,ee61fc69389f24a9a7830167113cf0ddc0447f8fa4b2743cd3241be60a9bd86d,2026-06-29,issue19_first_closure_fact_gate,第一闭环事实准入页列汇总,PDF页码×版面列×事实范围缺口,false,false,false,false,false,false,false,false,false,26,137-right,137,right,4,3,0,1,1,1,专业组边界事实×1；字段事实-专业计划数×1；字段事实-再选科目×1；字段事实-学费×1,G0-W0B0核心事实优先阻断×4,N0-先双人核PDF原页冲突×3；N6-专业组边界PDF湖北官方侧核验×1,E0-冲突异常双人优先核验×4,4,3,1,4,4,3,0,4,4,blocked_not_ready_for_next_stage×4,cef159c36a36333b,5ca8c98107449f25,67c655f4d9411562,87fea2ea4f99c0b0,按页列补齐PDF原页和湖北官方侧记录；高校源只作提示，不允许字段事实写回。,not_final；fact_gate_only；no_field_values；no_private_paths；no_ocr_text；no_recommendation
FCFACTGATEPAGE-eadd6c09a4933f3e,data/working/issue19-first-closure-fact-gate-public-ledger.csv,data/working/issue19-first-closure-fact-progress-page-summary.csv,湖北招生考试2026年19期·本科普通批（下）,ee61fc69389f24a9a7830167113cf0ddc0447f8fa4b2743cd3241be60a9bd86d,2026-06-29,issue19_first_closure_fact_gate,第一闭环事实准入页列汇总,PDF页码×版面列×事实范围缺口,false,false,false,false,false,false,false,false,false,27,141-left,141,left,2,1,0,1,1,1,专业组边界事实×1；字段事实-学费×1,G2-结构事实PDF湖北官方先行×1；G3-双人复核待完成×1,N2-机器坐标辅助核PDF原页×1；N6-专业组边界PDF湖北官方侧核验×1,E0-冲突异常双人优先核验×2,0,0,0,0,1,1,0,2,2,blocked_not_ready_for_next_stage×2,6d000962804a7b23,8456ebe59668b16d,81d0516c6aeec304,eb7b624698cc39ca,按页列补齐PDF原页和湖北官方侧记录；高校源只作提示，不允许字段事实写回。,not_final；fact_gate_only；no_field_values；no_private_paths；no_ocr_text；no_recommendation
FCFACTGATEPAGE-670dd8fd3630cdb9,data/working/issue19-first-closure-fact-gate-public-ledger.csv,data/working/issue19-first-closure-fact-progress-page-summary.csv,湖北招生考试2026年19期·本科普通批（下）,ee61fc69389f24a9a7830167113cf0ddc0447f8fa4b2743cd3241be60a9bd86d,2026-06-29,issue19_first_closure_fact_gate,第一闭环事实准入页列汇总,PDF页码×版面列×事实范围缺口,false,false,false,false,false,false,false,false,false,28,169-right,169,right,37,35,1,1,22,1,专业名归属事实×1；专业组边界事实×1；字段事实-专业计划数×22；字段事实-再选科目×1；字段事实-学费×12,G0-W0B0核心事实优先阻断×4；G1-B0同页伴生事实阻断×33,N0-先双人核PDF原页冲突×2；N1-高校补缺线索回PDF原页×21；N3-无稳定候选人工看图×10；N4-PDFOCR候选人工确认×3；N6-专业组边界PDF湖北官方侧核验×1,E0-冲突异常双人优先核验×37,4,2,2,37,12,35,3,37,37,blocked_not_ready_for_next_stage×37,5aa1793e9d49dbe9,f450896d976d918f,e33aa8070796cc4b,edee4594b9fab8d7,按页列补齐PDF原页和湖北官方侧记录；高校源只作提示，不允许字段事实写回。,not_final；fact_gate_only；no_field_values；no_private_paths；no_ocr_text；no_recommendation
FCFACTGATEPAGE-802cdb191c00122c,data/working/issue19-first-closure-fact-gate-public-ledger.csv,data/working/issue19-first-closure-fact-progress-page-summary.csv,湖北招生考试2026年19期·本科普通批（下）,ee61fc69389f24a9a7830167113cf0ddc0447f8fa4b2743cd3241be60a9bd86d,2026-06-29,issue19_first_closure_fact_gate,第一闭环事实准入页列汇总,PDF页码×版面列×事实范围缺口,false,false,false,false,false,false,false,false,false,29,194-left,194,left,8,7,0,1,7,1,专业组边界事实×1；字段事实-专业计划数×7,G2-结构事实PDF湖北官方先行×1；G3-双人复核待完成×7,N2-机器坐标辅助核PDF原页×7；N6-专业组边界PDF湖北官方侧核验×1,E0-冲突异常双人优先核验×8,0,0,0,0,7,7,0,8,8,blocked_not_ready_for_next_stage×8,f669578709ffaf75,d863a28d6b83c275,9404a186764f4c68,490323070e6fd646,按页列补齐PDF原页和湖北官方侧记录；高校源只作提示，不允许字段事实写回。,not_final；fact_gate_only；no_field_values；no_private_paths；no_ocr_text；no_recommendation
FCFACTGATEPAGE-f236d4d82a7316c1,data/working/issue19-first-closure-fact-gate-public-ledger.csv,data/working/issue19-first-closure-fact-progress-page-summary.csv,湖北招生考试2026年19期·本科普通批（下）,ee61fc69389f24a9a7830167113cf0ddc0447f8fa4b2743cd3241be60a9bd86d,2026-06-29,issue19_first_closure_fact_gate,第一闭环事实准入页列汇总,PDF页码×版面列×事实范围缺口,false,false,false,false,false,false,false,false,false,30,199-left,199,left,13,11,1,1,5,1,专业名归属事实×1；专业组边界事实×1；字段事实-专业计划数×4；字段事实-再选科目×3；字段事实-学费×4,G0-W0B0核心事实优先阻断×11；G1-B0同页伴生事实阻断×2,N0-先双人核PDF原页冲突×9；N2-机器坐标辅助核PDF原页×1；N4-PDFOCR候选人工确认×2；N6-专业组边界PDF湖北官方侧核验×1,E0-冲突异常双人优先核验×13,11,9,2,13,11,11,0,13,13,blocked_not_ready_for_next_stage×13,abdbddc44f6fe8b0,35d5e9e75dc9c4b6,fb61c7c1175189cf,5cf0f5e1ea1f16aa,按页列补齐PDF原页和湖北官方侧记录；高校源只作提示，不允许字段事实写回。,not_final；fact_gate_only；no_field_values；no_private_paths；no_ocr_text；no_recommendation
FCFACTGATEPAGE-36e4a9241ca624bf,data/working/issue19-first-closure-fact-gate-public-ledger.csv,data/working/issue19-first-closure-fact-progress-page-summary.csv,湖北招生考试2026年19期·本科普通批（下）,ee61fc69389f24a9a7830167113cf0ddc0447f8fa4b2743cd3241be60a9bd86d,2026-06-29,issue19_first_closure_fact_gate,第一闭环事实准入页列汇总,PDF页码×版面列×事实范围缺口,false,false,false,false,false,false,false,false,false,31,205-left,205,left,2,1,0,1,1,1,专业组边界事实×1；字段事实-学费×1,G2-结构事实PDF湖北官方先行×1；G3-双人复核待完成×1,N2-机器坐标辅助核PDF原页×1；N6-专业组边界PDF湖北官方侧核验×1,E0-冲突异常双人优先核验×2,0,0,0,0,1,1,0,2,2,blocked_not_ready_for_next_stage×2,8f9a26ce251bcf1e,eed634392a7f10ce,ffbb1621e8910f25,1bea92ff685c38da,按页列补齐PDF原页和湖北官方侧记录；高校源只作提示，不允许字段事实写回。,not_final；fact_gate_only；no_field_values；no_private_paths；no_ocr_text；no_recommendation
FCFACTGATEPAGE-5b77311f3134fdd6,data/working/issue19-first-closure-fact-gate-public-ledger.csv,data/working/issue19-first-closure-fact-progress-page-summary.csv,湖北招生考试2026年19期·本科普通批（下）,ee61fc69389f24a9a7830167113cf0ddc0447f8fa4b2743cd3241be60a9bd86d,2026-06-29,issue19_first_closure_fact_gate,第一闭环事实准入页列汇总,PDF页码×版面列×事实范围缺口,false,false,false,false,false,false,false,false,false,32,209-right,209,right,31,27,3,1,13,1,专业名归属事实×3；专业组边界事实×1；字段事实-专业计划数×12；字段事实-再选科目×6；字段事实-学费×9,G0-W0B0核心事实优先阻断×10；G1-B0同页伴生事实阻断×21,N0-先双人核PDF原页冲突×6；N3-无稳定候选人工看图×4；N4-PDFOCR候选人工确认×8；N5-多源一致仍待湖北官方侧×12；N6-专业组边界PDF湖北官方侧核验×1,E0-冲突异常双人优先核验×31,10,6,4,31,9,27,0,31,31,blocked_not_ready_for_next_stage×31,1980f09f4e49e694,2b6dac3f008ab633,a764f5f65a608731,892962c960a00b86,按页列补齐PDF原页和湖北官方侧记录；高校源只作提示，不允许字段事实写回。,not_final；fact_gate_only；no_field_values；no_private_paths；no_ocr_text；no_recommendation
FCFACTGATEPAGE-73b0a25fb79c3ba0,data/working/issue19-first-closure-fact-gate-public-ledger.csv,data/working/issue19-first-closure-fact-progress-page-summary.csv,湖北招生考试2026年19期·本科普通批（下）,ee61fc69389f24a9a7830167113cf0ddc0447f8fa4b2743cd3241be60a9bd86d,2026-06-29,issue19_first_closure_fact_gate,第一闭环事实准入页列汇总,PDF页码×版面列×事实范围缺口,false,false,false,false,false,false,false,false,false,33,226-left,226,left,80,78,1,1,39,2,专业名归属事实×1；专业组边界事实×1；字段事实-专业计划数×38；字段事实-再选科目×20；字段事实-学费×20,G0-W0B0核心事实优先阻断×5；G1-B0同页伴生事实阻断×75,N0-先双人核PDF原页冲突×3；N1-高校补缺线索回PDF原页×54；N2-机器坐标辅助核PDF原页×13；N3-无稳定候选人工看图×6；N4-PDFOCR候选人工确认×3；N6-专业组边界PDF湖北官方侧核验×1,E1-计划数补缺或偏大优先核验×80,5,3,2,80,6,78,0,80,80,blocked_not_ready_for_next_stage×80,23a8c690fb8f2c1b,00ee5b0b21524c73,d1c755ba46cca36f,69e643901bc8a3da,按页列补齐PDF原页和湖北官方侧记录；高校源只作提示，不允许字段事实写回。,not_final；fact_gate_only；no_field_values；no_private_paths；no_ocr_text；no_recommendation
FCFACTGATEPAGE-9458745b1415558a,data/working/issue19-first-closure-fact-gate-public-ledger.csv,data/working/issue19-first-closure-fact-progress-page-summary.csv,湖北招生考试2026年19期·本科普通批（下）,ee61fc69389f24a9a7830167113cf0ddc0447f8fa4b2743cd3241be60a9bd86d,2026-06-29,issue19_first_closure_fact_gate,第一闭环事实准入页列汇总,PDF页码×版面列×事实范围缺口,false,false,false,false,false,false,false,false,false,34,226-right,226,right,9,8,0,1,4,1,专业组边界事实×1；字段事实-专业计划数×4；字段事实-再选科目×2；字段事实-学费×2,G0-W0B0核心事实优先阻断×7；G1-B0同页伴生事实阻断×2,N0-先双人核PDF原页冲突×6；N3-无稳定候选人工看图×2；N6-专业组边界PDF湖北官方侧核验×1,E1-计划数补缺或偏大优先核验×9,7,6,1,9,3,8,0,9,9,blocked_not_ready_for_next_stage×9,8eb66ea92673a2ee,03906792757ef5d9,640082c04be96da9,089ebe03e3eb9504,按页列补齐PDF原页和湖北官方侧记录；高校源只作提示，不允许字段事实写回。,not_final；fact_gate_only；no_field_values；no_private_paths；no_ocr_text；no_recommendation
FCFACTGATEPAGE-8d18898b6158ec1d,data/working/issue19-first-closure-fact-gate-public-ledger.csv,data/working/issue19-first-closure-fact-progress-page-summary.csv,湖北招生考试2026年19期·本科普通批（下）,ee61fc69389f24a9a7830167113cf0ddc0447f8fa4b2743cd3241be60a9bd86d,2026-06-29,issue19_first_closure_fact_gate,第一闭环事实准入页列汇总,PDF页码×版面列×事实范围缺口,false,false,false,false,false,false,false,false,false,35,228-left,228,left,2,1,0,1,1,1,专业组边界事实×1；字段事实-专业计划数×1,G2-结构事实PDF湖北官方先行×1；G3-双人复核待完成×1,N2-机器坐标辅助核PDF原页×1；N6-专业组边界PDF湖北官方侧核验×1,E1-计划数补缺或偏大优先核验×2,0,0,0,0,1,1,0,2,2,blocked_not_ready_for_next_stage×2,70cd6ca4eca9acdb,f77477d05abdd5e2,bc2b80485378e010,c1fe8bafefebe1b0,按页列补齐PDF原页和湖北官方侧记录；高校源只作提示，不允许字段事实写回。,not_final；fact_gate_only；no_field_values；no_private_paths；no_ocr_text；no_recommendation
FCFACTGATEPAGE-b37cd355a198cdbc,data/working/issue19-first-closure-fact-gate-public-ledger.csv,data/working/issue19-first-closure-fact-progress-page-summary.csv,湖北招生考试2026年19期·本科普通批（下）,ee61fc69389f24a9a7830167113cf0ddc0447f8fa4b2743cd3241be60a9bd86d,2026-06-29,issue19_first_closure_fact_gate,第一闭环事实准入页列汇总,PDF页码×版面列×事实范围缺口,false,false,false,false,false,false,false,false,false,36,235-left,235,left,8,5,2,1,2,1,专业名归属事实×2；专业组边界事实×1；字段事实-专业计划数×2；字段事实-再选科目×1；字段事实-学费×2,G2-结构事实PDF湖北官方先行×3；G6-常规PDF湖北官方闭环待完成×5,N4-PDFOCR候选人工确认×7；N6-专业组边界PDF湖北官方侧核验×1,E2-官网未匹配专业名归属核验×8,0,0,0,0,0,5,0,8,8,blocked_not_ready_for_next_stage×8,237b315883ef5815,27a4c57ddf32279b,e266f95730db6cb1,71db8c0c922cb733,按页列补齐PDF原页和湖北官方侧记录；高校源只作提示，不允许字段事实写回。,not_final；fact_gate_only；no_field_values；no_private_paths；no_ocr_text；no_recommendation
FCFACTGATEPAGE-a12ffa466fd37c93,data/working/issue19-first-closure-fact-gate-public-ledger.csv,data/working/issue19-first-closure-fact-progress-page-summary.csv,湖北招生考试2026年19期·本科普通批（下）,ee61fc69389f24a9a7830167113cf0ddc0447f8fa4b2743cd3241be60a9bd86d,2026-06-29,issue19_first_closure_fact_gate,第一闭环事实准入页列汇总,PDF页码×版面列×事实范围缺口,false,false,false,false,false,false,false,false,false,37,235-right,235,right,2,1,0,1,1,1,专业组边界事实×1；字段事实-专业计划数×1,G2-结构事实PDF湖北官方先行×1；G3-双人复核待完成×1,N2-机器坐标辅助核PDF原页×1；N6-专业组边界PDF湖北官方侧核验×1,E0-冲突异常双人优先核验×2,0,0,0,0,1,1,0,2,2,blocked_not_ready_for_next_stage×2,1c6ad2db39cdd1c3,9bd3bff993132c7d,e266f95730db6cb1,a92da3c8b1376b20,按页列补齐PDF原页和湖北官方侧记录；高校源只作提示，不允许字段事实写回。,not_final；fact_gate_only；no_field_values；no_private_paths；no_ocr_text；no_recommendation
